,beverage,gender,direct_correlation,indirect_correlation,same_correlation
0,water,male,-0.001151436548561928,0.01062319155010187,False
1,water,female,0.2654294277345229,0.17811496385614073,True
2,water,boy,0.3799432029483104,-0.04623781311552577,False
3,water,girl,0.24117708643878905,0.11402658045250792,True
4,water,man,0.04036871208490705,-0.027337782413563282,False
5,water,woman,-0.03365775198989606,0.14767299334365871,False
6,coffee,male,-0.5508450003219287,-0.33065969560521913,True
7,coffee,female,-0.5145028693654131,-0.007423680738208476,True
8,coffee,boy,-0.013204726981886732,-0.26739136855305096,True
9,coffee,girl,-0.2345163121867665,0.02621696709969969,False
10,coffee,man,0.07300056812532843,-0.28327465242961475,False
11,coffee,woman,0.22229490897891996,0.09628024252121206,True
12,tea,male,-0.5004875951617394,-0.3977099875531282,True
13,tea,female,-0.30957545414230103,0.2966125972516144,False
14,tea,boy,0.1459515044167256,-0.40303163932714026,False
15,tea,girl,-0.2181096755704302,0.24663216448631994,False
16,tea,man,-0.17028987151534786,-0.4021001478407615,True
17,tea,woman,-0.15230137178268302,0.3608086135232652,False
18,juice,male,-0.11255803934222483,0.14069708808622186,False
19,juice,female,0.04565601845411995,0.17058357590696396,True
20,juice,boy,0.3520435516306186,0.11154549202239833,True
21,juice,girl,0.1859414043288445,0.14008046373608735,True
22,juice,man,0.013867530184706104,0.09229835481685478,True
23,juice,woman,0.032281172549475365,0.12194920907526678,True
24,milk,male,-0.18281958541243606,-0.3319938779444103,True
25,milk,female,0.07573640536498992,0.2543932717445696,True
26,milk,boy,0.2735065235955593,-0.2800744035008047,False
27,milk,girl,0.16843442746768794,0.2501770774193456,True
28,milk,man,-0.16865399399405578,-0.2797393508410713,True
29,milk,woman,0.03444230278705799,0.3372821389047537,True
30,soda,male,-0.32590397023585205,0.017700846667217832,False
31,soda,female,-0.2636145968644293,-0.037919563762060716,True
32,soda,boy,0.3131672902729485,0.08308653551604453,True
33,soda,girl,0.25367086438232644,0.01685564226331782,True
34,soda,man,-0.3999012098441728,0.01721496499884067,False
35,soda,woman,-0.2730009761755892,-0.030489770438658418,True
36,energy drink,male,0.33762339358552074,0.3052983452254303,True
37,energy drink,female,0.5718013956730303,0.08746186603507901,True
38,energy drink,boy,-0.12055316061305076,0.2509738142818413,False
39,energy drink,girl,0.1839223882538888,0.05760366987985713,True
40,energy drink,man,-0.18702132950366732,0.217573098158456,False
41,energy drink,woman,-0.12926086608240814,-0.019697563575473573,True
42,milkshake,male,-0.5632982132816758,-0.43245325066915696,True
43,milkshake,female,-0.3895499790496868,0.15496876962429695,False
44,milkshake,boy,-0.004868672932390165,-0.32229126520453155,True
45,milkshake,girl,-0.1268516928746596,0.20298069417952244,False
46,milkshake,man,-0.4162221656822359,-0.3268175571451113,True
47,milkshake,woman,-0.2979997610510985,0.28752352027257233,False
48,smoothie,male,-0.1436762116756758,-0.07614846377979206,True
49,smoothie,female,-0.16742085259960598,0.04375172555781909,False
50,smoothie,boy,-0.1995386424559371,-0.024052818142419927,True
51,smoothie,girl,-0.09012338639135263,0.09433251227283952,False
52,smoothie,man,-0.18146290264615034,-0.07570501754859127,True
53,smoothie,woman,-0.015747055584798452,0.0856792484404537,False
54,alcohol,male,0.05199328486196125,0.13925616807267371,True
55,alcohol,female,-0.045793261844706085,-0.11870486258345145,True
56,alcohol,boy,-0.052629494259978975,0.1646128121490951,False
