index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
water,0.7341509571036332,-0.3793677021083113,-188.6796,207.96854,9.071629,1.163566
coffee,0.04139308973969079,0.4034400954228633,-5.5755534,59.446777,8.433362,-2.1356068
tea,1.6398012183762138,-0.02697414825164531,-125.59361,241.18828,8.755391,1.8460236
juice,0.27924376126973355,-0.2845948635762486,-197.70901,252.68555,8.891416,0.4800869
milk,0.8693253488730446,0.10143762136699606,-154.03854,162.10776,8.551913,0.9647118
soda,-1.360426665700499,-0.2891304840953319,237.82687,-117.22371,5.65405,-4.0698657
energy drink,-0.47464441680708397,-0.35821199979218854,134.07695,-20.760405,8.002242,-4.3244443
milkshake,0.1605302650895587,0.30205640129873274,-51.281948,53.782764,8.186349,-1.6230217
smoothie,-1.3496645834627945,-0.28555397659151566,248.33963,-157.7431,5.452924,-4.5283465
alcohol,-0.7893308741566517,0.028389249089933493,99.366844,-50.744602,7.7607327,-3.8528254
liquor,-0.7324156819283563,0.3035854983262751,67.86051,-91.590996,7.181509,-3.765279
beer,-1.543556921501158,0.04096028764925865,195.67574,-146.19594,5.246029,-4.0943255
wine,1.6522238977836727,-0.2773877735773305,-258.27914,204.4626,9.078347,1.9679153
cider,0.6578225142051864,0.3382689544031603,-140.01328,120.26907,8.221307,0.6184773
vodka,-0.3515787865782908,-0.12129716656199546,71.75902,-2.2407784,8.290985,-3.3231223
rum,-0.0699339716125954,0.5176784880462187,-16.147692,13.76037,7.9815607,-2.3419511
whiskey,-0.33479862183968384,0.11454332045164442,25.676634,-107.586426,7.4321346,-3.23733
champagne,0.971859471146383,-0.1278418015005196,-199.96954,144.32677,8.306485,1.2476543
