index,yob_isomap_x,yob_isomap_y,yob_tsne_x,yob_tsne_y,yob_umap_x,yob_umap_y
water,0.3747230670445685,0.7226393998575513,79.62348,7.8742504,0.29347363,5.9905725
coffee,-0.7583859108874962,-1.1746332353122646,138.61299,98.062836,0.0908752,7.9055796
tea,-2.1381714309072493,-0.7163491536427381,98.452194,140.83788,0.75830096,7.613783
juice,1.8581489179233992,-0.44788437140272497,-0.5718062,-121.80809,7.1131234,0.50661206
milk,-1.6574593295824775,-1.7142581792241418,167.4663,124.488235,-0.017309511,8.353580000000001
soda,1.7253219535154272,-0.2315611220677161,17.781567000000006,-86.35773,7.381584599999999,1.0502869
energy drink,3.4458774839413566,-0.4842503475838616,56.39768,-153.21495,8.168975999999999,0.64669126
milkshake,-1.4521330076393706,-1.4309050574971798,140.98676,126.534615,0.5747991,8.286633
smoothie,0.8964339480718091,-0.9295185079179852,-12.119492,-81.65019000000002,6.821722500000001,0.9886928
alcohol,1.9996955257358435,-0.14755383479655113,30.60526500000001,-111.42019,7.529134,0.3056813
liquor,-0.19382841997852984,1.8677947883956287,10.892991,30.298674,0.40293428,4.475121
beer,1.2229644949000027,1.8099635568244663,9.028557,0.4604721,0.92049354,4.3461347
wine,-1.086413820055074,0.4153659780763418,99.06445,33.63265,0.3034071,6.713825
cider,-2.467420454379132,0.6028481380838844,66.2206,139.6169,1.3989811,7.5152826
vodka,2.520645196627283,-0.3336221686478306,25.811443,-142.65881000000005,7.898209599999999,0.77607673
rum,-1.9524936500959509,0.4320581132849668,69.42912,114.696045,1.219873,8.0050535
whiskey,-1.0706975254053128,2.1287069139100336,10.488295,57.08215,0.5416346,4.842886
champagne,-1.2668070388290986,-0.3688409103398748,117.90391,51.139034,0.09407466,7.1345773
