index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
Nigeria,0.30137783419095704,-0.18022049558935535,-296.32745,-31.977776,5.455585,10.311888
Ethiopia,-0.21912645246065593,0.13970506001384383,74.64345,23.610987,7.8395724,4.7376013
Egypt,-0.37179044127611444,-0.17085497330828617,39.840378,293.14874,10.313892,6.695338
Congo,-0.09279046960482325,-0.03996106609713993,-131.88199,61.20327,7.4750853,6.0701747
Tanzania,-0.10539793308244766,0.21875405746098392,104.88722,30.146626,7.54449,5.0488167
South Africa,0.1305250809548356,0.35087901863963317,285.09436,-182.92749,5.3449097,7.50686
Kenya,0.1600355802811473,0.35585516381930793,258.1986,-164.62624,4.9091954,7.902766
Uganda,-0.058615393846382736,0.036575840847617,-120.23857,24.868809,7.3244014,6.011203
Sudan,0.03054438132106,-0.19941106478567083,-222.92397,-6.8826017,5.8425736,10.354127
Algeria,-0.34654087563134467,-0.15442067276896285,-112.5394,264.25546,9.891679,6.5237093
China,0.20434604144876492,0.10843159393393566,256.45627,3.9383554,5.335449,9.630023
India,-0.4193236210837164,0.3373845558152319,-2150.5452,-415.1519,7.016796,3.6885529
Indonesia,-0.2853114447537323,0.487155915891707,80.6033,-66.49196,7.401484,4.018364
Pakistan,-0.2026635759969358,0.19526500001587146,213.75757,223.24298,7.017952,3.7387073
Bangladesh,-0.28237377997460855,0.3811450386809698,2590.4336,286.4893,7.131599,3.868672
Japan,0.5374266617144026,-0.3411577385517614,162.58234,-334.68927,4.351126,9.664111
Philippines,-0.0019623248484978745,0.23933222974153026,267.626,-42.167015,4.7045016,8.394595
Vietnam,0.9391778025251984,-0.30431806419805457,25.946001,-301.64767,3.7528098,9.864628
Iran,-0.3744134994692452,-0.06617714561265224,51.530487,237.24022,10.823725,6.2578635
Turkey,-0.2840931479123652,-0.11691772664437355,25.843893,173.99557,9.774067,5.734608
Russia,-0.3489177666376807,-0.20723328502248362,84.33215,148.19952,9.777723,5.2282786
Germany,-0.14519546409001585,0.2273029084888302,2111.024,-2976.8364,6.484702,6.631265
United Kingdom,0.3777758897101084,-0.2378128514425505,-287.2599,-115.43944,5.995624,10.825515
France,-0.39494784499780067,-0.09908968587564984,-140.08917,200.55151,9.469264,6.620708
Italy,-0.45493127859924326,-0.12187301605197325,-30.11133,340.4125,10.565357,5.81522
Spain,-0.29870359221033027,-0.13959883884560775,-109.19795,235.6154,9.750583,6.463075
Ukraine,-0.3135848823810867,-0.32543907055338644,71.41837,119.96284,10.004822,5.0817904
Poland,-0.25591005545842493,0.12966596607744887,-20.938,-60.504845,8.147373,5.6877437
Romania,-0.5642841299044747,-0.31991813219488346,-71.386314,311.25186,10.32877,6.080991
Netherlands,-0.006465934444705376,0.2524152715469374,-645.8082,5852.04,6.3259907,6.7607474
Austria,-0.4796395045275352,0.13361474283084107,-15.118646,384.6727,8.443549,5.241837
United States,1.04092496038809,-0.23342257774041464,24.728973,-329.87482,3.8266551,9.788207
Mexico,0.17573813401064417,-0.3162366642592327,-223.8404,-149.61821,6.6986904,10.747983
Canada,0.8098012377839605,0.09171733695109702,80.217316,-278.3127,4.0663805,10.020741
Guatemala,0.1844984442297004,-0.2531091241126178,-199.5027,-110.75458,6.543418,10.82617
Haiti,0.11464748372520583,-0.3072339141241327,-124.02633,-190.55992,6.981134,11.038313
Cuba,0.05336947255910621,-0.05795955458516076,-163.03107,-37.841446,7.204469,6.608155
Dominican Republic,0.07413136450520233,-0.24209692464523222,-124.41897,-151.173,7.0981503,10.755528
