,country,gender,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,male,-0.6549322084891606,-0.1111094947574276,True
1,Nigeria,female,-0.24493201933127454,-0.022435305138225645,True
2,Nigeria,boy,-1.1878014712698786,-0.08442534542628907,True
3,Nigeria,girl,-1.0924948701788124,-0.02293335404874829,True
4,Nigeria,man,-1.641297938380564,-0.04466487465171147,True
5,Nigeria,woman,-0.508978242928423,-0.0037701491306914975,True
6,Ethiopia,male,-1.0569497488724149,-0.1517219969759841,True
7,Ethiopia,female,-0.6656594089835184,0.07372746872531523,False
8,Ethiopia,boy,-1.7113004025632192,-0.14993263098751694,True
9,Ethiopia,girl,-1.9211637169486295,0.04666251864510989,False
10,Ethiopia,man,-1.888418060112868,-0.10478979129310988,True
11,Ethiopia,woman,-0.7399337035588329,0.10316852485537988,False
12,Egypt,male,-0.4355910896540435,-0.10888395072823734,True
13,Egypt,female,0.13722220385764355,0.1369380845352387,True
14,Egypt,boy,-0.6962805338381031,-0.11220158403165276,True
15,Egypt,girl,-0.722524083902792,0.10334207643085973,False
16,Egypt,man,-0.8558764876463759,-0.07848258976818524,True
17,Egypt,woman,-0.23261821221284565,0.1399155011679197,False
18,Congo,male,-0.4927657091710086,-0.1579050275442672,True
19,Congo,female,-0.34864547038495697,0.04584191992455188,False
20,Congo,boy,-1.070470664730102,-0.1733072533007012,True
21,Congo,girl,-1.1147700654426425,0.015181202612618547,False
22,Congo,man,-1.3932409818798628,-0.13445726353146553,True
23,Congo,woman,-0.4532553136793855,0.06706009704866511,False
24,Tanzania,male,-0.8157199906239998,-0.16582399877908335,True
25,Tanzania,female,-0.7113461960336682,0.03521576459128066,False
26,Tanzania,boy,-1.5853918477473896,-0.15367883004817073,True
27,Tanzania,girl,-1.8303629144694908,0.027911760477069614,False
28,Tanzania,man,-1.9449522453381758,-0.12524289141589048,True
29,Tanzania,woman,-0.8591321096443646,0.07407542661630996,False
30,South Africa,male,-1.1053336858104958,-0.21657449777794224,True
31,South Africa,female,-0.8430864229388287,-0.03856426055447218,True
32,South Africa,boy,-1.4904355971188488,-0.17732146963288165,True
33,South Africa,girl,-1.690297656350995,-0.01752510191358671,True
34,South Africa,man,-2.054581945134134,-0.13928606924967224,True
35,South Africa,woman,-1.1145515159004058,0.024630222325872,False
36,Kenya,male,-0.9739911460727596,-0.19119212964664195,True
37,Kenya,female,-0.6937551575455541,-0.03880615030568226,True
38,Kenya,boy,-1.4046608703433334,-0.1642978009221948,True
39,Kenya,girl,-1.6200963308015617,-0.03144084996981178,True
40,Kenya,man,-2.001546024912937,-0.12063570763601462,True
41,Kenya,woman,-0.7975055943813664,0.020879906694128744,False
42,Uganda,male,-0.8455145984539659,-0.13472756136475292,True
43,Uganda,female,-0.6278107760151617,0.0015232087254485804,False
44,Uganda,boy,-1.21725406936429,-0.11638671872825675,True
45,Uganda,girl,-1.2353331332646065,0.0001511382741388749,False
46,Uganda,man,-1.7080187747066709,-0.08550615934709445,True
47,Uganda,woman,-0.7276576846832401,0.03732423438008568,False
48,Sudan,male,-0.8560906290609662,-0.14502922426302406,True
49,Sudan,female,-0.5301593008514003,0.01916775476065513,False
50,Sudan,boy,-1.507971331485897,-0.14531619986171201,True
51,Sudan,girl,-1.6284485082590543,0.002949178738512967,False
52,Sudan,man,-1.8041222015654843,-0.10400857362076277,True
53,Sudan,woman,-0.7424902546679686,0.043898579499418985,False
54,Algeria,male,-0.8392292105440313,-0.1873963362162134,True
55,Algeria,female,-0.5856703620496582,0.11782546026100313,False
56,Algeria,boy,-1.6554909786341765,-0.20687879858682184,True
57,Algeria,girl,-1.69747834221218,0.0808304852706546,False
58,Algeria,man,-1.873563111915837,-0.19693461762111028,True
59,Algeria,woman,-0.7806026676611919,0.13226613012881658,False
60,China,male,-0.3153289599172033,-0.11314045041782242,True
61,China,female,-0.31222481260729923,0.011857125604066128,False
62,China,boy,-1.304936808880557,-0.17296810711681698,True
63,China,girl,-1.2312326085741958,-0.041193482480099984,True
64,China,man,-0.9632518190450562,-0.11964575393992692,True
65,China,woman,-0.5131527140366987,0.014914992944571518,False
66,India,male,-0.5912974875790509,-0.15717414718509426,True
67,India,female,-0.4017468651582578,0.1490304898671827,False
68,India,boy,-1.2462065996592162,-0.1704406340851382,True
69,India,girl,-1.0887560599423427,0.13096962302742352,False
70,India,man,-1.4878744418834289,-0.1439520956838506,True
71,India,woman,-0.7601736401488215,0.16459628666544854,False
72,Indonesia,male,-0.5905357716639288,-0.17915657489823494,True
73,Indonesia,female,-0.42726056077617935,0.1452740070283487,False
74,Indonesia,boy,-1.7411824184578408,-0.2108539685508758,True
75,Indonesia,girl,-1.7436516022211213,0.09790831171740752,False
76,Indonesia,man,-1.9994579197032456,-0.2103153878235219,True
77,Indonesia,woman,-1.1416205733551397,0.1402052036715174,False
78,Pakistan,male,-0.5588613586953531,-0.1840593060130412,True
79,Pakistan,female,-0.3862378640239221,0.14248313258608014,False
80,Pakistan,boy,-1.2969012634115495,-0.17695129846523536,True
81,Pakistan,girl,-1.3083575324387782,0.13088587509407426,False
82,Pakistan,man,-1.5897758422815962,-0.1749155821147043,True
83,Pakistan,woman,-0.6179903346411393,0.1604576563245421,False
84,Bangladesh,male,-0.9595527111776012,-0.2611393215188736,True
85,Bangladesh,female,-0.6664956049753434,0.10766441815729808,False
86,Bangladesh,boy,-1.5113362869780986,-0.2415612042989717,True
87,Bangladesh,girl,-1.4053631339864583,0.1066501339585823,False
88,Bangladesh,man,-2.2359169913000234,-0.22393753622979204,True
89,Bangladesh,woman,-0.9004865732421332,0.1476485552773171,False
90,Japan,male,-0.5239070467012131,0.0885059968259878,False
91,Japan,female,-0.5882216112466974,0.08090889444836136,False
92,Japan,boy,-1.008782372864022,0.04874349820556991,False
93,Japan,girl,-1.251277735349934,0.056280968556048167,False
94,Japan,man,-1.5203646250304514,0.039263797075523285,False
95,Japan,woman,-1.0379908726976772,0.028990905815638186,False
96,Philippines,male,-0.6099501143442174,-0.1658709282996786,True
97,Philippines,female,-0.3000884259510239,0.034622339771363794,False
98,Philippines,boy,-1.5116311774422941,-0.21249349094797804,True
99,Philippines,girl,-1.3148522411806425,-0.014719612459388522,True
100,Philippines,man,-1.6999626519674056,-0.19715709034893386,True
101,Philippines,woman,-0.9562872672650196,0.023147923383956697,False
102,Vietnam,male,-0.579748883880655,-0.2318342715611974,True
103,Vietnam,female,-0.5322190427549205,-0.25005513784612965,True
104,Vietnam,boy,-0.8520625157317766,-0.22919783175932346,True
105,Vietnam,girl,-0.8494254513054792,-0.2366550224453784,True
106,Vietnam,man,-0.6324626319588198,-0.1292708012407996,True
107,Vietnam,woman,-0.536596617762241,-0.16892460440075113,True
108,Iran,male,-0.964951225932034,-0.13402316342990772,True
109,Iran,female,-0.7478060520422265,0.15147637248227366,False
110,Iran,boy,-1.2909196014453608,-0.12063648107726327,True
111,Iran,girl,-1.578067594271951,0.13580235537146176,False
112,Iran,man,-1.8253741134406516,-0.13115458172086475,True
113,Iran,woman,-0.8936318411675165,0.16599218630929885,False
114,Turkey,male,-0.9085596089053998,-0.13152930245612954,True
115,Turkey,female,-0.7943491581273521,0.07557606314762316,False
116,Turkey,boy,-1.5299344184160015,-0.1579372939687732,True
117,Turkey,girl,-1.5537560753292219,0.041329703868508975,False
118,Turkey,man,-1.816113215203048,-0.1577245637851894,True
119,Turkey,woman,-1.0176638606732435,0.06503094207373232,False
120,Russia,male,-0.928472534219898,-0.025412133623961008,True
121,Russia,female,-0.7198454421998003,0.0897529443857011,False
122,Russia,boy,-1.0744622355887727,-0.0854488887500031,True
123,Russia,girl,-1.1847864952608609,0.035379557917631616,False
124,Russia,man,-1.1519124191807946,-0.08192722111256391,True
125,Russia,woman,-0.6290617050052876,0.050276148309521165,False
126,Germany,male,-1.345838682044365,-0.22127907400931612,True
127,Germany,female,-1.2438633130685404,-0.003974006264268503,True
128,Germany,boy,-1.5322229299281935,-0.21572937509597287,True
129,Germany,girl,-1.7164097618191532,-0.01880010742353147,True
130,Germany,man,-1.867146713079072,-0.20606238704774166,True
131,Germany,woman,-1.311522791199203,0.026140813541607848,False
132,United Kingdom,male,-0.9948183100205172,-0.1944367327260174,True
133,United Kingdom,female,-0.8374994575181436,-0.09777063416820217,True
134,United Kingdom,boy,-1.8879178147599216,-0.11885974172184588,True
135,United Kingdom,girl,-2.1045810942039207,-0.03800689920644395,True
136,United Kingdom,man,-2.476749452212389,-0.10630250294386692,True
137,United Kingdom,woman,-1.4321849517864298,-0.024009450171806692,True
138,France,male,-1.3359596432291754,-0.21667956332734584,True
139,France,female,-1.3696207668882645,0.044646379796594096,False
140,France,boy,-1.3823646022354683,-0.2459858046540669,True
141,France,girl,-1.5747242713191043,0.005660403811918221,False
142,France,man,-1.6467096092764104,-0.23943747381553895,True
143,France,woman,-1.0461391427778075,0.06908354495469474,False
144,Italy,male,-1.4719335271810952,-0.14763885751491326,True
145,Italy,female,-1.4833682217950932,0.17174280148798626,False
146,Italy,boy,-1.3526857034173556,-0.16163188693689642,True
147,Italy,girl,-1.5564198483943177,0.1434353854759366,False
148,Italy,man,-1.4921323789249472,-0.19604631946407305,True
149,Italy,woman,-0.9825190698798174,0.17042348333797974,False
150,Spain,male,-1.1511807633316258,-0.08844083637001365,True
151,Spain,female,-1.169423477004908,0.10340244006175998,False
