index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
Nigeria,-0.21474551571402944,-0.25000751784648584,-61.596183999999994,19.268406,1.2409083,6.046106299999999
Ethiopia,-0.3508606951424105,0.05877673150896904,-97.00868,-67.073555,-0.2895085,7.75582
Egypt,-0.3205600287126937,-0.04358981031486623,-106.73998,-62.125409999999995,-0.38831925,7.577674000000001
Congo,-0.19483681898076602,-0.1325552572384505,-72.57495,6.3414235,1.2753607,6.1793156
Tanzania,-0.2120206447201953,-0.1176026733694652,-126.18463,-14.394145000000002,-0.44638208,5.8416705
South Africa,-0.18781855526294675,-0.1960650674461281,-121.27068999999999,-5.8710017,-0.21137968,5.592682
Kenya,-0.16476205391791168,-0.2249869015311848,-115.657684,-0.062401593,0.1960728,5.501899
Uganda,-0.2379900661019127,-0.11016464985605272,-125.893005,-22.732623999999998,-0.3146332000000001,5.9783864
Sudan,-0.2400881539937978,-0.17990639317700607,-73.36469,-3.6354053,1.0310222,5.9382505
Algeria,-0.321335529543591,-0.0267262173316888,-68.77155,-37.010020000000004,0.54212874,7.6614914
China,0.3783039433481109,-0.022751593434972,14.016257999999999,96.96471,7.2139845000000005,2.7426744
India,-0.07486724571180299,-0.3064503648446932,-70.70665,68.58723,0.7193185999999999,4.1578546
Indonesia,-0.10587358097219736,-0.25154511394149365,-81.30585500000002,21.583779999999997,1.1248614,5.198498000000002
Pakistan,-0.07210272314865429,-0.28659932290809703,-75.0162,51.903564,0.9341681000000001,4.078022499999999
Bangladesh,-0.1487363996614455,-0.3085217605193641,-76.0867,59.792027000000004,0.67213494,3.9720519
Japan,0.5733334772303817,-0.2326042697598304,41.37722,103.18038,6.405737,3.0074248
Philippines,0.2393865201937443,0.0197176440003788,-7.9497414000000015,91.52161,7.821860000000001,2.1966572
Vietnam,0.6794000807142442,-0.19824669885193216,55.002285,106.14753,6.177005,2.9870547999999997
Iran,-0.16361561139065162,-0.20988580902645368,-75.6193,13.463341,1.1885264,5.5481715
Turkey,-0.2620016451266502,-0.0732959149403176,-68.5222,-29.632095,0.81818354,7.366117
Russia,-0.2588422743058757,0.02072975038306169,-84.5398,-53.319263,0.45959613,8.182619
Germany,-0.32333818599353337,0.16011287100795002,-92.55509,-103.82668000000001,-0.1550851,9.390295
United Kingdom,-0.09365186116914057,-0.27000849447828124,-64.11015,73.61019,0.59548914,4.4150057
France,-0.34471482810222903,0.1513480547137819,-89.25814,-96.15511,-0.5295169,9.170511
Italy,-0.2671097211907243,0.12055063799843015,-103.65536,-102.98674,-0.04110028,9.248462
Spain,-0.1772945094947938,0.14212071807902893,-113.31069,-103.79729,0.1725155,8.863567
Ukraine,-0.276623074498461,0.043992248498636616,-88.25261,-62.894146,-0.08337952,8.138624
Poland,-0.40369676703916735,0.11762875734223167,-76.3323,-83.7514,-0.6553533,8.73842
Romania,-0.3522612914666573,0.06491485928093749,-83.95893000000002,-75.88513,-0.35426503,8.356175
Netherlands,-0.34822918470362146,0.15836653236055798,-83.7334,-104.702354,-0.41295514,9.444218
Austria,-0.4277550303874911,0.16782695542552556,-70.571815,-90.83215,-0.8308870999999999,9.108543
United States,0.7179903349976723,-0.17058048084579888,51.026973999999996,99.24399,6.2436886,3.1480813
Mexico,0.21389302132085805,0.31995852418353826,156.21393999999995,-88.6247,9.752506,2.491533
Canada,0.4551362727333407,-0.09214690867682523,24.066202,103.28063,6.661675,2.758485
Guatemala,0.16078289795381615,0.24168509784948985,162.24673,-68.34040999999999,10.073224,2.7669048
Haiti,0.24315352985719565,0.1617632033724337,129.44696000000002,-76.407394,9.105113000000001,2.7284017000000005
Cuba,0.0929332115253956,0.22021037352547848,170.2224,-41.254837,10.681763,3.5941036
Dominican Republic,0.12873597582089966,0.24101165181754625,155.37646,-42.95754,10.667791000000001,3.0703971
Honduras,0.16310399987911722,0.1877722681703677,167.40533,-59.363471999999994,10.042076,3.1796737
Nicaragua,0.20873596415935766,0.252456556750454,150.9288,-80.158165,9.611196000000001,2.6532402000000004
El Salvador,0.027280465717315586,0.2276877815432074,181.8397,-8.92347,11.873199000000001,3.7141132000000003
Brazil,0.19690749772999905,0.20199321747530669,138.47777,-67.95385999999999,9.2726,2.925119
Argentina,0.020113377477379502,0.22213692125013992,173.17105,-6.263658,12.029361,3.5946105000000004
Peru,0.07361179489090411,0.24198030579234445,157.92711,-23.412785,11.127708,3.232236
Venezuela,0.190138524712632,0.2307701794920756,143.40785,-73.60816,9.476596,3.0423907999999997
Chile,0.004478696853229768,0.2145852127096121,179.26736,0.34961679999999995,12.035632000000001,3.6013935
