index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
Nigeria,0.3793004613917989,-0.036571645092506655,54.154456999999994,561.63995,0.40907294,-4.4887595000000005
Ethiopia,0.3470351905094192,-0.1038418682965804,11.473379,579.40234,0.65519345,-4.8193154
Egypt,0.4604662674194564,-0.05841406704266738,-32.378506,608.1852,0.44430783,-4.6554193
Congo,0.1955312839364415,-0.026645066265193976,27.350890000000003,477.0005,1.1519841999999998,-4.119446
Tanzania,0.2512706558451959,-0.1099228901962404,-4.858112,541.3984,1.091624,-4.6406446
South Africa,0.06661910530071324,-0.07585859334796351,208.67484,-108.51276999999999,2.251577,-3.1212037
Kenya,0.14345115378286666,-0.1758513231986734,75.28144,433.37292,1.6528815,-3.7928975
Uganda,0.29882759552538674,-0.16964883739654465,27.687359000000004,611.8142,0.8337484000000001,-4.938452
Sudan,0.3017277682615432,0.0016420963760628714,48.046684,524.5884,0.66231054,-4.1893644
Algeria,0.09052164262342716,0.06699601301221872,-297.3784,-41.7472,7.8495393,7.461092
China,-0.1297316303371575,0.09829257744716476,-133.3984,170.31,8.442109,5.5806569999999995
India,0.2637438479222403,0.2459200287319468,-446.34015,-164.5475,6.2027683,7.1189523
Indonesia,0.06663473738688054,0.0810956009514807,-313.07858,0.28306663,7.9008546000000015,7.401325
Pakistan,0.13403854871181872,0.2657642430769553,-340.7414,-179.33948,6.6454477,6.6076803
Bangladesh,0.16008496980309386,0.19666839861518826,-385.38235,-190.82805,6.4182463,6.8840685
Japan,-0.11057039174164432,0.34441032447913905,-289.59033,-183.44136,7.9939284,5.6313853
Philippines,-0.15856814230365815,-0.006279294695114379,-42.25145300000001,15.364572,7.5660300000000005,2.8864734
Vietnam,-0.4284103208858375,-0.03589921295991546,240.3835,-506.72177,8.676675,1.6669988999999998
Iran,0.1384133735683396,0.2259160890343379,-375.80362,-163.57121,6.2788763,6.831262599999999
Turkey,0.029985234847625827,0.06256120816682864,-86.485176,-254.48251000000002,8.559343,7.1690983999999975
Russia,0.0336169497468901,0.12717096615668128,-129.31932,-229.61942000000002,8.353060000000001,6.8732070000000025
Germany,-0.013334287195677086,-0.15875432323445315,380.74213,13.532938,3.3948693,-1.850095
United Kingdom,0.10918555929642564,-0.0420143977794995,96.81127,362.3886,1.9510009999999998,-3.4183505
France,-0.009680867415620782,-0.14319104925558962,380.83513999999997,63.01714000000001,3.6164122000000014,-1.8045392
Italy,0.08164036010805338,0.05061632427214062,-330.62122,-25.36661,7.7527240000000015,7.5931125
Spain,0.08106826661255027,0.016737394293743196,-69.32701999999999,-215.05048,8.293921000000001,7.352653
Ukraine,0.21285296659055827,0.1766055001902069,-456.22885,-136.95108000000002,6.160245400000001,7.1144333
Poland,0.2668996170359515,-0.07817178003975475,0.71084887,507.05852999999996,1.097315,-4.3130455
Romania,0.26250461637234657,0.05605580752367712,-10.716655000000001,438.6802,0.7900008000000001,-3.9946330000000003
Netherlands,-0.07277143107010793,-0.2001663848977564,425.2277,22.724525,3.523982,-1.6588886000000005
Austria,0.014540295308852275,-0.105000226039768,353.92297,80.894264,3.445029,-2.1665167999999997
United States,-0.2694788309304971,0.003260752230820975,-124.99081399999999,79.34817,8.216334,2.7518504
Mexico,-0.12178036574007264,0.1026311706097726,-146.6542,137.36687,8.669604,5.265944999999999
Canada,-0.43035594841811065,-0.048733264338003145,238.90182000000001,-539.122,8.7177,1.6398866
Guatemala,-0.2085931741190144,-0.041370112958274564,-66.70954,77.498985,8.057333999999999,2.658659
Haiti,-0.1332662447913414,-0.10317354223149364,90.26700000000001,16.395563,6.067209,1.5241661
Cuba,-0.10059026532568248,-0.09792566844289473,136.82349,19.681993,5.3613954,1.2907766999999999
Dominican Republic,-0.15247039594625095,-0.037798658410427205,16.815947,-3.3211644000000002,6.902223599999999,2.3623927000000005
Honduras,-0.1418541979490507,-0.08064792780323639,52.917396999999994,5.4679212999999995,6.1336317000000005,1.8355575000000002
Nicaragua,-0.19765408265705986,-0.007759838954040953,-78.35423,48.367847,8.029113,3.0858482999999994
El Salvador,-0.07005110829413114,-0.11565656189820255,165.24142,1.7949375,5.1162024000000015,0.88261354
Brazil,-0.02953152526821152,0.0977763922492014,-151.6393,-309.14594,9.097398,6.4583892999999994
Argentina,-0.15438087022365254,0.01091927607593744,-40.351887,-24.890707,7.2705354999999985,2.624202
Peru,0.020614631753302973,0.054474895690004584,-96.54831,-288.32498,8.933169,7.0234440000000005
Venezuela,-0.011463197853265416,0.031432030505419144,-77.3391,-356.7412,9.336938,6.6021833
Chile,-0.11725034612645945,0.0114601703954217,-64.374374,-46.13774,7.1844,2.5669720000000003
Ecuador,-0.014849964872873857,0.07101960622609407,-119.48351000000001,-334.13113,9.1974535,6.753130400000001
Bolivia,0.007089355657448852,0.03562643163131675,-79.67893000000002,-317.50732,9.1054,6.8243732
