index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
accountant,-0.8203588606339355,-0.1594311615365322,-31.751043,79.901695,1.6547643,6.2822256
air traffic controller,-0.8433536578239899,0.15577347226835903,-25.289995,75.62752,1.9192636,5.980824
architect,-0.57461748749443,0.24082074974359804,63.833523,62.612915,3.5174372,6.246486
artist,0.2224967879444799,0.3220426098770056,50.59131,-41.135677,4.405752,3.7270598
attorney,-1.0844932708047177,-0.30949377038741577,-71.329,98.537704,1.1311859,6.8547983
baker,0.7492461862034231,-0.30597052324317636,60.60959,-99.98889,4.0009265,1.892536
banker,-1.1306881821029817,0.08979826401214944,-62.30639,84.7979,1.6162833,6.867901
bartender,-1.9743432357458592,-0.5105393184627167,-114.77226,157.47086,-0.8977685,8.439188
barber,-0.43271582035551065,-0.5385029076043246,-5.601453,84.326935,2.271309,5.2883625
barman,-1.5168265619671983,-0.48702514881259334,-117.02662,122.84872,-1.3873041,7.667759
barmaid,1.7081391375639912,-0.2688445186457435,-31.201298,-145.90488,5.351374,0.072058626
bookkeeper,0.5075312905490617,-0.4014087497666301,67.15175,-97.14292,3.8066108,2.1873343
broadcaster,0.42782160224031107,-0.29519790487370295,93.38714,-63.045467,3.5306995,2.496609
builder,-1.326049322345333,-0.5762834291324944,-107.38258,117.73575,-1.0769378,7.519685
businessperson,0.21670854137224765,-0.3049545371002172,98.89117,-48.502445,3.0264392,2.7987041
businessman,-1.6512666697130218,-0.23242211451473385,-104.67828,132.07828,-1.026674,7.5352077
businesswoman,2.210422698855671,-0.3271880323154192,-65.056885,-160.22977,5.0249047,-1.5607603
butcher,-0.4293947214449932,-0.4513283977455226,199.90736,84.160484,1.0159509,4.8746104
captain,-1.4965223185793617,0.4293421796959671,-63.1939,138.01196,0.025765711,7.6131845
carpenter,-1.2971295668255236,-0.5696817271796742,-110.86425,111.27124,-1.0697403,7.2599826
cashier,0.6162861501441399,-0.551983241335363,-14.981415,-74.80415,5.5261993,2.3431416
chef,-0.030964408474237808,0.6951352902646759,10.541105,-10.324794,5.2827287,4.7265663
coach,-1.4834306658885708,-0.3268478582397644,-88.0856,145.70995,-0.55886346,8.099261
cook,2.0339786486291134,-0.3476618314071059,-50.006237,-168.51573,5.442832,-1.3540894
computer programmer,-0.532074014737773,-0.21852955824813783,-4.635961,73.105255,1.9762732,5.539864
dancer,1.4293568049850303,0.48946030365604853,-32.587563,-123.92449,5.339738,0.93887967
dental hygienist,0.245420526652996,-0.433751083228947,97.093094,-34.12467,2.8888366,3.1576626
denstist,-0.13106894627479604,-0.08601887912452258,75.785805,12.586197,3.262187,4.9983315
designer,0.4330371975142801,0.6892556322974515,-2.6929066,-30.47919,5.750305,3.9746673
developper,-0.2106558927710418,-0.27149902751962157,68.48664,6.443308,2.779519,5.032148
dietician,0.9742619501902666,-0.1685099763989217,-14.894531,-91.46913,5.684861,1.9735982
doctor,-0.43035372091502166,0.5943526630795753,41.24974,78.02105,4.3789663,6.4804544
economist,-0.6348267846336113,0.16876500555614915,72.22615,65.57759,3.5537496,6.2246137
editor,0.26921195864150493,-0.0950253785131465,93.4533,-53.016098,3.300434,2.7348864
electrician,-0.7621847071930992,-0.29026769765631455,-16.545572,86.52917,1.6660473,5.6724725
engineer,-1.5144604987092176,-0.02664966805845538,-96.53843,127.72049,-0.67003626,7.605842
farmer,-0.7300571182446494,-0.4023420019710236,-27.88432,103.96093,1.1435966,5.289615
filmmaker,-0.29301011753349376,0.18854670273815435,67.65127,36.18453,3.801547,5.355379
financier,-0.610071607875662,0.35950907047187014,68.64703,85.18881,3.6739151,6.51151
fireman,-1.6099074935652262,-0.5801308408139975,-124.48165,141.118,-1.3821082,7.921551
fisherman,-0.6641455820934837,-0.30021180312944495,-35.191364,102.64879,1.2470335,5.171136
flight attendant,0.293043257747223,0.6952773210057016,1.7149893,-7.4809504,5.6085,4.663133
gardener,1.0962039934111067,-0.23775496454950104,9.609216,-127.383736,4.328344,1.4617145
guidance counselor,0.4967516935456446,0.5512905639423054,-27.470663,-62.0239,5.8651175,3.2055302
hairdresser,2.0539096173791895,-0.22155534607028712,-61.799988,-152.09875,5.1019225,-1.2669901
homemaker,1.1873055684546188,-0.27750337511812306,-22.558878,-98.1231,5.66999,1.7971445
housekeeper,1.9771357597698362,-0.33265159435504443,-49.163776,-158.8677,5.240923,-1.12327
interior designer,8.748828145096498e-05,0.469558895794275,10.928398,1.5268767,5.170914,4.918727
jeweler,0.5662833847919321,0.07555435644403045,65.161354,-74.583046,4.0661054,2.5287585
journalist,0.9558748744571992,0.08538155685079933,22.261398,-115.56135,4.3606267,1.4365015
judge,-0.9119822289289409,0.28049616231356433,-28.793573,68.6957,1.9806399,6.1953945
lawyer,-1.0940274816398095,-0.16043329090427633,-67.229866,91.84155,1.4152267,6.805895
librarian,1.4288909282327753,-0.2170974177109807,-20.100237,-141.6656,5.1045775,0.41501686
maestro,0.3043673078884282,0.7215337586291068,40.387096,-45.48137,4.658331,3.6895993
magician,-0.11434287036757732,0.7911224440506593,30.68598,-29.759642,4.917319,4.554461
mason,-1.0029674794885886,-0.4639407980313224,-18.541525,97.795654,1.2024418,5.5482244
mechanic,-1.8742089179432928,-0.5273736621710847,-121.4731,148.79434,-1.2007089,8.243236
musician,-0.2465541501301974,0.23513275242858156,60.783646,35.5162,3.8249798,5.383231
nanny,2.2996936969734936,-0.3469511607227059,-66.07526,-171.08774,5.059803,-1.7203568
nurse,2.004541335822128,-0.2838625509958545,-56.31491,-162.32523,5.2360334,-1.4195753
nutritionist,0.7117305706687209,-0.15080376524870695,-23.118382,-70.84664,5.7836595,2.473805
optician,0.39675952072459264,-0.16399366594257514,80.19695,-61.866016,3.4969108,2.678546
painter,0.925189051076472,0.25629196292505835,24.816547,-109.4888,4.489312,1.3134845
pharmacist,0.1693304883740318,-0.3589068185897665,103.97192,-36.224464,2.828823,3.123724
philosopher,0.07056378148823111,0.48062494566930414,48.76962,-62.32623,4.4131656,3.397876
photographer,-0.18434891766349656,0.4887020260852507,13.3639,8.731727,4.9123564,5.174677
physiscian,0.23568371415393755,0.866383058114322,34.30394,-38.83643,4.90618,4.3132606
physician's assistant,-0.2649745220349704,0.6235396427833675,44.635887,85.511566,4.4132557,6.50349
pilot,-1.6115749033451978,-0.11656610083934289,-82.753105,140.40561,-0.22153652,7.844925
plumber,-1.598133659457873,-0.40668207075651047,-122.38107,128.65596,-1.4131039,7.7623296
police officer,-1.3426681765060982,-0.2882471382279835,-90.786064,122.47751,-0.6802476,7.6759086
policeman,-0.41435972413978217,-0.3984351801451878,-44.700077,52.67591,0.9723698,4.9870667
politician,-0.5439753475149713,0.23047101025391395,72.170784,58.102898,3.6432464,6.027027
postman,0.14971590823729045,-0.49513163016554523,108.892654,-27.334496,2.6734872,3.2146583
professor,0.3257036128393783,0.40260982172006576,58.801064,-64.03447,4.240885,3.1387894
programmer,-1.6511178837722278,-0.406598195180979,-95.948425,152.41335,-0.70055586,8.157579
psychologist,0.3530949021987462,-0.34417671584044346,88.336525,-35.67226,3.307944,3.0515287
receiptionist,-0.6917873897665806,0.47531400174385485,-24.08315,59.809025,2.4236884,6.382985
salesperson,0.9696328039353754,-0.3163131058288068,-22.049421,-89.27181,5.8300157,2.0196364
