index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
accountant,-0.28599192820749786,0.11796443872581812,29.059254,94.045425,3.032494,10.860018
air traffic controller,-0.17231417119268594,0.21133863614066206,-36.602333,172.2154,6.609286,4.250099
architect,-0.10489602216385284,0.28374081083918834,6.2418323,8.720362,5.827636,8.043731
artist,0.15906445609970765,0.3042207001553806,-24.198587,-55.746235,7.9279017000000005,7.6209803
attorney,-0.38235903145123706,0.02107537904446906,69.87755,95.44789,3.8200476,10.867316
baker,-0.070586393893908,-0.12112921407270068,102.07214,29.106627000000003,5.570916,10.62715
banker,-0.18768715908087388,0.1814948309477796,74.85613000000002,64.99398000000001,4.167175,10.1779785
bartender,-0.08295939798415576,-0.13965444107166491,-114.84007,163.45168,7.7621193,4.409886
barber,-0.2475837368684064,-0.24044393244569084,-50.46995,82.70805,4.8261975999999995,12.367546
barman,-0.28856564437445753,0.06597098834533696,42.705259999999996,79.81652,3.0277185,10.698898
barmaid,0.3042310328011347,-0.11754068031599794,-109.24818400000001,-170.15479,10.462425999999999,8.832489
bookkeeper,-0.11949540865050652,-0.16586494634681065,109.77955,33.71826,5.5210676,11.1137295
broadcaster,-0.08978397945214497,0.09273519629444693,41.014225,-4.2485704,6.1098266,8.666379
builder,-0.21348002339623925,0.09453247044648604,38.302475,90.279335,3.1361465,10.873799
businessperson,-0.010276606484341037,0.2086411969166473,22.77846,-33.866875,6.456097,8.098915
businessman,-0.1470407823347661,0.3032880771963531,-1.2146536,187.65465,6.0994062000000016,4.0836559999999995
businesswoman,0.3842293175121888,-0.13582877227707962,-94.38419,-169.33717,10.729486,8.950528
butcher,-0.17025520883120646,0.0022807615578571976,83.51817,23.079506,5.238496,10.131919
captain,-0.1497342082276541,0.1260707917327712,-85.518745,173.22707,7.3435783,4.785300299999999
carpenter,-0.32407012849760786,0.0466116735548926,51.52939,96.86957,3.467025,10.935991
cashier,-0.04042150530826348,-0.18450548632061672,141.34898,-29.878729999999997,6.647214,11.30423
chef,0.07523539144511086,0.1993156069101492,-75.06111999999997,-28.949679999999997,8.14297,6.9064665
coach,-0.12160527557954015,0.19041193817770635,-71.1858,173.8991,7.2123356,4.79784
cook,0.4057059019669416,-0.0873904092508754,-71.00573,-175.8812,10.958515,8.790336
computer programmer,-0.012344701684942764,0.14587908996811652,34.02994,-30.499846,6.3214445,8.244283
dancer,0.6002803703366794,0.1517317611988639,-62.72087,-74.354904,8.797458,7.876211
dental hygienist,-0.1047650893905394,-0.2013765490051947,-36.423225,59.701446999999995,5.5876550000000025,11.935648
denstist,-0.02164870877736557,-0.10080419409838873,132.91064,-23.4905,6.549353,10.4090395
designer,0.2421167597873569,0.25939012216788765,-69.03529,-49.555588,8.366611500000001,7.2578745
dietician,0.06638339579694508,-0.1922325836516395,102.42370600000001,-39.23993,6.761880400000001,10.700502
doctor,0.046048056575776125,0.02199632737605775,-89.54167,-15.400385,7.8316817,5.9752045
economist,-0.1278921634461551,0.19633914092370816,13.682707,13.840743,5.6607404,8.523272500000001
editor,-0.12070223510122426,0.1004271785247039,40.8326,7.238493400000001,5.7685547,8.811160000000003
electrician,-0.17570804121038758,-0.25596195674896033,-72.01985,79.57698,4.997301599999999,12.65185
engineer,-0.16053391419141266,0.2276104115007649,-23.593843,179.32535,6.2853174,4.1488614
farmer,-0.3020154778146899,-0.200476137759152,-28.694828,83.178,4.8832674,12.037589
filmmaker,0.03172056075218175,0.3620113564056021,-8.3464575,-29.246653000000002,7.0650406000000014,7.5836864
financier,-0.11249419986222084,0.08075105197858287,58.65801999999999,37.235104,4.9130626,9.799091
fireman,-0.34924417116260514,-0.11401627947627825,-413.15668,1258.9513,4.271196,12.363955
fisherman,-0.08114311750224297,0.16490226823220655,32.984398,-7.626643,6.1188,8.438481
flight attendant,0.11718445534917635,-0.04397488215716231,-64.94756,-109.31481000000001,9.355389,9.481949
gardener,0.029279350967967188,-0.08323046595586235,126.35061,0.2580075,7.1140485,10.157708999999999
guidance counselor,-0.12467405078048965,-0.3168809405066576,179.3081,-14.486242,6.983045,11.919335
hairdresser,0.2647930769261513,-0.2413046777445467,-133.15672,-174.13701,10.835101,9.552589999999999
homemaker,0.005878467877560381,-0.2870431570450738,105.689545,-50.704746,6.8569994,10.93448
housekeeper,0.2474546881921909,-0.2594316018168641,-125.76445,-182.79175,10.926518,9.621441
interior designer,-0.11457162095310995,0.18828759721134875,-8.867335,175.41988,6.242157,4.160943
jeweler,0.06952914944628841,-0.07771243177565128,-23.845608,-138.80933000000002,7.8120437,10.078647
journalist,0.13973224505105236,0.338992172321572,-18.569412,-43.11392,7.6089100000000025,7.444762700000001
judge,-0.1999069437412783,0.06538506472790151,59.063175,47.755993,4.4237337,10.059553999999999
lawyer,-0.3095637664405117,0.1379437902321773,73.0749,74.66452,3.9868946000000003,10.455722
librarian,0.025046196534328432,-0.2098294793940169,111.43043,-36.17285,6.8944589999999994,10.768131
maestro,0.4117708328912754,0.13526998065796514,-68.717,-59.19083000000001,8.6596,7.7247496
magician,0.4083343304198056,-0.1943732865018314,-95.32575,-159.0226,10.627531,9.220583
mason,-0.3320239432062497,-0.27364634990239944,-40.53461,94.98700000000001,4.638127,12.244888000000001
mechanic,-0.18534726084864736,-0.004373081929214188,-107.07073999999999,157.06513999999999,7.5978303,4.4188547
musician,0.1491632962377341,0.34528390578907114,-29.689617,-45.380318,7.706053,7.366775
nanny,0.34434686842330714,-0.3294160292635673,-148.16525,-151.03186000000005,10.677651,9.7321205
nurse,0.3150417342502942,-0.20355628398008,-116.38198,-162.71971000000005,10.734497,9.19905
nutritionist,0.009205365169337109,-0.08984225043727874,97.87314599999999,-18.81921,6.2247376,10.219272
optician,-0.032862320915814175,-0.21853690251727384,140.57039,-41.51723,6.417567,11.285941000000001
painter,0.08632250826413744,0.1750403785078442,0.30790153,-72.45770999999998,7.567019,7.9496255000000025
pharmacist,-0.06366673068201881,-0.03986893502028443,100.90183,-4.771008999999999,6.0956254,10.053752000000001
philosopher,0.21717366322627046,-0.10529111359520066,-43.073364,-107.475174,8.047824,9.028014
photographer,-0.1567766192546034,0.2331213374182598,-15.666738500000001,184.43835,6.0980324999999995,3.9697626000000006
physiscian,0.319160947421156,-0.11881293300188013,-110.63978999999999,-139.97418000000002,10.176812,9.065841
physician's assistant,-0.22022580233067546,-0.2274121184546048,184.32611,-27.580261,7.1741604999999975,12.115146000000001
pilot,-0.1779750783722776,0.0699814245499734,-101.756165,165.13698,7.515416,4.5355989999999995
plumber,-0.3741391318578253,-0.10322798609252964,145.54004,-200.1683,4.4051933,12.272195
police officer,-0.16674668887602642,0.2473935247780462,-66.88079,182.01611,7.0518208,4.593168299999999
policeman,-0.21494819840477888,0.05614032134871277,33.82165,76.44084000000002,3.16777,10.595851
politician,0.06846986719199984,0.3602173155172157,-18.141195,-27.969849,7.2715216,7.4352100000000005
postman,-0.1913315355072668,-0.22599623551961384,-30.732826,71.61664,5.187002,11.949114
professor,-0.06610703886460599,0.02661743785850233,85.912575,6.43257,5.5652456,9.952406
programmer,-0.14538692361372854,0.18822282100810087,-27.826271000000002,168.02087,6.3528075,4.208101
psychologist,-0.04233334207461116,-0.1025542555729552,116.28655,-9.160153999999999,6.9517584,10.207857
receiptionist,-0.197825754956038,-0.2897831777254763,189.64106999999998,-19.990814,7.0940266,12.034941
salesperson,0.13029725034597164,-0.23563431300610105,-143.76656,-176.87323,10.712553,9.881577499999999
scientist,0.2312665054362473,-0.014300862864986363,-91.98185,-94.96500999999999,9.593580000000001,9.06071
scholar,0.2822923018086592,0.0588235670011084,-40.66575,-99.08149,8.134527,8.738968
secretary,0.02665490356326425,-0.15131253062744895,117.31309499999999,-20.730349,7.233395,10.338478
server,0.3190129506625939,-0.01159051637333158,-98.466545,-115.05345,9.807678,9.033139
singer,0.3937802086401242,0.32335768047611263,-49.08323,-70.03211999999999,8.47908,7.8525295
skipper,-0.2275652476733002,-0.13869142202687082,-81.86814,72.64217,5.0677294999999996,12.652687
soldier,0.010913031122180663,0.14504265735733338,-68.85953,162.63426,7.516417,5.328943
socialite,0.2870902440213053,-0.17608035763310506,-118.55990600000001,-153.18163,10.462643,9.317573
stylist,0.21649391949664645,-0.07877178529572505,-56.692122999999995,-125.585625,9.237517,9.349029
surgeon,-0.2470498597493583,-0.01291448761530594,40.91326,62.05889499999999,3.2972550000000003,10.490197
teacher,0.2737221194737989,-0.07206633397912053,-64.460655,-181.72963000000001,11.023423,8.679458
therapist,-0.07320339909737436,-0.2179799979052087,169.42596,-24.132532,6.924696000000001,11.818783999999999
translator,0.3599166088417951,0.25431531080274866,-39.429337,-73.52433,8.2816725,7.993593
undertaker,-0.2013649169173492,-0.1924884700285666,-40.796659999999996,71.30314,5.2253284,12.241893
veterinarian,-0.1725094863778526,-0.2626081402282254,-63.029602000000004,81.31609,4.9318695,12.572298
videographer,0.0067862863156128534,0.25674027742296524,13.300308,-33.097713,6.7239070000000005,7.8459496
waiter,0.0008964110604172555,0.12778425607517413,-81.611725,-21.888384,7.933971400000001,6.1940002
waitress,0.3907050481059423,-0.22359642484699624,-134.59836,-146.79105,10.306915,9.60929
warrior,0.41615259140030103,-0.04477925280248485,-118.68231000000002,-113.42408,9.796081,9.569324499999999
writer,0.1268214264100061,0.24144602765997936,-6.3200154,-67.025925,7.6600094,7.8021517000000005
