index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
accountant,-0.5403756814141788,-0.29700927340680805,-16.60926,-123.550514,-2.893936,12.862433
air traffic controller,-0.4567104993104221,-0.434808770525782,-26.715075,-150.76942,-2.3493588,13.055632
architect,0.4415090233616697,0.07288074405355795,-149.58524,89.49726,8.180713,12.61451
artist,0.07252850818548565,0.17637418978640326,-0.033289313,-21.272797,0.14469856,6.2660894
attorney,-0.599330135879311,-0.5351148913555269,-6.4136043,-129.59515,-2.976466,13.004203
baker,1.2650072613566863,0.3662014671743679,-51.84579,136.64406,8.7659445,9.845872
banker,0.6651484515101956,-0.48704801377747414,-169.85997,54.94118,9.47751,11.947684
bartender,-1.9914142479526504,-0.505770947959632,89.26516,-188.97542,-3.7323096,8.91091
barber,-0.6298319514068335,-0.1839815680287612,-12.770863,-112.99119,-3.1016788,13.0958805
barman,-0.6132007732006419,-0.5781260818362682,-2.4166377,-145.7105,-2.8013642,12.760058
barmaid,0.29445918241699115,0.7990114429747818,-24.08678,52.184544,1.5687367,6.7538586
bookkeeper,1.5921693771343377,0.17042333512969954,-76.542015,184.6866,9.744672,10.383171
broadcaster,-0.2531016191359369,0.06481117545199579,131.25354,16.12754,-1.2835824,8.136111
builder,-0.1311882227890282,-0.8946288029843764,-56.003452,-171.62943,-2.0591733,13.673436
businessperson,-0.37000847319133445,-0.02189415314535452,128.41621,3.33037,-1.4228511,8.019824
businessman,-0.1995720450314187,-0.782951260667791,-44.59326,-170.12096,-2.007536,13.499072
businesswoman,-0.19160049221723932,0.7991558793604168,-3.1751618,9.707234,0.7581652,6.822696
butcher,1.4742683922914412,0.11807621353103437,-72.2868,175.48096,9.656528,10.53368
captain,0.8570320302727765,-0.6387167127320265,1.8709353,200.92963,9.627002,11.790387
carpenter,-0.002601798418943836,-0.788667929300804,-53.262226,-161.79347,-2.3840241,13.680439
cashier,-0.6720846848476796,0.14703515101539574,95.56885,-13.993828,-1.9998177,7.6912584
chef,-0.9267633170105797,0.2458840469739257,86.95846,-98.748726,-3.5620143,6.4637284
coach,-1.6170121569147484,-0.43987085583874297,74.252686,-180.5909,-3.8057,9.225874
cook,0.08954425342187686,0.8476687874788004,-13.05502,27.732502,0.7881198,6.7358932
computer programmer,-1.0891840953441487,-0.0956914531203624,65.36961,-154.96843,-4.1584277,8.746285
dancer,-0.48795226801555636,0.571513424734959,65.49412,-89.447,-3.3278122,6.140142
dental hygienist,-0.5129558286732703,3.8691592295859974e-05,107.02455,-16.541462,-1.7081717,8.01133
denstist,-0.7723438869955755,0.12973944774841356,100.12792,-65.23746,-2.7838736,7.221712
designer,-0.8857773393765331,0.33994350879725294,77.61165,-91.573364,-3.3278527,6.2993097
developper,-1.0935734885375863,0.020418293072733823,64.38502,-145.76694,-4.0471754,8.858502
dietician,-0.6787435516590643,0.3449401682879104,80.60858,-15.272867,-1.7902768,7.449348
doctor,0.5801640670898474,-0.08842829501617723,-161.64223,94.24072,8.417203,12.73601
economist,0.4429265666812245,0.044130327956883236,-159.26282,82.89382,8.220698,12.613124
editor,-0.26501988617851585,0.049482759470376024,122.62385,11.160145,-1.2579722,8.016156
electrician,-0.5344574921720572,-0.559054361524832,-15.14462,-136.33208,-2.8005457,13.01895
engineer,-0.47591609573175825,-0.7547026389322571,-29.810324,-175.29196,-2.1156437,13.153446
farmer,0.5786838332869948,-0.6049697029225489,-147.18224,40.515385,9.316129,12.428844
filmmaker,-0.6943825781411606,0.14326743242065096,88.68117,-68.11259,-2.9214365,6.4223137
financier,1.2370259230729654,-0.07630764855860477,-63.87954,159.33464,9.255432,10.456217
fireman,-1.2395559019351163,-0.5278638446269691,43.471107,-166.53351,-3.9074476,9.582062
fisherman,0.575341086964482,-0.25206612885154617,-176.95776,90.54824,8.441542,12.372324
flight attendant,-1.3017328893979183,0.22717096601314132,104.41063,-151.47348,-4.0760436,7.76782
gardener,0.5083455894305686,0.6615503646793297,-32.86117,71.321945,2.2443385,7.0166254
guidance counselor,-1.0301522425382263,0.0330277104027028,128.9093,-67.29098,-3.0863905,7.6436405
hairdresser,-0.5062052925318542,0.8017424660739261,56.401386,-0.4128785,-1.4251289,6.993469
homemaker,-0.6103807022839836,0.6504500897359016,64.737625,6.962508,-1.6475289,7.233883
housekeeper,0.1517997941352384,0.8452791729517528,-32.236103,44.62745,1.5528225,6.880824
interior designer,-1.0128940464517702,0.19578608498847616,90.45833,-116.161385,-3.768306,7.073956
jeweler,1.1340946543350212,-0.04489608733783411,-57.482216,152.64813,9.154645,10.263122
journalist,0.6512658423246194,0.49176122427628044,-42.071457,84.44691,2.588939,7.3158507
judge,0.6699831205980902,-0.5618728491282906,-164.73933,41.221237,9.232957,11.988975
lawyer,-0.2636320973898547,-0.6094386605003504,-36.623653,-153.26237,-2.427607,13.507265
librarian,0.7476457299873569,0.49263043303326365,-28.695492,82.208275,2.4183798,7.1654873
maestro,1.1005510783903065,0.31851192312435617,-61.072845,125.418274,8.674652,9.862184
magician,0.8573416729627826,-0.25017613172175435,-158.09883,117.05666,8.874494,11.656246
mason,0.40339109531382383,-0.7228598753467832,-145.46893,31.545074,9.38765,12.352112
mechanic,-1.48384745295105,-0.4105885701786764,64.78776,-177.23227,-3.8476048,9.141358
musician,-0.3510044783969587,0.005872860726449061,75.519104,-60.966747,-2.6645963,6.414807
nanny,-0.059691140860851435,0.9131300781300155,-1.6845727,19.941341,0.8531147,6.888214
nurse,0.05081834012448877,0.839965080306376,-14.300861,17.825294,0.92693496,6.8065314
nutritionist,-0.9301772616117525,0.2914934356146838,110.92545,-66.92934,-3.0759678,7.422412
optician,0.5767572081134835,-0.019542985412642204,-129.49084,87.61435,8.524505,13.122633
painter,1.0935834878717012,0.5534286144746694,-46.048103,128.72977,8.741952,9.7408905
pharmacist,0.5858305644709125,-0.2091992836553424,-124.93015,79.787315,8.573629,13.28268
philosopher,2.249551855393666,0.10527410402221166,-291.73178,954.7063,9.941678,9.771721
photographer,-1.606000237153728,0.2767311132079099,108.10922,-192.40543,-4.039316,8.088978
physiscian,1.5465624982595023,-0.32694492174110856,-40.577168,192.39076,10.25241,10.234541
physician's assistant,1.6038489887733884,-0.14064233103012844,-64.645996,194.67696,10.099171,10.401632
pilot,-0.9332238460706743,-0.7095239739448165,21.299765,-160.83382,-3.7743084,9.85913
plumber,-0.2452126578187361,-0.8151158219166776,-39.20764,-133.83371,-2.7134988,13.391306
police officer,-0.771416322869071,-0.778364048942748,11.324857,-157.51994,-2.5991638,12.496595
policeman,0.5790855518728433,-0.20952208788308926,-118.16854,93.47047,8.646339,13.3206
politician,0.6297743379059009,-0.11707842651096281,-160.02518,103.596924,8.652306,12.197091
postman,0.6202132212505489,-0.27807303089796925,-115.62545,72.466866,8.488596,13.279943
professor,1.4196675190957495,0.04147643503166991,-46.659508,165.77657,9.341394,10.228333
programmer,-1.243646220880119,-0.37403895995663194,59.431046,-166.17973,-4.00903,9.324882
psychologist,-0.5520627193652294,0.08171294489843116,99.60933,-23.831194,-1.8660103,7.786835
receiptionist,1.6827224792651554,-0.2666347547715771,-56.884632,200.6214,10.131991,10.170405
