index,yob_isomap_x,yob_isomap_y,yob_tsne_x,yob_tsne_y,yob_umap_x,yob_umap_y
accountant,-1.6253296839292615,-0.6015196729816369,-71.22077,114.33903,8.37408,2.256703
air traffic controller,-2.1874079744196036,0.27883353973187547,33.159134,156.12521,10.872922,3.2321012
architect,-2.134721661863691,0.6526937586609964,-7.159853,147.48076,9.937931,2.7013054
artist,1.670535239431962,2.5235829055140875,-8.890291,-169.70116,1.1855276,7.052958
attorney,-2.0703865283375245,0.14905407864728962,23.063896,140.65013,10.491884,3.2602367
baker,-0.4662187347065456,-0.9384188780573022,-44.975655,40.530018,5.6197658,3.371795
banker,-3.1044489563345317,-0.10296549457907789,63.978527,190.15475,11.932234,3.816101
bartender,0.05396423561585466,2.3021065365281905,-66.224045,-126.51227,4.017623,6.5794835
barber,-0.8966815452005181,-1.5639698558904866,-73.36411,32.327724,5.8832893,2.598305
barman,-2.124486106944244,-0.1869728244761713,37.267242,184.92982,11.354665,3.2924502
barmaid,1.775680890075647,-2.237851269406796,90.148575,-34.781773,-4.006229,0.67514694
bookkeeper,-0.8985053954533876,-2.71512033735681,-100.330124,29.612179,6.189905,2.0066264
broadcaster,1.177395872894819,-0.6585674382675312,22.216784,5.0812287,4.27529,3.5400946
builder,-2.4664038437871554,0.5538804127695185,45.572002,159.22824,10.991468,3.6396704
businessperson,-0.719021030897953,-0.543923130336212,-31.81725,57.987247,6.1397796,3.5600069
businessman,-2.9659353404981417,1.150139678248292,74.021675,155.61574,12.124518,4.4645157
businesswoman,3.150150789273003,-0.9515352097845677,50.20211,-67.6638,0.4179439,3.9793477
butcher,-1.1955944644322052,-1.3672872149894317,-81.15188,56.38218,6.7509294,2.392131
captain,-3.1749461343229597,0.100911083876591,76.45735,183.71614,12.046087,3.921932
carpenter,-2.7281425228732274,-0.07663151964942458,56.311802,186.10445,11.726611,3.6343863
cashier,0.6156845867779908,-1.183571948671143,17.070654,22.350613,4.5840535,3.4316018
chef,1.9411463391342654,1.7965426369935922,12.657261,-150.38245,1.6093216,6.6422257
coach,-0.9154726719209496,2.0285775414347578,-74.84545,-110.706314,4.3422747,6.3104334
cook,3.0015152721967495,-1.1239961824674152,62.65301,-69.4684,0.4366019,3.7764652
computer programmer,0.4445304979850793,1.7210374400207265,-61.603153,-133.44531,3.9277296,6.6169634
dancer,2.5449935960027945,2.528698764182528,19.644552,-173.39275,1.0664852,6.1764994
dental hygienist,0.06159491798507861,-1.4890855014126996,15.926531,31.582956,4.7448497,3.2716231
denstist,1.344537497539768,0.45965059687356324,54.323612,-134.242,3.27822,4.945096
designer,2.270840081995074,3.0612895058796457,14.020743,-180.93707,0.90226024,6.576332
developper,0.9303879484529654,0.7083417992092244,63.789375,-139.51257,3.5316534,4.976124
dietician,2.8533726806006965,-0.24815683070761854,37.23273,-93.89128,0.95727926,4.4335895
doctor,0.22278606136393211,-0.818418076775179,-14.287312,20.568,4.984258,3.667496
economist,-2.562503076187671,0.22332142868791588,35.87286,170.83214,11.35617,3.400735
editor,0.765391246166593,0.26373706529485125,65.320465,-131.01099,3.455962,4.8410287
electrician,-1.6026238359399592,-0.6965669811237054,-66.442635,108.20807,8.391977,2.326498
engineer,-2.7860840224679517,1.5683306852328724,79.65706,149.22047,12.331789,4.717399
farmer,-2.0880890327228987,-1.4424826214610595,-114.73271,111.460175,8.360927,3.2365222
filmmaker,0.8641283775959498,2.4101837285312566,-24.327673,-160.56905,1.6587048,7.370698
financier,-2.247902262787555,-1.7559261530329762,-124.15727,114.78544,8.360357,3.1328976
fireman,-2.206560290851532,0.3525801986919326,28.18243,147.50766,10.580845,3.1687558
fisherman,-2.3062754053940266,-0.15579107359001287,26.254652,176.58601,11.424828,3.2927177
flight attendant,0.9082244606950516,1.7829481237881588,-16.076643,-148.21518,1.7900267,7.277605
gardener,1.0040043391675273,-2.293491810773285,98.4909,-19.51841,-4.1140566,0.5699731
guidance counselor,3.3109658024649757,0.8931356476111562,-1147.187,305.66263,0.7446041,5.2302837
hairdresser,3.2532602252413456,-1.4796773865698187,54.30553,-55.556118,-0.0069349576,3.6160438
homemaker,2.7957103028567025,-1.4667006649932122,64.22334,-55.506504,0.21001755,3.4727795
housekeeper,3.723606562626277,-1.9896068496120922,43.020023,-40.431877,-0.41840369,3.3967593
interior designer,1.404182114213469,2.0954569926801874,-12.818463,-157.66412,1.5572786,7.1843514
jeweler,-1.7390403422883254,-0.9484866609781746,-35.81873,87.248825,7.464605,2.4325888
journalist,0.38182729984038305,0.27031659788311097,74.866776,-135.24641,3.9429476,4.921301
judge,-1.802802541172604,-0.3170568205230561,-48.596508,99.24798,8.752481,2.5834122
lawyer,-2.477151588144489,0.18953905514132738,43.320454,174.29405,11.276005,3.6486435
librarian,1.2448800529822874,-2.2178268289123304,91.90398,-24.997189,-3.9736438,0.7412764
maestro,0.11020138574995299,1.0370113809091464,-68.77317,-72.364716,4.351315,5.343312
magician,-0.3511031852073839,0.26704043240181174,-63.19205,-55.075314,4.3855658,5.1802316
mason,-2.0651795165928943,-1.1953728553514646,-110.85652,118.57134,8.296667,3.182585
mechanic,-2.023026276292739,1.9661975189783456,91.87677,144.01643,12.425915,4.8734827
musician,0.9518004178844639,2.5527828062025018,-22.440979,-168.58221,1.4733658,7.49471
nanny,4.528048475059362,-1.7953801651470043,29.448854,-44.760986,-0.38377294,3.4550605
nurse,3.848016986729345,-1.474997116242944,40.019688,-48.23936,-0.2857926,3.54885
nutritionist,2.1092979701965544,-0.05330793871191946,34.72156,-115.22742,1.7748669,4.499055
optician,-0.3963659166693836,-1.2015780909046099,-40.987694,48.169834,5.812222,3.3773935
painter,-0.1171095636043339,-0.32550976531809694,-23.873648,16.856588,5.1528726,3.9393754
pharmacist,-0.8462548359534495,-1.676749775322117,-80.429665,34.950363,6.134136,2.3833447
philosopher,-1.7272046545657955,-0.44847229764624547,-32.715763,136.81233,9.296569,2.3287024
photographer,1.4727896620296612,2.947520005724068,-12.398201,-184.06235,1.047776,7.1461167
physiscian,-0.012648659552229422,0.13346810655523372,-56.56011,-51.50817,4.485497,4.9763265
physician's assistant,-1.6878730964296844,-1.8061714700947828,-88.81411,64.794754,6.9459386,2.297258
pilot,-2.5668282583297635,1.526134492929824,88.593925,152.55562,12.295234,4.695918
plumber,-1.5244699186140847,-1.1222729390814323,-74.01607,102.83162,8.232667,2.3482425
police officer,-2.758891818969787,0.7764595598186227,56.638447,156.20981,11.8916645,4.5164976
policeman,-1.2643394659289495,-2.0772612780518784,-90.00583,49.231476,6.6053286,2.2125156
politician,-2.144627673157277,1.1020749800935377,-0.24649991,149.79893,10.208425,2.8771133
postman,-0.8887201757078312,-2.2964279468594055,-91.74732,37.37731,6.3137555,2.2144465
professor,-1.241997747294902,-0.5870037590954156,-44.236168,77.816696,7.6430435,2.6557248
programmer,-0.30736882671332594,2.388270460971626,-72.78934,-119.21659,4.152061,6.488377
psychologist,1.6878480378473473,-0.6603941797007156,24.887733,-3.448776,2.029576,4.24033
receiptionist,-1.3836713469582549,-0.6475706948752226,-46.760853,87.36568,7.811163,2.4971883
salesperson,2.5088078683047472,-0.6303720480901104,44.864807,-95.38687,1.1029903,4.269073
scientist,-2.1370677337284225,0.26031924810556617,-24.422674,140.79814,9.551373,2.5049489
scholar,-2.088412212894349,-0.4635026924888969,-39.807854,140.5823,9.20665,2.2707725
secretary,1.771443810817423,-2.3992016875467455,99.02725,-33.468838,-4.108611,0.5784948
server,1.8948368759992003,3.5047978573692946,3.358101,-187.56537,0.87993574,6.8231792
singer,2.3166681858866363,1.9165314331322207,19.96602,-163.51036,1.1785909,6.167264
skipper,-0.021768641518743623,-0.27066656853671367,-20.066568,26.24337,5.0869117,4.0496497
soldier,-3.5127339816953107,1.4059752660615974,82.878,174.74716,12.272602,4.27584
socialite,3.531564414339646,-1.126297620185686,41.41806,-66.81731,0.08141291,3.9548473
stylist,2.0295678085022066,0.8895294896532323,25.980497,-136.10605,1.7104279,5.421756
surgeon,-2.017840258496882,-0.9680950137713077,-103.32469,114.08507,8.289872,3.108908
teacher,2.5228614191852605,-1.6427070014131944,70.566025,-64.84446,0.17860948,3.4953897
therapist,3.2402942791801026,1.4092822976089487,797.5492,-3164.8176,1.0008413,5.6844974
translator,0.07672750070513672,1.0310195683626675,-75.39792,-75.4424,4.464612,5.384026
undertaker,-0.37866827813414344,-2.8858040690252875,-108.67992,33.034584,6.141382,1.9828088
veterinarian,0.8424448846712869,-1.047216257486532,15.174597,14.524867,4.5100827,3.5037103
videographer,1.2600552791941846,2.8037012150885996,-21.161955,-180.60037,1.2077167,7.3895097
waiter,-0.7523429089082272,-0.5463946975643573,-41.06976,67.70784,6.295682,3.4469442
waitress,3.8963188613694126,-0.35929841422164754,27.106724,-77.66583,0.56914485,4.891196
warrior,-0.7222992667564796,2.7997597896496655,-76.848854,-92.80941,4.4576454,5.8416033
writer,2.116657797725368,0.4968658683828007,31.522024,-125.96752,1.8362175,4.873006
