,sport,beverage,direct_correlation,indirect_correlation,same_correlation
0,football,water,-0.06187615163228384,-0.3038525100532209,True
1,football,coffee,0.2597792883987246,-0.2669633727622672,False
2,football,tea,0.037855160091910096,-0.6006565079753767,False
3,football,juice,-0.04507296122791247,-0.3859025281122049,True
4,football,milk,0.023563777549839817,-0.5332921923671512,False
5,football,soda,0.3685883834058273,0.04980384679815091,True
6,football,alcohol,0.6416253703139946,0.07329516056927057,True
7,football,liquor,0.10329957180320544,0.4704783200030966,True
8,football,beer,0.6188221849035006,0.5866569706986384,True
9,football,wine,-0.26561983295324176,-0.5257801394187926,True
10,football,vodka,0.3797381813238376,-0.016344805687651117,False
11,football,whiskey,-0.1418997985673465,0.45614389506114295,False
12,football,champagne,-0.1315515894166806,-0.5025674034103705,True
13,basketball,water,0.08857566094357147,-0.0878171627969131,False
14,basketball,coffee,0.4197065849861804,-0.1721210315694575,False
15,basketball,tea,-0.25863653894415395,-0.33592384888473525,True
16,basketball,juice,-0.07385961939045423,-0.0651703006925273,True
17,basketball,milk,0.10798257998158986,-0.2401049260927285,False
18,basketball,soda,0.4926233717479041,0.2261882969719438,True
19,basketball,alcohol,0.4818937757286786,-0.06512509276328234,False
20,basketball,liquor,0.03928851153578699,0.28705290053003324,True
21,basketball,beer,0.7527942808403018,0.3194347400076509,True
22,basketball,wine,-0.31732385362502197,-0.3052542879420413,True
23,basketball,vodka,0.510082719235832,0.03939000779687071,True
24,basketball,whiskey,-0.013241699780406856,0.13023732660674167,False
25,basketball,champagne,0.04188482289471387,-0.301690136853551,False
26,cricket,water,0.19623873240332992,-0.1448632732388474,False
27,cricket,coffee,0.7991545081243643,0.20425875728944928,True
28,cricket,tea,1.3016105360182666,0.27413877174624834,True
29,cricket,juice,-0.12392441396730446,-0.13308285875749215,True
30,cricket,milk,0.758577898085954,0.2351814744113519,True
31,cricket,soda,-0.091504586512644,-0.03820048431827692,True
32,cricket,alcohol,0.4757952882331503,0.12125545196650138,True
33,cricket,liquor,-0.34137158400036605,-0.10128415678355288,True
34,cricket,beer,0.33282464565942665,0.0597892190855601,True
35,cricket,wine,-0.20531922148258924,-0.04129722761608949,True
36,cricket,vodka,0.27620853086328273,0.02868316764707323,True
37,cricket,whiskey,-0.2642409890132554,0.09274118539709328,False
38,cricket,champagne,0.252987446083684,0.017008737088217332,True
39,hockey,water,0.0999181483431634,-0.1579062465422512,False
40,hockey,coffee,0.22748720848661255,-0.008428774381049784,False
41,hockey,tea,0.19320996537346952,-0.1007874071382051,False
42,hockey,juice,-0.02568324977556808,-0.13406638931408096,True
43,hockey,milk,0.2892619138827144,-0.039329062001502886,False
44,hockey,soda,0.6040917369752167,0.21305121798829035,True
45,hockey,alcohol,0.30692442611538223,0.04739752279637359,True
46,hockey,liquor,-0.07035051920151228,0.15659497432388195,False
47,hockey,beer,0.6989595220148195,0.2916015616471005,True
