index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
football,-1.509993071309254,0.6886185419017092,165.81062,106.488045,17.854832,13.262867
basketball,-1.0137758401372656,-0.23852607716791674,54.662167,204.3198,16.204546,16.376337
cricket,0.45803425483940413,-0.0008705349991967079,-135.86171,-149.64987,8.908057,2.5794928
hockey,-0.6010093810535049,-0.28272545710146924,84.697296,183.87112,16.157898,15.441823
tennis,1.795130202646887,0.031591750920980016,-159.93074,-290.62158,1.6358058,-12.7267475
volleyball,1.6657294618946628,0.017527412031882454,-166.11595,-259.0085,2.1329052,-12.177205
table tennis,1.899532872444672,0.032356703041750444,-157.83598,-307.28653,2.0094795,-12.961493
martial arts,-1.0038036925444853,-0.6787118521183146,38.59725,168.15605,17.144762,16.17302
baseball,-0.999504525363542,0.31436768860713393,135.51114,108.05082,17.74378,13.762818
american football,-1.070628067509743,-0.2737638432689679,51.737415,147.52686,17.270931,15.669598
rugby,-0.979015252710196,0.2229805630306332,130.80687,145.02792,17.001621,13.831988
golf,-0.33867448899454716,-0.014420373936567692,93.16844,167.21162,16.363443,14.847675
athletics,0.6802639956033654,0.005807060589292172,-122.76962,-181.82542,9.521572,2.8910644
badminton,0.9178602032060932,0.009617950004166455,-137.87622,-191.75685,9.172684,3.649549
boxing,-0.9452204133267238,0.42299588023075757,117.418655,132.23378,16.865562,13.629489
Formula One,-1.153492718314796,0.4241658219431325,144.34636,139.12038,17.254087,13.463363
MotoGP,-1.3783162385029115,-0.38910742921085134,22.868698,179.94804,16.879946,16.405422
cycling,0.6353676560450116,0.005688418757977801,-129.36331,-168.34778,9.002164,3.1053054
swimming,1.6764138847136552,0.023869538985501693,-168.6435,-273.67218,1.8738834,-12.449422
snooker,0.19199485545105957,-0.003238595725393316,-151.58443,-146.16924,8.723096,2.7594583
shooting,-0.6439025545780165,0.2139318967309449,105.128136,150.48344,16.634598,14.34817
gymnastics,2.0028581301572044,0.035183782856730364,-174.04355,-301.01743,2.0340173,-12.603348
handball,0.9769596616728723,-0.006324378731522846,-149.73422,-205.62961,8.902741,3.8875592
wrestling,-1.2721105040116027,0.3350274797868693,149.01018,102.23478,18.02134,13.435697
skiing,0.9755691337506711,0.0013787237713074022,-159.47592,-190.48233,8.556214,3.8666284
horse racing,-0.6544399596086772,0.11908241262240297,82.85384,144.75693,16.880049,14.830814
horling,0.9247339764575521,-0.0008000539098389844,-103.38523,-175.38982,9.361689,3.0969877
pickleball,0.5615387629564319,-0.012009528472028625,-170.03325,-173.66145,8.35338,3.4968793
water polo,-1.0490412976959258,-0.5441614128804805,39.190002,183.4671,16.6646,16.265867
bowling,-0.7490590461783496,-0.45953208829061826,69.30809,198.23325,16.121082,15.960499
