,sport,gender,direct_correlation,indirect_correlation,same_correlation
0,football,male,-0.4099667567939943,0.2412703835190541,False
1,football,female,-0.10984940868248408,-0.4300476987227436,True
2,football,boy,-0.3166701939313875,0.24464504237351886,False
3,football,girl,-0.4046169970926417,-0.3854324859216079,True
4,football,man,-1.1107697059622856,0.3048981253167896,False
5,football,woman,-0.6575039033177115,-0.4572249410565053,True
6,basketball,male,-0.4250867094620349,0.04667089292701338,False
7,basketball,female,-0.2486720226762685,-0.1532438480965945,True
8,basketball,boy,-0.3486726088967181,0.04638571696526577,False
9,basketball,girl,-0.2332001752445638,-0.13295508332251596,True
10,basketball,man,-1.1731242532560906,0.04753843963784397,False
11,basketball,woman,-0.6115499518587539,-0.1714362328123581,True
12,cricket,male,0.9733485567286512,-0.1938151081607846,False
13,cricket,female,1.0394552218411888,-0.16840324872013945,False
14,cricket,boy,0.2640779476250001,-0.13891108054020995,False
15,cricket,girl,0.20871874452724956,-0.12137526697506892,False
16,cricket,man,0.2979120041438629,-0.07879064393880242,False
17,cricket,woman,0.5068790412060691,-0.09124537871767432,False
18,hockey,male,0.5114766974779068,-0.050212812364681315,False
19,hockey,female,0.5546290525672528,-0.19539938271221532,False
20,hockey,boy,0.051782888869648866,-0.019742897156140426,False
21,hockey,girl,0.2860283853505741,-0.15521476505358642,False
22,hockey,man,0.2224613388236825,-0.021442148865690836,False
23,hockey,woman,0.5274326956445643,-0.17454173388994731,False
24,tennis,male,0.7562717222117395,-0.3208496505635531,False
25,tennis,female,1.0133794775556704,0.36694276644686336,True
26,tennis,boy,0.385884371951696,-0.2983166493195146,False
27,tennis,girl,0.3222973847180423,0.37115541401449104,True
28,tennis,man,0.012969580648366893,-0.390774139047264,False
29,tennis,woman,0.3301312027392226,0.3962756793763201,True
30,volleyball,male,-0.1372260089051404,-0.1357042538975965,True
31,volleyball,female,0.226276811474594,0.3482915949253429,True
32,volleyball,boy,0.13790309924085728,-0.17443904029989027,False
33,volleyball,girl,-0.009411970107124638,0.31258218037315993,False
34,volleyball,man,-0.7911732101806932,-0.27350329289493114,True
35,volleyball,woman,-0.4984563017429799,0.3070943455799873,False
36,table tennis,male,0.07689184114446539,-0.4119405734390892,False
37,table tennis,female,-0.3124289446316898,0.30799013053912017,False
38,table tennis,boy,-0.223200176337242,-0.43149295253761627,True
39,table tennis,girl,-0.5791663185787121,0.2749663183341671,False
40,table tennis,man,-0.912989373169695,-0.4718871228994155,True
41,table tennis,woman,-0.6457661897283455,0.35583762152800785,False
42,martial arts,male,-0.4278056668302993,0.13800685513694955,False
43,martial arts,female,-0.042368758328557216,-0.06640326492798965,True
44,martial arts,boy,-1.4203692162367867,0.015980852632882698,False
45,martial arts,girl,-1.2518687184477613,-0.14377454670569076,True
46,martial arts,man,-1.5245402838946107,0.08465165327939682,False
47,martial arts,woman,-0.7068875067228095,-0.1411391170065186,True
48,baseball,male,-0.3268549283309101,0.03161918994248558,False
49,baseball,female,0.0460636027945394,-0.31487801804883225,False
50,baseball,boy,-0.2263206581191473,0.06693904199238525,False
51,baseball,girl,-0.435745929165118,-0.2645339385321337,True
52,baseball,man,-0.8462745920127405,0.13624159297609814,False
53,baseball,woman,-0.5831575864571572,-0.27156592689483594,True
54,american football,male,-0.9642034360482932,0.04467940135674934,False
55,american football,female,-0.2191354387778451,-0.2358872499202791,True
56,american football,boy,-1.7753079159328982,-0.041500849486142515,True
