,sport,occupation,direct_correlation,indirect_correlation,same_correlation
0,football,accountant,0.3016605088886184,0.11620615932791654,True
1,football,architect,-0.5703187343744149,0.15642002767697394,False
2,football,artist,-1.0233396546133626,-0.3807051272870161,True
3,football,attorney,-0.22048366683721,0.31663212522963124,False
4,football,banker,0.266766572277834,0.3958834929401,True
5,football,bartender,0.3737444861772794,0.2844132577878817,True
6,football,broadcaster,0.38988607252787066,0.25575041609134114,True
7,football,builder,0.22168577616831045,0.5106545949895598,True
8,football,businessman,0.13210551373947846,0.46127182570571296,True
9,football,butcher,0.3357033445573683,0.32747503445682435,True
10,football,captain,-0.07479439021919285,0.4325609189033392,False
11,football,carpenter,0.36907219819650655,0.4806734492937121,True
12,football,chef,-0.3645958042432335,0.2342506316102603,False
13,football,coach,0.7982539209644337,0.4142496582627737,True
14,football,cook,-0.16268929493178907,-0.4507965769861873,True
15,football,dancer,-0.2594995324349837,-0.4661061051264134,True
16,football,designer,-0.6665082306147456,-0.0998608701624866,True
17,football,doctor,-0.3682727580786964,0.0220019681108561,False
18,football,economist,0.010578470259511995,-0.014816353714696171,False
19,football,editor,-0.29272287671026753,-0.02903714361562023,True
20,football,engineer,-0.014527059736633673,0.3302025415030769,False
21,football,farmer,0.3402526796225046,0.4066051090858894,True
22,football,filmmaker,-0.5683289620818661,0.2043339563782468,False
23,football,housekeeper,-0.12029287663798485,-0.5313177474335508,True
24,football,journalist,-0.2662646639239332,-0.0013756592933002515,True
25,football,judge,-0.42229278698835404,0.22942952788436424,False
26,football,lawyer,-0.29338994239019417,0.2590741670024325,False
27,football,librarian,-0.30043597429069924,-0.3835112979787765,True
28,football,magician,-0.9821004272907984,0.19317943237738172,False
29,football,mechanic,0.3492985618313966,0.4240802786458267,True
30,football,musician,-0.4007317376080119,0.2440673396328632,False
31,football,nurse,0.24634346638447405,-0.4566855748021545,False
32,football,painter,-0.6413112489611329,-0.18431091362606408,True
33,football,philosopher,-1.4613510350311765,-0.10776524263923468,True
34,football,photographer,-0.10459153843503284,0.1665146148380647,False
35,football,pilot,-0.27499117296214826,0.40393361017411866,False
36,football,policeman,0.043857916539101136,0.35192019258613644,True
37,football,politician,-0.39203901545750497,0.0900938047159064,False
38,football,professor,-0.6705803981942913,0.11986820769798427,False
39,football,programmer,-0.22600789192567874,0.2756276062081896,False
40,football,psychologist,-0.7331681722206496,-0.2980918110687383,True
41,football,scientist,-1.166215269418071,-0.16915826508502466,True
42,football,scholar,-0.503132920121681,-0.3325701939861595,True
43,football,secretary,-0.08150982835015201,-0.5100381280222346,True
44,football,server,-0.08366323034404932,-0.08916166054839304,True
45,football,singer,-0.1612983044500864,-0.44779039047301294,True
46,football,soldier,-0.7108696900819842,0.3244819407674583,False
47,football,surgeon,-1.0428242405242387,0.25844259949256376,False
48,football,teacher,0.006974652335536218,-0.1812324345951436,False
49,football,therapist,-0.8057091583978664,-0.3044603153649304,True
50,football,translator,-0.19122356718662303,0.06052815496453666,False
51,football,waiter,-0.16358295318882846,0.3104260295420616,False
52,football,waitress,0.3166526015685933,-0.3793374756733897,False
53,football,warrior,-1.4569459463826695,-0.005090667549183353,True
54,football,writer,-0.5085765366957841,-0.319926334974168,True
55,basketball,accountant,-0.005957669382573409,0.010390431445224448,False
56,basketball,architect,-1.0142480420785525,-0.02500297040371509,True
57,basketball,artist,-1.062822010209625,-0.2890859252924676,True
58,basketball,attorney,-0.2149381046828444,0.16515497610997568,False
59,basketball,banker,0.19175881000132386,0.11696969056450217,True
60,basketball,bartender,0.5111798950767773,0.21606513004107653,True
61,basketball,broadcaster,0.21221541056957424,0.14062566689120298,True
62,basketball,builder,0.16181440580793402,0.21988407361221055,True
63,basketball,businessman,-0.0954650305128322,0.1704669597963517,False
64,basketball,butcher,0.19059297078959744,0.045172706552442835,True
65,basketball,captain,-0.2303363506631611,0.12043155265025066,False
66,basketball,carpenter,0.4702527017174449,0.1910355422843144,True
67,basketball,chef,0.03541473003460896,0.10213258813002556,True
68,basketball,coach,0.8089255308985602,0.2151818400669338,True
69,basketball,cook,0.12563020171775455,-0.2824535994297219,False
70,basketball,dancer,-0.05823070081033181,-0.190439471829092,True
71,basketball,designer,-0.9199960753909134,-0.09222098771196577,True
72,basketball,doctor,-0.40886152699652906,-0.14801266325851936,True
73,basketball,economist,-0.5481980312108126,-0.08392182644602215,True
74,basketball,editor,-0.6725829238397437,-0.11874032738390015,True
75,basketball,engineer,0.032515701378225466,0.0598021129687923,True
76,basketball,farmer,0.13937979184195518,0.11585946842710468,True
77,basketball,filmmaker,-0.5049820529421994,0.09368368817684754,False
78,basketball,housekeeper,-0.11060154820241584,-0.224488760176632,True
79,basketball,journalist,-0.4055355636022121,-0.0824801391724342,True
80,basketball,judge,-0.5009923763159637,0.0054933246130073965,False
81,basketball,lawyer,-0.40730808076255703,0.04786814892215071,False
82,basketball,librarian,-0.3933075322084001,-0.1075512326907706,True
83,basketball,magician,-0.7966198243284351,-0.03583961022886655,True
84,basketball,mechanic,0.1327255826904046,0.16345004820744796,True
85,basketball,musician,-0.4535076301066162,0.04312540810109703,False
86,basketball,nurse,0.1034991968657876,-0.14399943316791072,False
87,basketball,painter,-0.6121463912451947,-0.2420831433046884,True
88,basketball,philosopher,-1.5562636179764229,-0.2390179979644291,True
89,basketball,photographer,-0.2710245981556921,0.06637526840352621,False
90,basketball,pilot,-0.3601095234868354,0.11470773458666644,False
91,basketball,policeman,-0.15844321025445482,0.039376074271138456,False
92,basketball,politician,-0.7240986385761673,-0.027530413729072216,True
93,basketball,professor,-0.7130653480415362,-0.058813366450650315,True
94,basketball,programmer,-0.31122990257099165,0.18464281408816755,False
95,basketball,psychologist,-0.8443515914232688,-0.13131914287783544,True
96,basketball,scientist,-1.4505907403641418,-0.22287762474468514,True
97,basketball,scholar,-0.7581122207858105,-0.34050573679757923,True
98,basketball,secretary,-0.06372367895438208,-0.23565839862347115,True
99,basketball,server,-0.14032141545255236,0.046497436374821115,False
100,basketball,singer,-0.2617758599565552,-0.1965900445533724,True
101,basketball,soldier,-0.797197822047945,0.031530896329910164,False
102,basketball,surgeon,-0.9629298231740544,-0.03007668266302546,True
103,basketball,teacher,-0.07532707133753158,-0.07014241114337133,True
104,basketball,therapist,-0.9339660116613958,-0.05474012158567741,True
105,basketball,translator,-0.6235975095562144,0.01822022572514969,False
106,basketball,waiter,-0.0040689975063554935,0.06414230846355583,False
107,basketball,waitress,0.5889962827420329,-0.0778464581966184,False
108,basketball,warrior,-1.4383710217767431,-0.09174723349799094,True
109,basketball,writer,-0.8545651074590779,-0.22593327349529566,True
110,cricket,accountant,0.4148264762323831,0.04581290401140286,True
111,cricket,architect,-0.5631330625514078,0.07144367284376271,False
112,cricket,artist,-0.6478565005084322,0.036313003295982686,False
113,cricket,attorney,-1.0904564504257692,-0.05167387724396842,True
114,cricket,banker,0.473101431640891,0.025748760595691964,True
