index,yob_isomap_x,yob_isomap_y,yob_tsne_x,yob_tsne_y,yob_umap_x,yob_umap_y
football,2.8285771052239,-0.6727470398408038,-32.97173,401.75305,18.382229,0.3644673
basketball,2.3796712594390725,0.21350909644608182,-81.4349,239.48125,19.274698,1.1617186
cricket,-2.394753783655373,-0.7594435962752384,169.34094,-131.04198,5.161696,7.990299
hockey,-0.3670107214871789,0.40961671639789704,-90.97111,-272.0662,2.7052805,8.670943
tennis,-0.8848453355169669,2.067816012412978,-209.00684,-69.92814,3.6738906,10.434726
volleyball,1.0071257940592067,2.2538307591636797,-139.136,26.214123,3.125339,10.151026
table tennis,-1.8793238468857156,1.1275095877191152,-251.28166,-142.74042,4.109803,10.089333
martial arts,2.5327462068806357,-0.480435666505882,-33.16142,341.05118,18.575958,0.8656836
baseball,0.8636346404194,-0.6638900996578624,247.16911,233.74838,18.130295,2.6254156
american football,1.9656939752583957,-1.0676432922935704,33.02463,357.08112,18.11779,0.8264381
rugby,-0.6076960015506777,0.35948249589279524,-136.00018,-246.79628,3.0178497,8.621325
golf,-1.7983376539789626,-0.9367476517029604,128.23088,-200.06989,5.657017,8.516044
athletics,-1.089224002629049,-1.2699144021248487,185.91045,-252.4371,6.1055484,8.48657
badminton,-1.0109827672681488,0.5316460591956098,-86.418236,-162.88107,3.9447043,9.206382
boxing,0.8176963061753629,-1.3865737398752296,224.95927,281.15207,18.243681,2.7634335
Formula One,2.3578401688209913,-0.37630318647015965,-30.875727,265.03568,19.018333,1.1446631
MotoGP,2.87140124481646,1.9005139446585557,-105.21385,174.49843,19.46384,0.91375905
cycling,-1.313295426097511,-0.06162351189254268,17.05482,-183.01361,4.737288,8.632212
swimming,-0.9834211858454135,1.3904314104859312,-141.25847,-106.78629,3.6618326,9.633598
snooker,-2.4490825323824565,-0.37436619662448356,124.68717,-134.97404,5.552148,7.889595
shooting,0.7025402901217566,-0.9700459982507555,268.40625,271.51266,17.89286,2.4212573
gymnastics,-1.2403054633046058,2.1831369294118748,-248.89864,-86.000275,3.9085903,10.499936
handball,-0.7201284027476678,1.5091073808747897,-141.19412,-54.007755,3.3736787,9.896086
wrestling,1.9990928727458737,-0.5662703855489246,-69.623924,295.0985,18.63175,1.2447683
skiing,-0.741448953780508,0.38895555444173197,-98.85009,-206.85042,3.3977354,8.907228
horse racing,-0.5003868000762538,-1.7560094644481863,219.35396,-273.51453,6.4582367,8.545656
horling,-2.6539840357863107,-1.958228459949352,225.70265,-129.01353,5.451335,7.7137156
pickleball,-1.9175695836323667,-0.502238717621849,84.744545,-183.45273,5.22512,8.373006
water polo,2.533043624320464,-0.48956054741525723,-0.6579516,312.02866,18.699469,0.7516278
bowling,-0.3072669916563557,-0.043513990603137584,-127.16029,-300.4135,2.6478226,8.489996
