,beverage,age,direct_correlation,indirect_correlation,same_correlation
0,water,1,2.6368153187662893,0.056586732470377425,True
1,water,2,2.9001438768970447,0.1230507704226581,True
2,water,3,2.756698880356188,0.13156406371175258,True
3,water,4,2.6762483440079308,0.11167000580672383,True
4,water,5,2.5499443326283244,0.12949790440080414,True
5,water,6,2.281029781878032,0.07932963205317584,True
6,water,7,2.161512344508304,0.07993090533323137,True
7,water,8,2.211470527788528,0.06790918655404876,True
8,water,9,1.8430972039370628,0.03761701431557307,True
9,water,10,1.6426638760462278,0.06746015705795451,True
10,water,11,1.6556348114468165,0.06556020966437134,True
11,water,12,1.3817039987759647,0.04556597348548496,True
12,water,13,1.1572176145916642,0.03567731413791439,True
13,water,14,1.0472442751415216,0.033113824924549215,True
14,water,15,0.7783579442339138,0.021545530611976185,True
15,water,16,0.5415292056093676,-0.012341905251390835,False
16,water,17,0.34076380428770353,-0.030884706245052487,False
17,water,18,0.2647669934093049,-0.058044311926486375,False
18,water,19,0.02373681275532008,-0.07545186018739658,False
19,water,20,-0.03984476626207095,-0.11487867859301992,True
20,water,21,-0.3418969852123663,-0.16988803587017218,True
21,water,22,-0.4388319037288637,-0.1801945963971058,True
22,water,23,-0.4121716586415611,-0.15760090045140884,True
23,water,24,-0.5113756795015101,-0.19504130004350545,True
24,water,25,-0.5342329079610809,-0.19231314380096695,True
25,water,26,-0.8131139440920063,-0.2619712574682197,True
26,water,27,-0.904689706268346,-0.2631599277138961,True
27,water,28,-0.939062070531964,-0.25849387753668546,True
28,water,29,-0.9804341077051641,-0.2794085564393946,True
29,water,30,-0.7049782986597741,-0.2530908916219983,True
30,water,31,-0.791231831691294,-0.27727665514916416,True
31,water,32,-0.9232348805080444,-0.33551513647824377,True
32,water,33,-0.8748252315247741,-0.32185393149387737,True
33,water,34,-0.8161229501692884,-0.30591007180715746,True
34,water,35,-0.7497270068003018,-0.3191435286924457,True
35,water,36,-0.7732419812540292,-0.29669569527094714,True
