index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,accountant,architect,artist,attorney,banker,bartender,broadcaster,builder,businessman,butcher,captain,carpenter,chef,coach,cook,dancer,designer,doctor,economist,editor,engineer,farmer,filmmaker,housekeeper,journalist,judge,lawyer,librarian,magician,mechanic,musician,nurse,painter,philosopher,photographer,pilot,policeman,politician,professor,programmer,psychologist,scientist,scholar,secretary,server,singer,soldier,surgeon,teacher,therapist,translator,waiter,waitress,warrior,writer
Travis,-0.5370941057076689,-0.3479800023504093,-1.3275194445000382,-0.0035147595183102017,-1.4372046218236978,0.3742922273043822,-0.1422858489235567,-0.27359545197275126,0.16701755747216893,0.4606777207253979,0.4561816049336119,0.3298632231014276,-0.6214799067369375,-0.5211794283046874,-0.23170124851637594,-0.08309266648645912,0.3853997115624918,-0.41675634545990436,0.5330388565230841,-0.2460054954625351,-0.46358666031401025,0.3801937609339775,-0.3791936366047361,2.4254161417989915,-1.5387808431722507,0.39409714809231927,-0.006544406906718023,0.7383290981578435,-0.02425241825048576,1.2636297595412207,0.6042106396089393,-0.8188689602124609,0.3228637278950469,-0.18585875828278386,-0.9506417758443858,-0.29463877625142015,-2.172460209602584,-0.8806257730678179,0.2556536719149016,-0.05356445225199193,-0.8284118709287573,0.005078473306686435,-1.5932250247222535,-0.8076568625393108,-0.2778598506834735,-0.8059675482808792,0.05039598167038421,2.6865429356061052,0.0237461234837764,-0.49921676922277175,-0.8786067737951918,-1.0984966230479691,-0.174644263469658,0.5379962868738802,0.5910491916998402,-1.2019457222516774,-0.9328871702575753,0.03910155348417854,-1.0172767567069767,-0.8014159227345469,-0.9272372527879651,-0.4388743272792694,0.14758580794939466,-1.089044965905698,0.15871344294609943,-0.18880816244279194,-0.7572237832270831,-0.2929702858895841,-1.995330095048825,1.4037704106204834,0.8388512423163463,-0.18315147249705116,-0.8283240357901535
Hadley,-0.5754942942920038,-0.0018892350088035618,0.2981252734246595,-0.5469105418667324,-0.4010721789826538,-0.011596687575071969,-0.3520540076425491,-0.19668743438718245,0.22703575204955517,-0.2863954715861468,-0.6092192204601381,-0.30367388628006464,0.19156163813700974,0.24668971224851277,-0.1897348583614226,-0.0719064699965927,-0.16318380598047585,0.5515051215801875,0.7054417967700007,0.07539613015792977,0.34712481740689977,0.6887254598553286,0.2724405517627472,0.4557969540422053,1.03637991560761,0.2666558880134487,0.7785402938067416,-0.3557986608245704,-0.5372381750714283,0.2314758095435816,0.45927318303442854,-0.26551536569812223,-0.11463330848053258,-0.16869641586704123,0.11786788688969023,-0.7612797681547396,-0.40536916068087725,0.12691397296377244,-0.17011498995828522,0.5027741330443128,0.38520035329893293,0.414371242383736,-0.04008189105844359,-0.042546875753638115,-0.011168975992084114,0.4154036066088518,-0.24213654678548235,0.05796852924994736,-0.005738871142501589,0.3192718100420975,-0.00334358951812745,-0.9912095435812648,0.18571429491174662,0.5171878482944586,-0.6921653859161762,-0.7420816791926897,-0.46574159245246133,0.29038278644890936,-0.14733993317797958,-0.5764995336650829,-0.14887609482914252,0.27361578894377214,-0.13900691061688938,-0.39568277497714316,-2.0827921045697293,0.033984859993587024,-0.23053292348508225,0.4929267948291325,-0.7076692214419333,-0.10532793608563794,0.5259140490809762,-3.3286928885027294,-0.07003016487128468
Allen,-0.08810285175358534,0.05188466243928987,-0.4511729449218386,-0.3555098755926618,-0.9499094430142301,-0.021319789776423147,-0.2230833704784813,-0.46703453201481004,-0.3692299951864709,-0.0008218827209553369,0.27507683418795736,0.19412661672291195,-0.4828167849748319,0.0987022573196054,-0.681425249574165,0.06195672724586936,0.35497723374938,-0.9068961274810013,0.8333589034679371,0.03065736623869016,0.1851709701389833,1.0004736868493014,0.22134248551637498,0.7742547848392133,0.7885211031849926,0.729134286817723,0.9744315181614986,0.13919754659578856,-1.4641750477431983,0.7936235289242639,0.49298085912999423,-0.4879442056633258,0.05764318481298962,-0.24166291027068648,-0.0551609646242162,-0.707111970021169,-0.24238596342857635,-0.1336147126422941,0.21198392016069253,0.838486847432464,0.6213693971510832,-0.14697181774289675,-0.2688777968479412,-0.4551133799145413,0.14774427631135295,0.06714847981489624,-0.17579104074875943,0.5338610351976968,0.5205944010072269,-0.03553372129549586,0.19520282721969978,-1.2233082100371362,0.2780454562703686,0.3958918826976101,-0.3374283635430162,-0.9870550270260322,-0.6008517910946373,0.347920868103655,-0.11384428565540472,-0.8321843865436317,-0.35549684411230803,-0.16269089660650807,-0.44186652924334435,-0.24065544710727313,-1.9315180776186627,0.09860647056775444,-0.2168791789742732,0.2488202669824444,-1.0407728183624234,0.21190348708092546,0.3088335126222408,-3.6149645769102725,-0.11754376933880874
Lance,-0.20559957280863317,-0.2520926555214047,-0.7164507869643599,0.02395669990092331,-1.04401852207166,0.11016713635147152,-0.08254747526050696,-0.4801778606298422,-0.28936112408912773,0.06497970356156842,0.034488002057899286,0.08132226867034309,-0.8652312029289173,-0.5419269409500644,-0.7764899579496582,-0.22294112933150054,-0.14032224637198576,-0.814833678773279,0.7620533196777254,-0.02024943188949924,0.020277987468632082,0.6263144879689969,-0.04813931358045087,1.8048941684957516,-1.5095306547134983,0.2979397404588078,0.2103341896458948,1.384813506006769,0.8184351081592356,0.9194518519403285,0.007468789312930466,-1.4904140229434675,0.15353680590411356,-0.4407541664161214,-0.7357545845551448,0.11153828910929532,-1.8284869478443346,-0.4760861383116165,0.7665696767947537,0.4636513484600252,-0.5705087302452586,-0.34153340509481356,-1.2985719115350967,-0.693542093965617,-0.18006763448585494,-0.5458866066149543,0.5754417340099295,3.071627827193594,-0.31372475531434263,-0.5009859213681365,-0.6139999744695175,-0.6570487045629398,-0.2939674091941618,0.99864190656597,1.5042739597418364,-0.8621543492131724,-0.39124382605769326,0.3412786831166079,-0.5222093173425062,0.09518612433138054,-0.727247736980632,-0.5577461149206089,-0.21476523844891107,-1.3255187759970732,0.7993937027931728,0.5672984441979599,-0.8119692779806303,-0.5575849192108657,-1.6902322716391436,1.1234912218146824,0.20917189094515548,0.061533363894529264,-0.4849519439529756
Mabel,-0.37406357775663546,0.8648678930403263,1.108031379251349,0.1735633814660547,0.7865308530513336,0.09840301884472882,-0.7080558186614146,0.38246455892949477,-0.0663698407480516,-0.3272663891068421,-0.131447226146335,-0.09006995648775466,0.3538142748006948,1.0695859827106708,-0.5616066233077279,0.7400695163020045,0.7060284610006505,0.5595408040363851,0.24235750106091794,-1.2227736397303977,0.6249602510345657,-0.28043864473762414,-0.7934602139099859,-0.02718469938801112,-1.3977004128369823,-0.7529219698039961,-2.1466586382350514,0.27358945683329333,-0.602730162334875,-0.7098671341169509,-0.3887176467049453,-1.9507149903564815,2.1668192676114404,0.9404220168992037,-0.9832480417478929,-0.6898737172327273,-2.172401994493052,-0.5066826345373519,-1.225519794072381,-0.5233672249770696,-1.4864488996745688,3.383506259900163,-1.5087596635664382,-1.0668447308306213,-1.1161996370749816,1.0075904086451049,-0.6933302600988624,0.5489188208775669,-0.5792857678741575,1.5953638350365515,0.15883017772451374,-1.3911783936057474,-0.7046304333680029,-0.7932175334240195,-0.9784396699431227,-1.6175565347531717,-1.165748050933655,-1.9501699488529156,-0.9486558862686589,-0.6403121913536166,-0.7391530309770644,2.184893107929135,-0.08254877607007702,0.34883191251069917,-1.0666696358285936,-0.7850340945488786,0.16049322106413996,-0.8618458664860112,-1.3119174604359516,-0.7573146337153519,2.628377661578149,-2.158026686188461,-0.3727034755687084
Lisa,0.040745385658120865,0.5327985748016366,-0.10721791672488136,0.5651249058772709,-0.08098508266370219,0.3018923675857168,-0.31703836169845995,0.2778664135862862,0.4487915757972091,0.01600324864901136,-0.3399488172012913,-0.21904777879847095,0.298416625243253,-0.18164006333224328,-0.06371148674763676,-0.2830206090048559,-0.5790337747082703,0.18528755678412187,0.30393906661901127,-0.7725163459237225,0.5526919109137172,0.2864133982804085,-0.9094950251247255,0.9736530423831062,-1.7743302973940254,-1.2166554275181678,-2.1109476590454874,0.003956195760747993,-0.7320894916280455,-0.9130761002433717,0.44536321592949124,-2.0925777804475008,1.1179403910392125,0.9659412478751345,0.08825824703838861,-0.15689806140147974,-1.574906549288841,0.05082269186982229,-0.9419891411784093,-1.4707749696942705,-0.9212739101113683,2.1585830535384973,-1.1893353894767378,-0.8050034481251902,-0.5822865807502194,1.1707671073906736,-0.33092738942379685,0.3198748065619471,-0.45341605968029663,1.1756593176965868,-0.027880090741803677,-0.4969892755841388,-0.21902005271630748,-0.8095398132427982,-1.5089078081548002,-1.2545823414311001,-0.23168028028594348,-0.3103351019583868,-0.04449659631504815,-0.20663222100316767,-0.4269909002859339,1.4104621288723624,0.37977545686624326,0.0031770006427980137,-0.6411394339061597,-0.44711039833349336,-0.25742643823784106,0.6966008833930254,-1.0762639392472415,-0.3210498068471838,2.6537765007553547,-0.8710379671551919,-0.1910049293738507
Curtis,-0.899784437587823,-0.005955761802311141,-0.23535762767178056,-0.8847534237122257,-1.0703101846319265,0.1936846525742736,-0.26177799130335466,-0.41203705016567843,-0.6038061083655947,-0.082985532243669,0.08444056534490707,0.24204622732742953,-1.151704627937027,-0.325501237733377,-0.7293834080583348,0.21131038014743328,0.4013781289280243,-0.8987233599313956,1.0337862842560936,0.22106310679081248,0.525124725038969,1.4293751076085401,0.43086705072925263,0.9043860351494718,0.796019521420386,0.8627063910197034,1.4732166081054572,0.15831045404093552,-0.851277034776058,0.9962727539791829,0.5463118923995155,-0.2125014142031169,-0.04193219046795121,0.059999983313614114,-0.23859278608603465,-0.7502319195012614,-0.42529657692999184,-0.23872278617000747,0.5827139747180489,0.8062074108207272,0.7357648447206439,-0.7658510018165945,-0.37118550669435557,-0.18190601575894869,0.3280690945355919,-0.25949559161198843,0.348963679467597,0.652496938575588,1.0080940424310492,-0.469350010298882,0.2341570443746136,-1.3139402401665274,0.46664827542821025,0.5439811845574211,-0.18252546465351793,-0.5726167776754718,-0.717396563510113,0.2924949765149155,-0.19919240261376728,-0.7203586570658751,-0.6294075243165747,-0.4330366097591118,-0.8341666123315954,0.21075222111468989,-1.8275907531103988,0.27990114757490303,-0.4186498051326153,-0.08223284053325311,-1.5376928048274234,0.113431326312202,-0.2582847512354586,-3.2721300105861526,-0.10488958311954717
Carole,-0.7532064140995197,0.6174141284752338,0.33553853374248926,-0.14062799513956684,0.010994549807093705,0.04330817088134582,-0.7234614483912353,0.2098477584504536,0.19911678328739227,-0.41326543639738783,-0.5523168349201272,-0.2592654339481766,0.24128548112656273,0.6048274028574415,-0.2226674603674421,-0.08362283998927197,-0.40999606919669096,0.4829063398715047,0.17834120488824123,-0.8272465155508616,0.5658196031855037,0.2594936416125027,-0.5046543657561359,0.6294293381529442,-0.9299433775156972,-1.0192375180821382,-1.7058939604535295,-0.05980928264951465,-0.5850021908143118,-1.0639815191375004,0.5697828750097484,-1.3987500598845841,1.09901477799939,1.0711015700125506,0.31745514940965003,-0.37710851710227095,-1.5676727242723347,0.2253572941570591,-1.0539565780615796,-1.2895969787398691,-0.5843071556960812,2.043944624987538,-0.7962651872165833,-0.6067186314172659,-0.37517042638485404,1.1437732578546103,-0.42761627124819573,0.03304721093997048,-0.3786591924193218,1.201997383552998,0.27089762181231086,-0.42347535560887295,-0.3186244571600449,-0.45290083739537723,-1.6118184024045803,-1.2787133114767697,-0.3327025703293046,-0.24827710981239023,-0.3433785582615387,-0.3518419221241371,-0.3408900353524414,1.6833185932505892,0.5211535429243738,0.34473568341724137,-0.7404680112820519,-0.4408381834243114,-0.02664362228299389,0.3747240094576539,-0.5501118896751058,-0.5805875676491206,2.20003663877193,-1.0493399206445975,0.2595417394518046
Isabella,-0.26566218698413085,-0.23911394977344708,0.3124986711381347,0.06346143857394612,-0.21872629444202554,-0.915759452154687,-0.5433752162504253,-0.31142758472919,-0.0967690529357155,-0.2554298293056617,-0.4365048081271045,-0.9854623669988329,0.658640838391404,0.6538958640239595,-0.35488443285296695,0.013540159310088562,0.22732476635241078,0.9598660472404681,-0.024792027004694992,-0.6920457202284201,0.5056231302793854,-0.3804297593325468,-0.9278108904058675,0.4310184555128098,-2.3153825284342306,-1.1490649912344566,-1.977986769502926,-0.11578947750237674,-0.3239700887999102,-1.0892609183715436,0.48167958980362097,-1.9112081428260645,1.1698219445770246,1.054437955761692,-0.004360720063339823,-0.21962799045253117,-1.464276455914386,-0.3114297612671737,-0.8831904571219142,-1.1863277987781229,-1.6112849605468853,2.563242673643678,-1.2147662916975115,-0.5590749054272398,-0.7286365438670906,0.9312760919113758,0.12736772480879555,0.28417438920100074,-0.45623843106712847,1.140979249946531,-0.1130287169266534,-0.1606267466292254,-0.8561219993880331,-0.8428639318677119,-1.6227074696600552,-1.3387079580109693,-0.5545762901632401,-0.8357709635237334,-0.8122069297656719,-0.5056571222998234,0.056815051259496464,1.3807915325942077,0.5213148508057642,0.16737484958179932,-0.42611580257680776,-0.767454384871079,-0.20284638986028491,-0.058510865052161416,-0.4365811752414415,-0.7018182271296546,2.096047386922417,0.09014808292319483,-0.40789069881838347
Aubrey,-0.32351278870757455,0.3974528265232023,-0.013919342316511627,-0.36018045635284457,-0.7129900600684422,0.17271599963399248,-0.6802438391543202,-0.07865607221394083,0.17288107852473744,0.223837997622536,0.11765723852001159,-0.2023278359112673,0.13067442310305571,0.1101102055561969,-0.25027101573026905,0.16359190606637314,0.4651833599139841,0.23129317112007186,0.7302528706504686,-0.008737231148838943,0.33066230571597405,0.5007316127398472,0.05678925998318926,1.18392996813399,-1.2480227708630283,0.04168604241986753,-0.2225481710111813,0.9532053018563423,-0.05506098073427501,0.7989303213738129,0.6743346485078732,-1.3183266813791092,1.0815421778570882,0.2947531344999414,-0.6194013563045069,0.1935138026134415,-1.536269637183544,-0.5888453677410169,-0.19309536144226003,0.23566079464013792,-0.772533055293935,1.4895268665723915,-0.9570750280524628,-0.4268410740425421,-0.16770091166691328,0.2695982148632838,0.26990733664706534,1.851666053626253,-0.2016470629923124,0.4961331692210075,-0.0968952617861993,-0.9589623900086383,-0.016645906585954533,0.5146546649171111,0.7872377144145307,-1.0500309166361488,-0.42901546177620437,-0.6644945167403197,-0.3807991249968682,-0.3252995111655216,-0.4894872438033849,0.5995078396497713,0.14692490329121236,-0.43088769703897706,-0.4090823892498784,0.30041801894213427,-0.45268401959768334,-0.1285999928287607,-1.4093091256289476,1.4498956253152688,1.2969684184134906,-1.5630556123066652,-0.34517062743546184
