index,occupation_isomap_x,occupation_isomap_y,occupation_tsne_x,occupation_tsne_y,occupation_umap_x,occupation_umap_y
water,-0.2981213725125391,-0.8787794826710461,55.56055,-125.66444,6.2166786,1.7475812
coffee,-1.146139305099085,0.6635029156355374,142.26393,128.07484,5.6121683,3.0793293
tea,-2.3158874002098235,0.8557765397457752,248.842,258.68222,4.2777076,3.9504507
juice,-1.5419346292316762,-0.635677269938975,402.32132,72.4751,4.5425377,2.4642513
milk,-2.4705402491598156,-0.4284332020219269,354.8214,202.7458,4.4626327,3.1612108
soda,-0.17979471282219214,-1.1475700034700642,-17.270023,-221.61095,6.5099454,1.3185989
energy drink,1.0518464133157097,-1.0358535547865488,-145.77121,-181.34947,7.1082478,1.632082
milkshake,-1.959592249332666,-0.7542874932467778,296.10776,107.34918,4.0391383,3.1423826
smoothie,-2.1651509409206606,-1.0396448304473722,521.0431,91.21976,4.0911202,2.5802836
alcohol,2.0723357764668506,-1.3317024319614141,-244.7095,-196.80183,8.882101,3.0669634
liquor,4.571892145956307,-0.1902098332718383,-509.67294,-321.68024,9.702865,3.839805
beer,3.7322624565494804,0.3775334370432205,-511.18225,-216.51575,9.365284,4.1403403
wine,-1.3186390386551212,1.4828208593696939,97.335434,355.801,5.322021,3.7839882
cider,0.058759946876888736,1.0431729434735284,-43.905117,93.320465,6.749403,2.8391092
vodka,0.201549520162608,1.0960217614328134,-119.41951,194.87685,7.0614057,3.1920252
rum,1.237823859302404,0.6987635429794585,-152.82317,63.69669,7.748205,3.0446436
whiskey,2.8326823598136452,0.6771356400567325,-412.33905,-208.69995,9.017646,3.6702027
champagne,-2.3633525805003126,0.5474304620792027,211.90825,360.2314,4.7577324,3.7266674
