beverage,religion,direct_correlation,indirect_correlation,same_correlation
water,Buddhist,0.4393861551341604,0.0040447699454043175,True
water,Christian,-0.2263704106642956,-0.15040250478769895,True
water,Hindu,0.3824586174546861,0.030898249255418005,True
water,Jewish,-1.4347921871707527,-0.1139040145406362,True
water,Muslim,-0.20408024414775391,0.10308280561458358,False
coffee,Buddhist,-0.4086122155024233,0.253656112191088,False
coffee,Christian,0.15444793971663576,0.11753876082130785,True
coffee,Hindu,0.0819344719532911,0.2628551538426672,True
coffee,Jewish,0.2456582680471516,0.24523195109564574,True
coffee,Muslim,-0.7021391069503666,0.023678106930637176,False
tea,Buddhist,0.7995168157651924,0.22507538354499154,True
tea,Christian,-0.5469835646139026,-0.0705150178077075,True
tea,Hindu,0.6781014469041586,0.13838658362336356,True
tea,Jewish,-1.0427315980525458,0.14705728504842602,False
tea,Muslim,-0.4675092534474144,-0.022268220095149244,True
juice,Buddhist,0.3720841096809907,0.1913484711337912,True
juice,Christian,-0.14838109902093086,-0.10330558737908724,True
juice,Hindu,0.15293118530829908,0.152843196357901,True
juice,Jewish,-0.4901669575589386,0.012338126846032941,False
juice,Muslim,-0.8203858395062673,0.13597448376069532,False
milk,Buddhist,0.4059428519101948,0.23795836026515435,True
milk,Christian,-0.21895631415154465,-0.026422759962516317,True
milk,Hindu,0.31738518402512506,0.1904261103865136,True
milk,Jewish,-0.8864406500018608,0.16013935621608896,False
milk,Muslim,-0.6816779704384757,0.03188141326294218,False
soda,Buddhist,0.17191902609775853,0.2681137709921378,True
soda,Christian,0.4279294876924087,0.19080794168729392,True
soda,Hindu,0.1145224653137826,0.345339970148364,True
soda,Jewish,0.13875366764108993,0.040501059571301415,True
soda,Muslim,-0.5748989645172166,0.13861521463636825,False
energy drink,Buddhist,0.5227638973377664,0.09522138417118273,True
energy drink,Christian,0.26329979247184443,-0.032943297773562724,False
energy drink,Hindu,0.5620268426046601,0.1949563553386486,True
energy drink,Jewish,-0.8199028776012549,-0.0969514077602564,True
energy drink,Muslim,-0.005384936919023871,0.2808279002474072,False
milkshake,Buddhist,0.1991173978184332,0.2823138992903904,True
milkshake,Christian,0.2447564554982272,0.12373700269919137,True
milkshake,Hindu,0.5697718574504953,0.3016484840617643,True
milkshake,Jewish,-0.1150155042308861,0.21260117870746792,False
milkshake,Muslim,0.08003904871827937,0.05185147924313888,True
smoothie,Buddhist,0.07716728068752217,0.29462703718551464,True
smoothie,Christian,-0.07036197697525501,-0.07349331198280815,True
smoothie,Hindu,0.08347603926241152,0.28652076425751644,True
smoothie,Jewish,-0.032389005684976616,0.09517576767923198,False
smoothie,Muslim,-0.6630045640627952,0.2809959466882975,False
alcohol,Buddhist,0.20063292273372466,-0.04397853614468775,False
alcohol,Christian,0.16897325781509862,0.03801410421263965,True
alcohol,Hindu,0.333084843524195,0.0571758301516856,True
alcohol,Jewish,0.058698611135084074,-0.13218220157567062,False
alcohol,Muslim,0.23280292656909884,0.1944489020625473,True
liquor,Buddhist,-0.13013132572582953,-0.1248251141873351,True
liquor,Christian,-0.1103819695663964,0.2093614514328702,False
liquor,Hindu,0.3554136787312941,-0.006771598766161245,False
liquor,Jewish,-0.2629887666400867,-0.13083860589042326,True
liquor,Muslim,0.1874960181443137,-0.028077349214414103,False
beer,Buddhist,-0.6216701696541411,0.09761211485223673,False
beer,Christian,0.1978593491082599,0.2928296012377179,True
beer,Hindu,-0.2481492650891447,0.17070355210355082,False
beer,Jewish,0.25510683080149826,0.028109681003865003,True
beer,Muslim,-0.8063130886141678,-0.030812453084953038,True
wine,Buddhist,0.06353937757027675,-0.1316694597480431,False
wine,Christian,-0.03702101770812823,-0.24262155862347065,True
wine,Hindu,-0.2252875655769285,-0.2923356046899727,True
wine,Jewish,0.2554569704754802,0.0416928485816189,True
wine,Muslim,-0.38158535957661066,-0.10380992350185464,True
cider,Buddhist,-0.09204028524633708,0.05663116231073261,False
cider,Christian,0.4761154738901175,0.08345154955438072,True
cider,Hindu,0.03994633555705502,-0.015123962247696129,False
cider,Jewish,-0.24518153809149898,0.025162619389241227,False
cider,Muslim,-0.8912286588087485,-0.28723035508756606,True
vodka,Buddhist,-0.3421311436983122,0.02350307106472799,False
vodka,Christian,-0.13722676495153907,-0.15432234437186945,True
vodka,Hindu,-0.6997344451396151,-0.07877436382175762,True
vodka,Jewish,0.5946173077622555,0.1773512482754949,True
vodka,Muslim,-0.5765923631977077,0.12353105037216484,False
rum,Buddhist,0.02728482193649613,0.13766440074733294,True
rum,Christian,-0.34709144209375065,0.16203607767691758,False
rum,Hindu,-0.06014424760591903,0.12023975086626867,False
rum,Jewish,-0.846605859562134,0.004743142410044008,False
rum,Muslim,0.3964056091751342,-0.06773083016401618,False
whiskey,Buddhist,-0.9002338289265078,-0.13363385689119378,True
whiskey,Christian,0.10933297910956083,0.2416052034941253,True
whiskey,Hindu,-0.20717529316321487,-0.0584943249857206,True
whiskey,Jewish,-0.20638843690869454,-0.07983753129127161,True
whiskey,Muslim,-1.0592917469700736,-0.2687440526081261,True
champagne,Buddhist,-0.4416921638478408,0.02087023701140073,False
champagne,Christian,-0.6570231858835283,-0.1632042175846172,True
champagne,Hindu,-0.7403127486567984,-0.10700945139775836,True
champagne,Jewish,0.059317805571642734,0.04064746665159191,True
champagne,Muslim,-0.6369643611535504,-0.017607159462336205,True
