index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
water,0.10912267800125634,-0.3013682094276185,-97.68627,173.68616,11.704813,11.81881
coffee,-0.25952594144977276,0.1444027927104744,15.450742,-144.44176,14.161897,13.043892
tea,-0.11977023485786516,-0.052157247843796814,-63.191288,-83.761955,13.940495,12.045655
juice,-0.16230952018791,-0.25717994748385,-78.803185,0.2446311,13.010099,12.182538
milk,-0.17721700397060436,-0.019595290874366247,-18.897194,-66.408554,13.809398,12.608214
soda,-0.3601288207075251,0.1937901940718726,105.78143,-142.08066,13.929604,13.600134
energy drink,-0.15690022652887986,-0.20772727222207907,-89.881165,71.66566,12.260604,12.513425
milkshake,-0.316890617047808,0.1274285249084637,54.512676,-114.10011,14.428577,13.272179
smoothie,-0.3966112310034764,-0.17712763025245465,-140.05371,-19.694862,12.992695,12.771302
alcohol,0.11432030808836724,-0.0731286789079617,-60.79758,129.25194,11.803656,12.442649
liquor,0.27125869261681446,0.2560926060941639,238.54074,115.73746,13.314933,8.995373
beer,-0.05495258843109787,0.42427175817517704,174.07176,-1.5711071,12.865811,9.410041
wine,0.4623590947638464,-0.3261197630274924,-171.44147,284.95248,11.486351,10.92746
cider,0.3623455547918657,0.2307719440591768,144.0082,121.934204,12.47625,10.039222
vodka,0.0786141410319341,-0.3171368819526589,-83.87254,276.66345,11.93051,11.245302
rum,0.005971749266078791,0.27190966180513787,149.53807,36.10862,13.053758,9.993031
whiskey,0.3871656699825269,0.3519381723633568,195.88698,148.76993,13.429359,9.479202
champagne,0.21314829564224969,-0.2690647321955449,-123.78995,247.45622,11.3775,11.339502
