index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
water,-0.6028568108528899,0.04035663180628,210.50876,5.112158,7.6444426,-0.2945807
coffee,0.4673351038391166,-0.17340184699078873,-131.24702,82.24568,1.1747527,0.8534854
tea,0.17310700732131495,-0.5454655922760783,-37.231445,109.99651,1.4680711,0.18515381
juice,-0.5500128692346576,-0.11280739383389221,240.63197,37.02245,7.223318,-0.8795251
milk,0.06690427537381044,-0.550035732596736,-43.59525,150.61705,1.6502352,-0.21719018
soda,0.035618724529735135,0.26058166165063396,90.152794,-0.6031471,4.1356664,1.0395595
energy drink,-0.5065866422145829,0.3323697683610502,164.85101,-59.16885,7.093071,0.85094076
milkshake,0.23613548060486358,-0.3117395099452497,-89.853584,115.075264,2.0386274,0.37072584
smoothie,-0.7638223735461727,0.004576357656617766,207.35269,72.77876,6.8398433,-0.47319826
alcohol,-0.6418768928977411,0.4595794804406009,162.05128,-100.91675,6.979773,0.39079052
liquor,0.43565057180590766,0.6660770549881257,-178.31985,-93.01075,2.2028084,2.0950766
beer,0.7395093673390211,0.6132056612719885,-140.93921,-77.21997,1.9279463,2.3567576
wine,-0.3875778223822187,-0.25377412099238666,296.7267,35.773323,7.874064,-0.9223397
cider,0.3737206337396656,-0.20471143690236807,-79.061295,61.877235,1.6940396,0.7386584
vodka,-0.3738505886168673,0.2458285293677618,155.92996,-0.3302729,7.5932274,0.3855314
rum,0.6972813250832999,-0.15931681761168856,-132.02802,28.797434,1.2530743,1.4448315
whiskey,0.9789130228095498,0.01892870384194713,-151.76677,-30.237934,1.5232486,2.0198343
champagne,-0.3775915127011538,-0.33025139823581745,281.16483,-2.4723353,7.4423056,-1.2072003
