index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
Nigeria,0.5761635533589279,-0.1613845569346982,1.5156882,115.57275,9.256576,11.25821
Ethiopia,-0.2606266905498141,-0.25510626379318846,-0.96420443,-32.20167,12.25545,3.9645104
Egypt,-0.08120216459275888,-0.04890436355449056,-19.68145,-17.221497,11.240009,5.0060844
Congo,0.026451370084894888,-0.4636991946684341,-64.92365,77.47528,8.819373,9.409234
Tanzania,0.2972176644312935,-0.36286321069403454,-58.15881,89.23788,8.727276,9.858137
South Africa,0.8401649872509278,-0.03921491919025914,4.9439774,151.73882,9.139583,12.388873
Kenya,0.4870726574517006,-0.36480128761430913,-58.53475,104.14839,8.738197,10.193281
Uganda,0.43949450143837404,-0.2803913903607979,-51.70501,96.335175,8.940519,10.066866
Sudan,0.07640722396408961,-0.16790753534952335,-36.307957,3.3052225,11.175211,5.4826446
Algeria,-0.7839279839200587,0.021745239621006527,-20.402115,-140.04352,12.656005,1.2600943
China,0.3148049742560938,-0.143828609377837,-33.330616,93.53974,9.314806,10.252636
India,-0.830680896081805,0.10367839292591649,58.87987,-126.92212,10.217449,1.0424511
Indonesia,-0.5379789751077462,-0.12206147054314269,72.169945,-144.59407,11.399245,2.4871647
Pakistan,-0.7851381602137604,0.04880320808625343,66.86865,-121.34188,10.089365,0.94328713
Bangladesh,-0.7815416640498664,-0.07161465434504187,68.211815,-132.0096,10.240977,1.2767552
Japan,0.32154500813643944,0.38166722986070034,42.897068,204.55467,10.337972,11.0158415
Philippines,0.05841152062902433,-0.031163706212819157,-8.829437,6.041048,10.699809,4.180388
Vietnam,0.8003096409729046,-0.12377872214130833,3.2649045,130.13463,9.598691,11.907071
Iran,-0.75411808851786,0.17506899930722644,56.53466,-109.59517,10.630406,1.0945511
Turkey,-0.6280523504247205,0.1456840044757981,44.58701,-102.835976,10.989651,1.2042243
Russia,-0.5371145095732834,0.173242009318928,39.221,-94.577614,11.237922,1.5663369
Germany,-0.6643744888957815,-0.0086440065785864,-37.293232,-117.139725,12.920569,2.0328457
United Kingdom,0.5618102000608212,-0.07979991136840582,-17.399776,139.73737,8.9724,11.977576
France,-0.8316579181988902,0.026870940407536233,-26.484793,-147.38052,12.806654,0.9912839
Italy,-0.9043229174633036,0.04421365942944123,4.837275,-145.7092,12.147918,1.08025
Spain,-0.6399757958338972,0.037033504319983646,-8.50651,-129.73015,12.245622,1.5684745
Ukraine,-0.3672565523394186,0.17331049000124826,34.732822,-86.04035,11.1042385,1.8115816
Poland,-0.6819611065644009,0.00018147838778280898,-29.791231,-124.7868,12.950158,1.9126269
Romania,-0.7270036484184662,0.06027354233405328,1.180654,-133.01712,11.961201,1.205977
Netherlands,-0.8357859998048809,-0.17995094770112247,-49.085606,-123.21062,13.1003065,1.8244531
Austria,-0.8558141437896134,0.006179091043803484,-17.950165,-153.37683,12.911585,1.1371107
United States,0.9536281778642044,0.7464096065834825,36.49264,171.72481,10.445939,12.322302
Mexico,0.05250595038359211,0.1998668502379608,-47.63621,-17.24437,10.587736,5.2952175
Canada,1.0865578763636805,0.12402890982892899,15.23538,162.29971,9.439055,12.794033
Guatemala,-0.133464261775766,-0.02284013745628414,-44.169075,-45.482834,10.771848,4.054763
Haiti,0.13875743417961767,-0.21613673762023325,-34.004704,76.24919,9.513535,9.797253
Cuba,-0.27994881849052233,-0.15518906851044856,-32.01715,-68.6322,12.112844,3.6641133
Dominican Republic,-0.27121045908806907,0.02753648975351068,-6.29251,-56.096222,11.223383,3.677368
Honduras,0.27430552806106107,-0.15482645868792655,-26.403088,83.5522,9.5903425,9.938573
Nicaragua,0.25899018968903964,-0.04992153807934715,-17.8165,84.63729,9.8484335,10.12217
El Salvador,-0.08971448561260255,-0.011642782225312993,-50.56787,-40.58094,10.792107,4.07183
Brazil,-0.33640242673483156,0.10390065208923821,-8.111585,-66.24885,11.457913,3.3180056
Argentina,-0.513570389595837,0.045330642795454235,-16.50359,-102.810936,12.315179,2.2344415
Peru,-0.09371301824316285,0.10213022471274778,-32.53706,-20.797045,10.823609,5.0132194
Venezuela,-0.16062372748242124,0.13083133218422915,-31.209774,-31.084463,10.97192,4.5597
