index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
Nigeria,0.41456693303444364,-0.029519593671218692,-57.76645,120.54164,-4.490088,5.9407744
Ethiopia,0.03694373901294596,-0.18015252047218486,-33.620445,5.217807,8.786431,7.2644095
Egypt,-0.06276451127113944,-0.22937926949841114,-70.703156,-39.23279,7.8403387,8.8786955
Congo,0.2926994963162679,-0.030530027182656606,-17.612312,97.76196,-9.199629,7.1950884
Tanzania,0.29120939075527663,-0.02611772661230924,-13.3646,104.00547,-9.282352,7.2872896
South Africa,0.1732680122743337,0.40098554569573513,43.47223,107.22637,-7.5591664,3.4741516
Kenya,0.17019805328819554,0.31409834886688387,37.881554,113.14644,-7.281104,3.2618268
Uganda,0.2819894413766191,0.12640676406179271,5.8121934,110.66366,-8.925032,6.731333
Sudan,0.043676355658660654,-0.18302576000256235,-27.382727,1.6330533,8.92824,7.1941934
Algeria,-0.2547171586716741,0.0448634234733511,42.289314,-80.07195,12.031633,4.8402867
China,-0.1049996014332515,-0.16363666886905154,-11.62882,-42.654163,10.489974,6.6363826
India,-0.4417696840573036,0.07695597662421699,86.38437,-131.13087,14.377818,2.656482
Indonesia,-0.13162087854312474,-0.12049800821864746,4.265253,-55.875916,11.040576,6.151872
Pakistan,-0.5614945051713187,0.16339671136354703,87.83764,-147.13199,14.269532,2.3962963
Bangladesh,-0.37487286825701976,0.16777065826782697,65.99695,-122.11167,14.130667,3.710847
Japan,-0.09844894292097538,-0.2749351328049112,-65.51879,-49.55772,8.096734,8.631296
Philippines,0.014742654952055725,-0.17090833254067847,-37.574944,-16.088182,9.234729,7.480982
Vietnam,0.3053559826581863,-0.022430495855788556,-21.585384,106.780106,-9.33922,7.220488
Iran,-0.4949714768481881,0.11361045257340453,88.67683,-138.59349,14.401812,2.386901
Turkey,-0.3694386240361447,0.030643580563986233,83.01277,-123.52129,14.091843,3.0612803
Russia,-0.22131247460103348,-0.08192934655390258,62.815147,-67.45468,12.409525,4.889966
Germany,-0.23330963128374482,0.13507150789189892,50.345398,-91.595764,12.745143,4.348889
United Kingdom,-0.006783910999388177,0.3006662039880976,59.676136,133.69823,-6.3036013,2.1891682
France,-0.3333125475812394,0.12400335547601148,70.12053,-113.51538,13.988723,3.8854616
Italy,-0.5479378492184749,0.09606987491610157,96.748634,-138.61548,14.194311,2.4751227
Spain,-0.29068687680532096,-0.00470129694584893,54.53723,-71.57406,12.334011,4.907869
Ukraine,-0.11240732629827145,-0.20772631300006403,-63.96461,-33.519638,7.996915,8.73475
Poland,-0.24976969997252266,0.0458303215454877,49.30414,-80.9632,12.387867,4.603246
Romania,-0.30267824342860605,-0.06102942994855638,57.424644,-61.054516,12.574425,4.9772243
Netherlands,-0.2555306872305152,0.187008952383545,56.89538,-105.71319,13.791302,3.9074278
Austria,-0.35280247789712377,0.13968084345217685,63.142937,-115.19249,14.153682,3.6684196
United States,0.30825183252237215,0.30268270318927176,52.7671,100.898315,-7.735315,3.6266003
Mexico,-0.07902263635044138,-0.24690222997448272,-61.762024,-43.012592,7.9191217,8.80576
Canada,0.19305870064742833,0.44789838590435055,42.94855,100.02095,-7.794877,3.6938763
Guatemala,-0.06024568704328876,-0.17089100047314776,-23.254782,-27.684233,10.130868,6.9244385
Haiti,0.2665427876130616,0.14819329690744681,9.885657,103.53766,-9.037604,6.6684256
Cuba,-0.10860825935792708,-0.12808215669756284,-5.9636745,-62.2119,10.962905,6.075511
Dominican Republic,-0.15790164444312307,-0.10435578189185636,11.303356,-59.32511,11.204753,5.997847
Honduras,0.30055852550717455,-0.038761711589906586,-27.072754,101.66668,-9.120824,7.340396
Nicaragua,0.21419001104282104,-0.08177551402436707,-24.301722,90.07487,-9.470711,7.532565
El Salvador,0.0014031807739675899,-0.1681536493283895,-24.611774,-8.697968,9.250137,7.283253
Brazil,-0.18720316033290887,-0.06373106522114091,22.224775,-65.358315,11.627871,5.774141
Columbia,0.3020121434967041,0.3921395318177122,48.884453,92.609436,-7.8593745,3.732703
Argentina,-0.2164996263139382,-0.04870784879689024,29.555506,-69.96791,11.821536,5.475207
Peru,-0.04347099747084196,-0.21247661265164217,-52.279987,-33.87776,8.36895,8.424324
Venezuela,-0.04688681646231299,-0.1817986074971502,-31.109108,-33.4304,9.856532,7.2294893
Chile,-0.06968026582618088,-0.1837041553426201,-21.118912,-35.10804,10.090269,6.9796796
Ecuador,-0.035687962905832385,-0.18064220244973372,-33.833984,-25.667221,9.598894,7.324416
Bolivia,0.11641687835866105,-0.14000373962742935,-30.161922,15.473263,8.595286,7.407812
Paraguay,-0.1134209580899348,-0.15234557542089375,-3.7056665,-51.14906,10.793744,6.255624
Uruguay,-0.18935516868517824,-0.028922488254790702,19.010595,-72.70058,11.535577,5.7038994
