index,occupation_isomap_x,occupation_isomap_y,occupation_tsne_x,occupation_tsne_y,occupation_umap_x,occupation_umap_y
Nigeria,0.9059867082563782,-1.0296364331129024,260.12415,-25.310747,-0.7198723,4.473875
Ethiopia,-0.13352612979839956,-0.8095663396158876,109.27077,-41.12383,4.0914416,8.124919
Egypt,-0.3064371008622296,-0.2270438192288381,74.55895,-65.4765,3.943134,8.3343935
Congo,0.2024580770398767,-0.8599802689545198,159.24524,62.761734,0.8375887,5.599121
Tanzania,0.6965905832250494,-0.7513027219362728,241.03403,-3.9231343,-0.9167765,4.403327
South Africa,1.82797061413572,0.40673754813008944,109.10173,-211.30556,-1.7619072,3.200738
Kenya,1.314137375876101,-0.49094210933138144,276.3007,28.97023,-1.2054574,4.005969
Uganda,0.9752087083891179,-0.7117044169917701,261.28915,7.1097536,-0.92207557,4.367695
Sudan,-0.07084484887932745,-0.5613893221484251,94.79739,-62.342545,3.9864807,8.263196
Algeria,-1.2486499887669988,-0.34974223032280816,-110.65928,194.67152,10.01305,9.674415
China,-0.03722106789020194,1.1484698559799318,-61.945866,-87.696526,0.6580966,8.418091
India,-1.041862698086131,1.4550703864243588,-268.02017,-61.34486,4.2652297,10.820356
Indonesia,-0.45576026242759404,-0.5413019875997455,-0.434671,131.05952,1.962148,6.861801
Pakistan,-1.2503244782453504,1.6550528689488937,-291.87488,-48.085056,4.351069,10.907777
Bangladesh,-0.8283065825959579,1.4536483523435377,-249.4316,-50.22973,4.225543,10.780316
Japan,0.13079900060189129,1.4008261648408298,-65.875374,-117.469604,0.72420377,8.474344
Philippines,-0.17680042627170411,0.31443217051712735,-31.368351,-32.84448,0.8405675,7.96
Vietnam,0.9046976121279431,-0.6434174855063558,171.33119,-190.02797,-1.0179158,3.2062068
Iran,-1.2069957822347765,1.119780615026879,-272.07648,-21.244154,4.0432687,10.574556
Turkey,-1.0937405251722228,0.2589070512598124,-222.0488,57.651566,3.2981102,9.67702
Russia,-0.9027389151908698,-0.046473304233998154,-1081.2101,510.35107,3.3830476,9.199715
Germany,-1.6199904158068372,-0.5094492665976307,-132.99883,241.58131,10.296047,10.092681
United Kingdom,1.0029574838999449,1.1869918923010234,7.490509,-210.20433,-2.7390995,2.9130971
France,-1.6463028182638633,-0.20682273113768943,-97.42995,265.59723,10.47217,10.263329
Italy,-1.5312991172956925,0.598858356161417,-270.16595,4.1167965,3.8299594,10.284367
Spain,-1.14788790481129,-2.742661425595726e-06,-163.92036,87.482056,2.696754,8.980072
Ukraine,-0.5542335813858095,-0.05773768825351249,3315.1824,-1602.7681,3.4933522,8.817712
Poland,-1.549408877828248,-0.47915428819074163,-126.341675,219.02893,10.555597,9.997221
Romania,-1.1656918081489878,-0.0650108616936592,-214.61533,81.64569,3.2909076,9.354544
Netherlands,-1.4215675752060726,-0.5494965677348891,-163.58401,236.71579,10.416864,9.879383
Austria,-1.7189754915447397,-0.49239089152860765,-120.098915,267.99808,10.511758,10.184631
United States,1.7738661362514587,1.678321165919941,55.698124,-283.97543,-2.7225995,3.3461065
Mexico,-0.2508602740011541,0.7584774918793652,-54.905003,-53.18562,0.8653448,8.201254
Canada,2.1660942882672147,0.886348778473626,86.52081,-229.71089,-2.3052177,3.259204
Guatemala,-0.3090987308312859,-0.20181734545209237,-12.8782015,37.850174,1.1792119,7.3064237
Haiti,-0.03518004962840738,-0.8388371161976663,127.06932,66.072014,0.96539146,5.8356137
Cuba,-0.49490243299873277,-0.4896963967403816,9.548328,97.312035,1.6553972,6.6764216
Dominican Republic,-0.488908758996118,0.06252493872562351,-85.60845,43.547367,1.6774528,8.05622
Honduras,0.29090661927879774,-0.7906564951251167,117.25396,44.030693,0.67920303,5.892425
Nicaragua,0.07617471461803083,-0.5990599977872798,91.585396,49.850224,0.83859694,6.2175393
El Salvador,-0.19279125651377998,-0.4164361547553171,16.291168,60.62325,1.1328841,6.634961
Brazil,-0.6973039461268493,0.019480731175393035,-113.934586,65.27557,2.1810114,8.4941225
Columbia,2.4339483988809976,1.2584568442409048,68.730774,-267.40112,-2.7687066,3.3773181
Argentina,-0.8476467574628633,0.011015020745950264,-133.02576,84.92839,2.4055154,8.56448
Peru,-0.313890338073325,0.20302238878508735,-57.41256,2.9315395,1.2403924,7.8130827
Venezuela,-0.37595305182760447,0.023791876800829004,-46.77611,30.277815,1.3638288,7.744431
Chile,-0.5287287390468388,-0.117214143811941,-55.191933,78.56668,1.8744088,7.563109
Ecuador,-0.4246227643734854,-0.14871067990262002,-39.275417,62.090702,1.5248761,7.245926
Bolivia,-0.21345334401491634,-0.44551821942868236,41.834415,46.180367,1.0660604,6.7516494
Paraguay,-0.7122483712345065,-0.26460884635837645,-59.284267,129.47914,2.1918771,7.3045907
Uruguay,-0.8850823875713633,-0.2850680584438772,-81.62393,142.00478,2.4936683,7.866801
Australia,1.530975088819302,1.4781580337701827,5.530977,-241.77193,-2.6027613,3.0988326
Papua New Guinea,1.4995858788671763,-0.4279014495697045,142.8958,-190.77574,-1.3674057,3.1192422
New Zealand,1.4836230740855987,1.2761638024286595,24.247261,-229.46432,-2.5702283,3.3619516
Fiji,1.5223829734281187,-0.5372679267900262,153.78549,-167.76585,-1.1002605,3.0495546
Solomon Islands,1.6496005971464376,-1.0153453653870723,231.31613,36.979824,-0.17699462,3.593182
Vanuatu,0.921562690424608,-1.1680831032041976,199.4219,-74.29118,-0.14943174,3.8619127
Samoa,1.8114715412149596,-0.9861561419930602,246.033,-105.62828,-0.32540733,3.2622633
Kiribati,0.9662190040728392,-0.899734539021736,196.43776,-49.212185,-0.3296464,4.077503
Micronesia,0.31125264463889496,1.6920534650440695,-63.056973,-139.39973,0.6241439,8.589766
Tonga,1.480767785868073,-1.331912343173326,265.16592,-90.78602,-0.10809462,3.4372084
