index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,Arab,Asian,Black,Hispanic,Latino,White
Travis,-1.0254782894476353,-2.0201030082603726,-1.4207583727669464,-1.7825303803152552,-1.017451183757225,-0.6347475740382855,-1.0433336983131447,-0.946644203311794,-0.8235587691644515,-1.3871095382250662,-0.9953078052615003,-2.260661416809774,-0.8035446569457263,-1.9476053512219271,-1.7169359797735122,-0.27290474010086124,-0.06597927425306345,-0.30531894373198915,-1.4197788347946634,-1.2388851087071224,-2.2700833278489663,-1.0087258937425072,-0.22341795834221587,-1.1985066872032957,-1.4784945380630121,-1.0007504926426214,-1.9060196652975332,-1.4220741633147018,-1.204778779276241,-1.0928916444810604,-1.2633855858905638,0.84271159768075,0.5345427333286723,0.21172290003875932,0.04874584087468374,-0.773933921782162,-1.0118403155828972,-0.8518571136312931,0.16800693862175448,0.04438606581356744,-0.35653196644723906,-0.4058505122223331,0.889171033756524,-1.0631964624109802,0.06456648246912566,-0.2161748893735882,-0.6322367650440687,-0.5276507740918388,-0.2819475320856235,-1.0874223833535186,-1.6756480435926098,-0.07801117938737705,-0.4153002059984561,-0.1549260151823159,-0.12277333820082609,-0.08560774610574431,-0.6586537243954753,-0.34362631778787717,-0.46308627959379967,0.37137776426700464,-0.8145664122348247,-1.0507228694600268,-0.379045210212717,-0.5840728816904202,-0.6913839434194324,-1.090697825064052,-1.6114324192638712
Hadley,-0.8541587724814537,-0.0019795901719504216,0.22378088521660913,-0.37522279452170254,-0.19780648824473682,0.04848940908489931,-0.07661743362465502,-0.32366482002452124,-0.4067950532010269,-0.3645661295445128,-0.5868174159424461,-1.358889538187698,-0.7312198238760582,-1.061048504939351,-1.4440793517376258,-0.7397750855942058,-1.1019750550402478,-0.7189292353953054,-0.883033450464182,-0.6086445086478475,-0.9899456665732329,-0.7062257665413051,0.45005242733961487,-0.2701008219300858,-0.16513306407384043,-0.561751717721987,-1.5326987933640606,-1.0474988264108427,-0.7024416965733192,0.04053397242619519,-0.916538990870875,0.436075028395366,-0.9720112931857473,0.36480899765651725,-0.620014721698387,0.030888542079672152,-0.666395128875715,-0.6936532922433003,-0.3599165820427582,-0.5912753218688306,-1.1780006329758175,-0.47797766286069976,0.42771194057414064,-0.6711443577810396,-0.4062922953462424,-0.5652273240201603,-0.7012937138141008,-0.6167187152521988,-0.7485347058692179,-1.1012374643653362,-0.5387963608749475,-0.06761775421397061,-0.5864092700319363,-0.07847210254439228,-0.1598764992070172,-0.5594761221446364,-0.7250185334684612,-0.31799492466580215,-0.6476640397639195,0.06234617268139335,-0.5982572606241798,-0.3561844077616588,0.1997170067361061,0.8169541447431149,-0.2562942405889887,-0.9433831943052822,0.07539250119427929
Allen,0.007411338689739436,-0.18067748794560387,-0.3698967628344024,-0.21249628233318685,-0.3864239007355803,-0.11078955226998725,-0.11712480364593623,0.018779042563666422,-0.19941125667110424,-0.899847724914672,-0.33033597777451496,-1.5469024237657798,-0.25616700168678824,-1.2365124646764825,-1.0335648816024485,-0.33983280533657306,-0.11359368069900048,0.07007214324680225,-0.7989228923111976,-0.40857680589937956,-2.6094927821945406,-0.7820109776293712,-0.46777534599174125,-1.5473198718126422,-2.3538082691171014,-1.278407721556555,-2.3141770723012107,-1.3151903861310115,-1.9379477961756932,-0.5291777542624635,-1.0739010277808163,0.5063033753175387,-0.4805322295083486,0.23979207121803484,-0.07770195608919032,-0.06398780208936067,-0.21291122887717512,-0.645375199981106,0.1576384504549193,0.14199715368614643,0.205866263735733,-0.8465925174990981,0.7125802865729678,-1.3325688543758396,-0.9087595973127852,-0.9764593859867206,-1.1794194201622386,-0.839445981903146,-0.9970435926219581,-1.297486348737251,-1.3052662993244666,-0.30866176959958236,0.04521966300981433,-0.26345886416370995,-0.19706890574437155,0.1763067064544502,-0.13022974005417423,0.3452806319712624,-0.31843419581881127,-0.022286683802571216,0.13711326307308486,1.0392949368897642,2.5471714746200305,3.6660122968087334,1.8905056903555564,1.5902147377214118,2.652423145874198
Lance,-0.39853572941836507,-0.7247741475847072,-1.4439745061406697,-0.4829121892764877,0.23189725089401106,0.4218669518767113,0.31591966429352447,0.44707307384682315,-0.5811254407164165,-1.1642030269584465,-1.342563340721335,-1.3994439652490906,-0.3556435609326808,-1.1673224412249013,-1.7683570805798585,-0.5757609491619773,-0.24151505826171196,-0.12855269092363472,-2.2616889479004345,-2.1775017019580165,-2.513249738267391,-1.063312057870629,-0.2589912247489782,-0.9392479553627223,-1.637430672376233,-2.474075764321006,-2.665022416685235,-1.9839531157560668,-2.084150652700196,-0.39127887016243895,-1.5615847573435302,0.26488461325958035,-1.4051786061996745,0.389694871940757,-1.455285847470766,-0.8820850737249468,-2.7543062192414407,-1.9606035970871227,-1.2280732224532698,-1.3263995974949516,-1.7074707529653073,-1.4573028042372589,0.3438545903702093,-2.3744788714973417,-1.0285655518275472,-2.1584825903955642,-1.7040484634116917,-1.3502593479200184,-1.0174778812497687,-2.600195083460972,-2.9044227857660623,0.4420530485420832,0.6797292410786847,0.40615282105892553,0.7319778306183978,0.4739760969160013,0.5060084943792112,0.7138412915317077,0.11805860177968118,0.415188253380687,0.41145246415940806,-1.0499601970367836,-0.6556388000383955,0.2672794756965989,-0.7296061011800045,-1.4504879534460966,-0.6542362591856441
Mabel,0.7414391243086206,0.3006009640396096,-0.6747860129333377,0.8124167629300224,1.0353470669336107,0.2331647277586662,0.5684852796921899,0.9733577362341882,-0.28060997258169906,-0.9775384740445248,-0.6549310142230028,-1.2283726956570304,-0.4657108264846709,-1.5347138916742278,-1.3455053072076972,0.0140528348830676,-0.3689711400094416,-1.104275662873153,-2.5760407910787144,-1.3216545300975329,-2.1268228513657608,-1.078219484926623,0.09313252365090227,-0.5715876320149406,-0.632794112495077,-0.34629471435477566,-1.7539481395769958,-1.0315717642305013,-1.1726291551887262,-0.41222420128710874,-1.6822928863841706,-0.14548061958061037,0.3981061398119994,0.21356934954134651,0.0023414403249010915,-0.2835234565527713,0.36416481874667467,-0.20382663263797773,0.07884845986973872,0.04385604341682838,-0.07374370120996833,0.25287871796869466,0.013289471767833745,-0.21600445439395688,0.19784716318828674,0.10994249312913887,0.0029985062697076466,0.025946647748235952,0.3878774547704818,0.24199541099802716,-0.17976797687851648,0.05463672664859365,0.13748347191648963,0.175860315436815,0.4056724126467116,-0.09348936171593798,-0.24912480478011226,-0.18048437355288757,-0.0052788344341573,-0.1560551273174281,-0.02935795560723768,-0.9805667867838224,-0.3164373007445789,0.288838158112624,-1.0084939453154318,-2.236061913133754,-0.369050481084098
Lisa,-0.3688649813306786,-0.4645305422708885,-0.954694559095819,-0.24365555978687425,-0.3159487216955969,0.06184193048836992,-0.18919829130827587,-0.1643176583714467,-0.386776688700531,-0.23504483422033196,-0.15419644317974246,-0.3192209327557816,0.22229922592007387,-0.42475122526310505,-0.9215452297378003,-0.22923581359822853,0.13475465393786762,-0.4419581207524648,-0.14912072179969305,0.4533781060574098,-0.5968976661508582,0.3838515787314774,-0.024360004918111747,-0.24118589540515648,0.39583826221376334,-0.2425003989170696,-0.1063141518927222,0.2510164995775791,-0.12088931490451361,0.11522134014591048,0.20940130651309063,0.39169726812834954,-0.4492132929685265,0.4004624580373662,-0.015003525550779597,0.39121477486030987,-0.6591666266683676,-0.0032371141622390904,-0.04396422891750204,-0.07745648226314478,-0.08628362923331168,0.2362147156732806,0.3192002444549597,-0.5098861537585375,0.14099116210768112,-0.014712979415055245,-0.13077690987064292,-0.07371316914875473,-0.000888218237962766,-0.6029935852716234,-0.5643676953036478,0.12539768900063206,-0.08312083357626604,0.1278991883191278,-0.30476211776352136,-0.028404302936208242,-0.41366910833431736,-0.36684494753803953,-0.18977696969322935,0.011687402990484846,-0.7371064781722478,-0.7334498117496746,-0.0025832888186077692,-0.030467648414314374,-0.2991036852921633,-1.5467791802029889,-0.8675576301138674
Curtis,0.3303650925117479,-0.5803743871276617,-0.9850308898557686,-0.4461885069504819,0.12924817649395762,0.5139501439426457,0.47420730475966494,0.42705560267642867,-0.037304981162104206,-1.0657826607441532,-0.9408516641127407,-2.336567671160252,-0.3926256280057363,-2.3015562715398135,-2.1878650733857974,-0.5586949765297574,0.07064848479824909,0.5791850561753183,-2.388684323427386,-1.6708805965146307,-2.1783887524549237,-0.9419030051121384,-0.09299516187759528,-1.647328458919244,-1.607445114217986,-1.3694190017447039,-2.315400570229915,-1.549708515518073,-1.898800206132071,-0.3787089054787508,-1.4334330470361618,0.8999264969562123,-0.5100091355009999,0.5074146158143887,-0.12216212045981753,0.11821738821366566,-0.4396471399688008,-0.6605806151766892,0.10287649481843808,-0.09977731097885285,0.06484741880179686,-1.228289780225776,1.2228694993427662,-1.064122186061888,-0.8721290978181869,-1.1153931947540507,-1.2299146954485576,-0.903380667381994,-0.6701318610492951,-1.1552856573038122,-1.1897745101941928,0.21746201183718533,0.5206860824641744,0.28963124608260504,0.7448764656940771,0.9985895254591557,0.23060615520982317,0.8803877393281452,-0.02874692154427144,0.5224199321222371,0.6008067669960767,0.06844427162405699,1.133601516782887,2.0750299806979915,0.34313751476005777,0.03355729704175911,1.1380669070375196
Carole,-0.5482326416763156,-0.8248541521851276,-0.667385600536878,-0.005789122379105031,-0.3475213214470254,0.22212670973258278,-0.18817608076563988,-0.18205100588579745,-0.6589845669548084,0.7784208513295273,-1.2157565965320778,-0.5907248973055199,-0.6756164597170154,-0.6554179199848337,-0.6743339239425978,-1.6120905973610626,-0.8358795584231165,-0.7957550069129986,-1.2465333201465452,-1.4495173750942303,-1.6207512176787442,0.1053559144066055,0.46530215284174653,1.4757196007438198,0.18659046341797075,-0.6156871870689852,-1.4248739479728818,-0.27666090946791877,-0.8380095029719479,0.11316897380862648,-0.0931997130994963,0.013140474119616505,-1.4303902947114429,0.870332355791444,-0.7609265580988219,0.5808830752969718,-0.9488388977029348,-0.5007890748530545,-0.6172707176643305,-0.7172074395264357,-0.9560555196857896,-1.500254132042337,0.43495880595801506,-1.3140948935311494,-1.4470194965729146,-1.402605841013569,-1.255787095608543,-0.8931141147547161,-1.147168144724485,-1.419891572907832,-1.4327341280062085,0.07360197670671699,-0.27302749213305305,0.11240839581166967,-0.8601866813884418,-0.2980672430067584,-0.28743907676880087,-0.7811179238202532,-0.741164841890331,-0.8401984367213744,-0.6711838610315065,-0.9344056743065795,-0.2836918907451228,-0.4682195891525424,-0.7060503327641373,-1.9077360683655638,-1.0656928055562906
Isabella,-0.3786424207316235,0.39415565048095985,0.007528342434713177,-0.35143904764909145,-0.15271536220332915,-0.21845677844255054,-0.23333711581143593,-0.4500116594122755,-0.229424908383793,-0.0036836699763145198,-0.028744508419558494,-0.983172627885005,0.26421597040881284,-1.1328958932351352,-1.3920115056960318,-0.42819985123046744,0.2883115370735394,-1.6317566698143866,-1.116379043162214,-0.5138922983943434,-1.2012172320538128,-0.1170834252751301,0.2066479716083663,-0.07238711822573896,1.2977964816219365,0.9538688240695004,-1.1680966092630727,-0.10283996157597816,-0.16580902839899575,0.12259716877965075,0.0907380503181479,-0.2656708852432571,0.2522210470996499,-0.306119353247906,-0.18807338059384357,-0.9786137464991129,-0.5163965138839554,0.07563399831048889,-0.13435839980025027,-0.18835584337429023,-0.19653772805511716,0.3720119815730174,-0.7570805955563356,0.26981445184990915,0.40145642140462934,-0.13335864705085732,0.43502091347746985,0.4923061459935595,0.4206889276394247,0.289249307901887,0.28345628558467495,0.054651010610964314,0.07706483526976234,0.039893550849304495,-0.05334748710217374,0.010868519354750205,-0.17204490409414225,-0.23496225174446267,-0.044183791994012074,-0.14524077786991127,0.04544045832853484,-1.0724529928792454,-0.6813569689718426,0.08957852332343758,-0.7162257137441235,-1.8982783867123822,-0.7841095851269836
Aubrey,1.1111969412691578,-0.5159338364311653,-0.4558407779052892,0.4719501888695884,0.6505825512388238,0.5760941159192304,0.6350980045509796,0.5900678132148814,-0.15101621468110632,-1.1746132038131654,-0.9082255021620937,-0.6349110250153956,-0.20909009681819546,-0.7720664116895497,-0.8273076463683703,-0.2259356513650076,-0.12669371974127172,-0.43883159368359254,-1.7982320427895575,-1.3422817427494271,-2.353219910109799,-1.4369316943806156,0.43405438606053165,-0.4383111323170647,-1.2568452687274676,-1.1441238167104155,-2.3653673715778476,-1.235119371355211,-1.3225490143083343,-0.4850313490239707,-1.8382794553558546,0.3638857592253538,-0.35251985135332065,0.2622625024254371,-0.5054937195054878,0.1905225004334801,-0.672093326335106,-0.4600055655282751,0.19327815398609735,-0.08588362022037196,-0.7668754469247113,-0.31435514252773983,0.5584166158310684,-0.9843446012245443,-0.24529190595031886,-0.19572539666828015,-0.33679677268499286,-0.3965649525013589,-0.22887575672109955,-0.7142114868769062,-0.6988698379121786,0.015754978909420975,0.13016270689869447,0.12434941621664754,1.4983311889038795,0.32809777126539796,0.4392237716762152,0.8985550113337079,0.36123477949544835,0.4455781892602724,0.8052985194804766,-0.13988353476838183,0.6094853651589207,1.2360010410581221,0.23455307438344825,-0.4414084134823846,0.31410902958075243
