index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
Nigeria,-0.4634333270796519,0.1670618213358163,-172.32043000000004,-174.94135,7.3409133,1.8855971
Ethiopia,0.0007852889375651183,0.3934804289409877,-155.7754,88.30596,5.517417,2.836826
Egypt,0.19774443362050628,0.36003694514493506,32.003094,280.35900000000004,1.4663256000000002,2.2777874
Congo,-0.18507057673676786,0.19855712193643632,-218.97137,-91.89093000000001,6.2079163,2.5948037999999998
Tanzania,-0.2621213690917432,0.16359525480674908,-208.31436000000002,-110.4919,6.478701,2.3853672
South Africa,-0.5785414820082337,0.050201505774295364,-106.80363500000001,-154.75356000000005,8.063521000000001,1.6347306000000001
Kenya,-0.4511412955364574,0.2540278105299629,-168.74782,-144.20584,7.464582000000001,1.709615
Uganda,-0.3418788151161603,0.2075048193401688,-192.54693999999998,-130.53864,6.894798799999999,2.072403
Sudan,-0.01968599112600261,0.32817088228322777,-137.25607,81.04658,5.7465980000000005,3.0667186
Algeria,0.3203861497892378,0.2793048482130955,8.74308,276.63837,1.4114817,2.0448804
China,0.08345894973922242,0.0926122770918352,57.393814,156.31035,4.7981668,5.435148000000001
India,0.3176750958291602,0.25270183322839795,-0.08940706400000001,217.28877000000003,1.0162501,2.7471203999999996
Indonesia,-0.11263536618513542,0.1871623852538722,-110.79128999999999,77.430885,5.8576207,3.1525068
Pakistan,0.2282624743213803,0.19533755742046705,21.037764000000006,184.03712,4.390576,4.9567566
Bangladesh,0.1863290266465444,0.17832020363666085,32.990241999999995,166.08153000000001,4.654765,5.071343
Japan,0.1798891676106189,-0.13185972095292275,219.90932,-63.653999999999996,5.3037285999999995,9.390326
Philippines,-0.01706404672483546,-0.2260635463291809,69.06494,-8.68133,5.516914,7.2251663
Vietnam,-0.4661831106946786,0.028293397839810712,-108.54461,-107.93294499999999,7.868972999999999,2.770643
Iran,0.5012735292493558,0.11439516522159765,-58.62389,279.14148,0.29132554,1.9209
Turkey,0.4037458727901374,0.19229314932050529,-27.123138,263.65677,0.6715350999999999,1.9784532
Russia,0.5798195546105818,-0.017720690927954214,-554.1833,29.936682,-0.6705281,1.3872318000000001
Germany,0.4201942684983041,0.2353067285367365,-44.445434999999996,237.76996,0.6031972,2.5472740000000003
United Kingdom,0.15138204590614954,0.15356009422425582,57.414078,134.86656000000002,4.930433799999999,5.5234694000000015
France,0.4743344447421406,0.21139827711226145,-66.0087,227.1468,0.28589782,2.251616
Italy,0.696898378378218,-0.06842151836504831,1099.6936,3428.5117,-0.84789956,1.6670596999999998
Spain,0.4853436440248357,-0.11213200763183144,102.72631,-326.3601,-0.5409801,1.3549031
Ukraine,0.5385913644395154,0.007070112674485653,78.10089,-322.82602,-0.49061504,1.4592746
Poland,0.34218431064264593,0.2564313450393814,-1.0494778,253.15052999999997,1.048303,2.3454368
Romania,0.683495564613954,-0.03530933582469612,-2301.62,-4534.6963,-0.8525607,1.5965046999999999
Netherlands,0.0040899445145943,0.3121591206172289,-97.65422,98.48212,5.623075,3.4238790999999997
Austria,0.458742863194619,0.2281702629993169,-66.96308,248.1065,0.49117273,2.4024229999999998
United States,-0.6455585775536689,0.0028855591532547424,-139.976,-69.43969,8.656608,2.1771116000000004
Mexico,0.23296466552359724,-0.3170987054524788,186.26578,-157.63661000000005,4.423001999999999,8.901991
Canada,-0.6436888248468255,0.02380271072883996,-81.46136,-145.58388,8.427926,1.7724805000000001
Guatemala,-0.01715005228853495,-0.25948748400456123,77.84921999999997,-30.86472100000001,5.4917035000000025,7.582077000000001
Haiti,-0.4713948346405394,-0.0745230563377226,-68.020744,-85.78580500000002,7.8215632,3.1616514
Cuba,-0.21049860739097576,-0.1726107521198405,-39.148643,7.3542852,6.8595570000000015,3.9369707000000003
Dominican Republic,0.048525647585396216,-0.3011137307119441,105.73706999999999,-49.61898,5.5533470000000005,8.002908999999999
Honduras,-0.37148420744098265,-0.2570724357079027,-60.48109,-50.098440000000004,7.692263599999999,3.5215476000000003
Nicaragua,-0.18612708337937225,-0.2712368723412836,-24.43893,-23.125082,7.1263255999999995,3.9401762000000002
El Salvador,-0.13447166162315075,-0.21406436670013373,-14.758087,-1.7256082999999998,6.896289299999999,4.0396814
Brazil,0.12971426855568574,-0.3003934680756963,186.44276000000002,-69.84504,5.3159013,9.161349000000001
Argentina,0.20606522543387745,-0.29953044738043444,199.84438,-102.315445,4.9961095,9.311088999999999
Peru,0.2853933199563117,-0.2860558750434361,168.12333999999996,-149.81947,4.568782,9.056408
Venezuela,0.07471443673878178,-0.2931102369722849,109.31535,-71.434616,5.244937999999999,8.244172
Chile,0.15596330934958494,-0.290713159851098,175.18126999999996,-92.72391,4.9282580000000005,9.122502
Ecuador,0.14262026422337065,-0.3079347957453973,154.66814,-93.591774,5.0038276,8.857142
Bolivia,0.08226650867485924,-0.3100255837404565,132.85368,-67.55834,5.3599916,8.342222
Paraguay,0.06686759309644177,-0.32934318646587457,152.78696000000005,-29.196856,5.65873,8.544981
Uruguay,0.08654909666104048,-0.3606681206898467,168.58434,-16.617594,5.7850814,8.746068
Australia,0.16535525728966705,0.045326086182105284,82.553604,106.56698,5.166644,5.9360456
Papua New Guinea,-0.5568676355429719,0.04412093960256663,-123.5188,-145.41128999999995,8.105616,1.9287914000000002
New Zealand,0.0521088715728097,0.08955613991850285,92.882195,124.06143,5.140361,5.9166784
Fiji,-0.414357953531132,-0.0025453851601693377,-94.23329,-56.67443000000001,8.270057000000001,2.8806496
Solomon Islands,-0.6664487945101465,0.1067031305924021,-122.30798,-218.37842,8.114677,2.2933178
Vanuatu,-0.3984766588985752,0.021541564624230927,-95.742386,-94.11792,7.606430499999999,2.8493414
Samoa,-0.6751634426002856,-0.048784183820872816,-103.15295400000001,-214.69057,8.144186,2.1653022999999996
Kiribati,-0.2384468317976453,0.00384186093934949,-61.506836,20.250563,6.590260499999999,3.5901172
Micronesia,0.08168415839886695,-0.1274227735765015,79.2313,15.839166,5.391782,7.0137085999999975
Tonga,-0.537528448815104,0.03031009966582872,-154.19199,-188.06403999999998,7.7709055,2.3050609
