index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
Nigeria,1.1492244086016372,0.8288024236538065,95.88832,-205.21509,-7.4427576,2.7477603
Ethiopia,1.7714557722455826,0.1794631205224133,-2597.439,1504.8627,-7.0674243,2.3911474
Egypt,1.6225207546039584,0.31901345736981157,800.9581,-1300.65,-6.9524856,2.502513
Congo,0.994153570169088,0.37266710505766854,90.312775,-166.72119,-6.98498,3.2610354
Tanzania,0.8892634327135259,0.7059905492102383,83.37847,-183.54652,-7.24106,3.36485
South Africa,-0.8752992860376739,0.47226683178392054,123.86289,101.81551,9.358412,-0.44901162
Kenya,0.8903321323645732,0.7547227454561612,63.71034,-190.4177,-7.396518,3.2595875
Uganda,0.9111010202371845,0.7453409705723785,78.14075,-198.92635,-7.511166,2.9855802
Sudan,1.2616875421290181,0.7091301755453029,116.3169,-195.31723,-6.9827676,2.6616023
Algeria,0.886781285965968,-0.1977762604266213,-109.595566,-125.37148,-4.5585327,4.9808064
China,-0.0869313729432778,0.31785341779375137,59.760963,38.2711,9.291949,1.2453442
India,0.6300324129517495,0.4882260985125797,34.405674,-145.54114,-6.426462,3.6858792
Indonesia,0.23797490148281109,0.09060771936162093,-8.237754,-140.56342,-6.004926,4.2257195
Pakistan,0.33686982707335966,0.3994435803752115,9.520552,-145.91475,-6.1843166,3.9653316
Bangladesh,0.6030629829925623,0.52259916793008,29.41122,-158.00264,-6.4749584,3.6553676
Japan,-0.8763752201301717,-0.03538171414953777,174.83745,55.16658,10.27932,-0.077992275
Philippines,-0.685807265069213,-0.470636174445342,-61.324142,175.90887,10.523463,4.3968387
Vietnam,-0.8904537030610535,0.30660838919066236,163.47838,69.464554,9.964922,-0.37972754
Iran,0.5827770390743497,0.13732685676520826,-44.27055,-134.19794,-5.578246,3.909754
Turkey,0.7247985523885652,0.08190729276200548,-63.164715,-131.27716,-5.0192256,4.2500305
Russia,0.616498852367466,0.09899689535792171,-62.774544,-147.67714,-5.286688,4.351342
Germany,0.7320711949128375,-0.7247693662307141,-155.85083,-90.111916,-3.9793644,5.9277816
United Kingdom,-0.7317834303116574,0.4643992679884739,135.02306,88.69632,9.188803,-0.10759254
France,0.8242426702073972,-0.6479816490493466,-136.4588,-102.2269,-4.2239175,5.568127
Italy,0.3295271155391487,-0.761021327470249,-154.85652,-17.420095,13.819118,6.980773
Spain,0.13561296862848599,-0.656510619058226,-154.01152,-0.029358357,13.521124,6.872669
Ukraine,0.568020454994615,0.08802551025138468,-49.467983,-156.57127,-5.3441896,4.2904854
Poland,1.0568629825223126,-0.24982065065127743,-111.91475,-140.97496,-4.6826177,4.834135
Romania,0.7949378194853624,0.022323469295031997,-83.37906,-133.51408,-4.842074,4.513288
Netherlands,0.8290655942646107,-0.7612953522591557,-140.80518,-82.8113,-3.892685,5.9585147
Austria,0.764289698455815,-0.66225050672255,-152.8657,-106.77518,-3.860858,5.8555274
United States,-1.727886792303481,0.1990061308637626,207.14378,116.46835,10.469092,-1.0536258
Mexico,-0.5852933540826902,-0.5563198800882914,-66.43049,158.52382,10.508719,4.39958
Canada,-1.5398409107209765,0.6535416808911366,191.6892,127.21127,10.195315,-1.2399033
Guatemala,-0.2712676635842524,-0.3935128955101192,-126.04747,100.28211,11.8147545,6.098341
Haiti,-0.22083937919067856,-0.11407830630110477,-171.16107,92.35548,12.1298685,6.6189
Cuba,0.021212760661531,-0.22485789970039366,-169.55942,57.066143,12.71038,6.8592796
Dominican Republic,-0.118781162959029,-0.39835760393058817,-129.56134,67.14937,12.46688,6.0873375
Honduras,-0.6148337154932557,-0.5846289565120386,-41.580883,158.89503,10.677894,4.5769844
Nicaragua,-0.578755620810286,-0.5822096358764878,-49.793594,147.50441,10.76732,4.667332
El Salvador,-0.13463530331072723,-0.29323819814802077,-162.293,74.207375,12.229153,6.544731
Brazil,-0.1930594065278004,-0.49923173496932294,-108.97411,65.60213,12.549136,5.7681885
Argentina,-0.08109567589302083,-0.5849435515059755,-130.77408,38.822292,12.96127,6.2184196
Peru,-0.4112001857814421,-0.49970479731632383,-92.35359,123.260925,11.224994,5.154539
Venezuela,-0.37130525612409493,-0.4680679528109332,-95.37905,106.84757,11.568911,5.482907
Chile,-0.33842353948171916,-0.5691232008904109,-81.23726,92.470184,11.819229,5.573497
Ecuador,-0.21964960807666942,-0.46472039819604505,-112.38938,80.80693,12.030599,5.657308
Bolivia,-0.31588641176756027,-0.46206767392304743,-111.697105,119.040504,11.613001,5.2762523
Paraguay,0.06508649946804539,-0.4340706143149601,-163.79117,32.15317,13.092784,6.827007
Uruguay,0.08636562150907642,-0.510316889279533,-152.90778,20.112007,13.295026,6.8164973
Australia,-1.3531901112686981,0.4808841453517305,173.87944,126.9148,10.04841,-1.2443248
Papua New Guinea,-0.7263957022470646,0.4468867762093372,116.24309,85.74809,9.307307,0.007501255
New Zealand,-1.1215774472446554,0.4931419367277688,158.90146,120.33755,9.8668995,-1.0118054
Fiji,-1.2077969630905179,0.38911737072961794,185.03598,88.47009,10.256978,-0.70005774
Solomon Islands,-0.6791216214848708,0.4416677022698441,108.517365,69.71229,9.381137,0.3591648
Vanuatu,-0.5692389076112643,0.34923705288846324,95.324066,35.95157,9.560705,0.47434708
Samoa,-0.9043575353401326,0.38937543167868605,124.03252,57.632473,9.863265,0.11194433
Kiribati,-0.3758693226864354,0.30941701343891204,80.89907,35.736355,9.478757,0.8610167
Micronesia,-1.1265159216677327,-0.0006842983315730259,188.06216,63.649357,10.366147,-0.22998984
Tonga,-0.38236207170853215,0.5495878222632959,74.499664,63.914356,9.2703085,1.034771
