index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga
cruel,-1.3438965013810797,-0.29607214426816525,0.23978724730593778,-0.04980042013640919,-0.7930163637106115,-0.9404847542499268,-1.3381935534445544,-1.0174963680377265,-0.39955433454490247,-0.5766057828742959,-0.6972683779101643,-0.6549255620334793,-1.1357762722094806,-1.1828313355364861,-0.9343776760883364,-1.3376272892414403,-1.6376203810779946,-0.8483393655105578,-0.9855837381338315,-1.1276435676790812,-0.8001140236339535,-1.4330648550841154,-2.384867690366357,-1.3592380527154542,-1.5166329219784405,-0.952077064423754,-1.1809547182012514,-1.4553625672723325,-0.9279721705268095,-1.7327982110123983,-1.7190894861252795,-2.1178489926058366,-0.95606511060546,-1.5928159744476558,-1.3072297113309106,-0.8818929017575816,-0.6257881608885407,-1.4964393518551078,-1.3046103273542464,-1.097999931203191,-1.35490760941533,-0.9749254702729122,-1.2696060800442246,-1.0632382389088189,-1.0559361776837382,-1.4199040212896377,-1.2041776195008467,-0.8404159480442116,-0.8881041823022704,-1.0634540139147963,-1.9118405015136826,-1.4799546397293624,-2.0855310348948337,-1.7067810337610374,-1.3127379880503356,-1.151450358897535,-1.2319871795301,-1.3273157341022463,-1.0012659492523457,-1.1034652676298855
patriotic,0.5297171381692759,-0.19779519476707974,0.03521404246207572,0.2092923084778903,0.04191450337590606,0.00836849171472352,-0.419954415328373,-0.14991251311934348,-0.1526638443419574,0.09171184838534968,1.1045055752454895,1.0702105157546673,0.9094576029598619,1.7509065169980929,1.3471178163142756,0.3544393023133116,1.266001358363065,1.8640647795514855,0.7564099564884336,0.7583976335491339,0.8592873759533949,0.4539209632150796,0.25320677485519416,0.013604760628664957,-0.14551991679035317,-0.4280675890253189,0.49773867978262826,1.2230071986276505,0.6471252185626795,0.3218489674144244,0.42227716616020516,1.2753401557171413,0.16159947860424817,0.4141631602500645,0.3679589088789355,0.779894114827824,0.7308546861996762,0.5460220520224539,0.6097578077958474,0.7881771231318615,0.6057556040850136,0.34610916484477566,0.6905308080853032,0.18625033761002097,0.15668870164737103,0.17024581049883938,0.47307594333893815,0.36311966878462487,1.133194961716142,0.7248072241126756,0.27483947987916213,0.6250879252338435,0.5707101478281785,0.7193562949623491,0.7839904032249803,1.0164282325299459,0.8839048231603981,0.2884378085735859,0.36812694372525634,1.093837374048056
skinny,0.5221450710053775,0.4010906522506551,-0.15407881208980934,0.3917496510376102,0.2503146054106104,0.2225117825502775,0.1796986401489216,0.5858088964271118,-0.024308736053356362,-0.5006691096923446,0.05515646755596009,-0.3532797595188079,-0.003543744369332756,-0.7477011100367038,-0.5299705037269008,0.07770517175291002,-0.19522399619015804,0.5678555449378884,-0.6181170587818439,-0.5038552994522669,-0.029541606145839977,-0.4125583683209622,-1.0037573383678378,-0.212538436176711,0.06655554951270388,-0.05983403193726614,0.17013980257019073,-0.46717270993490567,-0.4147779789764553,-0.41602537732691924,-0.5422367084998193,-0.5305030585035804,0.4482377409109756,-0.10287482127945043,0.05395233452653461,0.4217397377455766,0.31467868104479074,0.2304642602134544,0.0013347329376836767,0.10972624727342474,-0.03628896372833816,0.48420847630473923,0.09242978044307619,0.1128377836896558,0.5461312951029381,0.5756632941833577,0.10140468224471658,0.045000267723127915,0.19823475434325383,-0.008008588050710879,-0.11817470180768459,0.06582424802231744,-0.6026815669767575,0.2068083873771996,-0.29629142500963107,-0.1474546142191327,-0.015453374278258877,-0.09416522483868232,0.3251237301478559,0.018801973130153526
calculating,-1.4614084348414837,-1.3590852677993106,-0.5514746191547995,-1.5355366540631414,-1.47547153318656,-1.6982986871740942,-1.5970620334461714,-1.4533699277872316,-1.1886234876319053,-1.3444837194999044,-0.6675826537913736,-0.8987046995024337,-1.298723005777108,-0.9090414462825838,-1.2575072150854631,-1.1185769970875703,-1.3402201186145688,-1.3497472977244962,-0.8051415235799443,-1.185827028628157,-0.6792026108985892,-0.8631875435488743,-1.691748467222965,-1.28232445694923,-1.2906816703290638,-1.2240443547050164,-1.2315975808170943,-1.4196195697624594,-1.2733413432024687,-1.305914913329397,-1.2806893780931738,-1.6445661861141232,-0.9626294951861738,-1.3562245930813992,-1.1607234718953232,-1.7081043335217003,-1.1654488521090292,-1.5769029847163967,-1.4150549427744943,-1.2295876937372936,-1.2658647338021674,-1.355213061983983,-1.1622037061666641,-0.9258113179781481,-1.138932006604618,-1.3647729560870239,-1.4633857687467804,-1.3320395664251785,-1.0148548020256842,-1.0139675355817548,-1.367375559166932,-1.4717351724446819,-1.4950989282677802,-1.8931042631163684,-1.637977957733501,-1.377657752103544,-1.28257886483441,-1.1101810154188787,-1.0636986047491375,-1.5325436963552552
impatient,-1.2095512383651297,-1.2506093936562543,-0.7454101499559539,-1.0306624745345483,-1.1721862406939842,-1.3001647115926573,-1.2813828925657123,-1.2721311224061214,-1.4305265507773823,-1.2519981840380914,-0.8216586347635766,-0.6891018898353631,-0.8184243557913552,-1.4246544171136841,-1.7127082920645271,-0.5149181011145018,-1.2326042542832216,-1.1271420320237475,-1.2941295913642765,-1.4408301913873993,-0.8291458399912172,-0.9207213302211058,-1.1347988281313377,-1.0060073289404898,-0.8833307579314047,-1.0468908274052913,-1.1821787119192888,-0.8942216740181324,-1.5145972897927265,-0.8705814242352894,-0.7577243401821955,-1.1684741188643364,-0.8811098299317478,-0.6634230630110167,-1.090434277938627,-1.5649503713706894,-1.1580557070916895,-1.4708348197505332,-1.0326013092531139,-1.14297027736874,-0.9623256537927601,-0.4960710595336633,-0.6760955061839918,-0.4532326602209129,-0.9440134241952169,-0.8436933656347139,-0.7748064600308163,-0.7728118277910907,-0.46284474449275637,-0.5286758668170505,-0.7929515442942614,-0.547497988621828,-0.3465261525437649,-0.7530421275052196,-0.7882407374310756,-0.9097935295886322,-0.8176327114239506,-0.758787580709174,-0.7150944887474115,-0.912369906698864
extraordinary,-0.6467127969781798,-0.06110311093964621,0.15861730890257678,-0.13575301671472004,-0.4782583141608641,-0.4797192221122545,-0.506878519943702,-0.6192743113992186,-0.31942801916566077,0.1333560006364309,-0.008062121180949226,-0.7071674564501234,-0.5018260616171347,-1.0556048755809035,-0.9623930562162375,-0.8970187928339788,-0.8248835540619628,-0.23206231877117822,-0.05749445921980542,-0.4017197170011378,-0.1976217247571962,-0.28691277714672747,-0.7310316141068465,-0.054962824745775574,-0.23307545057853807,-0.2612361470573391,-0.546970280383264,-0.4849084710288003,-0.06605035533105245,-0.25318960713299754,-0.2534477570137227,-0.37211870537556696,-0.43986652826232303,-0.7797011297534706,-0.23525518391115113,0.2057138351743914,0.08207808896612835,-0.2645869360720852,-0.24436180659115553,-0.1810406434931742,-0.5970716618364017,-0.3565289355122192,-0.17308850425376676,-0.08232238830959146,-0.24894105224682023,-0.07498666798178476,-0.02849503407862154,-0.041926849651308606,-0.006027413261011469,0.021279897320155637,-0.8854413875503301,-0.5815225750296027,-0.89621796447032,-0.19514925903469213,-0.4406604750051928,-0.6616794040145247,-0.44748892565688014,-0.9701355114041627,-0.331942079626174,-0.394761104911184
firm,-0.460182547655793,-0.8812563365298787,-0.8587512718332986,-0.8347666511149152,-0.6605954638845543,-0.7908861542160078,-0.33905061634409944,-0.6179886768354832,-0.823699209964316,-0.6611818031632104,-0.7949256148034226,-0.6664950418654381,-0.5190600182771399,-0.7676566134857667,-0.8661143809610293,-0.5022211047227992,-0.5882638135844562,-1.075518540518094,-0.7906570647356133,-0.8853159792471768,-0.5766710238416641,-0.56768701120245,-1.2871861268016918,-0.9027505439206621,-0.5751319051102014,-0.6530182607788213,-0.9691957177306778,-0.9708297324223405,-1.0885190873082051,-0.8811930146058714,-0.6201238017416442,-1.2619327463636882,-0.8083468396272303,-0.745970703607512,-0.6369336481630258,-0.44158562167893045,-0.4582128207885037,-0.6966707996853982,-0.4904099559005856,-0.5315462450203512,-0.9283541627596273,-0.36849179371150553,-0.3034056244751669,-0.4683389138524226,-0.34502952400922027,-0.359549076136456,-0.3461058090297046,-0.5856298198904333,-0.31186442402811015,-0.28679861042504884,-0.6086318551251282,-0.8798742698034322,-0.5414383226605812,-0.459350991768382,-1.0132918020769701,-0.9422720632166587,-0.522289072409985,-0.6740587207637938,-1.0195454728990971,-0.5248217511610415
religious,0.5388678485286235,0.8962060670715213,0.7633469698754801,-0.0539133596928486,0.45022163474167143,0.3588461649789278,0.39421546091237186,0.4642132265176825,0.4353066674400364,0.10560606859082071,0.022564301481035113,0.7646690750668232,0.2719736838545818,0.8450815740279752,0.6357267801943646,-0.07825196283278786,0.31517273138712126,-0.009138105873648772,1.3292418083982471,0.5168639420493568,0.15837934535835305,-0.43952700507554815,-0.2293036709158253,-0.42075892853490166,-0.24497668798253122,-0.04435529471821157,0.3787832040589302,0.2611394157232545,0.3000594843107428,-0.04906676111175151,-0.5836367048187003,-0.14411043688636802,0.3349084702210846,-0.06449101825736968,0.34790893816093055,0.24882691241440386,0.08987678886214444,0.5853415919741299,0.5338516193984102,0.35668157587947713,0.3692234554550044,0.19277715582908808,-0.4122146205104122,0.511963418621028,-0.20263975311685345,-0.07548004335966266,-0.0716040003474679,0.30326824601276225,0.11452293334496703,-0.39633347916788814,-0.2613733022615202,0.14311164070727575,-0.12344406976507193,-0.1753874880172221,0.7175779293693161,0.5811166649971394,0.653243456103407,0.6779896881053599,0.5540152891121816,0.6883872510879366
upright,-0.6612177113494967,-1.3991368610928845,-0.313651455454146,-1.2738205147561403,-1.22666723759717,-1.314873858691476,-1.3138299686520063,-1.2432194837395971,-1.3615298752542606,-1.4592350452876517,-0.5973802020173421,-0.7854812848783764,-1.1217080888509132,-1.040584790134986,-0.7827901629009791,-1.2725025385456925,-1.0311520151274651,-0.7929595713865399,-1.171802772942781,-1.1309009224898847,-1.174681275386277,-0.8038948807269333,-1.2965736237299068,-1.3435181266676792,-1.5843014129018846,-1.5615108470649481,-1.1858967434522316,-0.9089203973286275,-1.0915754243919666,-1.2560887219118477,-0.8705358894569359,-1.360063039677129,-1.3646559979882669,-1.498757026570365,-1.7265033757908892,-1.5569397174059645,-0.8154213260987567,-1.731462295891526,-1.5001193542658706,-1.5771890515176792,-1.6345566150098827,-1.2152443548363763,-1.1903846378473024,-1.4647944713272363,-1.1669732661398309,-1.4602739718773223,-1.6340547350626735,-1.4768800741898702,-1.0199716640467458,-1.0701821562509912,-1.177147998900226,-1.1381589898794442,-1.4001758957143604,-1.5614311382826258,-1.8254681088175824,-1.5221223531415802,-1.29069869970519,-1.4608105538471827,-1.201066913243776,-1.2003752606663967
open,-0.48342795743543565,-1.167436577087613,-0.6592388013481331,-1.0253948858338975,-0.7672354694251886,-0.28893402337375357,-0.8152882848044537,-0.7717229283083948,-0.875172227113044,-0.9883054691302705,-0.1532924282872611,-0.360511872503569,-0.5277615062796085,-0.16658997043720733,-0.500803681724406,-0.10663289598158705,-0.22898135519873186,-0.7040199514520276,-0.32332252141387985,-0.5228296064359634,-0.5658278014253482,-0.4420763328114452,-0.6243640833831239,-0.7254928931916357,-0.6218164804681361,-0.7087224133521551,-0.606471377354307,-0.45482768572141674,-0.8823058678060159,-0.264256284282798,-0.7175146723737544,-0.25423087386033055,-0.2564061906411562,-0.2111895124549928,-0.630881077168195,-0.9543376038218582,-0.1321724118633238,-0.5432126568379627,-0.4802198629838535,-0.4550202786494135,-0.5904016372704344,-0.07867146689795627,-0.0628186605715729,-0.3335177772255475,-0.20879619453472903,-0.2946861423984784,-0.4525950791038315,-0.5292401203278395,-0.002992022928879921,-0.09851723975046145,-0.2991017998823984,-0.4728165395190397,-0.18453374494943306,-0.9383020436767866,-1.022848853989973,-0.6357134749656317,-0.8586243714916048,-0.654757942749346,-0.8376822297211554,-0.7190154775808334
