index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,denstist,designer,developper,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physiscian,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receiptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer
1,-0.674376836468842,0.06761515469966545,-0.5630035105502922,-0.12428293480678498,-0.8365732076655984,0.03326866853608843,-1.1737848809269709,-0.4230103694990062,-0.647607466191159,-0.09873811389443901,-0.2238968744863068,-0.5210700862293771,-0.889626407924357,-0.1816407872425939,-0.40257162634346844,-1.2229144517184871,-0.7613034092442543,-0.9263771755054172,0.010315155702612175,0.02387849107123726,-0.09604158276056728,-0.38118860955870737,0.28778705679337324,-0.2043549816777745,-0.35571648415106827,0.2341845456562507,-0.23313421141220736,-0.44601510068595357,-0.49207263499116266,0.6628782616791382,-0.7461738715614816,-0.8404861728168906,-0.7457157920398592,-0.6114559090972475,-0.07474447177886952,-0.1960561776439192,-0.7286729958674494,-0.5505688346872035,-1.0056172037409485,0.27341956179818794,-0.05534251639180116,-0.11910435968496702,-0.15866192013613176,-0.3264389034584524,0.0007369453103408108,-0.5156563629644081,-0.019018027905679396,-0.7412474897044886,-0.573518926976692,-0.8822252910777454,-0.5257739597794763,-0.9608030315118262,-0.5046785019794409,-0.014245441413883736,0.4909069385854287,-0.1953343983522287,-0.5564478404702147,-0.4821650625673025,0.9003553342237979,0.17416877994355748,-0.7048420221904483,-0.4628265039245779,-0.6088691828194116,-0.7832843027709728,-0.4599767563409863,-0.6778942119578514,0.058454861716834644,-0.3084521898439984,-0.6539912147879055,-0.14464487377810162,-0.3967367042269681,-0.8729108632667574,-0.6721985397318231,-0.13921868082852418,-1.014173688046519,-0.006944207452625765,-0.5103484394321569,-0.2316621742895795,0.09968601336992772,-0.6089880620412262,-0.824148661479773,-0.2591158623282112,-0.19991608167875619,-0.10848091516460824,0.4699353252307281,-0.8456625848413899,-0.860939941349455,-0.07776999496770275,-0.6269404671701403,-0.5583593512721704,-0.8138526653795156,-0.6263230179644182,-0.9780038459435393,-0.541666182632855,-0.47285360883758715,-0.4885757567003183,-0.35508070843838374,-0.3487740869889213,-0.9046876558512805
2,-1.999062182093021,-0.7883155905879627,-1.8218607158238558,-0.7329238390281805,-2.254970963046521,-0.3888450836161136,-2.484099211074449,-1.4950406802324394,-1.7508792450739978,-1.1254809484509223,-0.5375466300955041,-1.1506211968074256,-1.9061525909561183,-1.2556819259988645,-1.8770841975306967,-2.4265999491392005,-1.821086178083884,-1.5876313883696793,-1.2797256899288356,-1.0888184549060271,-0.8826048902923421,-1.0383404829209766,-0.9166794590976628,-0.7782860492535607,-1.5170176617724431,0.1270793811718718,-1.3003906516867785,-1.4823438800214968,-1.6172886616013709,0.25885510137178547,-1.8579068971798864,-2.049291741885742,-2.1871948774714616,-1.8957808134559149,-1.018053235767966,-1.426940223019352,-1.583100184824279,-1.5009689404960065,-2.3935189990413472,-0.2022224172162866,-0.15930421109611861,-1.0664074490842304,-0.6322349728721698,-1.3665613983438645,-0.9288777386627171,-1.3545605477808356,-0.5343398658289443,-1.8491597447248482,-1.266082969619853,-2.00132832573962,-1.8328426187005282,-2.4098102758892237,-1.322568199388916,-0.584144403842334,0.5845602213491974,-0.8536244245332882,-1.4995636233315863,-0.8208186956324891,1.4355477754641408,-0.7602993946860044,-1.7407476890569906,-1.2619420807068604,-1.2517834372186183,-1.7508860823199077,-1.1755037098440504,-1.4704793468661155,-0.9495604439545888,-1.12901909822828,-1.555347342824539,-1.1022690963595485,-1.3145968820241984,-1.5630823756413519,-1.964294531579763,-0.4540705475875376,-2.6153603367525413,-1.0896733931877116,-1.771807018091317,-1.3380708561335082,-0.9697312035147396,-1.0710055603087505,-1.4617112480328687,-1.4227578321300471,-0.7868317035172785,-0.03782856350644795,-0.25818013004309076,-0.9123699704818674,-1.6510256035375346,-1.4076213673730142,-1.9642214115132626,-1.6549698389901382,-1.8864381740491523,-1.0159056901742196,-1.9159316239453372,-1.4046184192158853,-1.3623948555784529,-1.475663557032587,-1.2007620843402667,-0.10916623949274304,-1.8416257596623247
3,-2.212738462928349,-0.8699272115168738,-2.1028622960185452,-0.7167133795509446,-2.371845341754557,-0.27846304321482435,-2.7187839293350002,-1.5837748663426403,-1.8085764744577089,-1.2537109597831,-0.44962926976563933,-1.151115304510234,-2.0467803710808856,-1.53189738566413,-2.205631097406691,-2.7413791687893614,-2.036544786175498,-1.562412833518379,-1.2902950699925257,-1.274596797497846,-0.7877133110106749,-1.0720320443494973,-0.990634272598262,-0.7632680200526957,-1.5841426893465842,0.29764677001887285,-1.5171868606864585,-1.6814958528988182,-1.6617427339422726,0.2589707595452942,-2.065507961730716,-2.256805576455144,-2.428905383892774,-2.3014779507144167,-1.22689069512415,-1.716880182149711,-1.5928562174577199,-1.5494283397613355,-2.581745635251499,-0.25815639160811416,-0.1454088378058087,-1.1261984955907134,-0.7029870238114153,-1.3519296457320278,-1.1063251202463849,-1.5460791297446022,-0.5922986398025286,-2.0302259382642265,-1.2567123439363392,-2.1447156145712127,-1.9564870434912196,-2.485286178823345,-1.3400983669821591,-0.46756927880236826,0.6547317487443144,-0.9008309411971814,-1.5957834549545478,-0.7026976519603454,1.5019295208365062,-0.7464975852689577,-1.9516259065851962,-1.3164828840717642,-1.2850220532934447,-1.8642370347415091,-1.154141695205917,-1.6255175828614892,-0.9775867627087413,-1.0820566148271973,-1.529909135542314,-1.1412730521445333,-1.5073782170705448,-1.7287321726713105,-2.259823752272801,-0.43641613337610613,-2.964909408101421,-1.17026639813238,-1.891943418340979,-1.3739613381615428,-0.9849519922739776,-1.0027717892293009,-1.4694606061389996,-1.534229943623636,-0.6977884080762043,0.07949804911838086,-0.2053927749845335,-0.9987109288037761,-1.7442669400632391,-1.6878916427831332,-2.047260013008623,-2.0621175059612185,-1.8248689493739854,-1.0155320079492909,-1.9131205843930579,-1.5698519764279135,-1.4741645923672917,-1.4884535444195635,-1.1069643504728193,-0.08259514673815083,-1.8878638861768546
4,-2.3343613088080732,-0.8484529306107158,-2.1680233644164386,-0.6975194043160804,-2.312364350288382,-0.1209380944006031,-2.807573083820872,-1.6337863620499498,-1.8490117934538772,-1.3327007829843904,-0.3739643117409007,-1.0728823395228504,-1.920842875478011,-1.544160433945721,-2.334451575756411,-2.849421450452362,-2.0946272001817676,-1.509006428368138,-1.2323792509587104,-1.2843473853651524,-0.7573469085328691,-1.0406785046596814,-1.0574236625666464,-0.6972450692606483,-1.36144468909393,0.315376389323678,-1.5620928455666516,-1.749353809219051,-1.7038891762514705,0.29616443503171325,-1.9857725898916756,-2.2375988153757347,-2.4734546145608887,-2.2797772633259723,-1.1657637663349694,-1.739717036500184,-1.6174650615747168,-1.5012248920370648,-2.6083159280300885,-0.17590588848861674,-0.009122282166359661,-1.1348147204841927,-0.6325003197548512,-1.3484699930367396,-1.1408652297943815,-1.3791283331465354,-0.5485441983193882,-2.047484873143183,-1.2753421515376224,-2.264393121885609,-2.3167798902998604,-2.5740395276045116,-1.2840485285340402,-0.4189394089485155,0.7999115108795157,-0.8589216155716621,-1.5413006802857605,-0.6018871449102765,1.5134099351012988,-0.8165695187400288,-1.8566652916019561,-1.3706500084977504,-1.224438503391833,-1.9435355283193274,-1.1191692492380045,-1.5683847579866417,-1.0330835416127235,-1.091904496564977,-1.564476854750136,-1.1543083938304728,-1.525491758401288,-1.7166412442960237,-2.2687518324749725,-0.36200154072382656,-3.295117524383465,-0.9975714047164055,-2.083221205372045,-1.4120280626261938,-1.0537838087234108,-0.9984140240143223,-1.4377969511333997,-1.5411482831074426,-0.5479615615087985,0.17932091268593575,-0.11728337879982757,-0.9085062607809917,-1.765225112518243,-1.7754383817681765,-2.239733790809551,-2.0406920033368863,-1.7837773109354724,-0.9823130416773299,-2.012366669590022,-1.6011226230798528,-1.3759561823926356,-1.4741511544930224,-1.1688852935554066,0.014100705003833397,-1.925859783012599
5,-1.9804465991041076,-0.6753210452942134,-2.1173667378049825,-0.7300456984172027,-2.2534882843017945,0.07131237214338718,-2.5905150475852787,-1.3609976494107079,-1.568277738821681,-1.0350797966429701,-0.09229652988693479,-0.7912464720395677,-1.8794230106724723,-1.3937326732873696,-2.0956391604972544,-2.5756287230079193,-1.937025170690642,-1.3012134245164355,-1.2974279904721326,-1.0198189596563392,-0.4920995046435315,-0.950271629861411,-0.8867441877643992,-0.569600074486686,-1.2215004338767177,0.4583104183188464,-1.3522634352843232,-1.5074311744773115,-1.680100118054767,0.3860991065075342,-1.8179802866616694,-2.205053771293096,-2.2982757021513653,-2.302687516531784,-0.8890011039969368,-1.6251739184944578,-1.3583389033131459,-1.6116584865836447,-2.4884948961683313,-0.13752847420988062,0.26335519603849655,-0.9050975356016866,-0.480193252846532,-1.0271391410826167,-0.8124706652297509,-1.262003644143412,-0.4476658340024199,-1.9385838847710162,-1.0171136143815591,-2.1964484635499986,-2.1776428794469322,-2.4186060863111516,-1.0911316311445978,-0.3570209822376947,0.9525113347600055,-0.7266332980163346,-1.2559674578092568,-0.5769186452930598,1.5335060273202625,-0.7109330122274621,-1.723241349101436,-1.1492706158720407,-1.214257229131286,-1.6919462077300345,-1.1194705451108615,-1.4798775350044004,-0.9598977208934071,-0.985549473666943,-1.44085368397706,-0.9455422147809688,-1.5225660374554049,-1.647119087096901,-2.229041085897922,-0.167873568120866,-3.087733397596759,-0.9816137032097747,-1.9289732593424083,-1.2152677668712975,-0.7767459227673355,-0.9109173427123333,-1.4190291636759529,-1.341383736316268,-0.3971192386414305,0.2794101967890825,0.04879953609484448,-0.942244201464008,-1.5650316412240493,-1.4898621929357656,-2.1380158867143693,-1.7583422528053965,-1.8103088513040515,-1.004334511620837,-1.8287348362871096,-1.5055180188530104,-1.2466015375809245,-1.1961479664142685,-0.9975643268371749,0.06042307856327775,-1.8449472084857916
6,-2.677645131808311,-0.8334789223740617,-2.3567905038253922,-0.6811109704394567,-2.6308416751901955,-0.04995524822588081,-3.04581579695933,-1.6567447383206617,-1.7925194569026186,-1.3181714987153725,-0.3205608096441066,-1.0333999112774197,-1.8894202942864202,-1.5991194430691007,-2.494909749997769,-2.9853866105068887,-2.197468853219877,-1.3344776371433438,-1.4200358079786448,-1.2785954361326428,-0.640092722742145,-0.9356743577483196,-0.9182874085078804,-0.6085571991299746,-1.3177482789320323,0.48850501662689977,-1.6969204697145015,-1.9775199301193283,-1.6415984796000176,0.3447894596042393,-2.3336864594528692,-2.6038420470559602,-2.571078165960277,-2.4905003790874707,-1.249603438997437,-1.8332256363033486,-1.4775240527918891,-1.470883678886086,-2.8125755505875074,-0.2763926701904388,0.2421832272263063,-1.1380986434649987,-0.6082179963660279,-1.2260984137456985,-1.3715509240184385,-1.4412350406591754,-0.7017271640299316,-2.174234339842562,-1.2961446708408284,-2.3768702497369443,-2.4829534604101884,-2.7917933027011395,-1.3049494343367112,-0.40053527098355196,0.822050690153821,-0.7077279498173967,-1.425882583496943,-0.46543794068217953,1.4416627752438278,-1.0239860198417083,-2.0465934529073406,-1.474416030464684,-1.2342613503703002,-2.059844824592054,-1.1675796776891403,-1.4802820103850387,-1.1924719494265206,-1.1169858355714897,-1.502062730511099,-1.1081759861700071,-1.8990551302783227,-1.8639361684883087,-2.3804528891988643,-0.3064853651434229,-3.5500263822829647,-0.9254163132920776,-2.183878484099844,-1.4848377629014278,-1.120015450736433,-0.9500059401675575,-1.4811860925173133,-1.647867362931918,-0.43347924105648544,0.365682718581725,0.006854030992005117,-1.026581403024715,-1.9616831237911803,-1.8891008987841515,-2.589293160095725,-2.1962125058019257,-1.8030276367029758,-0.9639432076058365,-2.048123362765804,-1.7418427066819249,-1.2809013170528314,-1.4225702491046024,-1.1112787626343457,0.10910636731105458,-1.8429992805297524
7,-2.9772721297288487,-1.0509385988923665,-2.449472820798101,-0.584862136965013,-2.9010775229011223,-0.015669893572326777,-3.2221247146506466,-1.7077533997846495,-1.8027727304581223,-1.3569337083975863,-0.11939851761552811,-1.029920421418661,-1.992570807706957,-1.7207297575928386,-2.756284134723446,-3.129864889261728,-2.3080793401979425,-1.3644988844000665,-1.2109852894523143,-1.4698811155449552,-0.6814477997616556,-0.9955581455262685,-0.8496966287849165,-0.6632942187989394,-1.453454837861056,0.6876204599149979,-1.9847711802793446,-2.261209432543509,-1.5500818216972927,0.3739761305269069,-2.6749528452448685,-2.8342923033198746,-2.6896525153923263,-2.6532704579402915,-1.4841489622179076,-1.9922262417011791,-1.6378406114994226,-1.3954977138583955,-2.8996255091958947,-0.3099292545341495,0.3247335642293687,-1.3400839443519221,-0.7041792424921879,-1.4687075031751091,-1.6245723363158497,-1.6741359282107855,-0.7848183352257586,-2.271109830152122,-1.2141080823568287,-2.5190862651219934,-2.666100590841774,-3.021634907133644,-1.3360859404738443,-0.20077656964340934,0.9228582494197527,-0.6313804465826907,-1.4911236156945036,-0.32041542896461944,1.4802523591048526,-1.2418212482320308,-2.3188482540720248,-1.5706349265265782,-1.0927299627937548,-2.2296578620625374,-1.051267879527488,-1.4681814252145584,-1.2435101478465176,-1.1297027309373302,-1.5737187520182798,-1.2184771058262578,-2.0083117556432954,-1.8277528445808646,-2.417087310997759,-0.2411461266024791,-3.8496912110699215,-0.9656551217365192,-2.3349762819247353,-1.5187557927775595,-1.2545419589097788,-0.9780862412262551,-1.323884500961822,-1.76213029228722,-0.4496751140391565,0.5632581449237737,0.20064690568147325,-0.8359255825281863,-1.874229737736143,-2.0594734511211934,-2.829506548397484,-2.3420202563638437,-1.9182984551913826,-0.8431487147843495,-2.0512982150518377,-2.073423720198808,-1.360428399428799,-1.4156631154167527,-1.1029854295834678,0.25664838747283725,-1.7794350344684442
8,-3.1197667580746025,-0.9070265412936546,-2.501577396236768,-0.4855785932069533,-2.9813731180464886,0.09388035774992881,-3.3563421951387467,-1.5558486020696185,-1.815369464802983,-1.34172942055771,-0.002942797938353854,-0.9039491200565581,-2.030425390026929,-1.7117916533566078,-2.9312354996520633,-3.2372594792939724,-2.305023095756045,-1.3968025500260848,-1.207859420519603,-1.45254092600324,-0.4616288711979691,-0.9443268382975062,-0.9049185633317047,-0.5068026389421337,-1.3092337332680755,0.790673662733834,-1.9371233070382288,-2.3406780887662113,-1.5733744272322259,0.40173106168311884,-2.695604994426092,-2.8846730147839468,-2.800772210635722,-2.6429556878858635,-1.421009047301415,-2.0704523894996996,-1.5786976479103674,-1.335208864509427,-2.9375878428744433,-0.05494893099877298,0.33173935250641506,-1.244628258879076,-0.5362735367678904,-1.1895464209913615,-1.6944343732760814,-1.4778920744154347,-0.5393255928888765,-2.3550393903341784,-1.1668355068834346,-2.585831657455377,-2.5967103833208234,-3.0654099383743993,-1.189969749406917,-0.03565866132891571,1.0957687386176027,-0.6100810515397426,-1.297510654369732,-0.21916218523647527,1.7057322104312083,-1.1157348973177343,-2.329434284613141,-1.4777020520079696,-1.039408424794661,-2.1899034692927697,-0.9223567494758014,-1.4122237718610096,-1.2829228001596074,-0.9320943126676832,-1.510525173073033,-1.0424985589745903,-1.8844295803060982,-1.6534984570848141,-2.518411655282945,-0.08048572497193178,-3.8567827973577335,-0.7908881841475849,-2.2743773453596696,-1.4819529531358513,-1.1799647533512023,-0.7937789954208246,-1.2007013459815987,-1.734582655372401,-0.2931569700743544,0.6943314966523525,0.280602283150835,-0.725467633387099,-1.8651503636044722,-2.065487090485144,-2.947792758216561,-2.351716175839515,-1.756178911236941,-0.6669099718229787,-1.988114970360952,-2.0793147518205495,-1.3284151029660105,-1.3731653799031889,-0.890863248114626,0.34101933226778763,-1.7610416653961944
9,-2.713203575420834,-0.8091929576243337,-2.168087115875444,-0.33483328455940253,-2.6352759758658193,0.11888664425494398,-3.1759845453440705,-1.1998834159963376,-1.5918530856705957,-1.1139869778822138,0.10991044481241491,-0.8499002029117857,-1.9385103968159605,-1.458163191831814,-2.761487594786065,-3.0794101024697564,-2.1601461561355775,-1.1418117741737144,-0.9337448587498416,-1.1766100622251587,-0.3267408797167379,-0.7996636734231815,-0.712160233155837,-0.4376020378033043,-1.0685753979281774,0.8252101038678488,-1.8306090587305839,-2.1871185655154544,-1.2162765511060163,0.47195261820551127,-2.4924428981611277,-2.794918048708477,-2.443486203197222,-2.304787508140996,-1.1904171562606354,-1.6726822259907381,-1.4861446225231925,-1.0993650409551126,-2.7323129095948837,-0.09943207084146853,0.4088182507206494,-0.9807469710878245,-0.5459232537500425,-1.156542484253301,-1.4284368831686698,-1.4404942301589059,-0.6027564787283559,-2.0059410531309596,-1.0166879685014028,-2.2454392604063416,-2.5700225318817806,-2.802338867137175,-1.0765562858767266,-0.022895371196167517,0.9288192184415605,-0.4601464689851313,-1.1023367684090726,-0.14696060494834295,1.3481923792918014,-1.067793192010846,-2.2307043488287315,-1.4096444164976776,-0.8802434704074722,-2.0318352905185937,-0.9373441883531577,-1.2186754404988511,-1.1314182473131535,-0.8264412909640312,-1.3695792801917273,-0.9373875705185818,-1.565095638047563,-1.4123212092589705,-2.335093710132514,-0.023328610549166625,-3.7436792524310567,-0.5618545620838546,-2.1548991164642413,-1.327459148374168,-0.9861380818635055,-0.8295810704020307,-1.2751105521603663,-1.4716128201045307,-0.1342651215541649,0.6575958509554652,0.3293976158667057,-0.5842117597408917,-1.6939014831216943,-1.8180361153185907,-2.7877671066373853,-2.2904683119269,-1.7274873136834594,-0.6330062919119761,-1.6893343164679322,-2.0718769119006164,-1.0788182963924091,-1.119039144824179,-0.6780124066278773,0.23503468906949093,-1.4853841502529286
10,-2.8097328291713595,-0.8659241543362863,-2.1441547107731482,-0.3424053696020156,-2.683627330382731,0.11261338323044315,-2.9610387959555844,-1.0997092212451172,-1.306151626329413,-0.9740549276836739,0.26028024625991514,-0.7245676475399176,-1.8460863730411414,-1.4450283861381268,-2.6796546085529886,-2.7683994720048757,-1.9645360919012667,-0.853287125248275,-1.1173471608273862,-1.19393146549475,-0.3776665325470443,-0.7664373506860508,-0.7371537367792182,-0.38017230024776605,-1.2396502843222512,0.7380627703655414,-1.752465092395113,-2.0187159007061655,-1.2133865840111377,0.3447304400187265,-2.341392302441768,-2.4694390750847677,-2.4672406354701004,-2.26506315330615,-1.2566152285737053,-1.7510743229924413,-1.2950055415498865,-1.0305884343496239,-2.471012712773643,-0.05302922100162783,0.4764127405305688,-1.0072731014805538,-0.40175288254414526,-1.182618752671918,-1.3860347467534044,-1.3321512308005028,-0.4567653727494909,-1.9770206313066334,-0.9274453483778289,-2.0731327088820906,-2.630642270582626,-2.8046004747517266,-1.0515215979975834,-0.12920576724194396,0.9461569835515482,-0.4630639195905808,-1.0246845788416399,-0.1483128967644011,1.40277648335409,-0.9543267624213362,-1.9798807567079397,-1.279116725374439,-0.7975800367494555,-1.9013291908576393,-0.8093950264479755,-1.0987933229697304,-1.2290811439921665,-0.6406081983552299,-1.2984452317652542,-0.9220879277767857,-1.5493632687010408,-1.2147428950592154,-2.237727037728306,0.07066593988588261,-3.524837546606028,-0.7738621086692167,-2.0537686583686146,-1.2832251046037786,-0.9630117202172318,-0.740220425138502,-1.1104017022245731,-1.4799998779794215,-0.3412704839888273,0.635745702289266,0.1719702109672844,-0.1950457945008316,-1.3722486237663265,-1.6988079391785538,-2.5156500348452115,-2.044263840071801,-1.506737251710513,-0.6552294148839779,-1.563371934690679,-1.83222167199362,-1.0795801595989691,-0.9300376144868927,-0.5835741738487008,0.30492885342692255,-1.363530942113131
