index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
accountant,-0.20843594342238259,-0.20686882747715105,2.1823492,79.0721,8.617418,0.3394574
air traffic controller,-0.6616368318454807,-0.16876087163603007,122.199295,34.434288,5.6753683,0.79951817
architect,-0.6135318880893562,-0.22081352121859876,109.21855,28.664942,5.931381,0.47510114
artist,0.5012063316942114,0.17797163052000498,-52.14567,188.1289,12.330867,2.0286953
attorney,-0.40528549473525693,-0.3019664364884005,29.271387,49.686462,7.726012,0.0873542
baker,0.9584628804412086,0.11983439280572883,-138.64824,-7.527712,16.01187,6.8599343
banker,-0.6688396677523246,-0.26924311054895245,100.29368,14.969276,6.088235,0.17245801
bartender,0.09202961894797736,0.4036319605065856,-4.239526,157.38261,10.561645,2.0527925
barber,-0.547466888001304,-0.16211835866468846,115.25972,48.013496,5.96092,1.0509388
barman,-1.2722926303087325,-0.048317104626156904,105.08716,-151.24232,6.2017536,7.5279975
barmaid,1.6753638858272935,-0.1624008567790897,-149.94649,-142.15479,-4.662872,10.316541
bookkeeper,0.7680375464309335,-0.015840117652715074,-106.240585,35.932014,15.630793,6.0802393
broadcaster,-0.09813100787164111,-0.08826703089337645,-3.438462,100.20495,9.1407585,0.71551657
builder,-0.9324290945491779,-0.21253916437174641,152.95404,-67.86604,4.9246907,7.586674
businessperson,-0.2506151904029305,-0.23530017173704834,10.642426,76.21065,8.391893,0.19134855
businessman,-1.323302918929263,-0.2216250997127705,91.90714,-168.42307,6.2061386,7.9079366
businesswoman,1.6909821386221926,-0.1829061924538052,-153.21855,-153.18553,-4.558262,10.138011
butcher,-1.0905265611821384,0.16326170733103337,115.49572,-90.22424,5.942592,6.416038
captain,-1.2312909456415766,0.07314274162992404,122.65727,-119.84355,6.2697635,6.8073583
carpenter,-1.0368452743085617,-0.06310277297545527,136.07578,-82.25898,5.2859845,7.2165236
cashier,0.9269187279463932,-0.05383358005657885,-124.10226,-0.9664291,15.776494,7.0644946
chef,0.37339543703573386,0.4614361066684591,-30.340567,188.93236,11.935137,2.3573015
coach,-1.0156947800795708,0.20980503008597381,81.12716,-85.50897,5.606724,6.168773
cook,1.2585107752729647,-0.09357002406191758,-101.602356,-112.286545,-4.396457,11.055305
computer programmer,-0.24212130454324968,0.15484144294645025,25.997583,133.09337,9.28434,1.4589151
dancer,1.4091068186160363,0.22140757871833536,-97.96761,-81.81194,-4.742073,11.425656
dental hygienist,0.03839373837563752,-0.13284610696601282,-29.892563,118.47391,10.432232,0.9424039
denstist,0.09659527574249639,-0.15428511376033838,-41.58272,119.468216,10.748101,0.77561533
designer,1.0638241087496627,0.23059279403431748,-161.84314,-17.18985,16.228008,6.764178
developper,0.47674409489801334,0.3599423203488669,-40.42944,191.07751,12.161744,2.244766
dietician,0.7734194238770316,-0.13553379233772855,-110.46816,24.076654,15.691071,6.2281494
doctor,-0.31021317872393916,-0.16481750121467065,80.37313,65.40067,6.968252,0.8064699
economist,-0.5255909113677975,-0.24502262783841058,92.16703,32.61864,6.4975014,0.29603803
editor,0.5001824267560692,-0.11460305742648448,-3822.962,-1791.2598,15.928461,5.2642736
electrician,-0.40889474483439636,-0.1627293562180063,84.37531,56.181656,6.7488747,0.81634337
engineer,-1.1251401315202576,-0.16487792788224515,149.69255,-92.40432,5.707158,7.4725986
farmer,-0.9610028974748296,0.1717300354359419,104.00818,-76.370705,5.980499,5.754657
filmmaker,-0.4997408242323136,0.2056650057591876,70.78303,-11.54331,6.663829,2.2596464
financier,-1.0114834725356825,-0.28571049638877455,167.85349,-77.20571,5.0445747,7.8021984
fireman,-1.3806924214982599,-0.18046953262354035,103.34718,-165.33803,6.3579636,7.928697
