index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
accountant,-0.4736289646367054,0.0242006986107429,-99.808784,83.2952,12.212785,13.849172
air traffic controller,-0.37797511297633724,-0.17134279019466273,-124.07069,30.059156,11.484633,14.04218
architect,-0.4849585057744862,-0.0487184912987364,-191.9751,60.956135,12.878609,14.486575
artist,0.5377876467626347,-0.3409621497035837,86.34314,-104.7346,5.9014163,8.777409
attorney,-0.6463429128346732,-0.06041936826707384,-208.3428,121.46652,12.747045,15.528116
baker,0.36712077017595934,0.454179825858034,218.7424,56.744934,5.2452,3.8510358
banker,-0.8189500732937199,0.1023709166595339,-107.60243,206.85925,12.798952,17.784338
bartender,0.4895892124166336,-0.38584864714646305,89.19722,-80.900314,5.719932,8.513209
barber,-0.7249775206560168,0.18060998408212345,-182.90305,-17.798647,12.6383095,18.018568
barman,-0.6862227406869603,-0.1685059870646746,360.87305,-417.77527,12.4166975,17.477041
barmaid,0.9339570147160869,0.40038859850983183,62.35992,-255.16083,2.8136802,10.224317
bookkeeper,0.11179723606974809,0.43456077257298603,138.54695,97.041016,5.9075346,5.138308
broadcaster,-0.3074191741352919,0.03189617212276834,-59.700222,13.603175,11.87308,13.080725
builder,-0.7792848814843941,-0.029495760922055702,-114.60994,221.35632,12.617459,17.818926
businessperson,-0.5571059275078349,-0.010855247908954847,-137.77599,84.67351,12.169591,14.558577
businessman,-0.8165506465646505,-0.2101092047848133,-183.08815,164.77722,12.586592,16.71062
businesswoman,1.0851933125007365,0.2078492787233268,66.19297,-242.35379,3.1136708,10.032711
butcher,-0.49091583774083225,0.10628075695145248,0.8959225,56.086643,11.83618,11.502838
captain,-0.317852744712659,-0.35322183140320573,-93.5974,-69.81656,9.566854,12.027847
carpenter,-0.7742657547884034,-0.053539132125343496,-404.17706,-306.9245,12.5879755,17.866076
cashier,0.1606805214570218,0.28817692209387896,131.89423,74.83085,5.774854,5.300831
chef,0.8214066504622118,-0.28831838633021456,91.25546,-163.78488,4.2538805,9.343079
coach,-0.18834627297734322,-0.4373744077895756,-36.087376,-56.107815,9.533172,13.215344
cook,0.6803706478670363,0.3871763202544785,204.4513,-39.86445,-4.3888645,5.3843703
computer programmer,0.2161642554160159,-0.2527391162185719,57.344723,-43.01732,5.597996,7.6006727
