index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
accountant,-0.5928715721468033,-0.1000644878742292,136.63629,-110.99049,9.872764,6.1651154
air traffic controller,-0.12047699150639894,-0.3575927458196157,150.20772,27.48041,8.274996,1.9295877
architect,-0.24567234303397412,-0.26931423465810606,23.662382,-52.238476,9.061396,1.0192506
artist,0.7938669996637857,-0.07329499310840351,-139.52019,47.369434,1.6915903,1.0976127
attorney,-0.39025484647069514,-0.10663654041924332,136.57321,-2.9426095,10.198351,3.9672375
baker,-0.11920106804212398,0.6957315329667201,59.417183,169.07425,4.7033753,4.5411015
banker,-0.8011369190081129,-0.1188066810853548,101.72174,-130.74364,10.649367,6.4106526
bartender,0.7109114229201087,-0.4509446308271961,-125.03943,-0.12431905,2.1933715,0.8248726
barber,-0.7104489983642481,-0.08848186240904467,110.385956,-133.3974,10.700904,6.5779495
barman,-0.46643973595512334,-0.34474711277896897,46.586594,-6.7335124,9.365137,3.7588153
barmaid,0.48147031366611437,0.7040650286502736,-75.93552,105.93506,0.9914688,3.333372
bookkeeper,-0.2890271701384345,0.648577685551484,37.563805,165.18047,4.4333296,4.1268415
broadcaster,-0.3323842554611007,-0.007332346122434468,116.14258,27.431362,10.616995,4.237057
builder,-0.6700817702890557,-0.1732267729011705,77.420654,-24.19808,9.155878,4.744835
businessperson,-0.6374211187332446,-0.0640711874342098,128.3598,-108.5103,10.030852,6.4988594
businessman,-0.40509586642929374,-0.4139168365283609,30.846039,-7.6504445,9.263359,3.3414996
businesswoman,0.6448058346970904,0.6434267907995322,-82.08339,99.10117,0.9141022,3.1328862
butcher,-0.3411715971325774,-0.3141195473371198,35.153297,-72.53589,9.286513,1.039356
captain,0.20449573097587137,-0.5309839602992635,-96.297714,-91.10021,7.216504,0.73653555
carpenter,-0.6486905168815837,-0.13067468215658112,83.73068,-15.768693,9.141412,4.777528
cashier,-0.17208506564940146,0.5364784638870325,31.378946,142.04062,4.0388594,4.165335
chef,0.8968474955556679,-0.18057078250498032,-120.80864,30.579157,1.5004971,1.0194519
coach,0.3321483515123874,-0.647778723178207,-125.52213,-43.451927,3.3379195,0.61882555
cook,0.15249635159174618,0.7204673532598785,-49.25643,129.92007,1.6038527,4.054318
computer programmer,0.3359113072644587,-0.47430100196602615,-157.97166,-5.9092145,2.633526,0.21114598
dancer,1.2117104262711846,0.25006580609394896,-88.755905,37.53932,1.0005984,1.3197777
dental hygienist,-0.671034283357739,-0.05115136765808224,134.31946,-99.45731,9.759063,6.5644236
denstist,-0.7566331719957698,0.11649714027889578,158.81662,-93.2452,9.531982,6.9089594
designer,1.2273145817641709,-0.01860246800279998,-88.47364,28.522217,1.0813057,0.969191
developper,0.6776574574343796,-0.24239073120337032,-139.08855,28.286943,1.8517852,0.65160537
dietician,-0.1514364991107141,0.4606107505999634,20.680725,133.48322,3.4457576,4.0775146
doctor,-0.39277377474235414,-0.053498727318236586,86.571205,-90.216415,9.373203,1.5577774
economist,-0.5207380426208965,-0.032508703563158894,123.384735,-31.1599,11.080996,4.5709887
editor,-0.20281014103631806,0.24926126806670604,18.35028,111.216774,2.9993494,3.7652118
electrician,-0.48390769531964145,-0.10528145030060805,137.04733,-11.909329,10.603225,4.6339574
engineer,-0.2865948866936002,-0.4053146451003405,19.518427,-38.051,8.800085,1.2730266
farmer,-0.354554745595334,-0.2130577238934693,43.787655,-75.81144,9.426865,1.222336
filmmaker,0.6854309893888415,-0.6263448378575501,-124.390274,-11.465148,2.7958064,0.7768237
financier,-0.5729971406775706,-0.26572868663087534,72.423485,-12.786327,9.008991,4.5521455
fireman,-0.3813241776102288,-0.40842119085015505,23.12194,-14.20734,9.379501,3.2140853
fisherman,-0.07824519743283596,-0.516773149161339,-83.81536,-78.553085,7.848772,0.92312837
flight attendant,0.9101469176445078,0.18777932778539055,-119.48885,58.544647,1.1988922,1.7152445
gardener,-0.5949358355828496,-0.0378875726705059,107.198555,-27.568546,11.177473,4.615344
guidance counselor,0.4803794435968248,-0.36412719466308924,-152.6905,14.854763,2.1137712,0.3524925
hairdresser,0.13750960791561256,0.5385767832339452,-15.699159,119.19788,2.1305392,3.8611655
homemaker,-0.043045483292521475,0.6026664300579213,22.328712,150.00162,3.8599374,4.338861
housekeeper,-0.036466968781301255,0.7538607445078196,62.302135,155.79552,4.4850144,4.656022
interior designer,0.8047321979042912,0.026266161958347634,-130.92798,51.72224,1.4517534,1.4244716
jeweler,-0.5906602894362373,0.2849436843669505,107.92915,-84.59886,10.131344,7.1732383
journalist,0.37123932812738747,0.5139461792859995,-24.097057,111.62509,1.8223884,3.7358062
judge,-0.7263749203694294,-0.046291180429598504,112.50004,-124.74822,10.557408,6.5335617
lawyer,-0.6183013615448723,-0.11770590169727171,140.79915,-121.98925,10.004063,6.1673694
librarian,0.1866495735333527,0.6713293844587913,-35.46957,121.26588,1.672307,4.0287805
maestro,0.3131949111598472,-0.01591457599296415,-77.611,-124.25674,6.898079,-0.25939673
magician,0.2802510130291553,-0.11149006785145305,-85.44335,-119.03774,7.033128,0.028016223
mason,-0.37529786427320877,-0.1967661252916409,40.689636,-83.681076,9.421492,1.1831386
mechanic,-0.29288139529206425,-0.3312923152225215,32.979263,-19.835775,9.4751005,3.266597
musician,0.3936002666174949,-0.7313617994298058,-120.550865,-35.26306,3.1972733,0.810335
nanny,0.8576692225830658,0.5592829838750142,-90.56018,88.22367,0.9016682,2.7273922
nurse,0.8330760517842071,0.4382557505715472,-104.891685,80.57886,1.0290772,2.5075128
nutritionist,-0.08075018997189225,0.44826834556487827,9.791915,125.64077,3.0435143,3.9171534
optician,-0.6548440225499329,0.02402890672240542,115.770676,-100.96161,10.068278,6.927992
painter,-0.35274251084304964,0.5175049178887583,53.64998,-123.6116,4.8901606,4.470184
pharmacist,-0.7532269311894759,0.1534141127752217,160.55296,-85.46532,9.609273,7.0441623
philosopher,-0.08330487257008605,-0.2901478223363442,-75.60978,-100.167595,7.3928056,0.3461432
photographer,0.1986643357362217,-0.39603968402376166,-164.61984,-12.024192,2.5497742,0.14083503
physiscian,-0.4049506373863852,0.38004076032892525,59.602005,-118.68319,5.038637,4.395279
physician's assistant,0.20921677636839348,0.6700758612973043,-44.58139,121.80587,1.4936699,3.9284396
pilot,0.2645781086164538,-0.5942352453486582,-118.42322,-48.69229,3.461608,0.5360915
plumber,-0.25135763333312844,-0.16777023061818347,134.37952,9.407941,10.0611315,3.7657683
police officer,-0.39234825931941736,-0.24347875193812904,45.760483,-16.904818,9.755819,3.6353185
policeman,-0.6474179997633501,-0.11921448043515076,84.44379,-7.6819124,9.258813,4.6140485
politician,-0.5805688798397205,-0.0240974075817737,113.77637,-37.33506,11.295145,4.7579913
postman,-0.6393119578510374,-0.2972384587396346,72.410324,1.1123457,8.945468,4.6506042
professor,-0.53503914739116,-0.027230132585904253,116.8056,-25.385553,11.098535,4.6270623
programmer,0.610183085014484,-0.6996995893097937,-124.22933,-20.184942,3.06547,0.7147291
psychologist,-0.18045653149764462,0.32916440205541675,20.23036,121.99641,3.2177455,3.8753927
receiptionist,-0.7949083185735313,0.046199441824585886,149.63824,-84.29947,9.609816,7.0596566
salesperson,-0.16238262204727735,0.6298471280620489,37.5303,151.95155,4.140892,4.220998
scientist,0.18766299450470803,-0.25984738733778134,-82.46395,-109.37126,7.1974545,0.3091269
scholar,0.2974825086642962,0.04506871385607286,-84.426155,-133.44771,6.8734794,-0.3014564
secretary,-0.13467056582784367,0.6846601497790041,46.241493,151.69093,4.2773695,4.4647474
server,1.155718945839057,-0.3342821192790824,-89.80911,19.576466,1.0769038,0.82775176
singer,0.6413663188686224,0.4777520313532525,-104.63303,90.791695,1.2018298,2.8851035
skipper,-0.06318881320425146,-0.2778060496528312,-118.49669,-75.11613,8.152491,1.6980695
soldier,0.478325905374845,-0.574996864668505,-103.72388,-100.69383,6.992401,0.56227803
socialite,0.42156562803450787,0.6411016840555984,-66.59395,110.44949,1.1960275,3.5449295
stylist,0.8421146013465426,-0.015564424597409822,-120.98739,45.81361,1.3633956,1.2988065
surgeon,-0.28793043150007425,-0.42215554357129115,14.144885,-44.123497,8.665735,0.94089824
teacher,-0.049778862953155645,0.7218008181476353,66.445854,163.79079,4.607326,4.712539
therapist,0.6160600441386724,-0.24760473428904303,-148.0593,25.720547,1.9693341,0.4728559
translator,0.4853792401740781,0.23913909879911444,-74.86388,-135.59972,6.840176,-0.3260328
undertaker,-0.5480018520474478,-0.059179623224147285,101.75576,-95.78085,10.3080015,7.005379
veterinarian,-0.22739867344428905,0.0018296626253997044,123.480736,28.935415,10.350147,4.0245275
videographer,0.46086152371611677,-0.44793039356752135,-154.61043,4.6152244,2.3149977,0.32764015
waiter,0.01592721384979351,-0.48682887895545374,-94.13012,-75.4268,7.641406,1.1288882
waitress,0.8936539384657967,0.32846672350040435,-112.00107,71.61562,1.0827682,2.220233
warrior,1.2290776231204679,-0.6855097831704036,-81.23713,12.934342,1.0214969,0.87139916
writer,-0.03330116532280375,0.46917514053596665,-1.0415132,122.16534,2.7207716,3.8904407
