index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
accountant,-0.1549742546190398,0.07106061732909237,-9.495671,-17.818615,9.832929,4.1217747
air traffic controller,-1.6758062288192799,0.3458990846682508,-27.816408,-118.11386,13.161864,3.9874144
architect,-0.07162960260947655,0.056582191493776975,-3.623908,2.2009902,9.153497,4.1996846
artist,-0.6436668781330798,-0.8437942187303877,-59.033752,67.28688,15.268164,-0.032526266
attorney,-0.4702867975031827,0.41122045917670436,-26.774645,-52.8031,10.654565,4.649455
baker,1.4498266961665303,-0.4538404187900775,61.43884,139.14665,1.2601563,4.6745315
banker,0.46524473750990497,0.4503998307702949,17.897398,27.346378,7.964751,5.1645737
bartender,-2.1930825786568655,-0.28218058749698527,-14.961614,-144.9103,14.346358,3.3057175
barber,0.5227192879838044,0.49918032495751286,24.210938,25.33599,7.8792524,5.204215
barman,-1.3410938512258164,0.5335642433695049,-47.438343,-86.9725,12.23002,4.9087987
barmaid,1.5493591389969243,-0.8795585809277514,62.07014,167.81087,0.5508179,4.692094
bookkeeper,1.3075012075021348,-0.09767303282130237,68.23817,136.16708,1.6702957,4.773565
broadcaster,-0.2690762611240395,0.009192704107101242,-2.1524892,-17.463102,9.742848,3.8939474
builder,-0.2670185233134872,0.7003974810425291,-103.60348,-34.56258,10.311106,6.088932
businessperson,0.2301691675071849,0.12986116029068906,-4.022118,17.708166,8.588081,4.371254
businessman,-0.9091706160847755,0.8472882926666039,-63.75856,-68.993774,11.450127,5.618399
businesswoman,1.7091260385732692,-0.9183976259763299,66.992676,172.31363,0.354843,4.844403
butcher,0.5745030658391594,0.849271454354089,32.50018,21.753557,7.6897283,5.3282766
captain,-0.8952799875035597,1.2080073101418927,-60.00749,-61.48051,11.401651,5.658807
carpenter,-0.10243496127673932,0.7521009325282453,-99.215034,-29.219687,10.050221,6.2690487
cashier,0.5886104651498046,-0.4426272109241219,0.5220272,81.37062,3.6984177,3.636552
chef,-1.297230167321948,-1.1613583307522493,-65.94778,-174.7806,15.338829,2.0498154
coach,-2.4809090244946943,0.2622118886597445,-36.23865,-148.69986,13.95435,3.456514
cook,1.2117619087292189,-0.7358150558938088,51.02353,128.5835,1.3369666,4.306966
computer programmer,-1.9449645264000275,-0.1739253866149325,-0.24099202,-165.49135,15.202295,2.8378808
dancer,-0.09481386007107957,-1.2915555970946957,52.357548,69.909134,15.058363,-0.51779896
dental hygienist,-0.32412372390111943,-0.01659823529436596,-1.7965032,-24.788414,9.959379,3.9601321
denstist,0.6076225652979705,0.11370820478517323,5.8479667,43.913605,3.9147754,4.344619
designer,-0.5056134113320041,-1.1563872628723404,-57.730415,59.98666,15.355754,-0.082919694
dietician,0.7032669984515861,-0.37940247912467,6.0492883,76.61065,3.1653476,3.7869248
doctor,1.0200753975478154,0.45919065262852854,118.032875,-25.826889,3.7148185,6.140441
economist,0.04435171452250541,0.1590130705548401,-5.4911866,9.976864,9.006356,4.3454843
editor,-0.4926175341889966,-0.2810406692991108,-4.4746437,-34.704666,10.488155,3.9637606
electrician,-0.9330209811366668,0.2535364808452618,-26.220438,-69.700676,11.676246,4.4751897
engineer,-0.6774911991674702,0.8424424420067541,-70.6115,-67.46517,11.253728,5.7811146
farmer,0.9891087430057226,0.9310591347830854,112.59071,-3.1100447,4.1795707,6.5219555
filmmaker,-2.1304387855151337,-0.4451014885958843,-2.6771343,-173.53212,15.004203,2.8877735
financier,-0.20432875441531814,0.8811982115153918,-88.036766,-18.987158,9.857245,6.526642
fireman,-1.7511567288636856,0.7359722545685483,-38.582626,-110.20373,13.042768,4.0966954
fisherman,-0.5051926166607222,1.009815432162151,-76.64641,-59.728832,10.966374,5.9821935
flight attendant,-0.6879121898430979,-0.7230516011098469,-69.80048,50.583755,15.310436,0.15653016
gardener,0.02475143068823447,0.4846355168061705,-92.00989,-34.916946,10.013136,5.873141
guidance counselor,-0.8637222106671174,0.046513252121382465,-13.818436,-64.74446,11.489773,4.217377
hairdresser,0.4968663342431443,-0.6785043096931802,0.9066232,98.19005,3.9553173,3.1926396
homemaker,0.9531840852211785,-0.48235412276571604,30.662172,134.45918,2.2349133,4.1525683
housekeeper,1.8041830650155926,-0.5651920154345013,72.478294,159.45108,0.38999498,4.9230995
interior designer,-0.46011689463764294,-1.1325950921886776,-65.385735,60.392536,15.295704,-0.17348185
jeweler,1.4655773169951976,0.3362626836308388,131.47162,-9.955305,3.515385,6.433407
journalist,0.5567553952413606,-0.8372457341120487,-0.9968988,107.50068,3.7696898,2.9763758
judge,1.2299002228633147,0.5810965899509313,113.1145,-19.111017,3.8665113,6.2586627
lawyer,-0.07528081017102564,0.27849841427842925,-19.393568,-9.146943,10.009219,4.675673
librarian,1.0287272909208762,-0.49760703348372,36.43658,138.22685,1.9860607,4.3605433
maestro,-0.1423718414898937,-0.7608081922040429,55.135803,60.66548,14.997008,-0.6308102
magician,1.1597035608630792,1.1547047183177672,106.17374,1.4848337,4.393851,6.7527666
mason,1.3691392347567282,0.9625359619651176,118.04178,6.396624,4.123633,6.897978
mechanic,-1.6614895452254002,0.4391060915258638,-30.100359,-112.02383,12.928794,4.1861024
musician,-2.4319308913146784,0.2883629365612771,-38.816288,-142.53813,13.931989,3.4694471
nanny,1.0949173218247048,-0.8125691677914564,39.773766,116.76134,2.1200924,3.9150202
nurse,0.847120019928264,-0.6991953415767652,30.608364,115.99982,2.4335113,3.8299525
nutritionist,0.3914315558952624,-0.48138432608976744,-4.5124435,90.728516,4.0263143,3.1471322
optician,0.4816060786640583,0.270713271682305,7.0289855,34.89332,7.946441,4.8017154
painter,1.115275751536991,-1.0604485211300188,12.444251,167.15846,1.0446326,4.3152966
pharmacist,0.9273802003890924,0.24745926727601358,118.63681,-32.34717,3.5979526,5.8530087
philosopher,1.7991532036217444,0.9783401045929822,126.58981,13.237611,3.7778187,7.0410137
photographer,-1.8814278698266387,-0.8607111714232079,3.2524962,-158.13805,15.4032,2.7377336
physiscian,2.0555982091179286,0.567216423827044,134.3957,14.579084,3.5953624,6.9476304
physician's assistant,1.2662012908749116,-0.5430250965494804,48.747353,144.39778,1.7484798,4.613094
pilot,-2.00735900237067,0.4444988292215647,-30.107412,-130.72362,13.658212,3.6678414
plumber,-1.2936663675799773,0.34743673682411635,-33.84804,-82.789764,12.1775055,4.5622435
police officer,-1.1704427551860612,0.6382366394804868,-48.752865,-79.4821,11.848537,5.1665444
policeman,-0.021489526171003696,0.7366125859820157,-89.82168,-27.370659,9.974696,6.3148437
politician,0.364723530817057,0.7129176173329085,-73.13986,-8.287028,8.125137,5.661978
postman,-0.13565052314320625,1.0044849255647044,-79.81834,-31.778336,10.214838,6.3825984
professor,0.2564727112301329,0.32680018474705946,3.7260733,26.157206,8.2722645,4.7392464
programmer,-2.0602738737917954,0.25165390755472006,-20.013027,-139.23837,14.036305,3.4664354
psychologist,0.706634886443976,-0.20275608493583053,4.8662744,66.998695,3.5635407,3.9587002
receiptionist,0.4677491287799919,-0.10741449281250151,4.0801854,54.99296,3.7962642,4.1632204
salesperson,0.8107141858607525,-0.6110564603054485,24.591639,119.91434,2.5436988,3.8206608
scientist,1.2284562338790879,1.1533332421379936,107.99694,8.158267,4.4332905,6.829823
scholar,2.5301993806727014,0.9359274187877484,135.76495,23.115437,3.6815896,7.0883684
secretary,1.260346360124457,-0.5584151512049188,49.108624,136.50558,1.6675715,4.4179125
server,-1.8772881646516917,-1.0037490923255927,6.228271,-176.23154,15.006542,2.668945
singer,0.04767278788633524,-1.2681138409381931,46.295155,70.399,15.118193,-0.5350654
skipper,-1.9997807142789903,0.3059440043025255,-21.759535,-128.63307,13.593994,3.7339442
soldier,-0.319920707482465,1.392959413680999,-71.45843,-41.942112,10.630911,6.2694097
socialite,1.5555338885052925,-0.6570988611606725,60.377155,155.69801,0.5840857,4.8470173
stylist,-1.0172453381006956,-1.0752754509945737,-71.82171,-172.7827,15.386203,0.55077076
surgeon,0.08543315045511783,0.9519178443039316,-79.45661,-13.70152,9.708933,6.337484
teacher,1.8912293115712813,-0.5393788615889054,76.52594,164.91748,0.27859256,4.934884
therapist,-0.007790885598992916,-0.29609877472217655,8.728697,-27.74539,9.97986,3.8033981
