index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
accountant,-3.7175692323085694,-0.014655308852258384,29.27228,-102.912926,7.611458,8.846608
air traffic controller,0.49941540316633337,2.7223598823800192,-145.20953,-37.03596,5.3388267,7.7886696
architect,-3.324172283507508,1.9927333997635015,58.5535,-60.166252,8.125638,7.6059113
artist,6.646400669573462,1.9118929377185276,57.2117,132.39401,0.51271564,11.986653
attorney,-1.4909012916231184,1.0227186973968687,-114.10257,-33.38287,5.935568,7.8612638
baker,-1.299838396775387,-5.240584174862518,-63.55131,51.755875,-1.573529,5.7622657
banker,-4.621906104377535,1.3547071581048673,-21.59166,-89.71622,9.183972,9.31642
bartender,6.665192455510819,3.6878866671524166,67.53415,88.58934,-0.1962628,12.3652315
barber,-5.17450142999341,0.48245527501596536,-21.196459,-103.30566,8.8644495,9.548428
barman,-2.2976205562993273,2.6217883954973673,-80.12875,-101.02842,10.356834,9.677226
barmaid,2.2643738027037896,-5.360597320356164,-36.709137,92.347115,-1.0627189,7.7957478
bookkeeper,-2.0335721544753493,-5.159741546652973,-71.63817,44.738075,-1.365361,5.9867573
broadcaster,-3.835910642740763,0.30888788364979236,42.114094,-106.19693,7.6174555,8.5238905
builder,-3.7834680797985323,1.8867727120403261,-10.6656685,-34.64941,9.734364,9.690544
businessperson,-4.4497098245576465,0.4051080936910535,35.011257,-90.42516,8.009688,8.6345
businessman,-2.5975476254956873,3.6591453405398884,93.34175,-69.74759,7.932802,6.9978266
businesswoman,3.906096396487181,-4.5487693425203,-33.274956,108.706215,-0.70587975,8.251831
butcher,-4.380320769937552,2.2594138742182084,-81.4016,-143.92374,9.775795,10.602926
captain,1.2596035810574724,5.268762334128058,116.843216,21.356544,1.8066313,14.794817
carpenter,-3.7242494965914497,1.9494790789579939,-85.953064,-243.42615,9.919493,10.014905
cashier,-0.09606142454345322,-4.748183139980645,-93.02116,81.31001,-1.1278207,6.4551835
chef,7.614717817017398,0.7265544082124236,47.32507,111.84276,0.29518923,11.551009
coach,2.561375047931496,4.422976535146092,91.16799,29.476429,1.454095,14.890451
cook,0.256071859970748,-5.46178027174699,-50.65865,70.01077,-1.7011844,5.99892
computer programmer,3.946472994921409,4.215526780770057,100.87107,109.59829,0.7308545,12.993382
dancer,8.822294135515433,-1.9554704625006951,26.687504,98.85943,-0.088974155,11.268051
dental hygienist,-3.9501337606000786,0.014799433983374213,24.366047,-114.51067,7.6432123,9.25206
denstist,-5.04656674464823,-1.010045442178569,4.6087265,-131.593,7.8259277,9.6855345
designer,8.954699719415116,0.30068917815150525,38.806355,93.99923,-0.10829502,11.471589
developper,6.760011767943201,2.237583388716927,74.75556,96.53981,0.04218537,12.538328
dietician,0.006792839062330431,-3.9799784926367368,-105.11423,97.677284,-0.6585439,6.4203415
doctor,-4.425326439150077,-0.970469154516886,18.806915,-63.630657,8.183296,9.4566965
economist,-4.186453717627404,0.9071335021005775,44.063633,-60.90248,8.17614,8.056186
editor,-0.6319893784261265,-1.8207713155591299,-130.76447,115.31513,0.069195464,6.10436
electrician,-2.7396925230199782,0.14722427400485277,17.180223,-94.40102,7.4530883,8.614354
engineer,-2.440744411345021,2.9407602020852335,86.372406,-62.446026,8.041841,7.086991
farmer,-4.203434594325441,1.833840161060688,-86.72478,-151.88177,9.729612,10.71825
filmmaker,4.400399767151198,4.943252655798,97.18868,52.007668,1.3035672,14.434422
financier,-3.6651683214261777,2.7344626969645334,83.61182,-75.44769,7.9733853,6.989245
fireman,-0.7735710556890567,3.3783045454075196,-101.87421,-63.453682,5.666563,7.305205
fisherman,-3.4674716537784165,3.5248656015061197,93.02407,-44.50264,7.7378488,7.2597027
flight attendant,7.4770696028434935,-1.4307111983963816,26.874659,118.98136,0.18885939,10.958812
gardener,-4.173531006118415,0.712132661498219,-53.188873,-106.16194,9.667561,9.735281
guidance counselor,5.775175436137126,2.6197874227491016,77.186584,110.2315,0.2843147,12.533787
hairdresser,1.3218147553752175,-4.152815294653495,-66.28313,128.76393,-0.3938929,7.201652
homemaker,0.6557843285676378,-4.5256495691300715,-93.93478,92.65183,-0.94718,6.6695685
housekeeper,-0.6667399448337549,-5.48063718411074,-61.12203,62.71212,-1.4809777,5.8738933
interior designer,7.732688383499326,-0.031489420460501946,49.00329,127.058846,0.47100633,11.575447
jeweler,-4.714272366131381,-2.301257409180149,-13.319277,-130.33305,7.8851247,10.14879
journalist,1.9785113806318013,-3.674557841505635,-54.74049,132.30435,-0.3116707,7.6461015
judge,-4.810391076107078,0.38499581022242063,-11.647733,-85.50487,8.754531,9.022662
lawyer,-3.5251201061686115,0.30182752018735853,22.84492,-87.55789,7.776807,8.593645
librarian,1.3699110388737332,-4.478081372804239,-69.723495,118.58598,-0.48827362,7.217567
maestro,-0.6512673784942549,-0.7020845464943356,131.82704,-145.09947,9.849933,12.569294
magician,-1.4228415732844195,0.07799375379378715,130.20448,-132.97054,9.855811,12.428212
mason,-4.37241122785477,1.2166647187813324,-79.80723,-157.06482,9.731115,10.763439
mechanic,-0.9701384683565442,2.3735201236135453,-109.418205,-56.098366,5.5314727,7.606517
musician,2.468449938242548,4.787698879650829,84.564926,37.347126,1.4141421,14.829591
nanny,5.605798568319371,-4.254406186026661,-10.865264,119.29905,-0.40447563,9.247497
nurse,6.248711544005687,-3.5392814743261356,-0.47946727,121.96383,-0.26938158,9.603177
nutritionist,0.19344445147611197,-3.499688467470463,-111.277504,105.64187,-0.3938477,6.4472585
optician,-4.792908045685133,-0.35256359182913727,11.0666685,-117.09474,8.028483,9.435952
painter,-3.3654175554660726,-3.7073635972156587,-37.83632,168.6187,7.71267,10.267041
pharmacist,-5.043812156889986,-1.0300485901967427,10.206176,-137.33763,7.7979655,9.642494
philosopher,-2.8220395221137298,1.4243480064608172,147.15886,-123.37865,9.916722,12.024417
photographer,4.848531590345664,3.604240192648182,102.93824,101.59021,0.5963337,12.758929
physiscian,-4.633551038319684,-3.029101989587612,-24.007624,-138.81795,7.7871494,10.20338
physician's assistant,1.8194248418839036,-4.3886953119518175,-64.32279,112.025085,-0.51807874,7.318283
pilot,2.085248067506393,3.872113378393915,83.648605,24.16208,1.3480568,14.812112
plumber,-0.6077406149245574,1.1723742495157323,-124.26079,-31.842112,5.6785283,8.007992
police officer,-0.9137016697269152,2.197688666253364,-112.228836,-47.936607,5.685591,7.5698752
policeman,-3.6544078012799845,1.981000765215872,-63.579807,-108.20461,10.010769,9.838955
politician,-4.391595765354082,1.3040325505437909,43.856415,-50.389473,8.368344,8.10845
postman,-3.542145073886022,2.575775013667865,-82.60168,-117.41636,10.03005,9.890443
professor,-3.951020305147223,0.2313765110072923,35.4822,-65.43432,8.131699,8.565031
programmer,3.19928368469775,4.820223045371639,-34.59996,5.095648,1.2303642,14.611205
psychologist,-0.19132356742149412,-3.0892505259070533,-120.396965,109.69513,-0.21421655,6.2535005
receiptionist,-4.932173420786666,-0.2065473838263915,25.198679,-129.20654,7.7365227,9.575713
salesperson,-0.2328757575636382,-5.009770503626516,-84.660545,73.64463,-1.3289776,6.2984176
scientist,-1.6328853454557193,2.8473082944851233,133.56691,-122.4741,9.899774,12.153516
scholar,-1.5797499000849216,-0.4899738652184053,147.44868,-132.93774,9.951641,12.295251
secretary,-0.4330728989895546,-5.309310791032771,-76.31913,70.19966,-1.4270937,6.288823
server,8.421232326664962,2.024387752813401,50.20323,85.981636,-0.30407056,12.031121
singer,4.075615562426854,-3.723444980741809,-32.76445,126.44832,-0.4629226,8.177133
