index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
football,-0.7559814787728064,-0.029069218321756823,177.76398,279.14304,12.925873,8.126506
basketball,-0.5103988064496228,-0.07026767782838958,-234.01942000000003,96.68795,11.788300999999999,8.491817
cricket,0.07122968699573358,0.014933797360477716,150.3556,87.032166,9.02858,4.6814933
hockey,-0.4721197627861548,-0.05704681541511431,-178.61244,96.37186,11.471552,8.089594
tennis,0.1262600673885025,0.2731780298298588,126.70183999999999,47.242844,9.546215,4.7173557
volleyball,0.9976129151666604,-0.0889209077863498,282.54413,-231.84196,10.327364,0.6507198000000001
table tennis,1.1414995513595263,0.03795250758451461,239.70299,-260.4417,10.6186285,0.9469741
martial arts,-0.3645397294150287,-0.1374463908110213,-112.64651,240.26837,10.405788000000001,8.716493
baseball,-0.5459892024861926,-0.05977956795406453,-245.97578,63.17246,12.600408,8.447067
american football,-0.5348367117886413,0.09481637866978417,-299.6756,15.856207000000001,12.038355000000001,7.574675599999999
rugby,-0.544037057798099,-0.06983818602469824,-200.44193,38.724274,12.132063,8.407877000000001
golf,-0.09326157653587118,0.28140802800194553,73.42496,96.03766999999999,9.564589999999999,5.4421672999999995
athletics,-0.5879302801812621,0.09492969365498376,-281.11664,-15.480448999999998,12.580882,7.7260356
badminton,0.8939045116266657,-0.04585464531657883,238.2773,-213.51247,10.902328500000001,0.81744295
boxing,-0.6605413800717321,0.12288169033604998,-322.35626,-39.904903000000004,12.436814,7.534548299999999
Formula One,-0.29491784457190723,-0.04390901675071466,-38.754635,159.42318999999995,10.390716000000001,7.7422460000000015
MotoGP,-0.4688098420944592,-0.12557115874428315,-161.03838000000005,213.41718999999998,10.833451,8.813717
cycling,-0.17058613592528346,-0.04375207648792007,-25.24178,192.95029,10.133691,7.9531649999999985
swimming,0.17533403829446478,-0.1821056971232352,270.23922999999996,8.5943165,9.0011015,3.7102253
snooker,0.13168403750286914,0.016190556861558743,182.0529,70.76592,9.196382,4.3550754000000005
shooting,-0.4060565066924414,-0.05368395905378198,-170.53885,138.41743,11.065407,8.334802
gymnastics,1.723710866949458,-0.05012533858992477,279.51,-298.9233700000001,10.595541,0.46977115
handball,0.321441344969127,-0.03364185284338468,229.94823,-8.931465,9.21218,3.5480912000000004
wrestling,-0.5255891166970433,-0.07757528063763754,-269.20532000000003,129.97923,12.046934,8.898525999999997
skiing,0.4231817926309975,-0.024975757645894055,207.97395,-39.229637,9.45449,3.3254947999999995
horse racing,-0.3220404276590241,0.17249964763365486,6.2891445,138.84073,10.044837,7.439125
horling,0.6358786974266073,0.03576948003046461,238.29044,-143.41258,10.176943,1.7275326000000002
pickleball,0.8141558937666364,0.0094492332936555,261.44482,-180.6945,10.343582000000001,1.1946876
water polo,-0.4819052625277761,-0.0899583065603704,-190.56505,181.76596,11.104933,8.948507000000003
bowling,0.2836477183760978,0.12951281063817185,160.70094,2.8465807,9.550237,4.001129
