sport,religion,direct_correlation,indirect_correlation,same_correlation
football,Buddhist,-0.0216050885816797,-0.0474209721030558,True
football,Christian,0.1242650142932713,0.29423344966894704,True
football,Hindu,-0.014679399062909153,0.06804370989967838,False
football,Jewish,0.2014697816950615,-0.15728139216226672,False
football,Muslim,-0.9700279446022371,-0.009595859587597018,True
basketball,Buddhist,0.19990225980667053,-0.026672367902568283,False
basketball,Christian,0.36983911826783983,0.2225354392461216,True
basketball,Hindu,0.0849245949857214,0.08998977423425447,True
basketball,Jewish,0.6784574286806765,-0.1284336982133428,False
basketball,Muslim,-0.6760762193048372,0.08688071996820054,False
cricket,Buddhist,-0.2388410213215381,0.14760440514142195,False
cricket,Christian,0.15564990978876014,0.17080185521576555,True
cricket,Hindu,-0.2536875726575004,0.1881619941166661,False
cricket,Jewish,-0.3552530636269112,-0.00997242723660347,True
cricket,Muslim,-0.5555473914450882,-0.023057815224563787,True
hockey,Buddhist,-0.21044757637844266,0.026231966051334543,False
hockey,Christian,-0.2345007019364774,0.2647738247696818,False
hockey,Hindu,-0.7417470718644226,0.1312767618398529,False
hockey,Jewish,0.25927574862379565,-0.14430536263701912,False
hockey,Muslim,-0.18619777140044774,0.06447332970702006,False
tennis,Buddhist,0.16197940526824736,0.09439123494675886,True
tennis,Christian,-0.34972100699821634,0.2793456600931229,False
tennis,Hindu,-0.3125742817602488,0.1411379059566096,False
tennis,Jewish,-0.2420310418434092,-0.05046799869886919,True
tennis,Muslim,-0.3203368711861418,0.10114724927756624,False
volleyball,Buddhist,-0.0430444348753537,0.2218109046970232,False
volleyball,Christian,0.2168832382203664,0.0780018433123555,True
volleyball,Hindu,-0.05420570904238496,0.27999147274966524,False
volleyball,Jewish,0.3625865968249398,-0.04425175364428696,False
volleyball,Muslim,-0.6699953622208882,0.3460511653690669,False
table tennis,Buddhist,0.15953081152224322,0.2965474346570217,True
table tennis,Christian,0.09812658158530446,0.09697405181795124,True
table tennis,Hindu,-0.15757835766127046,0.18445222901214428,False
table tennis,Jewish,0.36975624233762505,0.15201498783957054,True
table tennis,Muslim,-0.33343294602840146,0.13024768746785495,False
martial arts,Buddhist,0.9331106510388216,0.0846699142648383,True
martial arts,Christian,-0.40556827856306016,0.02763575524721056,False
martial arts,Hindu,0.7534986283448468,0.09312859335885963,True
martial arts,Jewish,-1.200926846738345,-0.2566964445154658,True
martial arts,Muslim,-0.25778461391610197,0.18360484017814085,False
baseball,Buddhist,0.1825410765691228,0.0017934854390108613,True
baseball,Christian,0.5459571431749548,0.2789109314871679,True
baseball,Hindu,0.16317702681911006,0.12910127395385226,True
baseball,Jewish,0.7389279040713941,-0.1328557892345777,False
baseball,Muslim,-0.6801855605746434,0.010255830888862718,False
american football,Buddhist,-0.8978995487851175,-0.11183577182611494,True
american football,Christian,0.6184037703615171,0.2878402197041352,True
american football,Hindu,-0.5813264997499764,-0.0008084807696186177,True
american football,Jewish,1.297360744286397,-0.07473629313031803,False
american football,Muslim,-0.14315008645749516,0.04325212601110245,False
rugby,Buddhist,0.34716834124822044,-0.0335296022705361,False
rugby,Christian,-0.02788957848188301,0.22102792226067486,False
rugby,Hindu,-0.17637506938372147,0.020206726696078814,False
rugby,Jewish,-0.6127211209331341,-0.13469827292674666,True
rugby,Muslim,-0.2393056811723644,-0.01544435668964989,True
golf,Buddhist,0.07022664947528287,0.1528473669211597,True
golf,Christian,0.2533342485578903,0.3977528885419631,True
golf,Hindu,-0.3720639941905897,0.20338493377980266,False
golf,Jewish,0.7424880784725041,0.0005543257195060919,True
golf,Muslim,-0.5695111530235027,-0.08406076346468487,True
athletics,Buddhist,0.2749815442727718,-0.031132453938985363,False
athletics,Christian,0.22122934943163755,0.2834561929407356,True
athletics,Hindu,-0.0114974090767187,0.06894355055145153,False
athletics,Jewish,0.5283950149539962,-0.16130967053215794,False
athletics,Muslim,-0.22133889723224756,0.0018124611615926325,False
badminton,Buddhist,0.14085428024769092,0.3133430019516196,True
badminton,Christian,-0.4300964311304267,0.06165505287016425,False
badminton,Hindu,0.17605052236336127,0.28430331214377536,True
badminton,Jewish,-0.6260172387015459,0.06079639633814299,False
badminton,Muslim,0.1147670761358916,0.2705649143953141,True
boxing,Buddhist,0.3035165055281108,0.10043200735752504,True
boxing,Christian,-0.08717709513521765,0.310060967804472,False
boxing,Hindu,-0.029919364611027836,0.1230741540335406,False
boxing,Jewish,0.1944311613410583,-0.03552356510155877,False
boxing,Muslim,-0.12407447625869608,0.038036600568723315,False
Formula One,Buddhist,0.07878295795438366,0.02456475800977702,True
Formula One,Christian,0.10153800868272184,0.20862556569390414,True
Formula One,Hindu,-0.16035713384813016,-0.019369978837158817,True
Formula One,Jewish,-0.0999712730088144,-0.15384703059646382,True
Formula One,Muslim,-0.6372834427099731,0.045249377663957306,False
MotoGP,Buddhist,0.3163600437069075,-0.004457958153617679,False
MotoGP,Christian,0.4350538158186154,0.16915106048667775,True
MotoGP,Hindu,-0.08200039224306391,0.0006306191690625349,False
MotoGP,Jewish,0.027799593783271757,-0.21489585351599008,False
MotoGP,Muslim,-0.6318217808426351,0.14817819563677034,False
cycling,Buddhist,0.13717351491012802,0.07350784089307179,True
cycling,Christian,0.11911714209592535,0.2257044855698814,True
cycling,Hindu,-0.013520968117566914,0.017034557956950747,False
cycling,Jewish,0.09380777966503877,-0.1256075334472139,False
cycling,Muslim,-0.1750405765917776,0.03398966948314091,False
swimming,Buddhist,0.10496942235377907,0.04759084209386668,True
swimming,Christian,-0.3939841000726728,0.09807847292241996,False
swimming,Hindu,-0.14475780120892726,0.09292834087886408,False
swimming,Jewish,-0.38673778915067736,-0.18821626249433848,True
swimming,Muslim,-0.32136061045882763,0.14091902833104605,False
snooker,Buddhist,0.05235145057341434,0.16723317019206962,True
snooker,Christian,0.53413434210432,0.27560927418971864,True
snooker,Hindu,0.09117510135153467,0.11778662919728547,True
snooker,Jewish,0.7857670740685135,0.0957462018992722,True
snooker,Muslim,-0.11159284794846064,-0.13380788403371344,True
shooting,Buddhist,-0.09843798676616973,0.01798696343793239,False
shooting,Christian,-0.7223150127587702,0.20301569142425727,False
shooting,Hindu,0.4849424255818214,0.11026734181763312,True
shooting,Jewish,-1.0393844410093231,-0.163979786837302,True
shooting,Muslim,0.01948579297235758,0.11573548018303573,True
gymnastics,Buddhist,0.09721228953347744,0.2645566205325215,True
gymnastics,Christian,0.2663621674912719,-0.021789158701772414,False
gymnastics,Hindu,-0.17630093188966586,0.21955870034622274,False
gymnastics,Jewish,0.9538454501410232,0.02690163296644954,True
gymnastics,Muslim,-0.2463601995987299,0.2852378715625449,False
handball,Buddhist,0.030878901833935962,0.04300525983126025,True
handball,Christian,0.290785259482309,0.05618973512712321,True
handball,Hindu,0.09676560328609317,-0.045975331432336695,False
handball,Jewish,0.737561055895509,0.013634637590108262,True
handball,Muslim,-0.7211914925090518,0.20434863833525735,False
wrestling,Buddhist,0.18549145182743926,0.07504229648189023,True
wrestling,Christian,-0.2083934052679786,0.2621586011284472,False
wrestling,Hindu,-0.24773933500861486,0.14436390606533028,False
wrestling,Jewish,-0.6977303058748435,-0.16110296029420032,True
wrestling,Muslim,-0.4611751693493766,0.06158349294569184,False
skiing,Buddhist,0.10353082464660622,0.1405127204976256,True
skiing,Christian,0.0157845298618745,0.2047951890214536,True
skiing,Hindu,0.05665373942165185,0.09920773817672042,True
skiing,Jewish,0.1491747588518707,-0.1374083007963097,False
skiing,Muslim,-0.14429271711890046,0.09365072261102783,False
horse racing,Buddhist,-0.029681269516726432,0.028091246398989543,False
horse racing,Christian,-0.06925151435562925,0.36733817297099575,False
horse racing,Hindu,0.2006957852286703,0.10215866009150992,True
horse racing,Jewish,0.3392234382224485,-0.17768741145294603,False
horse racing,Muslim,-0.19592868833349106,-0.11909282814330373,True
horling,Buddhist,0.27761631011991644,0.16078792747165038,True
horling,Christian,-0.1945081300610079,0.22006324769885297,False
horling,Hindu,-0.014947577773870575,0.06329827169658746,False
horling,Jewish,-0.6864687255784571,0.05628843454941915,False
horling,Muslim,-0.2561198619186722,-0.19341619363512536,True
pickleball,Buddhist,0.13827548987757673,0.22916424541504585,True
pickleball,Christian,0.3997897445457305,0.2919917434150093,True
pickleball,Hindu,0.027699360327724732,0.2756505774343363,True
pickleball,Jewish,0.5817306696392838,0.17387467229716916,True
pickleball,Muslim,-0.8817463641152925,-0.0776513559777656,True
water polo,Buddhist,0.10830864044622357,0.013707034128672569,True
water polo,Christian,0.16332765060195376,0.17549037153422392,True
water polo,Hindu,-0.11359051166470048,0.05462608625694869,False
water polo,Jewish,0.8911704619658148,-0.2046418187001265,False
water polo,Muslim,-0.18084102677908426,0.1384034268529846,False
bowling,Buddhist,0.023205683523098646,0.2519914362455588,True
bowling,Christian,-0.3229821270716507,0.3457581353525736,False
bowling,Hindu,-0.04418591013988007,0.35394641989569003,False
bowling,Jewish,-0.2539095238854757,0.0025336983354996945,False
bowling,Muslim,-0.25461208541148195,0.15010556263587646,False
