index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
football,-0.22380507557316442,-0.08094671087403298,165.97769,-302.91284,8.290075,15.268736
basketball,-0.17596007182924955,-0.006923787625456435,-66.89623,-164.44786,7.54229,13.518389
cricket,0.16359997099072093,-0.11644618649169487,-4.5393577,364.3869,9.391006,11.7912855
hockey,-0.10022379702429395,-0.04742787776956766,26.327612,-112.954605,8.568379,13.8234415
tennis,0.002310469461091313,-0.1087704493699946,-31.56948,233.01212,8.759706,12.38705
volleyball,0.2770267461648829,0.28305813962064036,-607.8854,462.69534,6.8574944,7.9126487
table tennis,0.43919543523634264,0.046272084620018285,-456.86578,461.84708,7.2422967,7.378434
martial arts,-0.054967442235974,0.2369790681404749,-207.80911,-408.10745,5.9023376,12.96077
baseball,-0.13631142003710206,-0.09310004023159398,72.71638,-185.50128,8.870427,14.369182
american football,-0.33668311054851224,-0.019688437174535788,-163.60197,-16.98217,7.8355856,15.229374
rugby,-0.25413717255013685,0.010372344240144788,237.74805,-226.59866,7.8754597,14.792616
golf,0.10960853366321903,-0.29455616711134397,185.71446,468.2303,8.990041,11.3398075
athletics,-0.20839592586644515,-0.07387781784088594,143.33401,-246.22737,8.407073,14.790665
badminton,0.4968981150388834,0.2081079775102097,-531.94324,441.45337,7.0636573,7.6564517
boxing,0.009760846963387117,-0.1500031404988926,18.877295,270.47504,9.198973,12.126318
Formula One,-0.20761096735062862,0.09696650066449469,285.47034,-134.31479,7.253117,14.283322
MotoGP,-0.20650386202700755,0.14272416922403985,-269.16702,-257.84897,6.435183,12.928321
cycling,-0.1338082353671642,0.0530130495441879,260.04187,-78.66597,7.6025763,14.230335
swimming,-0.10558185018069724,0.1419973172629705,-177.53864,-339.07727,5.834471,13.078486
snooker,0.15330079747755299,-0.3232804162453125,97.86518,503.87558,9.355853,10.89843
shooting,-0.12362976657605153,0.037144854833816375,-122.92302,-204.08208,7.2539873,13.070204
gymnastics,0.4073504810874437,0.3820081922211891,-549.60834,510.0956,6.885086,7.416282
handball,-0.11720719605027868,0.44252669931499755,286.23102,91.21846,6.165621,12.648634
wrestling,-0.051647287488566736,-0.04600047781339302,34.10608,-41.006046,8.706956,13.322894
skiing,-0.0024906457914174924,0.023759416087507482,48.90687,49.72876,8.389503,12.985115
horse racing,-0.28167871044480497,-0.12859981002606125,162.02362,-401.10663,8.67483,15.1440525
horling,0.17029241969640802,-0.34486331060928954,58.587788,553.03894,9.251156,11.0802965
pickleball,0.37882379180035,-0.26081765941479185,105.25236,419.1108,8.887405,10.957647
water polo,-0.16943954664354294,0.10730326325116439,-202.70111,-256.8727,6.46949,13.145504
bowling,0.28191447600475567,-0.11693078743900878,-125.92942,286.2868,8.580233,11.730401
