index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
football,-0.018561240073939635,-0.3697118130889309,-25.387836,2.9118438,10.154192,5.254667
basketball,-0.1522760067040802,-0.299980733771968,61.495792,-0.19001238,10.07543,1.9962676
cricket,0.4562722795250693,-0.00806630011072627,-237.3726,-145.29636,10.045118,11.773764
hockey,-0.20431111745969519,-0.2654643148800733,78.24015,26.323402,10.052288,1.6408845
tennis,0.20069519041626993,-0.03715502866499642,-151.22948,-108.3266,10.4985695,6.521842
volleyball,-0.5763002268535331,0.39995512657006893,329.22873,159.06056,8.554685,-1.7248406
table tennis,0.37519249908815605,0.6124733780541581,-351.4858,-103.64283,9.315034,12.769436
martial arts,-0.49198198573034957,-0.02978166114954946,255.9231,118.53533,8.488138,-0.9613456
baseball,-0.01836677296395444,-0.3165506074297292,-9.707761,-30.255278,10.375246,5.1009965
american football,0.0035425300351371826,-0.22267283712303265,-36.957294,-74.32578,10.031967,5.8414445
rugby,-0.2692811772414973,-0.2707957100876344,113.20847,18.12059,9.768025,1.4715742
golf,0.7080828792183096,-0.09396345262913576,-267.32504,-234.36804,10.684745,11.971169
athletics,0.036976384572270364,-0.2588790855125784,-50.181797,-39.037235,10.335923,5.592486
badminton,-0.09540698298323173,0.3704836811975632,252.23141,234.88806,9.594206,-1.3646138
boxing,0.7590190371558649,-0.0993280490551616,-232.37257,-229.50035,10.574282,12.290467
Formula One,-0.2585378866576825,-0.12250184306676491,148.8617,87.480255,9.177203,0.4797445
MotoGP,-0.5157858844520421,-0.1594860693252242,242.5721,86.22091,8.585654,-0.45570192
cycling,-0.27721371978679216,-0.08890181368702897,148.15202,120.021484,9.545456,0.33863023
swimming,-0.6776985573479302,0.15411278227495684,300.90338,129.62523,8.405063,-1.2602795
snooker,0.5463190696036336,-0.0164324866999151,-218.88696,-172.66216,10.3296995,11.54713
shooting,-0.15911090540550182,-0.1832061997378648,113.899055,88.07428,9.630149,1.0071775
gymnastics,-0.5627312366102755,0.6891413119508966,345.9862,194.69771,8.728975,-1.7570169
handball,-0.322020516643822,0.23655476690650498,231.85677,210.81131,9.446273,-1.1829408
wrestling,0.04894903194963052,-0.23315626958226615,-73.80518,-69.29227,10.402547,6.117837
skiing,-0.43021946809109096,0.18962886839596527,258.3427,166.47305,8.979308,-1.1281071
horse racing,0.5962388132941784,-0.04437498608864823,-252.45996,-186.86707,10.416309,12.076362
horling,0.6710854643311096,0.4466218980386712,-330.72607,-73.91357,9.191198,12.906075
pickleball,0.6125087940956517,0.2614845029231087,-318.18103,-110.93638,9.103103,12.969792
water polo,-0.39283906836924015,-0.2078754307104904,206.93326,69.13604,8.883952,0.07587883
bowling,0.4077607800893781,-0.03217162391017388,-193.64793,-132.96574,10.03818,11.246775
