index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
football,-1.4611493105636248,-2.098601363259886,-304.03162,-253.58286,4.0788283,9.336633
basketball,-2.395149899186481,-1.358209202441439,-229.51059,-215.56828,3.27736,8.757685
cricket,3.148110583474761,0.4409706058010238,330.45612,92.77944,-6.2845473,7.737137
hockey,-2.5540971304994997,-1.2268192506343905,-212.9323,-183.02667,3.1957858,8.43084
tennis,-0.5051630552711844,0.07155556747232938,37.020332,-121.74594,0.846583,8.299166
volleyball,-3.0798890441737976,3.571735904114933,-12.0759115,87.65295,1.2636898,6.065345
table tennis,5.006020668625936,2.6815475073624246,357.52438,-31.222149,-7.277105,6.915814
martial arts,-2.6368423997338013,0.624191254556979,-146.50781,-21.479763,2.3239481,7.0819206
baseball,-1.6011825796840813,-1.9236951470245607,-294.8048,-214.9547,3.6293828,9.258141
american football,-1.0795507968337437,-1.8105528132634496,-372.4517,-225.25246,4.793231,9.700997
rugby,-2.341677175245906,-0.3401751979252515,-227.9709,-124.925316,2.662599,8.102426
golf,2.9125340152059134,-1.1917193340095924,391.40552,145.76561,-5.9533677,7.2348905
athletics,-1.0448434102787947,-1.9143721152235902,-353.62555,-260.6485,4.5180244,9.395355
badminton,1.4961929134928136,2.386781765248584,110.466545,58.91265,0.36816162,6.506392
boxing,2.307552138357032,-2.510904893678578,367.39145,189.5964,-6.140129,7.013246
Formula One,-1.452452950809641,0.30208954104976854,-86.67792,-63.501328,1.8661327,7.4328113
MotoGP,-2.949337322979274,0.39486263823552603,-181.61716,-36.30859,2.5709023,6.82187
cycling,-1.3968854778821806,0.3158902846250508,-52.29276,-59.099186,1.3417585,7.613922
swimming,-2.660993016699246,1.9505352554581354,-49.578438,57.22421,1.6763893,6.278565
snooker,3.685184327072212,-0.09375171266662675,361.6067,76.687645,-6.655219,7.4883413
shooting,-1.7121356186677226,-1.0257289445906554,-282.41666,-160.47038,2.8360033,8.775111
gymnastics,-0.15088187137999262,5.077995424693364,43.753757,94.72257,0.77921367,6.09552
handball,0.8143266295375766,1.722541578530266,130.8254,31.80827,0.4553675,6.857278
wrestling,-0.33686380693512813,-2.3584208822904418,-402.08905,-266.11484,4.3592486,9.772629
skiing,-1.2799626962518276,2.029996118940626,-35.17107,19.284378,1.2766961,6.5698256
horse racing,2.528838285122966,-2.2149785248586586,347.49646,157.34645,-5.9807425,6.9420137
horling,5.62081082186809,-0.5128469118607185,395.57788,-13.273826,-7.3969893,6.7229805
pickleball,5.267786751673461,0.19797513323475935,362.75555,29.104567,-7.1421742,7.2553062
water polo,-2.972205781287961,-0.445523120214037,-205.31853,-88.16168,2.7701879,7.426624
bowling,0.8239062099331227,-0.7423691653818929,70.66341,-131.23506,0.47323257,8.581852
