index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne
Nigeria,-0.795930688241559,0.42880491843936963,-0.34424179891903334,0.45250735859018865,-0.19141862379270727,-0.42109156975366796,1.3540141036518234,-0.017988769148853716,0.4562706998137878,-0.237523728182153,-0.713181925964064,-0.9560320555912591,-1.7964481163019093,-0.7458681335306769,-0.8044707914318806,-0.2474294237430672,-0.14738982493477076,-2.19448564042471
Ethiopia,0.744480059592966,0.39615914763871163,-0.32765942565258455,0.6908024578495063,1.0481234157277022,-0.5972949935813053,0.5488514179379285,-0.025743100768089815,0.10186407453444149,-0.7467740932151643,-0.8373177850284743,-1.100299899506838,-0.36769041945206327,-0.35693731160679976,-1.4266745559097003,-0.8071443780403936,-1.0423514720730902,-1.5176063353212887
Egypt,0.5549072962769233,-0.97985688060652,-0.5419941055811673,-0.5154086731365665,0.22031263969379083,-1.5804728315253265,-0.5273977544474827,-1.0778535756326164,-1.1732247992519256,-1.0312652116511936,-0.8585358460391411,-1.6647176073268006,0.019681004910108962,-0.2631895803087087,-2.0926159224331977,-0.9582611877162922,-1.3878455458912973,-1.1566097972251521
Congo,-0.4796758531420141,-1.147547378585294,-1.184111060062153,0.4340145086317166,-0.43442518307448835,-1.0953974223598242,-0.45700530669637496,-1.1015978014483447,0.08044199552669942,-1.5818538891909926,-1.6780727278822114,-1.750142170351943,-1.8508361756522083,-1.7120377903563229,-2.011830461953413,-1.2974082051230893,-1.6975987679657434,-1.4028250232407664
Tanzania,0.7414600241851482,-0.22857557336329945,0.25619888667811586,0.9345089809878945,-0.17532381239157124,-0.3312522647493056,0.27252143903220205,0.027914495149754862,0.6486040719113991,-1.169720495718494,-1.5060494333778551,-1.057620198073076,-1.2832347684909469,-0.6453724272404174,-1.0691193585208163,-1.01676234684977,-1.6296374616788665,-0.5032958449851574
Kenya,0.030031871888713885,-0.10560716482288726,-0.3752229368584953,0.13694462489956113,-0.3114092566074054,-0.9451310627886644,-0.14478259689993017,-0.3064801398084885,0.22148106871167544,-1.1532958663650041,-1.8216293035580886,-1.622113851953016,-1.8280720014306842,-0.9693690365774893,-1.7811251186942034,-1.8226685174993391,-1.3830740394962204,-1.8161088119967783
Uganda,0.08453034480848787,-0.17329359178451859,-0.47796598517281014,0.8573945242344814,0.17753926146955587,-0.36842720340159324,0.08435926894036487,-0.20605244915913928,0.45734789383783947,-0.6513999589444633,-1.1096882400071568,-1.1651243816595473,-1.57341362619507,-0.6813857526824125,-1.2283492531509521,-1.0545211270597903,-1.220455279040513,-2.1535795778284785
Sudan,0.3099145941228364,-0.7134968007935206,-0.676948893571029,0.4368582095221484,-0.01706029550610814,-1.024968443197083,0.25985885842807077,-0.7748230747357636,-0.029446960194785873,-0.711839423728307,-0.9893947265183936,-1.5338668892947203,-0.7906706656868777,-0.7637568935678472,-1.540846180530987,-0.7127927639296611,-1.481593999278692,-1.9316744583762864
Algeria,-0.3643850650510687,-0.8236690792622863,-0.6353983807673856,-0.8619577643652511,-1.0277271545235125,-1.1227426300573664,-0.22582018977071297,-1.3148895657925508,-0.5547648691216062,-0.6408973732116476,-0.7492488960141581,-0.636335985818647,-0.33956791853440427,-0.4612056063357805,-1.487730196593094,-0.7246614379039246,-1.059064632074735,-0.5081865987847528
China,-0.21823263038214066,-0.2657554232372681,0.5414574086719303,1.0489747558022298,0.32501870911359326,-0.29786153355056383,-0.007625562142652249,0.020128217506600977,0.3705050375307568,-0.525967203915756,-0.4141366419036715,-0.324138214140156,-0.7437194023783772,-1.2038485785588322,-1.3675067364664133,-0.10377578156655098,-1.0662807129919278,-1.156529427253794
India,0.15686194366584666,-0.13798625778139179,0.6060706586547787,-0.514975180920517,-0.02388314334448418,-0.7071646549757492,0.1135318382360932,0.0992596438904406,-0.05830314100103646,-0.68793074085549,-0.5804291092459182,-1.0470093584092994,-0.8765550792820654,-1.2184553652029746,-1.5959758341949493,-0.9441684153137478,-0.7791962624878829,-1.575377641553931
Indonesia,-0.5569032410319208,-0.17798495632138436,-1.120780056711277,-0.6543151401389756,-0.8798755203885934,-0.8779903276876326,0.2741506497907984,-0.25841267291951886,-0.04772668020409909,-0.8149667031988895,-1.7089555096070328,-0.8218294028465385,-1.963822170329943,-2.5502426761163832,-2.264009585600381,-0.9885368495692549,-2.1342447823924786,-1.73769459921786
Pakistan,-0.44514295548601784,-0.2949663472079025,0.44648824727267344,-1.5104255445759032,-0.12581854621494523,-0.9267369791366384,-0.2735126479049548,-0.002231613135879888,-0.2006357351082145,-0.8237894404910454,-1.3228452777583182,-1.1713255458632217,-2.0772793345480047,-1.9262696712168617,-2.051371719420579,-1.414717712607078,-1.1338560521912588,-2.7519853234692357
Bangladesh,-0.07682197341275022,-0.30660659247890454,0.009163951753696158,-1.5260458287759746,0.273366988968611,-0.6920745476687897,-0.6338636313273098,0.22251474892000625,-0.2795157398457409,-1.2603358229052448,-1.5060202708677777,-0.8611993649443449,-2.87215890722815,-2.54645847389201,-2.3754676591345114,-0.9497496975867901,-1.7966636133272913,-2.1936046963423648
