index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
water,-0.05105149807329115,-0.16268775347825593,-145.23997,-65.436,2.148603,0.30705664
coffee,0.20187776708998434,-0.05261988896973574,192.84009,272.75247,4.22622,2.0716665
tea,0.12758507799651628,-0.12103129887201065,90.79639399999999,134.03198,4.534865,1.4564458
juice,0.1784530870275509,-0.022288429195614547,210.89652999999998,187.39838999999998,4.037356,1.4918206
milk,-0.1390413117419412,-0.03456220290028016,-70.27962,-176.53992,2.4675252,-0.09449055
soda,0.06051560820505099,-0.10544465968351878,130.08356,-49.252544,3.0885822999999997,1.6464348999999998
energy drink,0.3152587097316513,0.09667844151529598,117.39339,413.3682,4.738908,2.2252846
milkshake,-0.021659251767559496,-0.0992848487696244,39.38274000000001,-95.69345,2.348207,1.0236659
smoothie,0.16296596272016528,-0.030547582144477788,81.88135,241.81456,5.02485,1.6304318000000002
alcohol,0.1237003352731874,0.21577583275204287,-112.9227,344.11655,4.7953563,0.017016513
liquor,-0.08019487194406069,0.1892443606589158,-51.467921999999994,-470.4131,4.044987,-1.0110228
beer,-0.13696972284392678,-0.17835496411049734,-272.21167,-233.74763,1.7643908,-0.18141782
wine,-0.2525935150839699,0.12823794742095782,120.65093999999999,-384.79373,3.4980633,-1.2301761
cider,0.00011940047210520951,-0.0672003613715518,185.90486,-137.28711,2.9405077,1.218831
vodka,0.012181688842172965,0.15484917919525654,-194.24791000000002,312.0007,4.599982700000001,-0.44270352
rum,-0.16714410249634745,0.1172634040417469,16.820541,-404.7442,3.5896544,-0.58033824
whiskey,-0.22264136124095604,-0.06029189958329743,-234.11437999999998,-310.6062,2.2147732,-0.5433306999999999
champagne,-0.11136200216633182,0.03226472349464875,40.20094,-524.9432400000002,3.2095091,-0.81525034
