index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
water,-0.4255104244805004,0.13975778041281103,-314.30167,33.73252,10.684675,3.345671
coffee,0.38406724308485185,-0.08036262531894574,253.02585,-175.46368,16.200348,3.7943578
tea,0.0962949041498369,0.1695029688526761,81.99023,-19.612978,13.401578,4.148694
juice,0.20664687537725948,-0.07199840407150412,195.91628,-97.47415,14.758159,3.0943258
milk,-0.4495647836576146,0.0705177427205875,-362.27432,12.751105,10.3751,2.9814174
soda,0.34982983540336504,0.0037174311461914875,267.59674,-118.417046,16.050667,2.736845
energy drink,0.42217888862424713,0.03728871936352854,347.47107,-76.67306,15.659232,3.6604745
milkshake,0.2774956122110668,0.0817119286422217,264.2244,-67.90875,15.376083,3.310351
smoothie,0.49973821965576937,0.03780211076023648,357.83466,-154.55249,16.181803,3.327299
alcohol,-0.00275330156073336,0.11987846141225836,20.894169,34.804897,12.7982855,3.9290414
liquor,-0.3871520097415133,-0.026902421315428048,-256.6401,-41.073936,11.112916,2.7090821
beer,0.18570163107289184,-0.17953201885289763,240.80566,13.047233,15.525194,2.6915133
wine,-0.49373696696361896,-0.10938719324607375,-330.95422,-48.661625,10.736061,2.6220737
cider,-0.1419095822412062,-0.11515637194296735,-84.07287,-104.760765,12.651738,2.6186826
vodka,-0.1314684119685636,0.23503310865151572,-5.8604245,76.26283,12.34672,4.1551914
rum,-0.19915328453413603,-0.09912673710539562,-182.82617,-64.03273,11.7312155,2.407625
whiskey,-0.1688361240281879,-0.14555536037668332,-129.66283,-46.00745,12.132253,2.596812
champagne,-0.021868320403214396,-0.06718911973213147,-34.111797,-87.755135,13.069243,3.1816092
