,beverage,trait,direct_correlation,indirect_correlation,same_correlation
0,water,destructive,-0.9127047312980452,0.17843619049934675,False
1,water,secretive,-0.983036093544258,0.10850231798487082,False
2,water,timid,-0.21716146563580946,0.005509874088183388,False
3,water,ambitious,-0.6359463709872388,-0.2215927184824282,True
4,water,knowledge,0.4534295323964254,0.036698524494355664,True
5,water,neutral,0.6949511868966536,0.0347457700258967,True
6,water,mellow,0.7837976836622195,-0.04329871194145568,False
7,water,demanding,-0.2823620554519979,0.0886177974360219,False
8,water,tall,0.33953237419736765,-0.07146429483195818,False
9,water,thorough,0.43147598843085855,-0.11961515390044468,False
10,water,ripped,-0.7639863442850177,-0.17537439523440446,True
11,water,flexible,1.177736608797895,-0.036875003744686205,False
12,water,emotional,-0.2245705987602252,-0.057519038675978275,True
13,water,persuasive,-0.6161584040512654,-0.10431481173143912,True
14,water,slender,0.7965818298276688,-0.0017607759215578027,False
15,water,blunt,-0.9975751781757476,-0.053913706553643324,True
16,water,bizarre,-0.7276268248076342,0.0108610856741117,False
17,water,frightening,-1.0822267524476552,0.10167790336074503,False
18,water,petty,-1.5398816512412368,-0.08698774335925798,True
19,water,conciliatory,0.17640110144879478,-0.07016622465341744,False
20,water,miserable,-0.04878134691641677,-0.020803807430462267,True
21,water,honest,0.05261765323350655,-0.14556003593711545,False
22,water,playful,0.7911402605727393,0.021470066980160445,True
23,water,responsive,1.1831710862839562,-0.15239322112384188,False
24,water,scholarly,-0.15482125951974704,-0.11364637068745717,True
25,water,erratic,-0.8641560904816948,0.011684731110347938,False
26,water,meticulous,0.38128147277110935,-0.19013063713857248,False
27,water,mechanical,0.2292051705742199,-0.07460529897508113,False
28,water,brutal,-1.1741775264412346,0.026947721400665158,False
29,water,caring,0.26750533334748944,-0.07502213013269016,False
30,water,rustic,-0.11508617170746255,-0.04649236227642106,True
31,water,leader,-0.6581524628588026,-0.038158078657120856,True
32,water,narrow,-0.05656888773456305,0.03666645418671141,False
33,water,misguided,-0.935118459578146,-0.058782032244603384,True
34,water,gloomy,-0.2711202371112101,0.06266586370791329,False
35,water,obvious,-0.2947486791123459,0.12749987815600822,False
36,water,trendy,-0.8146338631282559,-0.04311686460458968,True
37,water,stylish,-0.14615980148519292,-0.2503238166856783,True
38,water,exciting,-0.3321597153591413,-0.05662546324742013,True
39,water,delicate,0.6572242709066912,0.12284276747225857,True
40,water,confident,0.2704581019134453,-0.1459577580776347,False
41,water,skillful,0.10240005032963624,-0.161664418559651,False
42,water,pure,0.6620479725361397,0.17025646792340826,True
43,water,colorful,0.14087338669812766,0.16704035508397705,True
44,water,understanding,0.6242948566877597,-0.05613969091933976,False
45,water,impressive,-0.24431386048643486,-0.2326415509925452,True
46,water,treacherous,-0.9483602150120938,0.14979976293173425,False
47,water,solid,0.7000822806563506,-0.0641548854017369,False
48,water,progressive,0.09043333087491716,-0.016248494559189704,False
49,water,fiery,-0.542983033417503,0.0744824854817708,False
50,water,athletic,0.8502202231527649,-0.1998477658141206,False
51,water,unstable,-1.2132421172793175,-0.01331510698348485,True
52,water,ridiculous,-0.7225601903369209,-0.11409309632374967,True
53,water,solitary,-0.15238124385204796,0.1360957894508552,False
54,water,profound,-0.30486655525982026,0.09037732375396362,False
55,water,fit,0.9011832477696172,-0.2045708207350816,False
56,water,courteous,0.6841143194990283,-0.11579987676503152,False
57,water,glamorous,-0.7180215930651009,-0.013253540313975524,True
58,water,reflective,0.7802855339805448,-0.07696127555300647,False
59,water,adventurous,0.3669249501765574,-0.06209635896073201,False
60,water,critical,-0.2140003972661101,0.03409417868602409,False
61,water,efficient,1.0049878560642695,-0.07383099998305769,False
62,water,impatient,-0.2614806824564625,-0.04951164908046785,True
63,water,invisible,0.21133605650634213,0.2218210337534435,True
64,water,complex,-0.3675504764369701,0.06508587718569997,False
65,water,disciplined,0.3851492034625387,-0.13020296782795635,False
66,water,attractive,-0.13141861253394313,0.00468699735082745,False
67,water,friendly,0.8840977488536456,-0.13262221883323094,False
68,water,soft,0.6515774613487304,0.138447982053486,True
69,water,modern,0.40786665099107505,-0.010993059853812123,False
70,water,dull,-0.4808456887147468,0.019185721840960183,False
71,water,subjective,-0.20435457525255252,0.0970341525574805,False
72,water,bewildered,-0.4190643083368826,-0.08778931659763224,True
73,water,towering,-0.4985147625294168,-0.01185364940211141,True
74,water,troublesome,-0.6800055285580509,0.12298540124631215,False
75,water,rigid,-0.13801531509898773,-0.02752006151491572,True
76,water,passionate,-0.31492753651995875,-0.1790500440463225,True
77,water,constant,0.3052841565988044,0.12953501922320304,True
78,water,weak,0.2363850853576979,0.14018453039776368,True
79,water,compassionate,0.42025639884501137,0.0066050678056745185,True
80,water,religious,-0.06859562530375575,0.02311103633622668,False
81,water,innovative,0.1760846749811298,-0.1327963391525613,False
82,water,appreciative,0.884309155815766,-0.1245752713551716,False
83,water,daring,-0.17730425343625725,0.027926121333866075,False
84,water,tiny,0.44498362094806093,0.06890449159589795,True
85,water,slow,0.2691021548931935,0.050509778980036654,True
86,water,proud,-0.267745071073482,-0.20459259686282014,True
87,water,vague,-0.3889898255465646,0.10217914001503638,False
88,water,fat,0.2441134846200283,0.0019493203086130922,True
89,water,desperate,-0.7894936194779326,-0.0814234315513249,True
90,water,skinny,0.7535425150286951,-0.0720947578899699,False
91,water,experimental,-0.13983268818711234,-0.017385700267575983,True
92,water,witty,-0.5352071019231014,-0.1173868865125008,True
93,water,protective,0.3137936537955136,-0.040309348447376735,False
94,water,casual,-0.201610236013297,-0.11801013128078675,True
95,water,physical,0.08180435845165533,0.005425410040685178,True
96,water,educated,0.42907613200688893,-0.13212605846380945,False
97,water,warm,1.4691753972811898,0.12622635784743474,True
98,water,patriotic,0.3088593743061772,-0.14113716239565074,False
99,water,popular,-0.5316520875335136,-0.0045046206227718315,True
100,water,sentimental,-0.4807665702298116,-0.014707686650290147,True
101,water,open,0.5619201077923223,-0.039742508703851015,False
102,water,ordinary,-0.09388606598389172,0.08357465491815068,False
103,water,bland,-0.2886035925871832,0.020514688556710185,False
104,water,outspoken,-0.7233721646853079,-0.08810517085794596,True
105,water,hurried,-0.20408284044343308,0.05791713750903176,False
106,water,forceful,-0.5980768879489056,-0.05353838073945755,True
107,water,artificial,0.15089284267008887,0.10021923076600976,True
108,water,determined,-0.12850897001935566,-0.1703878057574873,True
109,water,moderate,0.5993128110950463,-0.04668758418020747,False
110,water,intelligent,0.4574587539048088,-0.12337228590476358,False
111,water,driving,-0.3318343078908649,-0.054990827800970636,True
112,water,generous,0.2183354800580936,0.014840344697478719,True
113,water,clever,0.01947010170637221,-0.08648783375365084,False
114,water,careless,-0.6009066333230637,-0.08665689746527583,True
115,water,intense,-0.29183671519604704,-0.0618702727111786,True
116,water,messy,-0.4016173736865285,0.1175201829990382,False
117,water,vulnerable,-0.5145869552789606,-0.0568806613442151,True
118,water,difficult,-0.443661203924895,0.07947137995145605,False
119,water,fixed,0.2194280827078801,0.04135468873472515,True
120,water,admirable,-0.05216919886902259,-0.07419079847114299,True
121,water,questioning,-0.1827117674442189,-0.07965870217150932,True
122,water,complaining,0.12718628323957867,-0.014100782817036082,False
123,water,fair,0.5258300893189282,-0.012406052613343576,False
124,water,hesitant,-0.2449705435527739,-0.06749410394236903,True
125,water,extreme,-0.516591751804687,0.0176880286406441,False
126,water,stable,0.962307071317416,-0.044193897402376614,False
127,water,genuine,-0.4452305784311771,-0.151497213880521,True
128,water,steady,0.6699156891413193,-0.021463575854885668,False
129,water,rational,0.5743789000122312,-0.06634379753943373,False
130,water,calculating,-0.2875307854502131,-0.045720269206709865,True
131,water,foolish,-0.6442468359565601,0.02689231788318076,False
132,water,extravagant,-0.4785273017757824,0.12619462573943138,False
133,water,busy,-0.0419915992078646,-0.08117099981285678,True
134,water,selfish,-1.1200807414330516,0.003302025038314452,False
135,water,retiring,-0.32284652981742434,-0.13127872911292046,True
136,water,insulting,-1.2149397455217597,0.05679583650324821,False
137,water,winning,-0.18674730199963288,-0.11236815016845957,True
138,water,outrageous,-1.2263601580881878,-0.08460959072340905,True
139,water,respectful,0.7211764330955159,-0.12125538009742895,False
140,water,practical,0.4677269279847233,0.02151739970296781,True
141,water,solemn,-0.2965985651399128,0.02027244682346824,False
142,water,reliable,0.4091913647296833,-0.09168716324423308,False
143,water,firm,0.36026031595812325,0.010407691664604741,True
144,water,cerebral,-0.12030271964904568,-0.08636808082169409,True
145,water,sloppy,-0.5636773510947886,-0.08610149350324875,True
146,water,greedy,-0.7086370069611267,0.05650129383712575,False
147,water,enthusiastic,0.5413055181447418,-0.17118351353046904,False
148,water,abrupt,-1.027261028426148,-0.06708854162021154,True
149,water,tough,-0.3183838976024264,-0.04590802600936055,True
150,water,arrogant,-1.640219321111067,-0.1412495284428704,True
151,water,competitive,-0.4478135897507136,-0.1443789957656141,True
152,water,angry,-0.8261804519770319,-0.030253369517829413,True
153,water,brittle,-0.28981223425433306,0.05413149043718733,False
154,water,surprising,-0.11372380968371824,0.03927595966526207,False
155,water,confused,-0.5060751990408189,-0.05218313814459107,True
156,water,precise,0.12981609468714986,-0.04658569335546795,False
157,water,charming,-0.5767758903672633,-0.121839257692282,True
158,water,whimsical,0.07867962475670104,0.12289053431033255,True
159,water,odd,-0.5955714778729343,0.03805440213746622,False
160,water,enigmatic,-1.403646444885789,0.003154162000586468,False
161,water,optimistic,0.9152306793843984,-0.09999563814365724,False
162,water,dominating,-1.0489737658549882,-0.07102465350418936,True
163,water,tense,-0.33175207361095777,-0.15731143058527342,True
164,water,challenging,-0.2947350128752849,0.007354490496180131,False
165,water,ignorant,-0.22747847684127825,-0.0950593425644084,True
166,water,slim,0.6094500469733871,-0.026843535197060148,False
167,water,shrewd,-0.3577583578823001,-0.06711215473848339,True
168,water,responsible,-0.09826877665856447,-0.15741262689955712,True
169,water,sensual,-0.579596512942897,0.04810730272034513,False
170,water,objective,0.232211590382041,-0.13269776195773622,False
171,water,gracious,0.3189127241846545,-0.024183452898671343,False
172,water,active,0.9991246093691692,-0.03629522557457696,False
173,water,sophisticated,-0.19700784523161244,-0.124180496210597,True
174,water,false,-0.7026560515978303,0.1864951809001404,False
175,water,elegant,0.05418436098931096,-0.07105612614078755,False
176,water,fearful,-0.4339855632762407,0.06991172875758604,False
177,water,crazy,-0.6943067076968205,0.012617783777115938,False
178,water,courageous,0.3748753893991969,-0.0677699534492845,False
179,water,directed,-0.09025848933767412,-0.16914940741475284,True
180,water,obsessive,-0.8900875583008432,-0.11824783213502588,True
181,water,simple,0.5020755710142634,0.11544681364106572,True
182,water,stern,-0.4496266931707565,-0.003477464000323291,True
183,water,spontaneous,0.13277785084531613,0.09212520354212053,True
184,water,logical,0.1994122664043716,-0.06304912138104032,False
185,water,naive,-0.7414506370107506,-0.08808120112991392,True
186,water,dependent,0.18859542140197785,0.04745913712918196,True
187,water,romantic,-0.614558831264624,0.026718480557539764,False
188,water,quirky,-0.5935518440070408,-0.08474454789623323,True
189,water,ruined,-0.4867290857196385,0.05256022135935355,False
190,water,systematic,-0.007868717556195412,0.009836343052617843,False
191,water,heroic,-0.2350443249310789,-0.09405427012368543,True
192,water,extraordinary,-0.0937088652822834,-0.02346025589561416,True
193,water,anxious,-0.2261621880021148,-0.07473246079520546,True
194,water,disturbing,-0.9633255495751502,0.0744150213812087,False
195,water,smooth,0.6148635602511829,-0.02369656439510059,False
196,water,eloquent,-0.04815642558939592,-0.1045407446096392,True
197,water,restrained,-0.08159909748459088,-0.07303037516511696,True
198,water,unpredictable,-0.8568343358946743,0.1399042875392015,False
199,water,conservative,-0.11523219211121473,-0.15911244962918536,True
200,water,quiet,0.4806734185335913,0.013500487086658668,True
201,water,abrasive,-1.0053455550713228,-0.12833636876069773,True
202,water,stoic,0.3956051954496696,-0.11219877634642704,False
203,water,sympathetic,0.2325981389669539,-0.10295895704645974,False
204,water,clumsy,-0.25200116736431993,-0.05347659958799498,True
205,water,dramatic,-0.7799889885121408,-0.045906317509543264,True
206,water,youthful,0.13224411945536818,-0.09870963228851162,False
207,water,accessible,0.395181527134031,-0.015489663093898575,False
208,water,humble,0.2657727463944938,-0.16681122305033905,False
209,water,honorable,-0.5301238036498027,-0.0680460384097765,True
210,water,cooperative,1.3965937215030897,-0.12385356485642435,False
211,water,trim,0.4977946632236101,-0.20860723219595212,False
212,water,imaginative,0.4319975275579404,-0.14555342027941465,False
213,water,prim,-0.06110435384808517,-0.14191576706520367,True
214,water,focused,0.17496052676686594,-0.16841387883514866,False
215,water,sensitive,0.8098239908433571,0.011600343989965357,True
216,water,sporting,0.2662785389176259,-0.211959484471988,False
217,water,discreet,-0.3630808800947532,-0.026577310343696956,True
218,water,predictable,-0.15954728585594768,0.09039224312497078,False
219,water,stupid,-0.7404939937961519,-0.0267182152271857,True
220,water,gallant,-0.6222345310671142,-0.1304412676188107,True
221,water,flamboyant,-1.431520265007807,-0.0755615943552447,True
222,water,subtle,-0.11372901311976168,0.14175294941848346,False
223,water,peaceful,1.4898872173130742,0.16208806555886607,True
224,water,conventional,0.05165251211404452,0.04762267871379478,True
225,water,curious,0.841063734418925,-0.06469727140661967,False
226,water,balanced,1.354643581783478,-0.08624170936561691,False
227,water,healthy,1.575161459654134,-0.04908531985982478,False
228,water,paranoid,-0.8236500171467727,-0.09000358467303415,True
229,water,irresponsible,-1.2241129694912718,-0.14954199128286827,True
230,water,predatory,-0.8561062491863601,-0.019825343935116837,True
231,water,cold,0.3880775347558498,0.14979226676063326,True
232,water,decent,0.17129788478264507,-0.20725918919115932,False
233,water,impulsive,-0.890833186685435,-0.004631451617464011,True
234,water,tidy,0.7122161587630318,-0.0365768738324328,False
235,water,unhealthy,0.08748298940854875,0.010848307482673935,True
236,water,short,0.18617154607911787,0.13977589964236903,True
237,water,contradictory,-0.7847297058387034,0.05040229623504693,False
238,water,lazy,0.4072587113636594,-0.01072783317073168,False
239,water,organized,0.054847690601687295,-0.12123844265489495,False
240,water,conscientious,0.7624137149800466,-0.19512058431031767,False
241,water,secure,0.5187484995503205,-0.019547706272845525,False
242,water,cute,0.2870830476827113,-0.05920080347846887,False
243,water,lyrical,0.1883054980127743,-0.10158772275148817,False
244,water,clean,1.2381589950266298,0.00010162399759448919,True
245,water,steadfast,0.522482044123835,0.13568671934209933,True
246,water,kind,0.24733175163410814,0.02217730269848573,True
247,water,original,-0.2660783158126278,-0.07693324400746514,True
248,water,helpful,0.7161182808862557,-0.038190913503074735,False
249,water,realistic,0.10318050792735374,-0.13697624715311232,False
250,water,impractical,-0.4635317315582608,0.1155217260196048,False
251,water,transparent,0.8966341194193053,0.0680464622743849,True
252,water,crisp,1.0989154306810829,0.03162224418077958,True
253,water,superficial,-0.4992545618004726,0.03408848144452136,False
254,water,amusing,-0.2535953299886179,-0.05858039431540385,True
255,water,calm,1.3301924736937607,0.015491232886099878,True
256,water,hostile,-0.7961431781464856,-0.030328038702064363,True
257,water,shallow,-0.08946915228171531,0.049235999046123344,False
258,water,skeptical,0.33223820349082184,-0.06375831242281597,False
259,water,dedicated,0.06686121971460937,-0.26357063637260925,False
260,water,dry,1.3588329003348232,0.0973824778513054,True
261,water,sexy,-0.5716555680225872,-0.0812029430930893,True
262,water,coarse,-0.5088837645259029,-0.036100914508297784,True
263,water,humorous,-0.2216516599488081,-0.032881862274499615,True
264,water,authoritarian,-1.1777298815751889,-0.05360459471245855,True
265,water,confidential,-0.07649250555275175,0.041905849366978935,False
266,water,crude,-0.9966815800210695,0.04503296030001305,False
267,water,mistaken,-0.4583628503016866,-0.014151501493141191,True
268,water,provocative,-1.2517955491280874,-0.0031148258358873397,True
269,water,criminal,-1.6015328740095358,-0.0534169182115363,True
270,water,discouraging,-0.2148403757166264,0.0875688258190772,False
271,water,dignified,-0.07604399317219895,-0.06422157450165422,True
272,water,formal,-0.38098520139483627,-0.12446076115116225,True
273,water,aspiring,-0.6384926758536456,-0.15909631687610842,True
274,water,unreliable,-0.8733816773931873,0.004193803744830766,False
275,water,strict,-0.03604615409587262,0.11101993062807222,False
276,water,sharing,0.3194755397066747,-0.006326602714677304,False
277,water,overweight,-0.041274885228626636,-0.10775625004453393,True
278,water,private,-0.2767664556595253,-0.13761396124215194,True
279,water,dishonest,-1.4546056735141366,-0.07019834024010492,True
280,water,reserved,-0.4535375827813558,-0.16899491367197014,True
281,water,patient,0.7616820898342291,-0.053278392773098364,False
282,water,irrational,-0.4653067761392336,0.09624295229530867,False
283,water,frivolous,-0.8492442693658696,0.07113221321025133,False
284,water,neat,0.5653145333237138,-0.03441209279993376,False
285,water,capable,0.3156034646409169,-0.2106267556732964,False
286,water,strong,0.42950675465999105,0.024494275070611773,True
287,water,independent,0.4705991441965091,-0.1572474745948326,False
288,water,liberal,-0.10771499093416216,-0.06577001719044855,True
289,water,unrealistic,-0.6037334336268494,0.019368485580050773,False
290,water,mystical,0.0377270450306122,0.2137503435783611,True
291,water,arbitrary,-0.6906524516809698,0.1214435454830314,False
292,water,stiff,-0.2314094363684627,-0.05492624589514344,True
293,water,benevolent,0.8622596067696823,0.14913510936302407,True
294,water,political,-0.8402197726446232,-0.05065624223193122,True
295,water,cynical,-1.010901173109209,-0.07473033226933308,True
296,water,cheerful,1.0429186941211446,-0.007818051050112738,False
297,water,malicious,-1.3100035713117075,-0.023204605212054856,True
298,water,sober,-0.29791362642443825,-0.05990850200192459,True
299,water,stubborn,-0.3934422070374564,-0.054779027899057836,True
300,water,earnest,-0.4556737451501014,-0.08448751768127663,True
301,water,creative,0.2906015524752996,-0.13721589869126888,False
302,water,buff,0.2546742060761763,-0.17844196465351514,False
303,water,gentle,1.2545128685144529,0.10609587218961544,True
304,water,maternal,0.19449423006875546,0.005404582220297822,True
305,water,modest,0.21718710838534536,-0.11568125319618801,False
306,water,deceptive,-0.8102993848195296,0.11790600296737162,False
307,water,dynamic,-0.10582744103215652,-0.11019349861785847,True
308,water,serious,-0.6260319046415741,-0.16427020502729034,True
309,water,wise,0.4022612057856037,-0.011342836842265348,False
310,water,suspicious,-0.970382785680964,0.02507308371189734,False
311,water,decisive,-0.3357375993698621,-0.05071636626430202,True
312,water,cruel,-1.27162669342818,0.17123260636765006,False
313,water,passive,0.006975644936363896,0.0674106760568283,True
314,water,deep,-0.17176864135393285,0.09641083844907294,False
315,water,alert,1.6170923524822567,-0.08496327253828796,False
316,water,loyal,0.1741991178557854,-0.08076219973612311,False
317,water,upright,0.9803941899582872,0.014431246482810113,True
318,water,preoccupied,-0.6189308846766496,-0.09150039943603892,True
319,water,brilliant,-0.007677113752964888,-0.18887600965203974,True
320,water,sweet,0.6928056655206959,0.13042101634959374,True
321,water,sarcastic,-0.908028988194604,-0.08142381184697156,True
322,water,aggressive,-0.7528947293974855,-0.03616982112924936,True
323,water,relaxed,0.9305086582558836,-0.13946125196520984,False
324,water,charismatic,-0.9375107120934276,-0.1057196788735114,True
325,water,muscular,0.2455292683576097,-0.14456291921767336,False
326,water,polished,-0.22094636224320036,-0.20488112016593274,True
327,water,faithful,0.4795230284016902,0.06196812547210132,True
328,water,energetic,1.035661585999192,-0.15577248400077615,False
329,water,grim,-0.4271933041325165,-0.0738388279529658,True
330,water,fraudulent,-1.503030758672218,0.07513188547362093,False
331,water,negative,-0.2148865138877946,-0.009969796006287892,True
332,water,mature,0.06279376117148619,-0.0930526242878798,False
333,water,disruptive,-0.9210900311376872,0.02932615886953274,False
334,water,painstaking,0.1263705592178186,0.0010086999724584905,True
335,water,obedient,1.13592595343521,0.10068370351256054,True
336,coffee,destructive,-1.3585790500387236,-0.06447646281146492,True
337,coffee,secretive,-0.6818623341796661,-0.0749142117851899,True
338,coffee,timid,-0.9712895412654772,-0.11010329103212542,True
339,coffee,ambitious,-0.047836287093149216,0.0613337604765719,False
340,coffee,knowledge,0.3602002669792549,-0.07020712582523017,False
341,coffee,neutral,0.632522375962295,-0.06653860125260376,False
342,coffee,mellow,0.8545801192575512,0.11525368753383355,True
343,coffee,demanding,-0.36684502709704775,0.04718571966016954,False
344,coffee,tall,0.05901415539643815,-0.06980530148831332,False
345,coffee,thorough,0.4016836003154017,0.041817026721133424,True
346,coffee,ripped,-0.31214410668826675,0.09748261287972318,False
347,coffee,flexible,0.8781515098863657,0.02151399020079367,True
348,coffee,emotional,-0.2546958010029245,-0.07635662567109587,True
349,coffee,persuasive,0.1590096926006033,-0.12127828356951832,False
350,coffee,slender,0.1452105859169173,-0.13729167074527712,False
351,coffee,blunt,-0.2640615063648553,0.02212012683218989,False
352,coffee,bizarre,-0.523213173527866,-0.0772816149801916,True
353,coffee,frightening,-1.404783010776061,-0.17846989998004606,True
354,coffee,petty,-1.1949551466909698,0.05844620224927119,False
355,coffee,conciliatory,0.5194191225881998,-0.09435996057590362,False
356,coffee,miserable,-0.40348054312289183,-0.006205427006171903,True
357,coffee,honest,0.10195060577791618,-0.0008243024813389992,False
358,coffee,playful,0.37756733243066015,-0.06240565401586218,False
359,coffee,responsive,0.7120936278955721,0.057109805093563074,True
360,coffee,scholarly,0.4869433433286766,-0.06998164103203436,False
361,coffee,erratic,-0.8526259296181511,0.023417028302118517,False
362,coffee,meticulous,0.14355356306331762,-0.034278382104622716,False
363,coffee,mechanical,-0.06241495320305272,0.00998302209302975,False
364,coffee,brutal,-1.1624472327948752,0.09803052683050847,False
365,coffee,caring,0.2662840122341035,-0.06797806997264609,False
366,coffee,rustic,0.05082895865775347,0.1062810752278141,True
367,coffee,leader,-0.3410350087956449,-0.04747923517487514,True
368,coffee,narrow,-0.529405552851864,0.07211306350722115,False
369,coffee,misguided,-0.8571584003605144,-0.03180865068249025,True
370,coffee,gloomy,-0.3912165379126985,0.08493122832023252,False
371,coffee,obvious,-0.3838693852560712,-0.037083914528564216,True
372,coffee,trendy,0.3633013693307217,0.08866782105030763,True
373,coffee,stylish,0.6116662805273076,0.03837622778910681,True
374,coffee,exciting,0.3848073535964143,0.1457429902201237,True
375,coffee,delicate,-0.3781974918156626,-0.14807969793546674,True
376,coffee,confident,0.6109478909819746,-0.027922156151822818,False
377,coffee,skillful,-0.19127399725937064,-0.06743192812631846,True
378,coffee,pure,-0.077341515595883,-0.17110316347380464,True
379,coffee,colorful,0.3318569501527009,0.024835776533737603,True
380,coffee,understanding,0.7792904191426172,-0.0934461839271928,False
381,coffee,impressive,0.02934721819665345,0.018718966591312558,True
382,coffee,treacherous,-1.656328872206096,-0.006677748819746215,True
383,coffee,solid,0.13190561476052914,0.12684522159393047,True
384,coffee,progressive,-0.009601347154374338,0.07620049564182993,False
385,coffee,fiery,-0.2317951361904085,-0.0894329862175684,True
386,coffee,athletic,0.3327005228419833,0.015461373747554573,True
387,coffee,unstable,-1.442137235262274,-0.1595837533769411,True
388,coffee,ridiculous,-0.5751683491627833,0.012747763349095394,False
389,coffee,solitary,-0.3099721969054985,-0.06149729425358515,True
390,coffee,profound,-0.19530497757330836,-0.11433965834639814,True
391,coffee,fit,0.2854784114578872,-0.02637131664821977,False
392,coffee,courteous,0.7104773968737358,0.015170425233670062,True
393,coffee,glamorous,0.2537344282508346,-0.06094467777088705,False
394,coffee,reflective,0.2546960179464073,0.06196364080363135,True
395,coffee,adventurous,0.31152520731477,0.04709995639849477,True
396,coffee,critical,-0.2359971584359512,-0.03240011310914141,True
397,coffee,efficient,0.7656407261391498,0.08776685163244755,True
398,coffee,impatient,-0.01446913623335368,0.01763460937003375,False
399,coffee,invisible,-0.4010961191977413,-0.13898698253059888,True
400,coffee,complex,-0.17805236815298442,-0.10108578163473733,True
401,coffee,disciplined,-0.14852470043320398,0.06026285105134119,False
402,coffee,attractive,0.15246719913430498,-0.07142724249784686,False
403,coffee,friendly,1.0015094939978817,0.0256618885496408,True
404,coffee,soft,0.13838015781270074,0.04535160383237431,True
405,coffee,modern,0.4931228918308021,0.007614387259652044,True
406,coffee,dull,-0.437957580465509,0.15956127873623838,False
407,coffee,subjective,-0.040529151129714815,-0.019789318857874282,True
408,coffee,bewildered,-0.4396836752949029,-0.05533999561118543,True
409,coffee,towering,-0.2525832822892349,-0.067989761459767,True
410,coffee,troublesome,-1.0372625327006315,-0.048803899024818784,True
411,coffee,rigid,-0.5316065040894264,-0.06734217729876256,True
412,coffee,passionate,0.3241980506372797,-0.0314819016752295,False
413,coffee,constant,0.11253494332096227,0.0017270260430834426,True
414,coffee,weak,-1.0158027116635926,-0.15774508690086947,True
415,coffee,compassionate,0.2819340042162479,-0.09790998781601143,False
416,coffee,religious,-0.19383908594547472,-0.15326949567479692,True
417,coffee,innovative,0.3830255116636504,0.01121180454763,True
418,coffee,appreciative,1.036006373817387,-0.0039299423154458574,False
419,coffee,daring,-0.2145203851703415,-0.01890980941332393,True
420,coffee,tiny,-0.1764815091923864,0.0053376569550505435,False
421,coffee,slow,-0.18849224050717805,0.15414999422135975,False
422,coffee,proud,-0.21695038218868973,0.004589054648522528,False
423,coffee,vague,-0.1101791345491344,-0.056422341000972535,True
424,coffee,fat,-0.3968609438205811,-0.05140623258629035,True
425,coffee,desperate,-0.9642949460469541,-0.03496555077715443,True
426,coffee,skinny,-0.04247216285868341,-0.0258855052892916,True
427,coffee,experimental,0.04711209350772369,0.021252754441196252,True
428,coffee,witty,0.6190636070014776,-0.006716678116318584,False
429,coffee,protective,-0.3690104237048431,-0.1478847041494547,True
430,coffee,casual,0.8156548820623466,0.06783401130821913,True
431,coffee,physical,-0.5114040525798464,-0.05168241190857537,True
432,coffee,educated,0.36485885673250906,-0.052182498027103966,False
433,coffee,warm,1.1148807033024342,0.12286900533511914,True
434,coffee,patriotic,0.7423851050877366,0.026231302755298683,True
435,coffee,popular,0.10481187804918908,-0.07236921888954298,False
436,coffee,sentimental,-0.10967957857464368,-0.07996349104722836,True
437,coffee,open,0.8286557406742225,0.13834200841208233,True
