index,age_isomap_x,age_isomap_y,age_tsne_x,age_tsne_y,age_umap_x,age_umap_y
Nigeria,-1.003891021550985,-0.5233109419272977,97.16378,127.53251,6.7075877,9.254227
Ethiopia,0.5583964327412373,-0.07769307089321505,-94.26355,-48.74977,13.298523,7.711913
Egypt,0.5621904690312031,-0.6166105502697258,-115.15846,-69.37394,13.048928,7.1554756
Congo,-0.8469890756334364,-0.03289389952785839,108.85658,95.66595,7.5887747,8.703784
Tanzania,-1.3642136245848029,-0.40858599984740174,63.323074,162.66985,5.3807592,9.274176
South Africa,-1.4741875927012662,-0.4166280708457477,53.83772,173.21602,5.302404,9.314162
Kenya,-0.7665363443919355,-0.38086923870517553,91.264565,97.77143,7.5434513,9.039322
Uganda,-0.6516700931843054,-0.3432847354733493,97.14016,87.96289,7.7975497,8.95576
Sudan,-0.41433486444351336,-0.4588340797682088,80.42596,60.635403,8.5400715,9.193835
Algeria,0.08700856132467273,-0.1846997046716652,12.235354,28.838757,11.16916,9.097316
China,0.5853314058512682,0.03452357647386421,-106.47069,15.149272,13.913753,8.466196
India,0.8794249200112729,-0.2328259968568868,-129.12732,-61.397343,13.324505,7.031731
Indonesia,-0.3304603134514403,0.5414255885811756,36.960243,-218.5632,15.162267,11.611572
Pakistan,1.2892615826420046,-0.3734180404056187,-146.82835,-58.362164,13.723027,6.7540936
Bangladesh,-0.07386649707972465,-0.4336831610211582,19.560997,43.127514,10.535862,9.021948
Japan,0.9104013212226638,-0.07652640841772529,-125.71326,13.048915,14.645437,7.715043
Philippines,-0.0958070708808275,0.6134538917189464,26.364244,-208.85442,15.037091,11.750819
Vietnam,-0.010122398755963257,0.6533289383692431,22.490278,-188.3316,14.547185,11.696057
Iran,1.5539513136980885,-0.39794653011900327,-157.99864,-53.55003,14.130292,6.632123
Turkey,1.0687791000654236,-0.08190481294860469,-170.21863,-10.067951,15.340684,7.0385537
Russia,0.2450069607240566,-0.1428083250366513,3.305625,21.35579,11.4945545,9.132789
Germany,0.09506197060234511,0.1805372681026293,5.5586457,-23.765047,12.045194,9.642284
United Kingdom,-1.456513625749496,-0.3603072144423375,65.45335,178.98549,5.0223994,9.5618725
France,-0.3145618676826232,0.10655164656242382,97.17702,11.394517,8.9282465,8.663209
Italy,1.0048565423740137,-0.08347118739718387,-168.70987,7.4198527,15.325434,7.3878636
Spain,0.9647852246246261,-0.0781358958920139,-158.07442,-1.6791344,15.09311,7.1677365
Ukraine,1.5593579139404325,-0.2203679235168993,-170.62895,-42.37917,14.780151,6.687783
Poland,0.9754449886757953,-0.10958845428609909,-156.37984,11.975115,15.133353,7.3062897
Romania,1.4051337356935902,-0.11599218488538836,-177.95952,-25.782043,15.2138195,6.8476467
Netherlands,-0.5651357867208657,0.19396697353192896,107.95736,12.549527,8.486246,8.667161
Austria,0.5285073539100703,0.054507061334167356,-73.53012,19.111074,13.42193,9.018595
United States,-1.53074116380073,0.0033341359122016647,56.23187,187.69565,5.0676417,9.503262
Mexico,0.7627144556945606,-0.04760700213508631,-141.23318,2.5795178,14.694676,7.3930078
Canada,-1.1678096779700566,0.08919671023594881,139.2843,156.9047,6.661919,8.279227
Guatemala,0.45466276063473215,-0.03628719604362197,-76.69974,-22.019547,13.200996,8.693478
Haiti,-1.141530329128352,-0.0635175998439882,127.03398,134.61182,6.67842,8.736487
Cuba,-0.35472541784472644,-0.18840613089751237,75.541824,30.729967,8.936521,9.099644
Dominican Republic,-0.032788317287410176,-0.04126872993688037,51.301712,0.7848739,9.671803,8.620416
Honduras,0.4915361154987593,0.17085519363589435,-62.86851,0.6812342,13.532343,9.382612
Nicaragua,0.5266840860505436,0.01132114446341489,-75.1074,2.8180292,13.569037,8.868835
El Salvador,0.1573055327248349,-0.02554671139544774,-7.265049,-7.3028383,12.209776,9.387598
Brazil,-0.08867249679756711,-0.16547583300398647,50.142883,14.837625,9.541584,8.749797
Columbia,-1.0627278817639172,0.11489671268374584,132.60423,171.49632,6.7621574,7.934466
Argentina,0.1512804331444087,-0.09344116263316216,-3.909915,2.8114166,11.802323,9.184569
Peru,0.32547438969309067,-0.005963568856418189,-56.722996,-24.805758,12.839833,8.964916
Venezuela,-0.07682798991186013,-0.2603243995263986,49.616,29.199394,9.66348,9.080737
Chile,0.33878420830620976,0.037101427546644604,-47.608814,-18.770956,13.068741,9.41812
Ecuador,0.2869040279728874,0.20970289970955408,-29.764324,-21.270521,13.32055,9.921793
Bolivia,0.7034376720636797,-0.14354825111361288,-104.52148,-34.12786,13.528679,7.658077
Paraguay,-0.10425175881930625,-0.1649076675899131,61.45005,16.01492,9.312224,8.820912
Uruguay,0.45519821736750815,-0.050994239793368895,-79.82755,-32.744778,13.18213,8.270946
Australia,-0.9219594958410898,0.10995965947779197,121.45693,167.40793,7.1283283,8.193445
