index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
Nigeria,0.46947489919517077,-0.23112187441258167,-281.78317,-74.50293,2.481274,4.2796583
Ethiopia,-0.10326663568006449,-0.286266474990463,-60.940037,-50.507027,11.148027,9.487298
Egypt,-0.32745103117721347,-0.3431111545197404,-386.99765,-102.48538,11.148218,9.461227
Congo,0.22315774263050092,-0.14125466966815836,-297.14218,-161.29662,3.0462046,4.873422
Tanzania,0.3556069474557731,-0.19490083670582573,-249.55508,-194.64574,2.7275183,4.626105
South Africa,0.4324154981268639,-0.16838968792989908,-283.93967,-16.466864,2.0443091,3.538648
Kenya,0.5296923403651723,-0.2155278027664281,-229.69444,-5.525181,1.7035127,3.8457847
Uganda,0.3925426742841016,-0.23277273176304503,-205.32417,-25.511915,1.7577027,3.8521445
Sudan,0.26745516443766754,-0.3517622452675483,-162.3886,-34.017563,1.8372743,3.6814954
Algeria,-0.5337988554448476,-0.1645376497040883,360.47607,-46.166264,9.631369,7.300293
China,0.11103816722902861,0.25066514736657924,190.15952,275.0297,5.1860557,4.6042495
India,-0.45453534133977913,0.5224198577649329,258.80344,-291.3662,6.8800592,5.5658746
Indonesia,0.26143795565688766,0.039933162520609376,-160.7732,-252.55186,4.229311,4.443007
Pakistan,-0.44484426973382096,0.5666632765299732,267.85944,-259.07645,6.9371657,5.4708343
Bangladesh,-0.1475871330373353,0.29960670065691253,210.83252,-286.6329,6.488816,5.2728224
Japan,0.04734603573923567,0.25655236607070375,199.73787,248.42674,5.3323936,4.689034
Philippines,0.1252697225528295,-0.16654506561285828,-156.80202,-291.2351,4.0406137,4.636571
Vietnam,0.34698672681858783,0.2765449263559837,-214.8671,217.97586,3.606434,2.814775
Iran,-0.6354753592427008,0.46064799124885525,291.0831,-299.3141,7.2007995,5.772184
Turkey,-0.4356378662713884,0.22366734540777647,421.38297,-152.38977,8.178568,6.3768473
Russia,-0.4460092787710059,0.07027454223636169,480.20212,-183.03548,8.48699,6.613446
Germany,-0.2565263728388451,0.12455510820762176,246.81723,133.97766,8.9777775,8.625296
United Kingdom,0.5325312142964405,-0.12087345613514043,-299.12207,10.637321,2.2176073,2.8685195
France,-0.4393489064149112,0.12812261090546684,515.29395,-178.99283,8.655791,6.4046607
Italy,-0.7033523241329181,0.11379703020356506,516.4486,-69.256485,7.676429,6.45554
Spain,-0.598048137937594,-0.15154639730120842,397.64883,-50.04773,9.426552,7.2173347
Ukraine,-0.6960971456511541,0.20448247257975755,492.7898,-43.81306,7.8125873,6.7295666
Poland,-0.45622650958809496,0.21404690270342783,449.36127,-130.96463,8.156671,6.6502447
Romania,-0.5957676254127287,0.10478638582127191,438.6421,-81.43981,8.346511,6.9459696
Netherlands,-0.14251596257342145,0.12815100748634353,220.28288,147.20276,9.134269,8.995987
Austria,-0.5475294136735205,0.16438092791176784,483.5528,-133.21664,8.382395,6.357602
United States,0.8325195881465876,0.1954719849919129,-446.25964,159.95427,2.1427267,1.4004085
Mexico,-0.15052559231482138,-0.1283595212910349,14.206099,-44.89049,10.649849,9.538616
Canada,0.7403855893211536,0.22006725206034913,-414.38257,164.1791,2.4171896,1.7273296
Guatemala,-0.2157970737212649,-0.1789126372828133,-16.364727,-31.198376,10.888551,9.345038
Haiti,0.2897138008417042,-0.18952416840687458,-266.3946,-150.68903,2.9720776,4.7578006
Cuba,-0.18492864162949543,-0.17107288058296663,76.56931,114.35417,10.093028,10.462796
Dominican Republic,-0.26492074399531795,-0.18009197035192878,200.65788,-24.12563,9.452115,10.576597
Honduras,-0.0049810333421734,-0.11852093989718089,67.12332,-58.99399,10.296806,9.622409
Nicaragua,-0.14687169213418694,-0.09933879914785901,75.886,-2.0444448,9.904054,9.711898
El Salvador,-0.20390813560610987,-0.17471885573796753,86.911385,49.038307,10.012944,10.070914
Brazil,-0.20599266147728015,-0.16592552100283955,137.91035,8.949211,9.782985,10.162303
Columbia,0.9530052763808651,0.24679598413221246,-465.34024,191.84306,2.2392738,1.4853969
Argentina,-0.3767729960375444,-0.19915061975558326,288.42514,-26.21079,9.695045,7.7924376
Peru,-0.33993718165644676,-0.13806055544542567,251.12973,-18.253225,9.875633,8.026652
Venezuela,-0.2527716518032253,-0.2487176926552082,177.21623,-66.84444,9.351769,10.69457
Chile,-0.23391184537482757,-0.178959113568541,166.01544,-7.9339204,9.662061,10.700879
Ecuador,-0.12334836453926577,-0.1530059811048027,48.93762,141.81267,10.298932,10.580393
Bolivia,-0.26887997562492133,-0.2316113741938413,-21.365322,2.905801,10.75638,9.366415
Paraguay,-0.16672281266594044,-0.1904722866432317,2508.6965,396.99878,9.92488,10.430539
Uruguay,-0.4309071723168087,-0.231518731555213,322.75836,-22.70925,9.770884,7.563529
Australia,0.6404290004433519,0.08496724042202038,-371.16666,129.77354,2.2530937,2.0529704
Papua New Guinea,0.6177850117309783,0.29412878532799264,-351.8635,199.85808,2.693734,1.9164239
New Zealand,0.559343306498776,0.20858531954289697,-343.8376,145.18602,2.345446,2.1335456
Fiji,0.41474930082761446,0.24767872837031912,-248.00946,206.2399,3.204596,2.627243
Solomon Islands,0.3579169618172026,-0.13261832673798907,-221.20132,-180.67465,3.1004322,4.537815
Vanuatu,0.3136849242469541,-0.10819370177202733,-195.84966,-206.94536,3.5209532,4.6818533
Samoa,0.5006504179541733,0.11671995842670459,-268.50375,171.04733,2.799728,2.7643273
Kiribati,0.27714979853058336,-0.12115319979406171,-149.92899,-219.53171,3.8986917,4.5868
