index,occupation_isomap_x,occupation_isomap_y,occupation_tsne_x,occupation_tsne_y,occupation_umap_x,occupation_umap_y
Nigeria,-0.8374173514253456,0.5781784237770886,46.86925,50.64035,1.081054,6.2305236
Ethiopia,0.10135804162290166,0.7306356742636936,23.677427,22.405186,10.339187,9.653519
Egypt,0.5330588745717729,0.7640669183073395,-58.499447,-70.294235,10.593808,9.317095
Congo,-0.9038094490130345,0.5213669903443533,45.986145,70.19355,0.7986766,5.6589103
Tanzania,-1.0401514507929113,-0.08431169340950136,36.08462,105.500656,0.10668688,6.75672
South Africa,-0.988581605510579,0.7860508628351186,103.221985,62.382473,0.796284,4.5384083
Kenya,-1.0238122900321882,0.07346455959426203,42.45339,95.91966,0.47746387,6.537142
Uganda,-0.8589512128413749,0.5496878168600116,39.422504,61.61974,1.0561606,6.0061917
Sudan,-0.4396955341217603,0.7222963625742952,32.00777,36.57426,1.3695023,5.9630504
Algeria,0.9153130296534447,0.01721946496021762,-63.767464,-137.61229,8.871043,7.2651763
China,-0.828186030953716,-0.6976838728506611,19.628088,171.94781,-2.061453,8.613593
India,1.077036656980364,0.07564118023571183,-5.1084027,-126.121056,7.578619,6.932024
Indonesia,-0.8604586049562263,-0.5916613492735961,10.644845,162.6538,-1.9457161,8.504282
Pakistan,1.3780880742951365,0.435050517080003,19.434856,-117.78247,7.4681354,6.428517
Bangladesh,0.45737139224383966,0.5509326150761411,1.1797775,-11.226772,9.916066,9.654405
Japan,0.0630452633967146,-0.521763181689135,-117.7306,-128.1624,8.37733,9.25775
Philippines,-0.7839824846993009,-0.6129890072745346,1.4103037,168.95958,-2.2170975,8.770459
Vietnam,-1.0889225524410675,-0.5391267773570857,8.57449,151.01352,-1.7101403,8.355492
Iran,1.4996489207584094,0.10122353465301817,81.37235,93.61522,7.57435,6.4698668
Turkey,0.8107202822784944,-0.5266602555657903,-80.00854,-149.91406,8.832054,6.733839
Russia,0.8235057601231115,-0.7379152761019774,-81.0314,-176.16266,9.14346,5.9128795
Germany,0.5241490361698277,-0.6489317481600567,-98.76563,-146.06113,9.117662,6.708772
United Kingdom,-1.1948946652421566,0.6982898253857932,113.72393,58.29466,0.73174226,4.4434347
France,0.7792546598655907,-0.7604907614456753,-86.3426,-186.52551,9.181664,5.9463882
Italy,1.5514240027676038,0.08095525212041497,-32.43077,-154.02321,7.8996334,6.347957
Spain,1.1273601744170698,0.20082318000766233,-18.297531,-138.058,7.893531,6.8245
Ukraine,1.2598262332068253,-0.27146847518878386,-20.912342,-153.63362,7.922235,6.6487684
Poland,0.8501113284531533,-0.49089923551254405,-70.73919,-156.26344,8.642483,6.581398
Romania,1.0215536279885695,-0.3292280604063198,-59.205925,-154.09128,8.416277,6.8081203
Netherlands,0.35906278441076056,-0.5151773759346171,-109.530914,-136.1684,8.420428,9.166462
Austria,0.8288971412441353,-0.7742304265765,-94.57424,-178.65262,9.228217,6.006625
United States,-1.4056238476272973,0.5292750375478303,140.57594,81.335464,0.26333684,3.9083793
Mexico,0.627093878536137,0.43994946582838507,19.967886,-50.979546,10.590205,8.585569
Canada,-1.3740960688044304,0.17587451726789663,131.69986,86.15597,0.15751834,3.9226742
Guatemala,0.5542611134275831,0.5034960163945684,9.111502,-42.663692,10.382286,8.735105
Haiti,-1.004746940989912,0.10845336131285989,35.629253,79.53381,0.5315939,6.083984
Cuba,0.4795358689788299,-0.17329684891613745,-32.755825,-16.038548,8.824659,9.563762
Dominican Republic,0.574345278957801,0.4489151006705795,-8.581136,-61.99743,9.850476,8.657381
Honduras,0.5803460479080441,-0.051493254639767595,-55.72937,-5.1652913,9.268828,10.114641
Nicaragua,0.5591323806901303,0.007687099658554897,-39.186836,-30.834404,9.479133,9.837428
El Salvador,0.6108685290551268,-0.07461212926946288,-45.07479,-38.938854,9.156058,9.469585
Brazil,0.5658567327446259,0.22376258947409977,-5.658955,-30.024305,10.106795,9.167131
Argentina,0.7310295202171572,0.21610142688768205,-17.462769,-96.857376,8.873921,7.837236
Peru,0.6139673981005753,0.0800280970588609,-19.867773,-84.41875,9.264858,8.352587
Venezuela,0.5227109908813521,0.351212149393804,-18.033669,-58.550533,9.673333,8.887862
Chile,0.5907238528039918,0.1939035281692762,-10.260051,-39.036713,10.025023,9.088948
Ecuador,0.45501011264681346,-0.21307791707785248,-42.103985,-8.633883,8.976048,9.92682
Bolivia,0.6905539918779614,0.4900057104638023,24.47335,-38.706406,10.659493,8.786094
Paraguay,0.5148641287093484,0.06042450792693625,-23.27084,-26.430851,9.398008,9.44413
Uruguay,0.8366630595826277,0.35607463786877247,-12.6319065,-106.69108,8.431149,7.6876564
Australia,-1.2445897165964277,0.3202333323780694,121.34294,68.86044,0.4032974,4.123713
Papua New Guinea,-1.25891241549836,-0.5419290971714453,-24.739025,129.60269,-1.1429062,7.351991
New Zealand,-1.1625242198251293,-0.2927412641619016,20.674175,127.22717,-0.3645472,7.103291
Fiji,-0.9344251673023987,-0.4064914002761159,10.000907,132.8541,-0.90130335,7.9506135
Solomon Islands,-0.9607871116124036,-0.27538217075053556,26.439045,101.2369,0.17383572,6.6804924
Vanuatu,-1.1611170236112802,-0.4336642758278393,-0.53125894,121.63992,-1.2591519,7.899027
Samoa,-1.188530712625434,0.6583050930651626,110.37629,74.12958,0.5594507,4.2778964
Kiribati,-0.49311555681699126,-0.5210938622567624,-6.32152,179.92934,-2.2729075,8.826191
Micronesia,-1.1903428885111274,-0.5810014973669381,-16.179102,139.27805,-1.086639,7.6173234
Tonga,-1.240073267714977,-0.3822636349807268,-25.521439,118.10055,-1.0710491,7.431809
