index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
Nigeria,0.2002846019487408,-0.1198245414984234,27.559391,-209.96518,-3.2029846,2.7199845
Ethiopia,0.28439289223753605,-0.2100279571918738,3.2609348,-188.83102,-3.5298,2.502084
Egypt,0.3053430117060753,-0.20945174194992383,26.686296,-171.83948,-3.3980196,2.598207
Congo,0.06568464138675005,-0.05953561413685619,-225.70949,-16.549726,-2.2029843,2.3165023
Tanzania,0.26203928269736987,-0.10327530322532297,38.618393,-229.24081,-3.456672,2.905964
South Africa,0.31980748257773284,-0.23352752227237925,-27.968054,-246.6129,-4.2894025,3.1032407
Kenya,0.35387090926478637,-0.08088631279993311,53.211025,-259.18335,-3.6464784,2.9804847
Uganda,0.3080251083796839,-0.21186377961365205,-8.177941,-237.4896,-4.0649548,2.8396873
Sudan,0.3726460504834152,-0.13078093292499984,74.36461,-264.32074,-3.736183,3.083976
Algeria,-0.20726539743774608,-0.021760645021406833,33.616226,190.62474,6.544291,-1.8418736
China,0.21688150346824722,0.341453773765846,-53.601006,-86.47148,2.8240194,2.2720885
India,0.32730929828183825,-0.023799940106493143,-140.0589,-314.05817,-6.123882,4.8722854
Indonesia,0.050556781928938886,0.29769335627163945,-80.53847,-9.9936075,3.5515482,2.1056745
Pakistan,0.29843151468297197,-0.11691757335431495,-136.63702,-350.02356,-6.252902,4.756558
Bangladesh,0.33948843488551234,-0.08344581289484285,-121.45492,-326.886,-6.142142,4.879671
Japan,0.09451082222416851,0.07822433183659065,-362.35712,-281.04233,3.7145033,1.127781
Philippines,-0.14506022460169354,0.20928947140988788,-100.144325,62.200436,4.516472,1.6228162
Vietnam,0.20559839574436015,0.34495638478932206,-58.0802,-64.899506,3.0425577,2.3542213
Iran,0.0383507314173564,-0.15194631798372144,-4.185743,258.88907,6.5019875,-2.0244513
Turkey,-0.17447053020979422,0.06709759770490699,-10.751775,160.98033,6.376822,-2.4453893
Russia,-0.07827256621566754,0.009204444608277207,-20.959719,209.70409,6.7838054,-2.5321789
Germany,0.04033601305751108,0.01632993047496947,-388.7413,-264.75583,3.9563875,0.95729256
United Kingdom,0.33570737511404025,-0.12730417281060272,-68.568115,-258.67184,-5.2828846,4.1828413
France,-0.1124836026817984,-0.003922683055713571,24.76388,87.15724,5.0177693,1.0755829
Italy,-0.3266618365160166,-0.048404822224935376,174.30833,31.628267,10.388536,1.3657801
Spain,-0.3652684106858076,-0.0385776956169093,229.47543,-42.039886,11.7773,0.26479036
Ukraine,-0.07820888925831296,-0.029534115055675176,-4.1699996,231.72456,6.397011,-2.1889555
Poland,-0.08251480279846013,0.017478050962967895,-7.0439157,192.72504,6.578444,-2.3656464
Romania,-0.3085982280000551,-0.023212433524485987,76.71954,151.65196,8.974019,1.0742674
Netherlands,-0.015963972862184275,0.035412211851687164,14.024865,1238.5996,4.282523,1.0241799
Austria,-0.0641484288718626,0.07828951318405543,-63.769295,64.725945,4.524271,1.3375562
United States,0.2916972948994539,-0.08798299930564911,-90.278435,-264.82043,-5.550135,4.530261
Mexico,-0.2726939281328983,-0.021329253302725087,103.45936,125.94799,9.405434,1.1825348
Canada,0.23997932538657524,-0.02980851006531624,-119.75547,-281.37616,-5.772669,4.809344
Guatemala,-0.2265359926647026,-0.026431052746103717,125.22552,77.24364,9.284898,1.7785286
Haiti,-0.025051653325811767,-0.059187771977469016,-218.30959,6.7165823,-1.8345312,2.1004834
