index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
Nigeria,0.01598697920908236,0.26478246997767363,-145.37204,183.937,11.042368,9.245794
Ethiopia,-0.26019798577835673,0.3085931125550274,-29.186844,258.54584,12.8233,9.374125
Egypt,-0.3990877839814584,0.4815803470283238,-20.36971,287.18823,13.023005,9.236732
Congo,-0.006144634540744438,0.217162699881195,-154.58745,148.6705,11.238707,8.82387
Tanzania,0.0293914317896815,0.2592723096771813,-127.56623,206.8194,11.494604,9.430359
South Africa,-0.03719386138989819,0.2585170732800689,-178.15805,142.7245,10.857631,9.155196
Kenya,-0.030319734535475474,0.32886551153735605,-151.9688,222.04866,11.305606,9.606392
Uganda,-0.02234448163999127,0.2248405832297148,-122.62496,184.45741,11.55377,9.423159
Sudan,-0.07769741187580906,0.38247888839717004,-59.008965,267.13757,12.296816,9.552964
Algeria,-0.37945553762374484,0.21671557486548326,-41.48104,230.12526,12.749519,9.012623
China,0.34492650587581053,-0.13693485345160358,-248.37791,-44.926563,7.520733,6.795134
India,-0.032694512045386606,-0.37303351126841383,47.033752,-65.90466,6.035436,7.3575816
Indonesia,0.32057953511785087,-0.15981225332260776,-219.27315,-44.27627,7.7522225,6.707526
Pakistan,-0.23537508645715652,-0.30013047209302607,54.647507,13.518388,5.432142,7.295332
Bangladesh,-0.15057492501657024,-0.3833641007303029,66.638695,-62.156395,5.753026,7.633738
Japan,0.27994668534481804,-0.43197789183019036,-268.87195,-42.73168,7.247948,6.9075975
Philippines,0.29110566488253403,0.050268049206882943,-158.86787,-59.49102,8.539524,6.645323
Vietnam,0.4335874046413251,-0.14381002873392779,-225.38347,-79.51616,7.961027,6.640794
Iran,-0.23855364416526242,-0.17146546820727787,45.88449,29.100697,5.5337896,7.251638
Turkey,0.00985264266930562,-0.061391145492090494,23.167862,58.332493,5.6234655,7.0471544
Russia,-0.0036409894564541656,0.18098092893432616,-40.816597,142.7383,11.728182,7.967638
Germany,0.1390180257477652,0.21692664311475024,-70.869934,124.41151,10.98034,7.991436
United Kingdom,0.5605110622767924,0.05442800227595729,-167.92972,-186.80028,9.060952,5.4416814
France,-0.13019056262012121,0.16550642077094102,-1.0562714,142.63171,11.699658,8.853015
Italy,-0.2666509846210351,-0.08048479597938987,196.89537,-68.18659,2.0678122,10.271721
Spain,-0.17256497037363902,0.011894576026966386,340.70926,43.35333,-2.657694,13.009559
Ukraine,-0.14136054642321386,0.28765712126562604,-13.253033,221.13806,12.844099,8.685993
Poland,-0.19290941320253652,0.2643696563094835,-8.569157,240.62993,12.986662,8.983107
Romania,-0.08668636249352196,0.19554290483161382,-13.183584,173.55757,12.023789,8.331463
Netherlands,0.10449459419276763,0.2008587526982501,-114.76524,137.73024,10.820338,8.470815
Austria,0.006309889015655873,0.11661307511218233,11.715043,167.59813,11.8084955,8.392431
United States,0.5485920816685028,-0.10425722061456137,-225.78143,-210.95569,9.30725,4.942611
Mexico,-0.2916762094476907,-0.31950417896222305,150.82379,-153.52815,1.4422897,9.611713
Canada,0.528271845945583,-0.025888183780787614,-204.51054,-218.98538,9.4155855,4.853597
Guatemala,-0.2627934054581678,-0.21686892291881932,137.17415,-110.76572,2.1656415,9.565856
Haiti,0.014949552526357867,0.2141758397950063,-134.78575,155.23132,11.079224,9.009207
Cuba,-0.3076291014047193,-0.07889957260803651,280.78223,-69.73544,1.0712558,10.521203
Dominican Republic,-0.27161899254924854,0.03552219679672411,319.9642,-1.784153,-2.8648427,13.227942
Honduras,-0.2946445011106856,-0.26225384196165086,184.49257,-145.236,1.4628546,9.863604
Nicaragua,-0.20524174746588025,-0.2662806758912272,145.16818,-89.219124,1.7817895,9.412544
El Salvador,-0.25306061341741803,-0.21629061943416517,159.485,-106.091415,1.7494497,9.5665865
Brazil,-0.2860157947491882,-0.16879887045036665,208.23137,-99.574554,1.7207674,10.370008
Columbia,0.4861401937110215,-0.208544314090028,-227.72769,-234.14236,9.379383,4.878498
Argentina,-0.246621389186974,0.020682271770288366,312.8266,37.200436,-2.456799,13.2398405
Peru,-0.26788572538695027,-0.17940748258521724,174.07547,-68.60628,2.137965,9.998361
Venezuela,-0.24680928979753725,0.01683447705610255,322.63895,19.274668,-2.7993584,13.137946
Chile,-0.3116800401251122,-0.1503880989828668,241.36453,-90.745895,1.54925,10.692124
Ecuador,-0.271326938687765,-0.1906970814496899,181.03532,-112.01487,1.3495258,10.042713
Bolivia,-0.2541637362183699,-0.08630198255445966,268.60156,32.42628,-2.1785505,13.077756
Paraguay,-0.33353052804067923,-0.12790782407702567,265.98416,-81.32851,1.2786273,10.729672
Uruguay,-0.3032209375449001,0.0012707200399431039,293.04807,23.349266,-2.5063732,13.312991
Australia,0.5316633763047945,0.005452917080693607,-198.30121,-199.98074,9.227142,5.0253096
Papua New Guinea,0.4169835651451635,0.046017253321106094,-185.39992,-110.06524,8.798864,6.86385
New Zealand,0.40074705169365105,0.04538858041278758,-164.4806,-122.80549,8.901944,6.570832
Fiji,0.34329150174346057,0.0478839353154851,-174.47818,-84.97994,8.460724,6.8320656
Solomon Islands,0.19463631797720302,0.12631476859132557,-90.73589,88.51474,10.476237,7.9139123
Vanuatu,0.221243682772357,0.2068309548808535,-107.06526,78.61766,10.490246,8.217447
Samoa,0.45896063640141316,0.0548270627435855,-160.46498,-166.7602,8.946242,5.798753
Kiribati,0.06487237295061858,-0.46169039583034127,24.624952,-72.21244,6.6659217,7.088614
Micronesia,0.2179845424597185,-0.24053228224355963,-227.32172,-31.255444,7.204919,6.646769
Tonga,0.3075152367684267,0.037860390763781906,-157.77487,-94.324326,8.773679,7.0407386
