index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
Nigeria,0.9082030287534516,-0.6086823894878266,52.661575,172.6061,-2.9991362,5.5546117
Ethiopia,0.21655054185171793,-0.29039071464091754,-8.045847,152.4831,-3.479776,6.0697293
Egypt,-1.4119100442196608,-0.18433574774204078,-31.517164,145.8368,-3.2036471,6.3544145
Congo,0.4909959656282282,-0.7857217055027872,37.98085,112.71394,-3.9087512,5.2713223
Tanzania,1.285005388495239,0.2803785713537768,67.35257,155.03624,-2.9034772,5.263199
South Africa,1.0923031075212444,-1.3057169095610552,51.55199,-128.23323,-4.7589216,5.015275
Kenya,1.3668208877487642,-0.11151553198097947,82.89553,163.51398,-2.9853098,5.172088
Uganda,1.0170213300779207,-0.6103079411620138,45.40895,150.16309,-3.399798,5.442665
Sudan,0.6533100255520194,-0.4721312376173746,14.70518,156.07771,-3.4466279,5.726912
Algeria,-1.9586055002257496,0.06714363497982859,-71.94034,-39.57027,4.65201,9.757655
China,1.8707866147594119,1.914468997651958,112.0379,38.97404,-2.5363731,3.5949934
India,-1.104842056809794,0.9758403326424501,-97.97159,87.59827,2.6504135,7.7897334
Indonesia,1.6988160181504468,1.5528696163860973,124.01881,64.356804,-2.9385796,3.4251785
Pakistan,-1.6998707039504357,0.014272676384862631,-403.564,68.55483,2.7839646,7.894282
Bangladesh,-0.08299793684448704,0.6171640604899379,-88.680756,101.8248,2.549869,7.70234
Japan,1.1563983593418696,2.0490457185895696,78.8877,35.72932,-2.4198303,3.961118
Philippines,0.9819396211546068,1.0839516353297778,103.53415,86.77752,-2.5998347,4.105215
Vietnam,2.2384653986174112,2.1735505393185206,128.81529,43.937904,-2.8155293,3.3650825
Iran,-2.4288662692340424,1.0190478556587432,-98.30661,51.109,3.0556266,8.098663
Turkey,-1.029948847086747,2.0221361442399393,-1.0333374,-51.81027,1.3614838,5.1560063
Russia,-2.050602402088135,1.3809069825317575,17.414703,-47.007244,1.6169348,5.2632313
Germany,-0.5538294725780496,1.904337456768585,51.87458,-13.757187,0.9533563,5.518943
United Kingdom,1.3456000827060552,-1.4384569268274112,155.16222,136.34749,-4.98618,4.8145633
France,-1.6638688725950828,1.4748573449578608,6.899701,-5.5785446,1.2054545,5.5754895
Italy,-2.7518521584368325,0.9944807979183613,-95.49912,-4.5368433,4.7653356,9.065909
Spain,-2.468165840761798,-0.2504051781056284,-89.32193,-24.540974,4.721138,9.399057
Ukraine,-2.643717065043086,0.9799640526319047,-77.92656,9.201782,4.5121045,8.920294
Poland,-1.595633768372749,1.8816146817321804,-6.868783,-29.67805,1.4865084,5.5306773
Romania,-2.1809890165409747,1.2876935986281388,-22.772343,-25.424355,1.7501196,5.406758
Netherlands,0.110191783546613,2.0229919002258883,65.45689,-3.6624794,0.5961813,5.56477
