index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
accountant,-0.6908942196253894,0.09850444306462261,-98.12848,-29.127558,-1.6218508,4.1114745
air traffic controller,-0.7286441086129509,-0.324693172650139,-144.93413,-65.289185,-2.0246465,2.9915633
architect,-0.6697338039365588,0.25466739036624814,-88.195076,-3.8132775,-1.3476865,4.7028756
artist,0.6605181172871947,0.04911429765406467,96.52708,43.389572,6.1422896,-1.8456517
attorney,-0.7091130388598904,-0.037050660906148114,-126.037125,-59.83517,-1.7815127,2.557737
baker,0.992532178636695,-0.19987438528037121,176.21408,3.351726,11.974145,5.012024
banker,-0.5198465317831514,0.26561488351903634,-112.85865,-23.176142,-1.028344,4.184719
bartender,-0.2269584649665982,-0.5182831218157125,-17.745747,-79.49722,-2.0098848,0.5551913
barber,-0.022599413791326392,0.22931009291435406,-22.554811,88.17574,6.719813,-4.5985117
barman,-0.6815489772498279,0.15458105462285762,-127.82119,-33.63153,-1.2603222,3.1317227
barmaid,1.121014837209485,0.050893592298461764,210.00398,15.668167,11.356253,4.5705214
bookkeeper,0.7847935566898919,-0.17035910591654066,142.80377,4.1053333,9.135664,2.3823993
broadcaster,-0.8418287872528317,0.039664186964980766,-151.45163,-26.761683,-1.559395,3.4391704
builder,-0.32225704081513534,0.2387081754107423,-43.485237,56.793873,6.9878144,-5.670291
businessperson,-0.7592053916215652,-0.2163902881478899,-155.25592,-49.9913,-1.8953431,3.502029
businessman,-0.6730480626831703,0.30113666329842037,-124.715576,-10.635319,-1.1507024,3.9491649
businesswoman,1.094095932881257,-0.23525779983123352,201.55743,9.334049,11.923541,4.444326
butcher,0.04105177617391525,0.2752658695146573,-13.157845,86.412796,6.765965,-4.0522833
captain,-0.9249652238076663,0.043691408790981566,-453.28635,861.3817,-2.54575,2.4685068
carpenter,-0.1702996955091474,0.23308286740472134,-33.510056,63.948708,6.982733,-5.631984
cashier,0.11600048431096895,-0.09482814005928718,18.105299,-120.41644,-0.8906798,-0.48473918
chef,0.2957323394594991,-0.021411630337147138,26.894516,89.883156,5.88347,-0.42611694
coach,-0.7966292140790923,-0.12335664212100789,-161.90526,19.043606,-2.7683349,2.1284108
cook,1.129180681620258,-0.16985437077383994,182.04242,10.210671,11.977154,4.8752875
computer programmer,-0.5388449717904528,-0.20349818050990592,-94.38132,-73.46382,-1.9099983,1.6752133
dancer,0.9816965289594294,0.22996024775949553,213.4733,28.425812,11.33477,4.8548827
dental hygienist,-0.20197428457728106,-0.47007799304100756,-22.260263,-95.39047,-1.5629294,0.5600393
denstist,-0.46032312428080885,0.040426257041661785,-83.17454,-94.99129,-1.0794952,1.5788468
designer,0.25911983769303504,-0.3129082484072333,57.572376,-105.51639,6.120666,0.46001098
dietician,0.6660419317731897,-0.35067739053624375,133.29413,-2.006745,9.209546,2.4612248
doctor,0.27167784496354247,0.2595730032508044,42.02391,73.36443,4.962888,-0.8019429
economist,-0.682908694059916,0.25326611973660834,-136.59482,-17.000256,-1.1900314,3.844228
editor,-0.35856274514302117,-0.40089883529373943,-36.592617,-93.031494,-1.6374972,0.9524543
electrician,-0.7501241573111616,-0.3624052220427149,-152.99615,-57.262688,-2.0841563,3.0525765
engineer,-0.8065216594433553,0.12648299335400362,-141.3493,-23.723614,-1.2744303,3.5368114
farmer,-0.20884432810725972,0.26321341400372056,-41.15072,67.0678,6.7853436,-5.5009775
filmmaker,-0.5102912894883893,0.09780608268336956,-90.03395,-85.06623,-1.5340503,1.6367993
financier,-0.9038553253444893,0.206538768321192,-155.23817,-14.466092,-1.3935913,3.6272
fireman,-0.41666494845778057,0.264937705516997,-58.83666,57.632034,6.7849936,-5.689359
fisherman,-0.09747718690572577,0.2546208250488203,-28.51388,75.26326,6.6619797,-5.2076173
flight attendant,0.104489402760502,-0.27226119825445777,14.522352,-113.14105,-1.3396742,-0.35899964
