index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
accountant,-0.2676585970952729,-0.06782429723520755,-36.24054,175.6347,9.823813,9.769197
air traffic controller,0.23473792877226723,0.09532422338779942,61.520992,-132.82634,-0.53964144,6.8468995
architect,-0.1634285468774105,-0.20526315796082611,26.082361,138.6157,10.701588,10.134961
artist,0.37367567150764847,-0.28402074572646163,-74.18899,-228.36008,-2.7841074,5.2886024
attorney,-0.026254000289935655,0.23550915876337805,-153.26274,102.589066,4.8441496,8.347977
baker,-0.26040273410492,-0.21125404358921568,2.808303,147.72339,10.988814,10.447058
banker,-0.26036815386029416,-0.11732507538901342,39.840424,187.77087,10.430858,10.270827
bartender,-0.1271340304272243,0.0861542105713319,-212.98865,26.249102,6.574101,8.065377
barber,-0.3457012018741237,-0.08075623455229367,106.39005,173.4784,9.864758,11.130159
barman,-0.3370130339362922,-0.07270412543568788,97.031204,165.72989,9.938818,10.748432
barmaid,-0.09686253858072633,0.13110436613603996,-220.6134,53.81849,6.025014,8.260871
bookkeeper,0.1359387620245384,0.08040142605034094,43.365665,-106.14512,0.07321218,7.1438794
broadcaster,0.2486898385749547,-0.05058974062930428,71.054726,-120.751495,-0.41970193,6.4219856
builder,-0.38194220118226535,-0.16091580153934804,131.83708,137.44347,10.130543,11.652712
businessperson,-0.22124786155123569,-0.043227356761941775,-29.122263,185.80084,10.015148,9.56105
businessman,-0.2777131162756544,-0.20734088139379492,26.96868,201.50601,10.567623,10.083431
businesswoman,0.023006460203231438,0.17054897357306853,-177.7375,71.36565,5.499675,7.908744
butcher,-0.31476924392978434,-0.1428141780522552,65.29598,165.05588,10.161546,10.773042
captain,-0.17011023430331376,0.250990807885443,63.12645,10.357096,4.6114073,9.069692
carpenter,-0.45683574190335285,-0.1500406723319308,161.60048,142.3811,10.208035,12.048786
cashier,-0.1250162169337519,0.09401645135183115,-223.6141,37.71804,6.4979415,8.371999
chef,-0.03848241968481091,-0.11254595275502483,4.790424,-36.6546,1.9156334,7.513708
coach,-0.20662927324301417,-0.005282436498855057,-46.13973,188.54604,9.512642,9.664639
cook,-0.26897574811781166,-0.15816930263449755,-6.618749,141.58395,10.875702,10.560832
computer programmer,0.3813142196373858,-0.15884647187730758,-14.584095,-196.89188,-2.08065,5.681196
dancer,0.0994752454395582,-0.037201796325087175,-394.6359,-338.08694,0.9325399,7.354144
dental hygienist,0.33769688094080336,0.1145092541988865,72.49886,-165.12029,-1.0080014,7.0738072
denstist,0.41155602528006846,-0.19761450382754142,-11.350735,-219.09558,-2.3826737,5.989462
designer,0.4404693443409396,-0.27692928029593256,-80.18157,-204.94003,-2.9052973,5.682676
developper,0.45233177620028164,0.05530889083454228,112.835945,-201.09567,-2.0957015,6.911536
dietician,0.5212261902970738,0.07250700627190577,81.34019,-222.00233,-2.5374224,6.963235
doctor,-0.2729930761681904,0.08613840964602243,70.20413,59.480743,7.809873,9.629577
economist,-0.26424414671078433,-0.0704312440329829,51.03091,191.93837,9.946423,10.121873
editor,0.280912540097676,0.07128428687733025,55.399887,-151.41185,-0.75815994,6.8328505
electrician,0.026145905241391536,0.011287879209915655,-11.504058,-48.449245,1.7696906,7.5198097
engineer,-0.1994594331860581,-0.20504401897511934,-10.276772,174.85564,10.510162,9.713327
farmer,-0.45103796121541256,-0.14547474620900683,153.48724,152.04767,10.0367155,12.02977
filmmaker,0.24259711552103747,-0.24154843591665745,-80.8068,-163.48553,-2.4621456,4.948343
financier,-0.047286624095413225,0.17182896233161385,-18.25911,16.739506,3.4068823,8.085503
fireman,-0.4479882199910878,-0.10128706920936502,136.88712,183.45712,9.766082,11.533416
fisherman,-0.40970573684901374,-0.14504693460766055,144.08107,138.98212,10.192639,11.790374
flight attendant,-0.04815084352077192,0.10700311438396753,-222.93774,81.62382,6.180432,7.7781277
gardener,-0.3924012454321658,-0.11966581099405749,120.03587,179.48264,9.716073,11.284777
guidance counselor,0.41659483607495684,0.14140954050262175,-117.67687,51.66268,-1.5253798,7.308388
hairdresser,0.20954241698316156,0.06840246575119915,37.820465,-115.94104,-0.19554572,7.0463686
homemaker,-0.05945275834749155,0.11358078811255802,-208.42024,62.77342,6.028446,8.027751
housekeeper,-0.017426300405518354,0.16527787416840214,-187.33266,64.06572,5.631388,7.941156
interior designer,0.6001699717761216,-0.24619570772744118,-48.2037,-224.97902,-2.8414037,6.1553006
jeweler,-0.041049446115432035,0.15008386786082856,-17.667564,-8.798525,2.8241005,8.018939
journalist,0.30235937590393663,-0.19402081061666518,-36.115616,-190.16936,-2.3904724,5.235743
judge,-0.10968170095572441,0.3369006355646669,-85.57938,-28.1331,4.04215,8.84094
lawyer,-0.07226817164259491,0.2046727509722929,-45.01488,21.974003,3.6190307,8.370908
librarian,0.435743521010812,0.1257573433639097,95.84638,-208.55219,-2.2374196,7.047668
maestro,-0.05752110326108458,-0.0558586116508452,-8.663967,59.17312,2.6522343,8.645188
magician,-0.10228804494998567,0.14424216556038827,-39.94649,36.869904,3.622144,8.7065115
mason,-0.3720940555636225,-0.12452926015040273,3111.0042,236.94301,8.408093,10.087768
mechanic,-0.11397160921813677,0.027134096120592435,-195.70454,9.755559,9.378459,9.307239
musician,-0.06490950721858578,-0.0819729622829018,-3.8512745,88.06397,2.6253629,9.039014
nanny,-0.18038133330364184,0.08449867874991943,-239.66379,39.105526,6.710966,8.635196
nurse,-0.051670404263686895,0.22445140951366085,-161.90932,94.023674,5.2082877,8.196574
nutritionist,0.4361080705153178,0.14495387087225087,82.62667,-204.73811,-2.1699722,7.146709
optician,0.37455137225945667,-0.12713773843974818,-0.9069443,-208.3319,-2.0066175,5.910683
painter,-0.0258888823003632,-0.20092000798404025,-3.2457907,75.25006,2.5573595,8.749902
pharmacist,-0.03217024272066746,0.024346756195968225,-10.530266,-27.701889,2.2636414,7.704674
philosopher,-0.05971087395955701,0.2946971728523886,-78.78361,-17.962008,3.916141,8.70873
photographer,0.37528146502891785,-0.15129616086928926,-16.387913,-185.06445,-2.0728886,5.6724877
physiscian,0.48390437942606673,0.010712735929831326,39.888474,-201.55888,-1.8604822,6.4684734
physician's assistant,0.025364022803229296,0.2359016239372148,-73.69601,17.65088,4.3355703,7.9776235
pilot,0.1129727071486938,0.01937873668888153,358.46906,288.0454,1.1863654,7.4134965
plumber,-0.3099432540505165,-0.021962934690934164,-2183.6775,2659.1223,9.458701,10.413484
police officer,-0.27255304910845496,-0.009930658893587203,26.274115,166.61612,8.923037,9.97002
policeman,-0.29851695230610825,-0.12439793580089864,53.80729,166.78578,10.288607,10.588583
politician,-0.05081894296939633,-0.05944296887579491,-2.028049,49.509342,2.5183163,8.491856
postman,-0.2625910153495881,-0.16351988936967937,38.954765,156.74217,10.525338,10.582069
professor,-0.04172392690990641,0.18647697116324832,-55.05243,16.051685,3.9676588,8.12456
programmer,0.10877099605745714,-0.05940945199718077,-0.29986528,-59.020283,1.5777895,7.4153357
psychologist,0.34510213104487064,0.13711041503522545,53.339016,-181.116,-1.1858842,7.036098
receiptionist,0.1294170779966277,0.20149294142294316,-88.72667,20.62698,4.4372673,7.809771
salesperson,0.010520684467772629,0.06873487505490466,-25.158178,-55.860966,1.4350877,7.628864
scientist,-0.025676057166915994,0.14173882022623102,-22.673433,2.353628,3.2102945,8.128355
scholar,-0.19147260650339826,0.22025353240240558,48.488937,14.881777,4.386173,9.009906
secretary,-0.20311914411912002,0.11539658753490523,-253.25055,36.646885,6.976627,8.806609
server,0.30725937323837266,0.054605595258292484,38.12804,-151.26682,-1.062329,6.6943026
singer,0.17191944029533937,-0.1844613875061975,-85.01841,-152.32172,-2.4043217,4.9873047
skipper,-0.28504367907952155,-0.006504739937113414,752.28,-7876.732,9.3804035,10.326679
soldier,-0.3562735688408215,-0.03697013784310927,-2729.7832,-1103.1162,8.385866,10.094761
socialite,0.5499229443736231,-0.03742506776863344,77.691864,-232.98973,-2.6125374,6.7962885
stylist,0.592087348441996,-0.11359170737670814,-57.89507,-200.92314,-2.944407,6.326996
surgeon,-0.327198554589036,0.09872228254828964,81.71164,59.244038,7.871939,9.589446
teacher,-0.16921974197085096,0.1795894594738826,53.024002,34.1144,4.4812026,8.747879
therapist,0.46101986804351497,0.1716111330919811,-123.46381,41.96427,-1.6111233,7.370965
translator,0.37307394799234717,-0.24047368520364495,-66.7173,-216.943,-2.8069804,5.43237
undertaker,-0.35919748552936814,0.05963211208562389,72.16383,75.01013,8.100445,9.81601
veterinarian,0.31804799289977964,0.1076161722550756,58.95258,-164.58403,-0.92849857,7.0532904
videographer,0.37702659054278653,-0.015669506072132335,-2.5852334,-177.12766,-1.7647712,5.9499674
waiter,-0.30109183326671307,-0.1724356736822721,84.96583,154.41312,10.3732815,10.9918375
waitress,-0.025974903723769673,0.09891956685632237,-204.39218,75.42518,5.8866963,7.772331
warrior,-0.32690710172966353,0.2361531111829766,63.50369,-3.8216615,4.6462603,9.242234
writer,0.32108399437532165,-0.23108219028770288,-36.10168,-204.13695,-2.534221,5.3531075
