index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
accountant,-3.0409037874552016,-1.8397642656176023,-25.834005,286.21198,1.8351877,6.3806634
air traffic controller,-2.680169066481712,1.5311661443825741,-136.278,108.49803,2.8977673,8.095249
architect,-1.462792382565548,-2.336048683239951,39.279335,235.03096,3.1960022,5.6169305
artist,1.8974821818292549,1.5267730002941888,-35.71064,-177.2227,9.604831,5.781676
attorney,-1.5337006474051087,-0.28281197810264425,287.70477,93.874535,4.9527874,7.922725
baker,2.6357650245905067,-1.8849294478283904,77.308495,-308.98196,9.817882,7.398506
banker,-1.6999872224516062,-1.5540359842111882,70.041664,282.4452,3.462076,5.812072
bartender,-0.4031662981899374,0.7208544660484607,-20.347734,-30.771225,8.268901,7.94422
barber,-0.42119890165872714,-2.2593775968087204,111.244514,140.13936,5.314233,6.0498643
barman,-2.230430276912345,-2.0973940425360187,111.32584,270.40945,4.0827837,5.4892154
barmaid,4.299840974570884,-0.10517585410199716,-60.788986,-359.97046,11.04255,6.007324
bookkeeper,3.16348954414727,-1.3891868507036595,13.512078,-271.24213,10.689317,7.2392197
broadcaster,-2.7724616166215124,1.1110957291581112,-157.4668,158.12051,2.8110938,7.908532
builder,-1.408203150999562,-2.2658227069725645,117.657036,233.58081,4.388998,5.596272
businessperson,-3.408259964837324,-1.2585085318560425,-48.843235,277.16623,1.8910627,6.3582497
businessman,-2.2904811390093243,-2.0998771711832793,13.627821,311.63278,2.698613,5.811322
businesswoman,4.106179578236263,-0.18954032798617762,-34.97063,-329.6274,11.198527,6.066976
butcher,-0.2635251030524325,-2.0344759159663863,120.07967,115.88025,5.6216683,6.3532853
captain,-1.8006616824204136,0.5936140870130034,-58.376007,94.59676,4.1618686,7.9922733
carpenter,-0.983162007581735,-2.7902763683845966,152.84265,194.36417,4.8495593,5.743626
cashier,0.9065326393715032,0.19686738969386927,16.16305,-47.789753,8.29023,7.9712744
chef,0.9326767662010481,0.22093150936716502,39.222794,-82.09221,8.652746,7.651935
coach,-3.5277537933008056,0.3113685340447975,-105.17727,199.20706,2.1331227,7.8065953
cook,3.214357531570262,-1.4377163357210343,54.76334,-320.77722,10.564302,7.0533752
computer programmer,-1.3235574594539503,1.915342518012683,-183.9957,24.399723,7.842225,-0.12056041
dancer,3.8406552998272026,1.036996554700549,-140.13995,-1637.6198,10.701651,5.7044177
dental hygienist,-1.6063997668711092,2.766434109950253,-138.59769,-5.445757,7.9711895,0.53223723
denstist,-0.9850143288867103,2.274389495769682,-276.5969,-6.1063795,8.458785,-0.26039246
designer,0.1849900619943005,3.0948718398847195,-302.72772,63.45944,9.335507,1.4769228
dietician,2.1715800607821585,3.013846694063,-160.0683,-177.68997,9.698179,1.7528948
doctor,0.5054285311682285,-1.4748171244436716,72.83808,41.280922,6.1410065,6.4466195
economist,-3.014884914609712,-1.848285289088641,-18.441864,314.80447,2.0403547,6.2105284
editor,-1.4305105105581253,2.130714159377693,-160.9432,50.711906,7.560045,0.068148576
electrician,-3.5628467388005998,0.29235206452178963,-86.55018,286.0016,2.0227084,7.3938375
engineer,-3.278596465320677,-1.1853984235196868,-45.098747,307.89542,1.8581839,6.4373155
farmer,-1.1569524764479566,-2.781108972050146,143.29727,214.21967,4.5846305,5.6098647
filmmaker,-1.4418944604131478,0.9829643886520957,-246.11224,-95.3473,8.589267,-0.8688659
financier,-2.8003078837358912,-0.3433356873955156,-172.28969,178.40797,2.8454943,7.8439617
fireman,-1.797912441558455,-2.534902724516748,138.22876,249.69444,4.2389927,5.460703
fisherman,-0.7236387481265765,-2.472311072712239,121.6162,171.26884,5.2003565,5.9768305
flight attendant,0.6953077965660251,0.9161379861600024,-2.4250278,-49.01098,8.361446,7.8901734
gardener,1.4814754591702877,-1.7068817065499362,210.95657,-43.965023,9.227966,7.6360927
guidance counselor,0.05030967164175848,2.470077137277911,-137.64418,-66.77785,8.810679,0.74686754
hairdresser,4.686950008843079,0.38027922946895826,-68.61712,-316.8777,11.186304,5.7556806
homemaker,3.6885929157712782,-1.0169629742123019,22.738777,-305.87094,10.866688,7.0786552
housekeeper,3.9645731349589717,-0.5411300951155569,-38.185795,-351.87,11.136676,6.149645
interior designer,0.9191685361965912,3.51960695524452,-324.2542,-54.523434,9.582826,1.6747217
jeweler,2.1752406117222907,-1.2208517528202805,66.52727,-134.98132,9.421829,7.187816
journalist,-1.3753318243751025,1.6044212379655962,-255.92828,-71.17434,8.538078,-0.8008032
judge,2.7230754116559,-0.7170011384662643,194.88515,-164.98492,8.713195,6.2004166
lawyer,-0.7014635445389795,-0.878039186082768,265.89212,61.881973,5.212473,7.8576727
librarian,1.2575530538129025,2.753613979688723,-139.61485,-176.23802,9.550275,1.620612
maestro,1.3365873620259416,-0.2586021743970371,203.37613,106.689415,8.546725,6.419801
magician,2.792101014539314,-0.4611649501331754,139.10251,-159.16325,9.242714,6.345643
mason,-0.006152019399672656,-2.0667576649664388,130.29788,53.19127,5.7980056,6.872618
mechanic,-3.7938360925553662,0.3867900624367918,-84.86514,204.4638,2.1926146,7.775382
musician,-0.5177713569928315,-1.3760082605127935,209.5671,60.682266,5.4510303,7.4597015
nanny,3.110457392455297,-1.357113580608268,407.30948,-937.7936,10.7892885,7.041554
nurse,3.5261458539664554,-0.23470287050714195,-6.854313,-337.47446,10.974071,6.6662345
nutritionist,-0.6275647530853068,3.304471755834967,-108.45957,-15.489581,8.36303,0.7792323
optician,-0.5030521112474097,1.5989593538550646,-222.90031,-36.560047,8.399002,-0.33810025
painter,2.306728411136567,-1.0492363081192517,77.81279,-162.0726,9.466668,6.805919
pharmacist,1.1929938336916257,-1.258978387260082,55.89125,-103.30804,8.930645,7.3990793
philosopher,1.2672956163545042,-0.6028755102207367,166.33846,-91.58517,8.408861,6.428623
photographer,-0.5825037012979379,1.9327254187659275,-196.99995,-4.379751,8.134247,-0.24609613
physiscian,-0.3206123133140461,1.7972415436601636,-258.68903,-20.489134,8.597159,-0.2749187
physician's assistant,0.9470977090712367,-0.9690871408410898,112.65068,-49.505867,8.0334215,6.9455247
pilot,-2.946684891529135,1.1525674382051014,-77.68916,106.31656,3.287405,8.001315
plumber,-3.5418062545450146,-1.0042414149920218,-105.358955,233.31606,2.069199,7.64527
police officer,-0.7927310264749823,-0.7564374450596917,266.99646,88.111626,5.131312,7.6462197
policeman,0.07611987102662486,-1.3675478813373112,166.31178,72.83973,5.6930966,7.025732
politician,-1.5084536558502706,-1.7815987118466996,42.311897,256.86023,3.0361848,5.673757
postman,-0.6445170103149738,-2.0958699959906006,135.05353,138.39171,5.389842,6.13414
professor,0.4152937677417996,-0.4832748404546483,124.961334,-35.05864,8.104561,6.883886
programmer,-3.048119422586147,1.2910146701192151,-127.5743,132.12743,2.5603523,8.056664
psychologist,0.19027675011558545,1.8264535079691904,-166.47969,-93.02573,9.025421,0.65660894
receiptionist,-2.1738322226983895,1.8981154387779888,-147.87369,78.18043,2.7394128,8.354914
salesperson,-2.5674180506997817,0.7190140345472372,-110.78308,162.95212,2.4017754,8.181976
scientist,-1.3774113748796297,-0.6778002448322377,238.45601,51.590412,5.0683312,7.625563
scholar,2.6766153546855613,-0.5727155294332196,157.56906,-153.07455,8.744708,6.304671
secretary,2.1488449037845583,-1.4495598899779891,-307.61023,847.5885,9.528704,7.3067174
server,-1.261512117590795,2.6279660733605805,-228.7897,46.241238,7.8547497,0.47835276
singer,2.771362479510299,0.8245648889632718,-16.490131,-181.87497,9.669027,5.9645023
skipper,-4.069484803679548,1.251780609917872,-60.47018,194.26222,2.3421,7.884619
soldier,-0.18698250723917842,-1.5429019817544662,156.0551,48.280144,5.8482766,7.235263
socialite,3.5949881290965657,3.3534350513139732,-170.70346,-207.50937,9.849212,2.0765471
stylist,1.0434720693142245,4.036623043882882,1775.5986,-150.91151,9.646068,1.7556742
surgeon,-2.0158213102825484,-1.5747390699679005,48.41122,285.75058,3.0180316,5.718282
teacher,3.444117424995602,-1.5533796747674777,24.502958,-366.58167,10.656163,6.7075167
therapist,1.3620106061829396,2.3730555966737255,-156.81195,-145.93109,9.336173,1.2953705
translator,-0.5361140823247674,1.3769197223443963,-230.76317,-56.250736,8.767326,-0.5960534
undertaker,-0.11284032158352726,-1.9813919168287413,-196.24454,121.781075,5.784995,6.424544
veterinarian,-0.9026804306030854,2.256233833586429,-135.1906,-26.06633,8.389985,0.64168555
videographer,-1.8969149784561659,2.462749638704392,-203.30989,47.248123,7.7889266,0.38363537
waiter,1.073618454858647,-1.1679020794795536,192.5902,-37.41159,9.029192,7.6221232
waitress,4.726711540456793,0.5768102803607555,203.53554,1210.0066,11.018112,5.67699
warrior,1.2362541055829235,-1.331466241645503,212.02335,-153.05927,8.611963,6.1564136
writer,0.32066796864975905,1.1091108001078158,-187.11717,-82.31581,8.878059,-0.05025305
