,sport,country,direct_correlation,indirect_correlation,same_correlation
0,football,Nigeria,0.2022354116216276,0.06525498953582053,True
1,football,Ethiopia,-0.454812294287673,-0.06519156189832002,True
2,football,Egypt,-1.4824956912943348,-0.040123360585372976,True
3,football,Congo,-1.107307261221189,-0.13234654658289954,True
4,football,Tanzania,-0.586959153604395,-0.04788947298249103,True
5,football,Kenya,-0.6343951917677516,0.06637504158050234,False
6,football,Uganda,-0.1151705523746398,0.013553722542017107,False
7,football,Sudan,-0.3632630649756553,0.00695330325359416,False
8,football,Algeria,-0.47108147189538,-0.12611952857299136,True
9,football,China,-0.973187530196721,0.08092682111159863,False
10,football,India,-1.1221075073072158,-0.0001849186161164999,True
11,football,Indonesia,-1.1863150669377525,-0.014713375857330591,True
12,football,Pakistan,-0.5053921733252347,0.05411615713932545,False
13,football,Bangladesh,-0.4021188842415936,-0.003706087603673115,True
14,football,Japan,-0.3163868078402608,0.08393465904711582,False
15,football,Philippines,-0.8622079280323323,-0.012845581677176664,True
16,football,Vietnam,-0.7952136391375799,0.06325630287693157,False
17,football,Iran,-0.6211030357159871,0.06348401987957199,False
18,football,Turkey,1.0116017434401303,0.05181603880778,True
19,football,Russia,0.4560975408330659,0.009311035886312016,True
20,football,Germany,0.4337157561817345,0.03571658946522669,True
21,football,France,-0.32933829958321503,-0.09901031913285616,True
22,football,Italy,-0.19971323095034246,-0.12873556583204734,True
23,football,Spain,-0.2740184599090421,-0.10670157885768504,True
24,football,Ukraine,1.215441235691757,0.02621268341641673,True
25,football,Poland,0.31185591604905244,0.02625348008094074,True
26,football,Romania,0.30461286916127583,-0.08982081565825263,False
27,football,Netherlands,-0.2192679093583232,0.05193773230058708,False
28,football,Austria,0.05240457729270226,-0.03581140622997104,False
29,football,Mexico,-0.6835666058518461,-0.07138068418614454,True
30,football,Canada,-0.08529844119001735,0.11986560515634735,False
31,football,Guatemala,-1.1353042578091803,-0.16405831895527315,True
32,football,Haiti,-1.5744650565634344,-0.16825970583477345,True
33,football,Cuba,-0.6161941534850307,-0.056492257306230566,True
34,football,Honduras,-0.713109440250179,-0.0425905958615433,True
35,football,Nicaragua,-0.9493941160778734,-0.054620884157182116,True
36,football,Brazil,-0.5264975416096173,-0.11339276422789075,True
37,football,Columbia,-0.5898544186508135,0.12107077527798735,False
38,football,Argentina,-0.3654450678241877,-0.0774138861519029,True
39,football,Peru,-0.5167603503783895,-0.08507518316137191,True
40,football,Venezuela,-0.4872211821153205,-0.09551851011747753,True
41,football,Chile,-0.2473018182080184,-0.09568600508391924,True
42,football,Ecuador,-0.7704503900952218,-0.10019080526069564,True
43,football,Bolivia,-0.4829908223685832,-0.1398226970292413,True
44,football,Paraguay,-0.02919896807329565,-0.1067993023845651,True
45,football,Uruguay,0.12650315939232934,-0.062039869944823724,False
46,football,Australia,-0.06876598311332799,0.11540056631314408,False
47,football,Fiji,-0.4621861329635534,0.054591860570215055,False
48,football,Samoa,0.20076793079573585,0.012944758649781585,True
49,football,Tonga,0.15550084399485564,0.036724424662790495,True
50,basketball,Nigeria,-0.051275270371417735,0.022423007476107124,False
51,basketball,Ethiopia,-0.2988983892172233,-0.11072980726841122,True
52,basketball,Egypt,-1.1916243622048273,-0.027469629238113292,True
53,basketball,Congo,-0.8018551539936307,-0.1457073147389196,True
54,basketball,Tanzania,-0.20501484245990745,-0.05437038085299302,True
55,basketball,Kenya,-0.772311538815341,0.05223378366406347,False
56,basketball,Uganda,0.28663648393232305,-0.011797507141723463,False
57,basketball,Sudan,-0.32817075249924066,-0.021129959235694263,True
58,basketball,Algeria,-0.9251274400838804,-0.18570325165717425,True
59,basketball,China,-0.1359072191909124,0.14545799478916846,False
60,basketball,India,-0.7279763339117846,0.08316736362822763,False
61,basketball,Indonesia,-1.045783723207873,-0.027761528078254882,True
62,basketball,Pakistan,-0.29417198246713416,0.11541687522560735,False
63,basketball,Bangladesh,-0.7423437064040254,0.06644052408326584,False
64,basketball,Japan,-0.25125206391419425,0.07260688754364415,False
65,basketball,Philippines,-0.494518146282117,-0.019077211407767924,True
66,basketball,Vietnam,-0.8643279505975321,0.08704447488626386,False
67,basketball,Iran,-0.4392947458632562,0.058046878067648536,False
68,basketball,Turkey,0.611105054669825,-0.0499479705486976,False
69,basketball,Russia,0.5548579515937339,-0.03221414040917713,False
70,basketball,Germany,-0.10019514045093182,-0.05087918018493511,True
71,basketball,France,-0.7106526942591771,-0.167427122801672,True
72,basketball,Italy,-0.7721480763519445,-0.21338507669470155,True
73,basketball,Spain,-0.7557615698057765,-0.1986297237183034,True
74,basketball,Ukraine,0.9584105096302264,-0.07007343793033682,False
