index,country_isomap_x,country_isomap_y,country_tsne_x,country_tsne_y,country_umap_x,country_umap_y
football,0.02577644111653738,0.15071645376996481,1.6019953,-99.372574,-0.33604372,3.1238775
basketball,-0.46308918260345394,-0.1703676755082679,231.70346,54.225235,2.0709696,-0.06908648
cricket,0.2540225601434287,0.11383354641294942,11.574678,-149.7099,-0.8251812,3.251206
hockey,-0.27906750293768895,0.15117870967002664,158.21478,70.979004,0.56016093,0.71875036
tennis,0.1681932002953955,0.18603855049814672,-44.62051,-86.62683,0.24164219,3.051431
volleyball,0.3254090961495566,-0.21405637989511514,-195.04816,83.121925,1.5600088,6.3322244
table tennis,0.31810327290920026,-0.09039223223479714,-212.42949,57.10578,1.812416,6.006753
martial arts,0.6471852234986811,-0.42027949773324647,-286.12576,-1.755358,1.3832207,5.527381
baseball,-0.46220289163887895,-0.15154162076760416,216.41876,20.725674,1.6396497,0.44360593
american football,-0.39875695565088565,0.39988640000723347,7.780702,42.223515,0.41277826,2.1176038
rugby,-0.297454102982365,0.1721594099787165,94.896255,-8.351649,-0.20301124,1.3405424
golf,-0.5585997685664839,0.4244434683175285,92.955505,32.647858,0.19187382,1.1095957
athletics,0.06512280851747153,0.21355405526212434,37.70498,-91.70498,-0.7827958,2.7431345
badminton,0.6063732421326662,-0.22388641619735658,-315.94266,4.529382,1.1467097,5.3824024
boxing,0.004000503622697266,0.13639488497864996,7.1596293,-57.74458,-0.37009478,2.4813864
Formula One,0.8228213348285901,0.39738671201249187,-151.0268,-123.39309,0.64410806,4.324352
MotoGP,1.1063147993858788,0.01744261325737189,-343.86578,-59.17863,0.7581978,4.858003
cycling,0.3031725803872279,0.3710505022925148,-103.86688,-112.02041,0.35372794,3.4540873
swimming,-0.1622462582694117,-0.2179356990839486,125.94094,-105.51007,1.7816259,0.75085074
snooker,-0.9253990157843044,-0.2663451135735729,349.15192,83.175385,1.8572748,-0.764092
shooting,-0.49866518936058424,-0.008678697459161715,203.02718,85.717,1.0825573,0.08192313
gymnastics,0.33006559031236027,-0.3300595477293643,-232.00464,103.04188,1.7583172,6.4634004
handball,0.13615194515157403,-0.3795712204911659,-186.44603,124.8324,1.4328893,6.3067393
wrestling,-0.6816503338860067,-0.2394062763458923,281.285,64.07995,1.632881,-0.40550628
skiing,-0.03686820714842109,0.23446565575845618,-68.03738,-44.554897,0.57042354,2.7923038
horse racing,0.0002644943734659335,0.45960277644840486,-27.333424,-8.802615,0.12862313,2.4221401
horling,1.050280168789905,-0.21786904454733666,-308.11835,-58.256294,0.98739314,5.127485
pickleball,-0.495151259825792,-0.2794325227588348,250.87787,90.94052,1.7034713,-0.13087097
water polo,0.01783699668836099,-0.08637227109297375,81.558464,-109.695946,-0.9679172,2.413451
bowling,-0.9219435896487224,-0.13195952324594373,349.56174,114.92265,1.5192206,-0.975961
