index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
football,-0.1453835304836171,0.1166028796268086,34.548023,89.702675,2.143336,7.9623294000000016
basketball,-0.098680201029688,-0.015660063631626153,-28.742572999999997,64.52271,4.5950065,7.337287400000001
cricket,0.21715107545395448,0.11156570670341652,-56.012722,-81.68983,6.271237,3.6713544999999996
hockey,-0.09572537848933614,0.044631396887484624,4.2697954000000005,87.49200400000002,3.3160867999999994,7.874140299999999
tennis,0.27636907060535376,0.024889561351466388,-30.531502000000003,-86.02387,7.095846000000001,3.5102157999999997
volleyball,0.11560005251140255,-0.05624046916313456,-27.87896,-29.506048,6.2345114,5.0369205
table tennis,0.246332959112126,-0.0524380554695155,-11.077253,-77.25802,7.631022,3.8189193999999995
martial arts,0.11641509068160386,-0.06433328125846756,-16.660782,-32.538265,6.5474744000000005,4.975242
baseball,-0.2176206608740484,0.08442464456464571,52.743828,119.77528000000001,1.2504444,8.148313
american football,-0.4027594733519286,-0.09790471641332958,81.5081,188.62051,-0.47049650000000004,6.9304795
rugby,-0.12647623372726194,0.05810951334591005,19.17213,85.94142,2.8599741,8.047912
golf,0.035254465392237755,0.2851736540209001,47.2609,70.22931,2.388058,7.8413660000000025
athletics,-0.06915678683301796,0.008800136803466556,-13.515865,81.99554,3.8647796999999997,7.3171563
badminton,0.2930887816150181,0.09585445352287973,-46.524372,-94.658775,6.6126547,3.3108120000000003
boxing,-0.22084276612749096,0.10718893599728607,39.918446,117.70641,1.4237058999999999,7.966442999999999
Formula One,0.04783426369488269,-0.2123924165080699,-14.720334,-12.912799,6.5540185,5.264966
MotoGP,0.18038721050417827,0.023676860147574686,-48.99131,-64.84784,6.5915623,4.076536
cycling,0.2404672914780416,-0.010834343921076527,-26.945045,-73.05433000000002,7.2926497,3.9099827000000014
swimming,0.019802786528730527,-0.0464517528899942,-26.426486999999998,25.66534,5.8777113,5.9465237
snooker,-0.3181248246306477,-0.08779402325869898,83.74146999999998,172.98074,-0.113888256,6.768246
shooting,-0.1878426398863251,0.012449577711366677,53.608509999999995,134.10686,0.87912047,7.7507220000000006
gymnastics,0.27510563328732546,-0.2388099864499341,3.3976898,-62.42078000000001,7.137596,4.841895
handball,-0.02778093006993871,-0.02420873427614258,-23.240088,39.32259000000001,5.6017684999999995,6.3352910000000024
wrestling,-0.2953772614076831,-0.009014120925896143,69.07298,175.00589,-0.37992802,6.7549600000000005
skiing,0.12796082906933534,0.024411527782458527,-51.35549,-52.49006,6.297942,4.3669415
horse racing,-0.1218439698082272,-0.07784828497022529,-43.85147,73.73465,4.849607499999999,7.0970869999999975
horling,0.5037958809583072,0.032051672048463174,-16.726248000000002,-104.20574,7.4196240000000016,3.2564158
pickleball,-0.2343315764710757,-0.023859790543488003,70.35865,161.35681,-0.026717708,7.156752
water polo,-0.050197460264454784,-0.03797074320841666,-32.223675,50.61306,5.201378,6.762472
bowling,-0.08342169743775636,0.025930262373889085,-0.39619225,74.5761,3.8204733999999996,7.6857380000000015
