index,race_isomap_x,race_isomap_y,race_tsne_x,race_tsne_y,race_umap_x,race_umap_y
football,-0.027705467849720132,0.06567840313983526,148.26518000000004,54.38015400000001,3.4815774,-0.14769067
basketball,-0.034960959960738155,-0.1150640748143458,6.089295,-505.07345999999995,5.6192384,-2.871763
cricket,-0.11600996286527655,0.10982212391279696,513.889,91.145035,2.596506,-1.203419
hockey,-0.06850836940947343,0.021280579843239358,266.69196,57.08371700000001,3.7588956,-0.78848743
tennis,-0.04037222192157292,0.08713707667642911,199.08171000000002,-44.065533,3.408805,-0.5488714
volleyball,0.1341656290640585,0.018475693167733214,-319.41067999999996,196.69211,5.805788,-0.25862399999999997
table tennis,0.024498194627996104,0.02159753220300781,-121.7242,61.395237,5.0753164,-0.5898945
martial arts,0.1534045657254078,0.008377459975325607,-391.69247,224.87366,5.9202585,0.14408946
baseball,-0.08863085901939391,-0.01877108185660948,-276.72003,-436.66727000000003,4.376451,-2.6550974999999997
american football,0.12817924522443985,-0.06484189709949839,-253.33614,494.30545,6.52326,1.3614255
rugby,-0.07119515390555775,-0.07002879836935189,-177.78723,-438.55362,4.817201,-2.9267453999999997
golf,-0.2175236287235384,0.1173891081690475,502.87942999999996,-55.225597,3.0754082,-1.4178853
athletics,-0.0054424887427492645,-0.03472746465377386,-197.03635,-160.3584,4.9851766,-1.8599892
badminton,-0.06080054862581721,0.1512514362728805,473.67294000000004,252.77982000000003,2.451564,-0.5060663
boxing,0.015381422479436304,0.10483299780169356,83.64975,110.637856,4.0688763,0.13361074
Formula One,0.33876784834835194,-0.015924058792857833,-386.4384,461.01212000000004,6.419398,0.99443626
MotoGP,0.18282529255487093,0.2451286144123512,228.05123999999998,533.4242,5.3599997,0.43868290000000004
cycling,0.11428912799682725,0.0980043093999864,-132.3689,306.0047600000001,5.5899589999999995,0.68961704
swimming,-0.1132993866474055,-0.07658748195798,-121.119,-532.27954,5.114831,-3.1226568
snooker,-0.05714607573046913,-0.16184112774419745,145.01486,-498.88477,6.158777,-3.1077178
shooting,-0.026324214927143732,-0.08513750865980682,55.44529300000001,277.9857,5.4110456,-1.6223089
gymnastics,0.11413653122267567,-0.1431446028604007,238.49545,-705.30646,6.434352,-1.6903898000000002
handball,0.0021595542108682197,-0.03878891557232062,-107.60915,-55.32625,5.145961799999999,-1.3644644
wrestling,0.029449776890501312,-0.1668117376313031,146.0578,-647.80304,6.307393,-2.7241242000000003
skiing,-0.10830984728530478,0.06670852062999562,293.7632,-100.82995,3.471367,-1.1499676
horse racing,0.11865276869318896,-0.009535442926681976,-208.03668000000002,430.50875999999994,5.9987955,1.1358774
horling,-0.08936517003804091,0.12956059920658086,531.7702,190.97118,2.43017,-0.8935513
pickleball,-0.0451181850345809,-0.12648804009763975,34.82947,-579.219,5.998793,-3.1775064
water polo,0.004884978726987239,-0.06031629961885241,-92.5054,-138.73112,5.6567416,-1.9223666000000001
bowling,-0.1900823950788274,-0.0572359221552829,-329.43847999999997,-568.9672,4.025893,-2.4993507999999998
