index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
football,0.11869517486017814,-0.008289188225398363,-125.09752,82.99853,11.470371,-3.46981
basketball,0.060662570474570056,-0.011903422338070463,-90.6682,25.820425,10.328537,-3.2015085
cricket,0.2605553038610228,0.03285106443022719,-62.40512,118.61389,11.43873,-2.1391606
hockey,0.06971692831637308,-0.008380527708020885,-109.133156,52.94368,10.946592,-3.38319
tennis,-0.12974594876348589,-0.09353595622090255,199.3571,18.933012,5.273681,-3.5919328
volleyball,-0.06503700747032913,-0.1780677793891647,-304.70303,-31.579466,3.446858,-3.9623287
table tennis,-0.08007167402823247,-0.1931502597534023,-281.3941,-41.905888,3.2514827,-3.5901217
martial arts,-0.08057317632969162,-0.216856444662774,-308.05365,-65.00271,3.0736969,-3.8909006
baseball,0.050267642056546505,0.11229881676891834,-8.462973,-21.91414,9.367329,-2.5210373
american football,-0.09319208208133721,0.29818878464630966,136.98613,-162.57835,7.4573183,-3.1653337
rugby,0.15796249669199372,0.07146308202074184,-139.31895,114.7256,11.646443,-3.0683398
golf,-0.218381397203181,0.07207216460237507,208.04236,-49.76481,6.295977,-3.184255
athletics,0.13080890751003585,0.018520326680853138,-90.25596,84.25855,11.36731,-2.802933
badminton,0.07610134962681554,-0.17478081393240408,-229.98145,-70.37011,3.7323716,-3.333313
boxing,-0.12100810024118526,-0.00869630826436034,172.92352,-14.377608,5.5099382,-4.0255013
Formula One,-0.038253581669520954,0.017260359790335397,140.5888,-73.75866,6.6482506,-4.0918536
MotoGP,-0.08058824267584784,-0.17720727402561404,-247.66245,-40.713577,3.9317713,-3.6809363
cycling,-0.165662234741523,-0.0401827928875317,175.2446,28.49497,5.647173,-3.4362748
swimming,0.10391681959146175,0.07192010595702679,-41.469692,-20.51858,9.822895,-2.6087127
snooker,-0.22787690110245465,0.13321042785395387,106.51983,-122.947556,7.283253,-3.5898314
shooting,-0.032491485474673835,-0.06118457024959493,144.90303,-28.289541,4.7776785,-4.005069
gymnastics,0.009735483555243072,-0.16368506571996802,-317.43286,-2.6264477,3.264795,-4.2851357
handball,0.15017098836165513,-0.001220937488012539,-40.078598,56.45558,10.467503,-2.4886744
wrestling,-0.14497423361009135,0.04501600493545902,109.13638,-92.81046,6.825146,-4.0308795
skiing,-0.2307462665957014,0.046671300975690506,147.63751,37.85954,5.8712025,-3.5913439
horse racing,-0.09416863145748086,0.11733530598181922,162.13112,-94.10318,6.823726,-3.3793626
horling,0.4657177431301014,0.03346152843115397,-36.850838,141.08182,11.149705,-2.1955595
pickleball,0.09464794222394803,0.062975365841283,-30.080883,3.8936374,9.801159,-2.3208284
water polo,0.1346302406465399,-0.003859286823341457,-68.5079,56.696114,10.790786,-2.724686
bowling,-0.0808186274617482,0.2077559887724136,161.74777,-127.838844,7.074778,-3.0035298
