index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
football,-0.4910937085235178,-0.8758527527390202,193.51184,72.77348,-1.809425,1.5505567
basketball,-0.39937754158170824,0.5109222511983307,-60.472443,39.18893,2.1140158,3.730351
cricket,0.6087651705585116,-0.9990234641104478,-64.055916,-223.19739,4.3634744,1.7432667
hockey,-0.613412483322391,-0.21156104289875519,97.15915,107.41756,-0.8685986,2.493669
tennis,0.9728110945155494,-0.25889746412696607,-28.361921,-160.94592,3.7726119,1.8503277
volleyball,0.6853398312210611,0.5590641503616635,-100.09605,-65.49854,3.4211607,3.2107098
table tennis,1.3041015560438711,0.34439648287073105,-69.70062,-130.79541,4.1265936,3.0378883
martial arts,1.198347658021955,0.5478633075843375,-127.95256,-112.2266,3.9655485,2.861556
baseball,-0.9047996063758669,0.178353995828829,44.66275,92.14668,-0.25772008,3.2632422
american football,-2.155303874514798,-3.416734716814514e-05,-57.891693,245.10767,0.5556289,3.94878
rugby,-0.46628218982009406,-0.6621340099446453,154.47014,34.108795,-2.068979,1.9976768
golf,-1.1616390501468836,-1.4130902127888028,266.08405,100.59545,-1.4552734,1.2123673
athletics,-0.2843394713627878,-0.37204269258634337,135.66933,66.135796,-1.6059018,2.3095205
badminton,1.338378326905127,-0.41659338012345315,-98.91847,-201.78416,4.6670947,2.0855572
boxing,-0.8990915198916023,-0.6842810021623016,217.39284,41.673542,-1.5599054,1.8236972
Formula One,0.6143060153449305,-0.6800337932331155,71.53317,-217.16272,4.038754,0.9137143
MotoGP,1.4658580046720908,-1.417928922947108,20.53144,-234.14331,4.0552053,1.1794267
cycling,0.88122289150372,-0.7102150269941044,15.296051,-181.15051,3.7641716,1.2808723
swimming,0.12658004920660726,1.346679247066673,-172.11464,14.563355,3.0698717,3.9634204
snooker,-1.3957850016422069,1.2683652883187317,-121.29003,219.14018,0.8240283,3.6624062
shooting,-0.8595644080714956,-0.01971578615733003,46.338436,130.78784,-0.80782515,2.9801068
gymnastics,1.6809678048565297,1.6656471115730802,-205.45361,-42.191704,3.6985075,3.6566234
handball,0.2135036836363336,0.9388237296590884,-126.89617,6.262462,2.6375787,3.819374
wrestling,-1.0803389964071266,0.9656224546579366,-89.798965,185.17122,1.0443904,3.8969994
skiing,-0.19433406162880473,-0.44510801050722903,119.088264,164.44742,-0.094431505,2.4510922
horse racing,-0.9530697820996599,-0.981784887664563,266.42838,39.12997,-1.3546325,1.733262
horling,2.278143633290129,-0.0771665698350654,-157.47491,-192.80421,4.487124,2.4638789
pickleball,-0.7516496773430883,1.2671207824950452,-118.98611,161.22198,1.3319092,3.8266838
water polo,0.09490196819721691,0.48161911725781564,-87.12697,-3.6232934,2.8435986,3.4480991
bowling,-0.8531463152415999,0.1509852672941539,75.095985,204.36847,-0.036003303,2.8572462
