index,age_isomap_x,age_isomap_y,age_tsne_x,age_tsne_y,age_umap_x,age_umap_y
water,1.157731913741852,-0.3253004763496771,156.54796000000002,122.66138000000001,15.774564999999999,5.1755357
coffee,-0.8518643350975625,-0.2378590035909563,-52.535247999999996,-96.30017,8.209916999999999,12.434455
tea,0.7284268906554743,-0.42380205196028375,72.54172,91.6996,15.032307999999999,4.50239
juice,-1.421303796160984,0.9402735145739926,-178.44304,-97.229385,8.360277,11.178609
milk,0.980826367571186,-0.3095509699097627,106.17199,119.06326999999999,15.311194,4.773151
soda,-1.6770290103390857,-0.578035823055692,-49.198402,-231.09775,6.8733889999999995,12.63969
energy drink,-1.5382356690110852,0.14472111118222736,-126.18375,-181.22863999999998,7.299218700000001,11.687788000000001
milkshake,-1.4160649527421774,-0.3126478668449872,-73.26939,-192.52551,7.079283,12.266402000000001
smoothie,-1.4948297821161798,0.4703364115000274,-169.05522,-152.3467,7.8193779999999995,11.17649
alcohol,1.8206024997568593,0.185049460826528,136.51575,268.61365,16.896124,5.2506166
liquor,1.4374510318279692,-0.2356888079266683,161.8844,168.61885,15.737232999999998,5.7041492
beer,-1.4016101847600564,0.39127923398144654,-133.28886,-126.53346,7.94937,11.587577
wine,1.7404551835240654,-0.018222335378414414,128.72627,207.9613,16.443018,5.9811163
cider,-0.9258502650198926,-0.30921910558425103,-50.662006,-135.21126999999998,7.605052000000001,12.445088
vodka,0.961973190277315,2.104671928941611,169.26886000000002,314.40765,17.020712,5.7172849999999995
rum,0.4340590146249072,-0.6286250652311598,65.630486,45.72769,14.634113000000001,4.833198
whiskey,-0.17063569113019125,-0.8761782742257277,32.57045,1.2829905000000001,14.365843,4.4648767
champagne,1.6358975943975873,0.01879811905174432,165.55501,232.80277999999998,16.38221,5.5497684000000005
