,beverage,country,direct_correlation,indirect_correlation,same_correlation
0,water,Nigeria,-1.583472415352685,-0.09587253014045097,True
1,water,Ethiopia,0.059207259991592764,0.014149664353045219,True
2,water,Egypt,0.5701939142922063,0.26851195691293034,True
3,water,Congo,-0.05032554408164831,-0.0043798732939585965,True
4,water,Tanzania,0.5285827089016037,0.0009009362562231387,True
5,water,Kenya,-0.30052521188254105,0.1461238232551208,False
6,water,Uganda,-0.5375267232875566,-0.009441986946148407,True
7,water,Sudan,0.2706888041989821,0.10159094417586344,True
8,water,Algeria,-0.08936396385442315,-0.24979676422904695,True
9,water,China,0.7259872242200758,0.2296590676821081,True
10,water,India,0.6744936146647919,0.12458555828183865,True
11,water,Indonesia,0.6340699935360868,-0.017221181119144256,False
12,water,Pakistan,-0.17500921257967994,0.055948159969350084,False
13,water,Bangladesh,0.016073247621255476,-0.11998229332862966,False
14,water,Japan,-0.5103060506412268,0.11837267724998883,False
15,water,Philippines,-0.4238915233994233,-0.14717226404344838,True
16,water,Vietnam,-0.6167251276164132,0.0772666580468382,False
17,water,Iran,-0.3551424525353063,0.09045649443420832,False
18,water,Turkey,-0.5736075116164049,0.04969676596043799,False
19,water,Russia,-1.5196134002412256,0.05661617844027241,False
20,water,Germany,-1.5760380593092136,0.06564248814978549,False
21,water,France,-1.4357781602163104,-0.08977457269351068,True
22,water,Italy,-1.273238249945491,-0.08718723881952242,True
23,water,Spain,-1.3646551202477175,-0.01437339584814615,True
24,water,Ukraine,-1.4577555262934119,-0.012610010935133096,True
25,water,Poland,-1.5725198596557135,0.042863915520446286,False
26,water,Romania,-1.2120766440123312,-0.11912093772134108,True
27,water,Netherlands,-0.9640228673128682,-0.10605538540127574,True
28,water,Austria,-1.8026639866088447,-0.06795018163856899,True
29,water,Mexico,-0.4079143012137146,-0.005390236295580089,True
30,water,Canada,-0.3757266330251804,0.06189746973256189,False
31,water,Guatemala,-0.101640218929459,-0.10848343611178496,True
32,water,Haiti,-1.2323081283442088,-0.06534954235006983,True
33,water,Cuba,-1.0550144110129909,0.04391730961384896,False
34,water,Honduras,-0.8683922854633404,-0.026925510015718145,True
35,water,Nicaragua,-0.9319460420002592,-0.16630462828700146,True
36,water,Brazil,-0.09181865572166902,-0.05909996513888725,True
37,water,Columbia,-0.9452410567866384,-0.005791276895570913,True
38,water,Argentina,-0.9723614288030332,-0.039532809131479024,True
39,water,Peru,0.08118909523543806,-0.04103772031175811,False
40,water,Venezuela,-0.7128286784640475,-0.1508660559652868,True
41,water,Chile,-0.2920835033301164,-0.12577647472281134,True
42,water,Ecuador,-0.3486570407008491,-0.1682098886158393,True
43,water,Bolivia,0.07629432104973415,-0.058984392979440185,False
