,beverage,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,water,heterosexual,-1.1901424339818674,-0.1017088790541867,True
1,water,straight,-0.5583707794364574,0.19069524688576697,False
2,water,homosexual,-1.9344681862182442,-0.0176952704098083,True
3,water,gay,-2.2297336349910144,0.1001904399942998,False
4,water,lesbian,-2.5977511579828394,-0.15572849381001644,True
5,water,bisexual,-2.0452374371163167,-0.09627652844539324,True
6,water,bi,-0.3221360562554146,-0.10808132447359163,True
7,coffee,heterosexual,0.4942036409118018,0.16337064368540127,True
8,coffee,straight,0.03965024603267007,0.2671954213266729,True
9,coffee,homosexual,0.2068749667992406,0.3248747995340118,True
10,coffee,gay,0.05581134212544644,0.400988192673683,True
11,coffee,lesbian,0.5654712335150828,-0.1769323458006334,False
12,coffee,bisexual,-0.13085254878071573,0.033555320967410686,False
13,coffee,bi,1.136553172486478,0.11739793044832207,True
14,tea,heterosexual,-0.13190436834519653,-0.025409245742648773,True
15,tea,straight,-0.3909000853380247,0.12993724322340844,False
16,tea,homosexual,-0.490558318052621,0.04679767247574265,False
17,tea,gay,-0.6152279334291263,0.09336926619842467,False
18,tea,lesbian,-0.33437827096330913,-0.08972863648056525,True
19,tea,bisexual,-0.6925060250860351,-0.025521428254073684,True
20,tea,bi,0.5259788175204237,0.03820666367303241,True
21,juice,heterosexual,-0.5470088818906841,0.10793099737796373,False
22,juice,straight,-0.290473080065255,0.2409795250678727,False
23,juice,homosexual,-1.0870823877278557,0.3027733671990088,False
24,juice,gay,-1.0644721364162926,0.389720159409148,False
25,juice,lesbian,-0.6610492318512801,-0.2272822930241393,True
26,juice,bisexual,-0.7973973506600656,-0.00553064937021795,True
27,juice,bi,0.38384526879391856,0.061481367441154115,True
28,milk,heterosexual,-0.8021650735584981,-0.06154944079312025,True
29,milk,straight,-0.5000453039280852,0.2239735915473105,False
30,milk,homosexual,-1.3500309847176215,0.014146405386674969,False
31,milk,gay,-1.4852169073214432,0.13100041663100953,False
32,milk,lesbian,-1.8079464449913387,-0.09564013537421166,True
33,milk,bisexual,-1.9076963717658448,-0.06206366640580956,True
34,milk,bi,-0.12309369891984928,0.02751588058295953,False
