beverage,trait,direct_correlation,indirect_correlation,same_correlation
water,tidy,0.3418421316984197,-0.08168662729794277,False
water,malicious,-2.0955523909824083,-0.005708173889184019,True
water,authoritarian,-1.6499679555862508,0.08574901243384474,False
water,enthusiastic,-0.1254883103798963,-0.135354714594977,True
water,timid,-0.1454953922059441,-0.14126368124039035,True
water,objective,0.369881467223496,0.10601421312938845,True
water,outrageous,-2.2995123921727365,-0.1113918721262269,True
water,aspiring,-0.29326675854187373,-0.23772947108618556,True
water,persuasive,-2.0488234623866743,-0.015706149432937307,True
water,determined,-0.2911695041706727,-0.20749068217788988,True
water,fixed,0.5142034512922126,0.12067200880275054,True
water,sporting,-0.0592069658777965,-0.2310673476106302,True
water,strong,0.7603556733123794,0.012149089731916286,True
water,ambitious,-1.7943365333045531,-0.19516122355885726,True
water,cynical,-2.480746533866026,0.02498382255825688,False
water,amusing,-1.0489039897181627,-0.07582281154990217,True
water,sharing,0.1694477860859721,-0.04655509570617914,False
water,proud,-1.4633282368710103,-0.1205915604091785,True
water,tall,-0.36533952310617085,-0.03957599997626178,True
water,decisive,-0.8178464802315291,0.005016932299653942,False
water,intelligent,-0.44551392174056137,-0.006081620812840022,True
water,responsible,-0.3097188971966539,-0.08418943531018186,True
water,miserable,-1.0940686454093247,-0.1260156014034908,True
water,neat,0.41710353050659843,0.10743475598374384,True
water,responsive,1.3662970317131558,-0.08850957132029799,False
water,muscular,0.4515633824351763,-0.042186598199142125,False
water,heroic,-0.3339514523499839,0.021644897261308672,False
water,dry,2.2797811404503,0.09917762382329587,True
water,upright,0.9937842536316703,-0.04167761179153433,False
water,retiring,0.13213355760678452,-0.21473232150977264,False
water,imaginative,-0.6331127695145605,-0.07800748898117571,True
water,impressive,-0.09153085196227594,-0.017065982557975732,True
water,serious,-0.6866904671309423,-0.004702439230069737,True
water,gloomy,-0.7703497106559205,0.05811062078522362,False
water,eloquent,-1.0256256877045367,-0.01401402685267955,True
water,hesitant,-0.06852103975662563,-0.162892043440008,True
water,progressive,0.38896895771999845,0.08327913576871532,True
water,precise,0.6196118791036951,0.013161107033906683,True
water,anxious,-0.47348073453973916,-0.1645577156219027,True
water,grim,-0.8453455350132248,0.041894982931084346,False
water,brittle,-0.4622235370797614,-0.1217890069257318,True
water,soft,1.1860036503020632,0.09790536501587736,True
water,criminal,-2.7807274768140777,0.1257083603898541,False
water,courteous,-0.1506543883251542,-0.1199551726582971,True
water,shrewd,-1.201117798496574,-0.02706350504700196,True
water,extravagant,-1.7453151162862468,0.016822932926115232,False
water,confidential,-0.5502408463158194,-0.20905459454040082,True
water,meticulous,0.2932759394642081,-0.15141383993623805,False
water,angry,-1.812172749848471,-0.0036729450855397974,True
water,leader,-1.0404463920964886,0.06381825831610292,False
water,capable,0.15657371569625902,-0.20812615173070045,False
water,shallow,-0.2996017480480986,0.021575300176575548,False
water,solid,1.7478550540981597,0.034583009492304126,True
water,dedicated,-0.2650200819860701,-0.16492015512610309,True
water,obvious,-0.45711341515836507,0.2336547957634513,False
water,lazy,-0.662692622553469,-0.07123297294891451,True
water,disruptive,-1.8634075041040052,-0.022441398098050635,True
water,innovative,0.15289298859279365,-0.14702238645489168,False
water,discreet,-0.9171715192142702,-0.19340136702540975,True
water,neutral,1.0472270634919718,0.07350152468829405,True
water,unreliable,-1.6527047963893386,-0.011176701023091365,True
water,directed,0.3059865199412102,0.0949430214117655,True
water,misguided,-0.6429800799345657,0.0023847663613288466,False
water,colorful,-0.16010622253641962,0.07658175633275308,False
water,quirky,-1.6022540027686032,-0.2096422700703052,True
water,sober,-0.5144207894743092,-0.08164003630937822,True
water,stylish,-0.8309168856355699,-0.24605855289941975,True
water,humble,0.5778817723203578,0.044469081773539886,True
water,preoccupied,-1.1522475549183777,-0.19054209733711036,True
water,generous,-0.8054967758392602,0.09962808091616257,False
water,steady,1.2398936888759942,-0.005483245165897768,False
water,deep,-0.05394469259956967,0.13654516240035278,False
water,simple,0.36644475883103883,0.2172428230734968,True
water,coarse,-1.0193064361873931,0.07294051744810194,False
water,benevolent,0.18193634404110803,0.13355484405051146,True
water,frivolous,-2.159404080594088,-0.11316060270299988,True
water,complaining,-0.23826464021048407,-0.16272750409557946,True
water,healthy,2.0895050569458897,-0.18898225764005314,False
water,passive,0.008558162127283194,0.1541446204912325,True
water,obsessive,-1.257259510380307,-0.08774148807447743,True
water,difficult,-0.5493671896764458,0.06738653134519995,False
water,admirable,-0.02786845404293699,-0.1516381428469252,True
water,humorous,-1.2713785699246456,0.006037718570517739,False
water,disciplined,0.29262053358531703,-0.030377364638994857,False
water,strict,-0.11283152539383763,0.11543493705475988,False
water,mature,0.051697220677634964,-0.021081634689382,False
water,superficial,-1.029630111273151,0.10225767415803884,False
