country,religion,direct_correlation,indirect_correlation,same_correlation
Nigeria,atheist,-0.25256753725844155,-0.014101659155815925,True
Nigeria,Buddhist,-3.7176744650407056,-0.14226872869545568,True
Nigeria,Christian,0.8481187374708061,-0.032124851696663896,False
Nigeria,Hindu,0.30018682862968626,0.05015818463091752,True
Nigeria,Jewish,-2.144262514967802,0.1170484257808204,False
Nigeria,Muslim,0.661468437780386,0.0296817490896655,True
Ethiopia,atheist,-0.4273429031345448,-0.02907253133059102,True
Ethiopia,Buddhist,-2.563415440552081,-0.1873014715899344,True
Ethiopia,Christian,1.1330641064066826,-0.1442893766231637,False
Ethiopia,Hindu,0.07087110987875025,0.0359532639360716,True
Ethiopia,Jewish,-1.8301929209826275,0.17837375667590558,False
Ethiopia,Muslim,0.04701047698698189,-0.04664414749286856,False
Egypt,atheist,-0.7619063757167837,-0.18844744689417509,True
Egypt,Buddhist,-3.2967442679068397,-0.16051446274730885,True
Egypt,Christian,-0.5830874370845812,-0.32432426207739296,True
Egypt,Hindu,-0.04463957474721286,0.036643443744196216,False
Egypt,Jewish,-0.8724937879130794,0.04685006797482163,False
Egypt,Muslim,1.0805399880884408,-0.04561815158918761,False
Congo,atheist,-1.0278998655641296,0.03907730698192753,False
Congo,Buddhist,-1.3076645770038842,-0.1065049448184962,True
Congo,Christian,0.9278324967918624,-0.15842465036643893,False
Congo,Hindu,-0.4166658498570756,0.12637581806771578,False
Congo,Jewish,-2.5795143430245027,0.011719776642537618,False
Congo,Muslim,-0.5675726438660733,-0.1263114186825088,True
Tanzania,atheist,-0.9210089252709128,0.03223487589728393,False
Tanzania,Buddhist,-1.4410911153440662,-0.0771630595070089,True
Tanzania,Christian,0.7343347495934219,-0.039432836477257364,False
Tanzania,Hindu,0.13421866371074084,0.0877504350541393,True
Tanzania,Jewish,-2.308186520105845,0.1469828517165857,False
Tanzania,Muslim,0.6257791831158059,0.07952887548850524,True
South Africa,atheist,-0.6424068275660593,0.21217474155576688,False
South Africa,Buddhist,-1.8659880115351248,-0.03800011849967822,True
South Africa,Christian,0.8666903351679819,0.1047679890109965,True
South Africa,Hindu,-0.5520429613239112,0.04175529020472465,False
South Africa,Jewish,-0.6436648350608607,0.16109205819810482,False
South Africa,Muslim,-0.00619865416393849,0.002412240261266988,False
Kenya,atheist,-1.2534410885697056,0.2413789400083329,False
Kenya,Buddhist,-2.290717960115916,-0.110820387801958,True
Kenya,Christian,1.217741466032288,0.06285107291545708,True
Kenya,Hindu,-0.031540528178677384,0.17872948593294904,False
Kenya,Jewish,-1.5989209924465384,0.3214778579518778,False
Kenya,Muslim,0.0921752690177637,-0.06263092784284605,False
Uganda,atheist,-0.9343718961329838,0.11399723964488563,False
Uganda,Buddhist,-1.917127622687533,-0.1288168514907299,True
Uganda,Christian,1.334905629092024,-0.014402932230358241,False
Uganda,Hindu,0.21844181602786505,0.12339581268586568,True
Uganda,Jewish,-2.450614772447388,0.18182919181211146,False
Uganda,Muslim,-0.3835101780048719,-0.0581706620091475,True
Sudan,atheist,-0.7241913406405854,-0.04338552749399485,True
Sudan,Buddhist,-3.8452412124386015,-0.16480921790926514,True
Sudan,Christian,0.2059984357725804,-0.17599179535569034,False
Sudan,Hindu,-0.032495294230944716,0.0980533797946283,False
Sudan,Jewish,-2.8050591994352443,0.14377005005287474,False
Sudan,Muslim,1.0946263434867525,0.07265241783855476,True
Algeria,atheist,-0.04124875998920965,-0.08485882618389966,True
